Kernel,gx,gy,gz,bx,by,bz,gpuId,shared_efficiency
1,4,32,1,10,8,10,0,0.0
1,4,1,100,4,32,2,0,0.0
0,4,200,1,8,2,8,0,0.0
1,2,25,32,2,8,4,0,0.0
0,1,2,160,4,2,40,0,0.0
1,32,4,25,32,1,1,0,0.0
1,4,16,2,4,8,25,0,0.0
1,10,40,2,8,8,2,0,0.0
1,20,2,8,1,5,64,0,0.0
1,1,1,100,4,32,8,0,0.0
0,8,20,1,16,20,2,0,0.0
1,20,10,16,1,1,32,0,0.0
1,4,4,8,4,20,10,0,0.0
1,1,25,4,128,1,8,0,0.0
1,32,1,4,10,80,1,0,0.0
1,8,10,4,8,40,1,0,0.0
0,32,25,1,8,8,2,0,0.0
1,2,32,10,40,4,1,0,0.0
1,16,8,5,10,16,1,0,0.0
1,32,2,25,1,8,8,0,0.0
1,2,1,50,64,1,16,0,0.0
1,80,4,2,2,40,2,0,0.0
0,32,1,4,16,10,5,0,0.0
1,20,8,1,5,128,1,0,0.0
1,10,8,2,8,4,20,0,0.0
1,40,4,5,1,2,64,0,0.0
1,4,2,200,8,8,1,0,0.0
1,16,1,100,4,1,16,0,0.0
1,8,2,8,4,50,4,0,0.0
1,1,32,20,40,4,1,0,0.0
0,4,25,16,32,2,1,0,0.0
1,1,128,1,20,20,2,0,0.0
0,4,16,2,25,1,32,0,0.0
1,8,4,10,64,1,5,0,0.0
1,10,8,20,8,1,8,0,0.0
1,1,50,4,2,4,64,0,0.0
0,20,1,5,8,32,4,0,0.0
1,160,1,4,8,1,20,0,0.0
1,1,320,1,1,32,10,0,0.0
1,25,8,8,2,1,32,0,0.0
1,16,50,1,1,128,1,0,0.0
1,5,40,8,16,2,2,0,0.0
1,5,1,40,256,2,1,0,0.0
1,80,2,10,4,8,2,0,0.0
1,100,1,32,8,1,4,0,0.0
1,4,10,10,256,1,1,0,0.0
1,10,2,16,4,40,2,0,0.0
1,100,8,1,4,4,8,0,0.0
1,8,2,40,4,8,5,0,0.0
1,1,200,1,32,8,2,0,0.0
0,1,32,5,8,2,40,0,0.0
1,20,1,16,8,2,20,0,0.0
1,5,8,10,8,8,4,0,0.0
1,5,80,8,16,2,1,0,0.0
1,10,4,16,4,10,4,0,0.0
1,4,1,25,4,32,8,0,0.0
0,8,1,20,16,5,8,0,0.0
1,16,5,4,10,32,1,0,0.0
1,400,1,4,2,2,16,0,0.0
1,10,16,2,4,4,20,0,0.0
0,2,1,320,4,2,20,0,0.0
1,20,4,5,2,128,1,0,0.0
1,4,5,5,4,4,64,0,0.0
1,320,10,1,2,4,4,0,0.0
1,2,64,5,80,1,2,0,0.0
1,1,200,8,8,8,1,0,0.0
1,1,128,1,25,32,1,0,0.0
0,10,1,32,5,8,8,0,0.0
1,2,5,10,256,2,2,0,0.0
1,1,16,20,40,1,8,0,0.0
1,1,2,400,1,32,4,0,0.0
1,160,1,1,32,20,1,0,0.0
1,8,10,5,64,4,1,0,0.0
1,10,10,1,32,4,8,0,0.0
0,20,4,2,4,4,40,0,0.0
0,4,20,2,4,80,2,0,0.0
0,1,16,8,50,2,8,0,0.0
1,1,80,2,1,40,16,0,0.0
1,10,5,16,16,4,2,0,0.0
0,8,100,2,1,1,64,0,0.0
1,4,25,2,64,8,1,0,0.0
1,8,10,4,40,8,1,0,0.0
1,20,16,2,16,10,1,0,0.0
1,4,8,5,8,16,5,0,0.0
0,16,1,10,32,1,20,0,0.0
1,2,1,50,2,32,16,0,0.0
1,10,40,2,4,8,4,0,0.0
1,20,4,20,64,1,1,0,0.0
0,40,16,1,4,5,8,0,0.0
1,8,20,4,2,40,2,0,0.0
1,5,32,5,16,1,8,0,0.0
1,4,100,2,2,1,64,0,0.0
1,160,10,2,2,1,16,0,0.0
1,5,1,128,10,8,2,0,0.0
1,2,320,1,5,16,2,0,0.0
1,2,20,16,2,20,4,0,0.0
1,10,20,16,16,1,2,0,0.0
0,10,20,4,2,64,1,0,0.0
1,2,40,4,5,32,2,0,0.0
1,5,20,4,8,8,4,0,0.0
1,1,2,50,4,16,16,0,0.0
1,50,1,16,128,1,1,0,0.0
1,64,1,5,5,32,2,0,0.0
1,5,16,4,2,40,4,0,0.0
0,1,8,20,2,20,16,0,0.0
1,1,50,8,16,2,8,0,0.0
0,8,2,40,20,2,4,0,0.0
0,10,1,40,1,64,4,0,0.0
1,40,2,4,160,1,2,0,0.0
1,16,200,1,2,16,1,0,0.0
1,80,2,2,32,5,2,0,0.0
0,50,1,2,64,8,2,0,0.0
1,4,16,25,4,8,2,0,0.0
1,1,32,4,20,10,4,0,0.0
1,1,40,10,32,1,8,0,0.0
1,2,1,80,10,4,16,0,0.0
1,25,16,1,1,8,32,0,0.0
1,2,1,200,16,16,1,0,0.0
1,10,8,4,32,1,10,0,0.0
1,20,5,1,64,16,1,0,0.0
1,2,10,16,16,4,5,0,0.0
1,100,32,1,1,16,2,0,0.0
1,40,10,2,32,4,1,0,0.0
1,10,20,16,2,4,4,0,0.0
1,2,16,10,40,8,1,0,0.0
0,16,200,1,4,8,1,0,0.0
0,50,2,2,2,64,4,0,0.0
1,20,4,4,20,16,1,0,0.0
1,4,4,200,2,2,8,0,0.0
1,1,2,1600,8,1,4,0,0.0
1,1,50,2,8,128,1,0,0.0
0,50,4,4,1,8,16,0,0.0
1,5,16,2,10,8,8,0,0.0
1,1,4,80,5,64,1,0,0.0
0,8,10,8,32,5,1,0,0.0
1,20,4,10,2,2,32,0,0.0
1,2,10,5,16,8,8,0,0.0
1,1,25,16,1,4,64,0,0.0
1,2,200,4,16,4,1,0,0.0
0,5,32,2,16,10,2,0,0.0
1,100,1,4,128,2,1,0,0.0
1,2,800,1,16,1,4,0,0.0
1,1,2,64,8,10,10,0,0.0
1,1,8,25,8,2,32,0,0.0
1,160,1,10,16,2,2,0,0.0
1,2,64,1,10,8,10,0,0.0
1,16,4,10,4,20,2,0,0.0
0,10,1,20,64,2,4,0,0.0
1,16,4,2,200,4,1,0,0.0
1,640,1,5,1,8,4,0,0.0
0,40,2,4,5,16,4,0,0.0
0,20,2,80,16,1,2,0,0.0
1,8,4,10,4,8,10,0,0.0
1,80,5,2,16,1,8,0,0.0
0,2,32,5,16,10,2,0,0.0
1,25,64,2,2,1,16,0,0.0
1,4,10,40,8,4,2,0,0.0
1,1,1,160,4,4,40,0,0.0
0,32,1,5,80,4,2,0,0.0
0,4,200,1,2,8,8,0,0.0
1,1,16,50,32,2,2,0,0.0
1,50,8,1,128,1,2,0,0.0
1,10,4,20,2,32,2,0,0.0
1,1,4,32,10,8,10,0,0.0
1,16,1,200,16,2,1,0,0.0
1,1,128,1,4,4,50,0,0.0
1,2,160,10,1,1,32,0,0.0
1,2,5,16,1,20,32,0,0.0
0,25,1,8,8,2,32,0,0.0
1,1,128,1,5,16,10,0,0.0
1,1,32,20,16,1,10,0,0.0
1,4,16,5,1,16,20,0,0.0
1,4,2,16,5,4,40,0,0.0
1,50,2,4,2,2,64,0,0.0
1,10,4,4,2,80,4,0,0.0
0,2,2,160,2,2,40,0,0.0
1,1,2,400,8,1,16,0,0.0
0,4,40,4,1,160,1,0,0.0
1,32,10,5,2,8,4,0,0.0
1,32,1,20,1,20,8,0,0.0
1,1,64,10,1,5,32,0,0.0
1,2,8,20,1,10,32,0,0.0
1,50,1,4,4,128,1,0,0.0
0,64,25,2,4,8,1,0,0.0
0,160,2,5,16,2,2,0,0.0
1,10,8,10,4,16,2,0,0.0
1,10,32,1,4,4,20,0,0.0
1,1,5,20,8,8,16,0,0.0
1,20,5,4,64,2,2,0,0.0
1,80,1,40,8,2,2,0,0.0
1,80,1,8,80,1,2,0,0.0
1,1,16,8,10,4,20,0,0.0
1,8,5,8,10,32,1,0,0.0
1,2,800,1,1,2,32,0,0.0
0,5,32,5,2,1,64,0,0.0
1,200,8,1,1,1,64,0,0.0
1,1,5,32,10,8,8,0,0.0
1,1,64,2,10,20,4,0,0.0
1,8,1,80,10,16,1,0,0.0
1,320,1,5,1,4,16,0,0.0
1,10,1,32,8,5,8,0,0.0
1,4,25,4,64,4,1,0,0.0
1,5,64,10,1,4,8,0,0.0
1,1,20,20,2,128,1,0,0.0
0,20,1,8,80,8,1,0,0.0
1,4,2,25,256,2,1,0,0.0
1,16,2,25,16,8,1,0,0.0
1,4,16,2,20,8,5,0,0.0
1,1,100,1,64,4,4,0,0.0
0,4,10,5,1,8,64,0,0.0
1,16,4,2,400,2,1,0,0.0
0,8,1,20,160,2,2,0,0.0
0,16,1,8,8,5,20,0,0.0
1,5,2,64,40,4,1,0,0.0
1,1,40,16,1,32,5,0,0.0
1,16,10,1,4,4,40,0,0.0
1,4,2,16,80,5,2,0,0.0
1,8,4,4,8,20,5,0,0.0
0,4,4,25,2,16,8,0,0.0
1,25,1,64,1,32,2,0,0.0
1,8,10,5,2,128,1,0,0.0
1,1,8,50,1,32,8,0,0.0
1,5,5,128,16,1,2,0,0.0
1,160,2,10,16,2,1,0,0.0
1,20,1,20,2,32,4,0,0.0
0,25,1,64,8,2,4,0,0.0
0,1,5,32,2,160,2,0,0.0
0,16,20,2,20,4,2,0,0.0
1,25,16,8,4,4,2,0,0.0
1,20,40,2,2,16,2,0,0.0
1,2,16,4,4,10,20,0,0.0
1,20,2,4,128,1,5,0,0.0
1,1,64,10,32,5,1,0,0.0
0,2,5,160,16,4,1,0,0.0
1,5,20,1,32,4,8,0,0.0
1,5,10,4,16,32,1,0,0.0
1,5,1,160,32,4,1,0,0.0
1,128,1,1,80,2,5,0,0.0
0,2,1,80,20,16,2,0,0.0
1,1,40,16,2,2,40,0,0.0
1,2,64,1,80,10,1,0,0.0
1,20,20,4,2,32,1,0,0.0
1,320,2,1,2,4,20,0,0.0
1,5,32,2,8,20,2,0,0.0
0,4,4,20,1,80,4,0,0.0
0,16,5,5,8,16,2,0,0.0
1,1,2,80,8,40,2,0,0.0
1,2,10,8,8,80,1,0,0.0
1,32,1,25,2,8,8,0,0.0
1,40,1,5,32,16,1,0,0.0
1,4,2,40,4,40,2,0,0.0
0,1,5,320,1,2,32,0,0.0
1,4,200,1,16,8,1,0,0.0
1,1,200,4,8,16,1,0,0.0
1,20,2,40,1,16,4,0,0.0
1,4,2,40,20,16,1,0,0.0
1,8,4,4,8,10,10,0,0.0
1,32,20,1,5,1,32,0,0.0
0,50,1,2,32,4,8,0,0.0
1,40,16,5,4,8,1,0,0.0
0,1,8,20,40,8,2,0,0.0
1,20,8,1,1,640,1,0,0.0
1,16,1,8,2,8,50,0,0.0
1,80,5,1,8,4,8,0,0.0
1,4,4,10,16,10,4,0,0.0
1,32,2,2,5,5,32,0,0.0
1,4,2,40,2,16,10,0,0.0
1,20,1,8,8,2,40,0,0.0
1,100,2,16,4,8,1,0,0.0
0,5,64,1,64,1,5,0,0.0
1,40,20,1,2,64,1,0,0.0
1,32,5,2,1,320,1,0,0.0
1,320,2,1,4,20,2,0,0.0
1,32,5,1,1,20,32,0,0.0
1,4,4,8,40,10,2,0,0.0
0,40,8,1,40,2,4,0,0.0
1,10,4,8,1,10,32,0,0.0
1,5,1,32,10,2,32,0,0.0
1,10,8,2,2,8,40,0,0.0
1,2,5,40,2,32,4,0,0.0
1,5,5,64,8,8,1,0,0.0
0,10,1,16,32,20,1,0,0.0
1,100,2,2,32,4,2,0,0.0
1,4,8,4,2,20,20,0,0.0
1,2,50,2,2,32,8,0,0.0
1,80,2,2,40,1,8,0,0.0
1,10,10,1,16,64,1,0,0.0
1,2,4,50,2,4,32,0,0.0
1,1,128,5,8,1,20,0,0.0
0,16,10,20,1,32,1,0,0.0
1,1,1,128,16,10,5,0,0.0
1,4,200,4,2,2,8,0,0.0
1,1,1,640,1,80,2,0,0.0
1,1,32,4,32,25,1,0,0.0
1,2,800,1,8,8,1,0,0.0
1,128,1,1,10,5,16,0,0.0
1,3200,1,1,8,4,1,0,0.0
1,8,10,20,2,4,8,0,0.0
1,10,16,1,128,1,5,0,0.0
1,4,20,2,2,8,40,0,0.0
1,2,100,16,2,4,4,0,0.0
1,2,1,160,32,5,2,0,0.0
1,4,40,4,10,1,16,0,0.0
1,1,4,160,4,20,2,0,0.0
1,5,2,64,4,2,20,0,0.0
1,1,10,16,1,10,64,0,0.0
1,16,100,1,1,8,8,0,0.0
1,25,4,4,16,8,2,0,0.0
1,5,160,1,2,1,64,0,0.0
1,32,20,5,1,8,4,0,0.0
0,5,16,40,2,8,2,0,0.0
1,10,16,20,2,1,16,0,0.0
1,200,1,4,128,1,1,0,0.0
1,20,4,2,128,1,5,0,0.0
1,160,4,1,4,1,40,0,0.0
1,50,1,2,1,512,2,0,0.0
0,5,160,2,1,32,2,0,0.0
0,5,2,32,2,4,40,0,0.0
1,160,5,2,32,1,2,0,0.0
1,8,20,2,10,32,1,0,0.0
1,10,8,10,1,2,64,0,0.0
1,5,2,64,2,10,8,0,0.0
1,1,320,5,8,8,1,0,0.0
1,40,8,5,32,2,1,0,0.0
0,1,5,128,1,160,1,0,0.0
0,2,2,800,16,2,1,0,0.0
1,2,16,20,8,5,4,0,0.0
1,1,200,8,16,2,2,0,0.0
1,25,4,1,4,256,1,0,0.0
1,2,40,20,2,32,1,0,0.0
1,64,1,25,8,2,4,0,0.0
1,5,10,32,4,4,4,0,0.0
1,4,2,40,4,80,1,0,0.0
1,1,10,10,64,2,8,0,0.0
1,1,20,160,4,8,1,0,0.0
1,20,5,4,8,2,16,0,0.0
1,20,80,1,8,1,8,0,0.0
0,16,50,2,4,16,1,0,0.0
1,80,2,2,1,32,10,0,0.0
1,64,1,50,1,32,1,0,0.0
1,8,1,50,4,2,32,0,0.0
1,1,320,5,8,1,8,0,0.0
1,160,1,4,5,16,2,0,0.0
1,2,80,4,10,2,8,0,0.0
1,8,10,4,1,40,8,0,0.0
1,2,1,320,2,80,1,0,0.0
0,2,100,8,1,1,64,0,0.0
1,320,2,1,20,2,4,0,0.0
0,25,4,4,1,8,32,0,0.0
1,4,4,10,20,32,1,0,0.0
1,1,5,64,4,10,8,0,0.0
1,2,4,16,5,40,4,0,0.0
1,5,8,4,32,5,4,0,0.0
1,4,2,100,8,2,8,0,0.0
1,10,40,2,32,2,2,0,0.0
0,2,4,20,1,160,4,0,0.0
1,25,16,2,1,4,32,0,0.0
1,8,10,5,2,32,4,0,0.0
0,4,2,400,8,4,1,0,0.0
1,8,4,4,10,10,8,0,0.0
1,80,10,1,32,1,4,0,0.0
1,2,40,10,2,1,64,0,0.0
0,20,5,2,16,32,1,0,0.0
1,2,1,320,1,20,8,0,0.0
1,1,320,2,2,40,2,0,0.0
1,2,2,80,8,5,8,0,0.0
1,20,2,4,80,4,2,0,0.0
1,8,1,200,32,1,2,0,0.0
1,1,8,25,32,8,2,0,0.0
1,200,4,1,32,4,1,0,0.0
1,5,1,128,2,40,2,0,0.0
1,2,2,400,1,1,64,0,0.0
1,5,4,5,128,1,8,0,0.0
1,8,1,100,4,2,16,0,0.0
0,8,1,40,40,2,4,0,0.0
1,5,16,8,2,16,5,0,0.0
1,200,2,1,32,8,1,0,0.0
1,1,80,5,1,8,32,0,0.0
1,5,10,64,8,2,2,0,0.0
1,32,5,10,32,1,2,0,0.0
1,10,8,4,1,20,16,0,0.0
0,1,20,16,1,5,64,0,0.0
0,10,16,10,2,4,8,0,0.0
0,80,5,1,1,32,8,0,0.0
1,20,5,32,2,1,16,0,0.0
1,1,64,50,8,1,4,0,0.0
1,5,10,64,1,32,1,0,0.0
0,1,50,2,256,2,2,0,0.0
1,50,4,8,32,1,2,0,0.0
1,16,4,2,1,160,5,0,0.0
1,64,10,5,4,4,2,0,0.0
1,4,2,16,20,2,20,0,0.0
1,20,5,1,128,2,4,0,0.0
1,160,2,2,20,1,8,0,0.0
0,2,25,8,8,8,4,0,0.0
1,128,5,1,8,4,5,0,0.0
0,160,10,1,16,2,2,0,0.0
1,2,8,20,4,2,40,0,0.0
1,2,400,4,2,4,4,0,0.0
1,4,40,4,20,2,4,0,0.0
1,1,10,40,128,1,2,0,0.0
0,20,1,16,4,40,2,0,0.0
0,40,1,8,80,4,1,0,0.0
1,4,200,1,1,8,16,0,0.0
1,128,1,1,20,10,4,0,0.0
1,2,4,20,16,40,1,0,0.0
1,4,4,100,1,8,8,0,0.0
1,32,2,10,5,2,16,0,0.0
1,4,16,25,2,2,16,0,0.0
1,16,1,10,2,40,8,0,0.0
1,1,1,128,32,5,5,0,0.0
1,32,2,2,2,20,20,0,0.0
1,10,4,80,1,32,1,0,0.0
0,200,2,4,4,16,1,0,0.0
1,1,50,2,8,8,16,0,0.0
1,5,20,1,4,256,1,0,0.0
1,40,4,1,32,4,5,0,0.0
1,5,64,1,8,8,5,0,0.0
1,8,1,25,128,1,4,0,0.0
1,8,200,1,4,8,2,0,0.0
1,1,2,64,40,1,20,0,0.0
1,10,80,2,32,1,2,0,0.0
1,2,2,40,5,2,64,0,0.0
1,5,2,20,32,8,2,0,0.0
1,4,20,2,32,10,2,0,0.0
1,16,4,10,1,160,1,0,0.0
0,16,2,10,10,4,8,0,0.0
0,10,20,16,16,2,1,0,0.0
1,5,16,2,4,160,1,0,0.0
1,8,5,20,4,1,32,0,0.0
0,1,20,8,4,10,16,0,0.0
1,2,5,10,64,8,2,0,0.0
1,1,50,16,1,4,32,0,0.0
1,4,40,2,32,5,2,0,0.0
1,320,1,1,10,32,1,0,0.0
1,10,4,4,10,8,8,0,0.0
1,32,5,10,1,8,8,0,0.0
1,50,16,4,2,8,2,0,0.0
1,16,20,1,20,4,4,0,0.0
1,1,4,32,400,1,2,0,0.0
1,1,80,20,1,8,8,0,0.0
1,16,25,2,8,4,4,0,0.0
0,8,4,20,1,10,16,0,0.0
1,10,2,5,256,2,2,0,0.0
0,5,10,2,1,16,64,0,0.0
1,4,1,32,8,2,50,0,0.0
1,16,1,25,8,1,32,0,0.0
1,4,40,4,2,20,4,0,0.0
0,1,320,5,16,2,2,0,0.0
1,4,1,80,4,20,4,0,0.0
1,1,8,400,1,1,32,0,0.0
1,1,16,100,1,16,4,0,0.0
1,80,8,1,20,2,4,0,0.0
1,16,5,2,20,32,1,0,0.0
1,2,8,50,8,4,4,0,0.0
1,25,1,4,1,128,8,0,0.0
1,20,4,4,40,4,2,0,0.0
1,320,5,2,1,4,8,0,0.0
1,320,10,1,1,16,2,0,0.0
1,32,4,1,50,2,8,0,0.0
1,32,100,1,1,16,2,0,0.0
1,10,16,4,160,1,1,0,0.0
0,1,2,160,4,20,4,0,0.0
1,32,5,4,20,4,2,0,0.0
1,1600,1,1,8,4,2,0,0.0
0,5,4,8,16,1,40,0,0.0
0,16,20,1,5,16,4,0,0.0
1,2,64,5,2,10,8,0,0.0
1,32,25,2,4,8,2,0,0.0
1,2,5,16,16,8,5,0,0.0
1,400,1,1,32,1,8,0,0.0
1,5,4,8,4,32,5,0,0.0
1,10,40,2,128,1,1,0,0.0
1,1,1,128,4,4,50,0,0.0
1,4,1,25,64,2,8,0,0.0
1,20,4,40,1,4,8,0,0.0
1,32,2,2,40,2,10,0,0.0
1,40,1,80,1,32,1,0,0.0
1,16,10,1,2,5,64,0,0.0
1,160,4,1,5,8,4,0,0.0
1,20,16,1,1,320,1,0,0.0
1,4,40,4,4,5,8,0,0.0
1,50,2,4,16,2,8,0,0.0
1,1,200,4,2,64,1,0,0.0
0,128,1,5,10,16,1,0,0.0
0,4,10,4,2,40,8,0,0.0
1,1,4,40,10,4,16,0,0.0
1,80,4,2,8,5,4,0,0.0
1,2,5,32,8,4,10,0,0.0
1,20,20,2,16,4,2,0,0.0
1,5,16,40,2,4,4,0,0.0
1,5,8,20,1,4,32,0,0.0
1,16,40,5,4,1,8,0,0.0
1,2,25,64,4,2,4,0,0.0
1,1,25,8,128,1,4,0,0.0
1,8,40,10,1,8,4,0,0.0
1,80,1,2,20,8,4,0,0.0
0,16,4,25,2,4,8,0,0.0
0,8,4,5,8,80,1,0,0.0
1,1,50,16,4,2,16,0,0.0
1,16,5,20,16,2,2,0,0.0
1,400,1,2,4,2,16,0,0.0
1,320,1,1,4,20,4,0,0.0
0,32,4,1,10,16,5,0,0.0
1,320,2,5,1,32,1,0,0.0
1,5,128,1,8,1,20,0,0.0
1,10,16,1,40,1,16,0,0.0
1,50,4,2,32,4,2,0,0.0
1,50,4,1,4,8,16,0,0.0
1,4,4,8,25,8,4,0,0.0
1,2,8,100,32,1,2,0,0.0
0,25,4,2,4,4,32,0,0.0
1,8,10,8,8,10,2,0,0.0
1,1,32,20,4,8,5,0,0.0
1,2,16,4,5,10,16,0,0.0
1,5,4,40,1,16,8,0,0.0
0,5,10,2,256,2,2,0,0.0
1,5,2,64,2,5,16,0,0.0
1,32,10,10,8,1,4,0,0.0
1,10,64,1,160,1,1,0,0.0
1,40,4,5,4,4,8,0,0.0
0,4,50,1,128,4,1,0,0.0
1,1,1,1600,8,8,1,0,0.0
1,2,1,320,5,16,2,0,0.0
1,50,1,2,8,16,8,0,0.0
1,4,1,25,64,1,16,0,0.0
1,2,10,20,4,64,1,0,0.0
0,80,1,10,8,4,4,0,0.0
1,16,1,8,80,5,2,0,0.0
1,8,4,10,1,8,40,0,0.0
1,1,200,16,8,1,4,0,0.0
1,50,1,2,1,256,4,0,0.0
1,1,128,5,4,2,20,0,0.0
0,10,8,4,10,8,4,0,0.0
1,8,2,10,1,128,5,0,0.0
1,1,10,16,10,4,16,0,0.0
1,1,16,40,8,1,20,0,0.0
1,160,1,10,8,2,4,0,0.0
1,1,320,2,10,1,16,0,0.0
0,10,80,1,16,1,8,0,0.0
0,2,10,40,2,16,4,0,0.0
1,1,1600,1,32,1,2,0,0.0
1,32,1,50,4,8,2,0,0.0
1,4,1,160,1,8,20,0,0.0
1,10,16,4,8,4,5,0,0.0
1,4,2,40,40,1,8,0,0.0
0,5,64,10,1,32,1,0,0.0
1,10,20,4,2,64,1,0,0.0
1,8,40,5,2,16,2,0,0.0
1,32,1,4,400,2,1,0,0.0
1,160,4,1,2,40,2,0,0.0
1,1,8,40,2,16,10,0,0.0
1,2,320,1,4,20,2,0,0.0
1,8,50,2,2,32,2,0,0.0
1,25,1,128,4,2,4,0,0.0
0,800,1,1,16,2,4,0,0.0
0,5,64,1,8,2,20,0,0.0
0,16,4,25,8,4,2,0,0.0
1,40,2,4,32,2,5,0,0.0
1,5,40,4,2,8,8,0,0.0
1,80,1,2,16,2,20,0,0.0
1,32,2,10,1,8,20,0,0.0
1,1,10,32,5,16,4,0,0.0
0,64,1,5,64,5,1,0,0.0
0,2,40,8,4,2,20,0,0.0
0,50,32,2,4,4,2,0,0.0
1,40,2,10,8,4,4,0,0.0
1,2,25,32,8,2,4,0,0.0
0,4,32,1,4,200,1,0,0.0
1,1,320,10,1,32,1,0,0.0
1,10,1,16,8,8,10,0,0.0
1,40,4,10,1,2,32,0,0.0
1,8,2,8,4,25,8,0,0.0
1,2,5,20,8,16,4,0,0.0
1,8,4,25,8,16,1,0,0.0
1,1,2,50,1,1024,1,0,0.0
0,5,4,10,2,256,1,0,0.0
1,2,8,100,8,4,2,0,0.0
1,1,200,2,16,4,4,0,0.0
1,5,4,32,4,40,1,0,0.0
1,5,128,5,1,4,8,0,0.0
1,50,2,2,256,2,1,0,0.0
1,160,1,1,80,4,2,0,0.0
0,1,4,80,5,64,1,0,0.0
0,1,50,4,2,256,1,0,0.0
1,1,8,25,8,64,1,0,0.0
1,4,200,2,1,16,4,0,0.0
1,1,8,400,32,1,1,0,0.0
1,20,8,1,2,8,40,0,0.0
1,5,16,8,2,10,8,0,0.0
1,1,2,64,5,16,10,0,0.0
1,1,25,32,16,1,8,0,0.0
1,1,8,80,32,1,5,0,0.0
1,2,10,32,20,4,2,0,0.0
1,80,2,1,10,16,4,0,0.0
1,10,16,4,2,5,16,0,0.0
1,8,10,10,4,4,8,0,0.0
1,2,16,50,16,4,1,0,0.0
0,8,20,4,2,80,1,0,0.0
0,1,25,4,1,1024,1,0,0.0
0,16,10,1,8,2,40,0,0.0
1,4,10,8,32,5,2,0,0.0
0,4,4,100,32,1,2,0,0.0
1,20,40,1,128,1,1,0,0.0
1,20,8,10,1,8,8,0,0.0
1,2,16,10,8,40,1,0,0.0
1,1,16,50,2,2,32,0,0.0
0,8,40,1,8,8,5,0,0.0
1,1,200,4,1,8,16,0,0.0
1,4,200,2,4,4,4,0,0.0
1,1,32,5,40,2,8,0,0.0
1,2,4,20,5,8,16,0,0.0
0,64,1,10,8,5,4,0,0.0
1,5,4,80,1,4,16,0,0.0
1,2,1,320,2,8,10,0,0.0
1,32,2,5,8,10,4,0,0.0
1,10,2,32,40,1,4,0,0.0
0,1,16,8,10,4,20,0,0.0
0,2,20,4,2,160,2,0,0.0
1,16,8,25,16,2,1,0,0.0
1,8,5,16,4,1,40,0,0.0
1,4,2,20,2,16,20,0,0.0
1,2,20,16,160,1,1,0,0.0
0,2,1,64,4,8,25,0,0.0
1,40,5,2,32,2,4,0,0.0
1,4,80,1,2,8,20,0,0.0
1,8,10,8,5,16,2,0,0.0
1,2,5,32,20,2,8,0,0.0
1,4,8,20,1,32,5,0,0.0
1,100,4,8,2,2,8,0,0.0
0,1,20,8,1,80,8,0,0.0
1,1,80,4,2,16,10,0,0.0
1,25,1,4,32,1,32,0,0.0
1,4,1,400,8,4,2,0,0.0
1,64,2,25,4,8,1,0,0.0
1,200,4,1,16,4,2,0,0.0
0,32,10,5,16,1,4,0,0.0
1,20,5,4,1,256,1,0,0.0
1,128,1,5,2,10,8,0,0.0
1,64,2,5,40,2,2,0,0.0
1,8,1,200,2,4,8,0,0.0
1,5,4,8,1,128,5,0,0.0
0,10,8,2,2,80,4,0,0.0
0,200,1,1,1,256,2,0,0.0
0,100,32,1,8,4,1,0,0.0
1,2,2,32,4,40,5,0,0.0
1,10,1,16,128,5,1,0,0.0
1,32,2,10,5,4,8,0,0.0
1,8,5,16,10,1,16,0,0.0
0,10,40,1,4,4,16,0,0.0
1,50,2,2,4,32,4,0,0.0
1,10,10,8,16,1,8,0,0.0
1,2,5,20,2,256,1,0,0.0
1,40,8,1,10,2,16,0,0.0
1,1,4,160,8,4,5,0,0.0
1,64,1,5,1,32,10,0,0.0
1,8,20,2,1,40,8,0,0.0
1,8,5,8,16,1,20,0,0.0
0,8,2,10,80,8,1,0,0.0
1,25,8,8,32,1,2,0,0.0
0,4,2,20,80,1,8,0,0.0
1,16,8,1,5,40,4,0,0.0
1,64,1,2,5,20,8,0,0.0
0,1,40,20,1,16,8,0,0.0
0,16,2,50,32,1,2,0,0.0
1,2,20,16,4,10,4,0,0.0
1,10,5,2,128,4,2,0,0.0
1,1,4,100,8,4,8,0,0.0
1,1,4,25,8,8,16,0,0.0
1,10,4,8,20,1,16,0,0.0
1,80,2,10,32,1,2,0,0.0
0,80,8,5,2,16,1,0,0.0
1,40,1,20,1,16,8,0,0.0
1,1,320,2,2,20,4,0,0.0
1,160,1,1,20,32,1,0,0.0
1,10,4,40,1,1,64,0,0.0
1,16,2,10,8,2,20,0,0.0
1,10,16,2,16,1,20,0,0.0
1,50,1,2,64,8,2,0,0.0
0,40,1,8,10,16,2,0,0.0
1,8,10,8,4,2,20,0,0.0
0,20,8,2,16,4,5,0,0.0
1,8,5,8,10,4,8,0,0.0
1,8,1,100,2,32,2,0,0.0
1,1,10,32,16,20,1,0,0.0
1,8,16,1,4,40,5,0,0.0
1,10,320,1,2,4,4,0,0.0
1,16,2,4,5,4,40,0,0.0
1,10,4,8,2,20,8,0,0.0
0,10,4,4,8,8,10,0,0.0
1,4,8,100,1,2,16,0,0.0
1,400,1,4,8,4,2,0,0.0
1,4,2,50,16,8,2,0,0.0
1,32,1,50,4,16,1,0,0.0
1,5,2,16,5,8,16,0,0.0
1,1,2,1600,1,1,32,0,0.0
0,1,64,10,16,5,2,0,0.0
