Kernel,gx,gy,gz,bx,by,bz,gpuId,shared_efficiency
1,4,32,5,16,2,5,0,0.0
1,1,4,200,2,64,1,0,0.0
1,10,2,32,4,5,8,0,0.0
1,2,50,8,4,16,2,0,0.0
1,5,160,1,4,4,8,0,0.0
1,2,10,5,16,64,1,0,0.0
1,64,50,1,1,4,8,0,0.0
1,5,1,128,4,40,1,0,0.0
1,4,160,1,5,8,4,0,0.0
0,1,5,160,32,2,2,0,0.0
1,160,2,1,10,2,16,0,0.0
1,100,8,4,16,2,1,0,0.0
1,4,40,5,4,16,2,0,0.0
1,1,64,10,1,16,10,0,0.0
0,640,1,1,1,10,16,0,0.0
1,64,1,2,80,5,2,0,0.0
1,1,160,5,16,1,8,0,0.0
1,5,16,4,16,2,10,0,0.0
1,4,4,20,1,320,1,0,0.0
0,16,2,50,1,1,64,0,0.0
1,8,4,25,1,32,4,0,0.0
1,16,8,1,16,10,5,0,0.0
1,10,16,1,4,32,5,0,0.0
1,10,2,32,1,20,8,0,0.0
0,5,4,20,16,1,16,0,0.0
1,2,2,40,1,32,20,0,0.0
1,200,2,8,8,4,1,0,0.0
1,1,8,16,25,2,16,0,0.0
1,1,32,4,4,50,4,0,0.0
1,100,2,16,8,4,1,0,0.0
1,2,8,10,2,64,5,0,0.0
1,4,2,16,5,10,16,0,0.0
1,4,40,4,20,1,8,0,0.0
1,16,10,5,8,1,16,0,0.0
1,100,2,2,16,8,2,0,0.0
1,10,8,2,20,1,32,0,0.0
1,16,2,50,8,4,2,0,0.0
1,1,2,320,4,5,8,0,0.0
1,8,8,2,25,16,2,0,0.0
1,64,1,2,20,10,4,0,0.0
1,10,8,20,16,1,4,0,0.0
0,16,8,1,16,10,5,0,0.0
1,1,80,4,80,2,2,0,0.0
1,50,32,2,1,32,1,0,0.0
1,1,4,200,2,2,32,0,0.0
1,4,4,8,8,5,20,0,0.0
0,32,2,10,5,2,16,0,0.0
0,1,25,4,8,8,16,0,0.0
1,4,80,5,1,1,64,0,0.0
1,10,8,4,40,2,4,0,0.0
1,2,160,1,10,32,1,0,0.0
1,16,4,2,40,10,2,0,0.0
0,16,5,2,320,2,1,0,0.0
1,2,4,20,4,32,5,0,0.0
1,32,10,1,40,8,1,0,0.0
1,2,5,64,20,8,1,0,0.0
1,5,64,2,10,4,4,0,0.0
1,1,1,100,2,128,4,0,0.0
1,16,1,8,80,1,10,0,0.0
0,4,1,160,4,4,10,0,0.0
1,32,50,2,2,1,16,0,0.0
1,1,16,8,25,2,16,0,0.0
1,20,10,2,32,2,4,0,0.0
0,4,5,8,40,16,1,0,0.0
0,2,25,16,4,1,32,0,0.0
1,32,2,50,16,2,1,0,0.0
1,10,80,1,32,1,4,0,0.0
1,10,8,5,2,32,4,0,0.0
1,1,50,2,32,16,2,0,0.0
1,1,20,8,4,10,16,0,0.0
0,2,5,10,64,8,2,0,0.0
1,1,20,16,10,32,1,0,0.0
1,1,8,16,25,4,8,0,0.0
1,1,200,4,2,1,64,0,0.0
1,1,50,32,1,64,1,0,0.0
1,5,32,5,16,2,4,0,0.0
1,8,4,20,1,10,16,0,0.0
1,4,25,32,1,8,4,0,0.0
1,2,20,4,64,5,2,0,0.0
1,5,16,2,2,40,8,0,0.0
1,2,16,4,50,8,2,0,0.0
1,8,16,25,1,16,2,0,0.0
0,80,4,2,2,16,5,0,0.0
0,2,4,80,160,1,1,0,0.0
1,4,32,1,1,32,25,0,0.0
1,1,10,16,160,4,1,0,0.0
1,16,4,5,5,1,64,0,0.0
1,4,80,1,16,5,4,0,0.0
1,1,5,80,4,1,64,0,0.0
1,50,2,8,4,32,1,0,0.0
1,1,320,2,4,2,20,0,0.0
1,320,1,2,10,16,1,0,0.0
1,20,4,4,20,1,16,0,0.0
1,10,1,16,2,5,64,0,0.0
1,800,2,1,2,1,32,0,0.0
1,4,25,16,4,1,16,0,0.0
1,8,16,5,2,8,10,0,0.0
0,50,2,2,8,64,1,0,0.0
