Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,8,2,1,512,1,2,0,0.291578
1,4,64,2,1,1,32,0,0.789405
1,64,4,1,8,4,2,0,0.504614
1,4,2,8,64,1,4,0,0.341127
1,4,4,32,2,16,1,0,0.766482
1,8,2,2,1,64,8,0,0.326863
1,1,4,64,1,16,4,0,0.504296
1,4,1,8,2,64,4,0,0.326923
1,4,1,16,2,16,8,0,0.341087
1,1,128,4,4,2,4,0,0.766197
0,1,4,64,8,8,1,0,0.578615
1,4,16,1,4,64,1,0,0.340714
0,4,4,4,1,32,8,0,0.345494
1,4,8,4,2,8,8,0,0.341684
1,2,8,1,4,256,1,0,0.291566
1,1,512,1,1,32,1,0,0.766258
1,1,8,32,4,8,2,0,0.504222
1,16,1,1,4,8,32,0,0.29143
1,1,1,32,4,4,32,0,0.326857
1,1,2,16,2,32,8,0,0.326777
1,4,2,64,2,4,4,0,0.766029
1,128,4,1,2,1,16,0,0.766501
1,32,4,2,32,1,2,0,0.504298
1,2,8,2,8,4,16,0,0.326789
0,4,4,2,4,2,64,0,0.344011
1,8,4,4,1,2,64,0,0.3416
1,64,2,1,128,1,1,0,0.341458
1,2,1,16,128,2,2,0,0.326864
1,2,128,1,2,32,1,0,0.504076
1,64,1,8,1,16,2,0,0.766308
1,4,8,1,2,32,8,0,0.326531
1,1,2,8,8,128,1,0,0.29155
1,16,1,4,1,32,8,0,0.341053
1,512,1,1,4,1,8,0,0.769625
1,2,32,4,2,1,32,0,0.504064
1,1,32,1,128,2,2,0,0.32699
1,2,1,16,16,2,16,0,0.326614
1,32,2,2,16,8,1,0,0.341322
1,32,2,1,1,8,32,0,0.34448
1,1,1,64,64,2,2,0,0.341046
1,2,16,8,2,16,2,0,0.504346
1,8,1,16,32,2,2,0,0.341741
1,8,16,2,4,4,4,0,0.504428
1,1,16,4,32,8,1,0,0.340886
1,4,2,32,1,1,64,0,0.504009
1,4,1,4,1,64,16,0,0.291174
1,64,1,1,4,2,32,0,0.340944
1,2,16,4,16,2,4,0,0.341569
1,1,2,16,8,16,4,0,0.326917
1,1,32,2,1,32,8,0,0.341487
1,8,1,2,4,32,8,0,0.291123
1,2,4,8,64,4,1,0,0.341372
0,2,64,1,8,1,16,0,0.349179
1,1,1,256,2,2,16,0,0.504354
1,1,16,1,256,1,4,0,0.291617
1,128,2,1,2,2,16,0,0.504349
1,256,1,2,8,2,2,0,0.766734
1,2,64,4,2,8,2,0,0.766257
1,64,1,4,1,4,16,0,0.50432
1,1,1,16,256,4,1,0,0.2918
0,8,2,2,32,2,8,0,0.344191
1,8,2,4,1,64,4,0,0.341344
1,64,1,2,1,32,4,0,0.341673
1,2,1,32,2,2,64,0,0.34085
1,32,2,1,128,2,1,0,0.340911
1,64,4,2,4,1,8,0,0.765797
1,4,2,2,16,1,64,0,0.291459
1,4,1,16,16,4,4,0,0.341108
1,8,16,1,1,2,64,0,0.356491
1,1,4,32,1,2,64,0,0.341367
1,2,4,8,4,64,1,0,0.341037
1,8,2,2,4,2,64,0,0.326799
0,2,8,2,4,4,32,0,0.344341
1,32,2,4,8,2,4,0,0.504322
1,2,1,256,4,4,2,0,0.77637
1,16,8,1,16,1,8,0,0.341608
1,4,8,2,16,8,2,0,0.340886
1,2,2,64,1,1,64,0,0.504012
1,1,32,1,2,64,4,0,0.326848
1,32,1,1,8,8,8,0,0.326757
1,4,8,1,32,2,8,0,0.327004
1,8,2,8,2,16,4,0,0.341515
1,8,2,32,4,2,4,0,0.76986
1,2,1,64,2,32,2,0,0.341386
1,1,2,128,1,64,1,0,0.503803
1,1,64,1,8,1,32,0,0.341059
1,64,4,1,2,8,4,0,0.504096
1,8,2,2,128,1,4,0,0.32685
0,2,8,1,512,1,2,0,0.34815
1,8,1,64,16,1,2,0,0.768902
1,2,4,32,4,2,8,0,0.504289
1,2,16,2,128,2,1,0,0.341075
0,32,8,1,8,1,8,0,0.578366
1,4,1,16,8,16,2,0,0.341321
1,4,4,8,128,1,1,0,0.341604
1,8,64,1,8,1,4,0,0.767107
1,2,64,4,8,1,4,0,0.766002
1,16,2,1,2,128,2,0,0.326739
1,32,1,8,2,4,8,0,0.504253
1,1,8,8,1,128,2,0,0.340891
0,32,1,1,8,64,1,0,0.34399
0,2,4,32,8,4,2,0,0.580162
1,2,32,2,8,16,1,0,0.341272
1,64,8,1,8,4,1,0,0.769334
1,1,8,32,8,4,2,0,0.504347
1,32,1,4,1,16,8,0,0.341598
1,16,16,2,1,4,8,0,0.766512
1,4,1,8,2,16,16,0,0.326671
1,1,1,16,32,2,16,0,0.291728
1,8,16,1,1,16,8,0,0.374573
1,2,8,1,4,4,64,0,0.291618
0,2,2,64,8,4,2,0,0.578951
0,2,2,32,4,8,4,0,0.349113
1,2,8,8,2,2,32,0,0.341489
1,16,2,8,1,4,16,0,0.504413
1,2,1,256,1,16,2,0,0.766413
1,4,4,8,64,1,2,0,0.341472
1,4,2,32,2,4,8,0,0.504185
1,2,8,32,4,8,1,0,0.768915
1,4,2,32,64,1,1,0,0.504035
0,1,512,1,2,1,16,0,0.770569
1,1,32,8,16,1,4,0,0.504351
1,64,4,1,2,1,32,0,0.504013
1,16,32,1,1,1,32,0,0.766632
