kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
1,80,4,2,8,20,1,62,97.19 
0,80,8,1,8,20,1,54,69.51
1,80,8,1,8,20,1,54,96.72 
0,128,1,5,8,20,1,46,73.32
1,128,1,5,8,20,1,46,96.95 
0,128,5,1,8,20,1,54,70.07
1,128,5,1,8,20,1,54,97.22 
0,160,1,4,8,20,1,46,72.34
1,160,1,4,8,20,1,46,97.51 
0,160,2,2,8,20,1,62,72.36
1,160,2,2,8,20,1,62,97.84 
0,160,4,1,8,20,1,54,69.37
1,160,4,1,8,20,1,54,95.73 
0,320,1,2,8,20,1,46,72.42
1,320,1,2,8,20,1,46,97.5 
0,320,2,1,8,20,1,54,70.17
1,320,2,1,8,20,1,54,96.83 
0,640,1,1,8,20,1,38,72.21
1,640,1,1,8,20,1,38,97.52 
0,1,1,320,16,20,1,14,69.37
1,1,1,320,16,20,1,14,96.54 
0,1,2,160,16,20,1,30,70.98
1,1,2,160,16,20,1,30,96.66 
0,1,4,80,16,20,1,30,70.0
1,1,4,80,16,20,1,30,96.33 
0,1,5,64,16,20,1,30,71.61
1,1,5,64,16,20,1,30,96.45 
0,1,8,40,16,20,1,30,70.65
1,1,8,40,16,20,1,30,95.13 
0,1,10,32,16,20,1,30,71.9
1,1,10,32,16,20,1,30,97.29 
0,1,16,20,16,20,1,30,72.16
1,1,16,20,16,20,1,30,95.2 
0,1,20,16,16,20,1,30,69.27
1,1,20,16,16,20,1,30,96.79 
0,1,32,10,16,20,1,30,71.47
1,1,32,10,16,20,1,30,94.94 
0,1,40,8,16,20,1,30,71.34
1,1,40,8,16,20,1,30,96.51 
0,1,64,5,16,20,1,30,71.93
1,1,64,5,16,20,1,30,96.59 
0,1,80,4,16,20,1,30,70.83
1,1,80,4,16,20,1,30,97.03 
0,1,160,2,16,20,1,30,71.26
1,1,160,2,16,20,1,30,96.98 
0,1,320,1,16,20,1,22,65.63
1,1,320,1,16,20,1,22,97.3 
0,2,1,160,16,20,1,46,72.54
1,2,1,160,16,20,1,46,93.93 
0,2,2,80,16,20,1,62,72.17
1,2,2,80,16,20,1,62,96.55 
0,2,4,40,16,20,1,62,72.71
1,2,4,40,16,20,1,62,97.0 
0,2,5,32,16,20,1,62,71.96
1,2,5,32,16,20,1,62,97.42 
0,2,8,20,16,20,1,62,71.3
1,2,8,20,16,20,1,62,95.45 
0,2,10,16,16,20,1,62,73.4
1,2,10,16,16,20,1,62,95.52 
0,2,16,10,16,20,1,62,72.82
1,2,16,10,16,20,1,62,97.02 
0,2,20,8,16,20,1,62,72.24
1,2,20,8,16,20,1,62,96.79 
0,2,32,5,16,20,1,62,72.2
1,2,32,5,16,20,1,62,96.46 
0,2,40,4,16,20,1,62,72.53
1,2,40,4,16,20,1,62,97.06 
0,2,80,2,16,20,1,62,73.31
1,2,80,2,16,20,1,62,95.87 
0,2,160,1,16,20,1,54,72.78
1,2,160,1,16,20,1,54,96.51 
0,4,1,80,16,20,1,46,73.72
1,4,1,80,16,20,1,46,96.68 
0,4,2,40,16,20,1,62,72.81
1,4,2,40,16,20,1,62,96.15 
0,4,4,20,16,20,1,62,71.7
1,4,4,20,16,20,1,62,96.23 
0,4,5,16,16,20,1,62,72.56
1,4,5,16,16,20,1,62,96.64 
0,4,8,10,16,20,1,62,68.36
1,4,8,10,16,20,1,62,94.57 
0,4,10,8,16,20,1,62,72.88
1,4,10,8,16,20,1,62,97.25 
0,4,16,5,16,20,1,62,72.07
1,4,16,5,16,20,1,62,97.78 
0,4,20,4,16,20,1,62,72.92
1,4,20,4,16,20,1,62,95.67 
0,4,40,2,16,20,1,62,72.78
1,4,40,2,16,20,1,62,95.38 
0,4,80,1,16,20,1,54,71.85
1,4,80,1,16,20,1,54,97.4 
0,5,1,64,16,20,1,46,72.33
1,5,1,64,16,20,1,46,96.94 
0,5,2,32,16,20,1,62,73.39
1,5,2,32,16,20,1,62,97.08 
0,5,4,16,16,20,1,62,71.71
1,5,4,16,16,20,1,62,96.32 
0,5,8,8,16,20,1,62,71.85
1,5,8,8,16,20,1,62,97.21 
0,5,16,4,16,20,1,62,71.25
1,5,16,4,16,20,1,62,96.96 
0,5,32,2,16,20,1,62,72.2
1,5,32,2,16,20,1,62,97.07 
0,5,64,1,16,20,1,54,71.05
1,5,64,1,16,20,1,54,95.88 
0,8,1,40,16,20,1,46,71.89
1,8,1,40,16,20,1,46,96.89 
0,8,2,20,16,20,1,62,72.59
1,8,2,20,16,20,1,62,96.51 
0,8,4,10,16,20,1,62,71.93
1,8,4,10,16,20,1,62,96.11 
0,8,5,8,16,20,1,62,72.26
1,8,5,8,16,20,1,62,96.73 
0,8,8,5,16,20,1,62,72.94
1,8,8,5,16,20,1,62,95.37 
0,8,10,4,16,20,1,62,72.15
1,8,10,4,16,20,1,62,97.38 
0,8,20,2,16,20,1,62,72.54
1,8,20,2,16,20,1,62,95.71 
0,8,40,1,16,20,1,54,70.75
1,8,40,1,16,20,1,54,97.02 
0,10,1,32,16,20,1,46,73.7
1,10,1,32,16,20,1,46,96.72 
0,10,2,16,16,20,1,62,71.24
1,10,2,16,16,20,1,62,96.42 
0,10,4,8,16,20,1,62,71.78
1,10,4,8,16,20,1,62,96.27 
0,10,8,4,16,20,1,62,73.16
1,10,8,4,16,20,1,62,96.49 
0,10,16,2,16,20,1,62,72.82
1,10,16,2,16,20,1,62,97.86 
0,10,32,1,16,20,1,54,69.84
1,10,32,1,16,20,1,54,95.61 
0,16,1,20,16,20,1,46,72.19
1,16,1,20,16,20,1,46,97.0 
0,16,2,10,16,20,1,62,72.58
1,16,2,10,16,20,1,62,97.41 
0,16,4,5,16,20,1,62,72.43
1,16,4,5,16,20,1,62,95.99 
0,16,5,4,16,20,1,62,73.01
1,16,5,4,16,20,1,62,96.57 
0,16,10,2,16,20,1,62,70.32
1,16,10,2,16,20,1,62,96.35 
0,16,20,1,16,20,1,54,71.57
1,16,20,1,16,20,1,54,96.75 
0,20,1,16,16,20,1,46,73.52
1,20,1,16,16,20,1,46,96.28 
0,20,2,8,16,20,1,62,72.75
1,20,2,8,16,20,1,62,95.32 
0,20,4,4,16,20,1,62,71.99
1,20,4,4,16,20,1,62,96.56 
0,20,8,2,16,20,1,62,71.48
1,20,8,2,16,20,1,62,97.72 
0,20,16,1,16,20,1,54,70.3
1,20,16,1,16,20,1,54,96.11 
0,32,1,10,16,20,1,46,71.84
1,32,1,10,16,20,1,46,94.95 
0,32,2,5,16,20,1,62,70.53
1,32,2,5,16,20,1,62,97.34 
0,32,5,2,16,20,1,62,73.1
1,32,5,2,16,20,1,62,95.68 
0,32,10,1,16,20,1,54,71.51
1,32,10,1,16,20,1,54,95.35 
0,40,1,8,16,20,1,46,73.08
1,40,1,8,16,20,1,46,96.94 
0,40,2,4,16,20,1,62,72.36
1,40,2,4,16,20,1,62,95.82 
0,40,4,2,16,20,1,62,71.22
1,40,4,2,16,20,1,62,95.03 
0,40,8,1,16,20,1,54,70.78
1,40,8,1,16,20,1,54,97.4 
0,64,1,5,16,20,1,46,72.89
1,64,1,5,16,20,1,46,96.95 
0,64,5,1,16,20,1,54,71.16
1,64,5,1,16,20,1,54,96.72 
0,80,1,4,16,20,1,46,71.64
1,80,1,4,16,20,1,46,95.88 
0,80,2,2,16,20,1,62,72.3
1,80,2,2,16,20,1,62,96.95 
0,80,4,1,16,20,1,54,69.78
1,80,4,1,16,20,1,54,96.59 
0,160,1,2,16,20,1,46,69.1
1,160,1,2,16,20,1,46,95.14 
0,160,2,1,16,20,1,54,69.49
1,160,2,1,16,20,1,54,95.98 
0,320,1,1,16,20,1,38,71.41
1,320,1,1,16,20,1,38,97.02 
0,1,1,160,32,20,1,14,70.49
1,1,1,160,32,20,1,14,94.22 
0,1,2,80,32,20,1,30,71.96
1,1,2,80,32,20,1,30,94.33 
0,1,4,40,32,20,1,30,70.91
1,1,4,40,32,20,1,30,93.76 
0,1,5,32,32,20,1,30,72.16
1,1,5,32,32,20,1,30,94.35 
0,1,8,20,32,20,1,30,71.71
1,1,8,20,32,20,1,30,94.14 
0,1,10,16,32,20,1,30,72.46
1,1,10,16,32,20,1,30,93.62 
0,1,16,10,32,20,1,30,70.57
1,1,16,10,32,20,1,30,93.17 
0,1,20,8,32,20,1,30,71.97
1,1,20,8,32,20,1,30,93.8 
0,1,32,5,32,20,1,30,71.43
1,1,32,5,32,20,1,30,94.36 
0,1,40,4,32,20,1,30,72.23
1,1,40,4,32,20,1,30,93.82 
0,1,80,2,32,20,1,30,72.44
1,1,80,2,32,20,1,30,94.52 
0,1,160,1,32,20,1,22,71.04
1,1,160,1,32,20,1,22,93.49 
0,2,1,80,32,20,1,46,73.25
1,2,1,80,32,20,1,46,93.61 
0,2,2,40,32,20,1,62,71.5
1,2,2,40,32,20,1,62,93.13 
0,2,4,20,32,20,1,62,71.69
1,2,4,20,32,20,1,62,93.19 
0,2,5,16,32,20,1,62,70.83
1,2,5,16,32,20,1,62,94.65 
0,2,8,10,32,20,1,62,71.91
1,2,8,10,32,20,1,62,93.94 
0,2,10,8,32,20,1,62,71.01
1,2,10,8,32,20,1,62,92.99 
0,2,16,5,32,20,1,62,72.33
1,2,16,5,32,20,1,62,92.8 
0,2,20,4,32,20,1,62,71.81
1,2,20,4,32,20,1,62,93.65 
0,2,40,2,32,20,1,62,70.77
1,2,40,2,32,20,1,62,93.51 
0,2,80,1,32,20,1,54,70.08
1,2,80,1,32,20,1,54,93.01 
0,4,1,40,32,20,1,46,71.13
1,4,1,40,32,20,1,46,94.18 
0,4,2,20,32,20,1,62,70.5
1,4,2,20,32,20,1,62,94.26 
0,4,4,10,32,20,1,62,71.39
1,4,4,10,32,20,1,62,93.49 
0,4,5,8,32,20,1,62,72.13
1,4,5,8,32,20,1,62,93.18 
0,4,8,5,32,20,1,62,71.27
1,4,8,5,32,20,1,62,94.53 
0,4,10,4,32,20,1,62,71.06
1,4,10,4,32,20,1,62,93.78 
0,4,20,2,32,20,1,62,71.5
1,4,20,2,32,20,1,62,94.52 
0,4,40,1,32,20,1,54,69.61
1,4,40,1,32,20,1,54,94.0 
0,5,1,32,32,20,1,46,71.96
1,5,1,32,32,20,1,46,93.71 
0,5,2,16,32,20,1,62,71.68
1,5,2,16,32,20,1,62,94.45 
0,5,4,8,32,20,1,62,71.18
1,5,4,8,32,20,1,62,93.68 
0,5,8,4,32,20,1,62,71.29
1,5,8,4,32,20,1,62,93.92 
0,5,16,2,32,20,1,62,72.19
1,5,16,2,32,20,1,62,93.82 
0,5,32,1,32,20,1,54,70.55
1,5,32,1,32,20,1,54,94.23 
0,8,1,20,32,20,1,46,72.59
1,8,1,20,32,20,1,46,94.76 
0,8,2,10,32,20,1,62,73.09
1,8,2,10,32,20,1,62,93.21 
0,8,4,5,32,20,1,62,72.51
1,8,4,5,32,20,1,62,94.74 
0,8,5,4,32,20,1,62,71.19
1,8,5,4,32,20,1,62,95.09 
0,8,10,2,32,20,1,62,71.86
1,8,10,2,32,20,1,62,94.54 
0,8,20,1,32,20,1,54,71.22
1,8,20,1,32,20,1,54,95.95 
0,10,1,16,32,20,1,46,71.72
1,10,1,16,32,20,1,46,94.54 
0,10,2,8,32,20,1,62,71.02
1,10,2,8,32,20,1,62,92.96 
0,10,4,4,32,20,1,62,72.17
1,10,4,4,32,20,1,62,94.19 
0,10,8,2,32,20,1,62,72.62
1,10,8,2,32,20,1,62,93.12 
0,10,16,1,32,20,1,54,70.45
1,10,16,1,32,20,1,54,93.7 
0,16,1,10,32,20,1,46,71.08
1,16,1,10,32,20,1,46,93.15 
0,16,2,5,32,20,1,62,72.33
1,16,2,5,32,20,1,62,93.17 
0,16,5,2,32,20,1,62,71.41
1,16,5,2,32,20,1,62,94.05 
0,16,10,1,32,20,1,54,71.71
1,16,10,1,32,20,1,54,92.98 
0,20,1,8,32,20,1,46,70.67
1,20,1,8,32,20,1,46,93.62 
0,20,2,4,32,20,1,62,69.58
1,20,2,4,32,20,1,62,93.77 
0,20,4,2,32,20,1,62,72.61
1,20,4,2,32,20,1,62,95.13 
0,20,8,1,32,20,1,54,70.78
1,20,8,1,32,20,1,54,93.83 
0,32,1,5,32,20,1,46,73.08
1,32,1,5,32,20,1,46,93.66 
0,32,5,1,32,20,1,54,71.2
1,32,5,1,32,20,1,54,93.74 
0,40,1,4,32,20,1,46,71.66
1,40,1,4,32,20,1,46,93.11 
0,40,2,2,32,20,1,62,72.53
1,40,2,2,32,20,1,62,93.78 
0,40,4,1,32,20,1,54,69.78
1,40,4,1,32,20,1,54,93.99 
0,80,1,2,32,20,1,46,70.66
1,80,1,2,32,20,1,46,94.28 
0,80,2,1,32,20,1,54,71.08
1,80,2,1,32,20,1,54,94.38 
0,160,1,1,32,20,1,38,70.18
1,160,1,1,32,20,1,38,95.98 
0,1,1,128,40,20,1,14,71.21
1,1,1,128,40,20,1,14,95.05 
0,1,2,64,40,20,1,30,71.71
1,1,2,64,40,20,1,30,95.05 
0,1,4,32,40,20,1,30,68.87
1,1,4,32,40,20,1,30,94.9 
0,1,8,16,40,20,1,30,69.15
1,1,8,16,40,20,1,30,95.01 
0,1,16,8,40,20,1,30,70.78
1,1,16,8,40,20,1,30,95.05 
0,1,32,4,40,20,1,30,70.01
1,1,32,4,40,20,1,30,95.04 
0,1,64,2,40,20,1,30,70.72
1,1,64,2,40,20,1,30,95.03 
0,1,128,1,40,20,1,22,70.47
1,1,128,1,40,20,1,22,95.03 
0,2,1,64,40,20,1,46,69.32
1,2,1,64,40,20,1,46,94.94 
0,2,2,32,40,20,1,62,70.9
1,2,2,32,40,20,1,62,95.02 
0,2,4,16,40,20,1,62,72.04
1,2,4,16,40,20,1,62,95.06 
0,2,8,8,40,20,1,62,71.75
1,2,8,8,40,20,1,62,95.02 
0,2,16,4,40,20,1,62,70.72
1,2,16,4,40,20,1,62,95.06 
0,2,32,2,40,20,1,62,71.53
1,2,32,2,40,20,1,62,95.05 
0,2,64,1,40,20,1,54,68.22
1,2,64,1,40,20,1,54,95.02 
0,4,1,32,40,20,1,46,69.58
1,4,1,32,40,20,1,46,95.11 
0,4,2,16,40,20,1,62,70.49
1,4,2,16,40,20,1,62,94.92 
0,4,4,8,40,20,1,62,70.41
1,4,4,8,40,20,1,62,95.03 
0,4,8,4,40,20,1,62,70.84
1,4,8,4,40,20,1,62,95.08 
0,4,16,2,40,20,1,62,72.05
1,4,16,2,40,20,1,62,95.02 
0,4,32,1,40,20,1,54,69.21
1,4,32,1,40,20,1,54,94.98 
0,8,1,16,40,20,1,46,70.94
1,8,1,16,40,20,1,46,95.02 
0,8,2,8,40,20,1,62,70.66
1,8,2,8,40,20,1,62,95.01 
0,8,4,4,40,20,1,62,70.81
1,8,4,4,40,20,1,62,95.05 
0,8,8,2,40,20,1,62,70.52
1,8,8,2,40,20,1,62,95.03 
0,8,16,1,40,20,1,54,68.48
1,8,16,1,40,20,1,54,95.0 
0,16,1,8,40,20,1,46,70.73
1,16,1,8,40,20,1,46,95.01 
0,16,2,4,40,20,1,62,71.1
1,16,2,4,40,20,1,62,95.02 
0,16,4,2,40,20,1,62,70.39
1,16,4,2,40,20,1,62,95.0 
0,16,8,1,40,20,1,54,69.53
1,16,8,1,40,20,1,54,95.01 
0,32,1,4,40,20,1,46,69.1
1,32,1,4,40,20,1,46,95.02 
0,32,2,2,40,20,1,62,70.19
1,32,2,2,40,20,1,62,95.08 
0,32,4,1,40,20,1,54,68.8
1,32,4,1,40,20,1,54,95.01 
0,64,1,2,40,20,1,46,71.03
1,64,1,2,40,20,1,46,94.22 
0,64,2,1,40,20,1,54,69.15
1,64,2,1,40,20,1,54,94.34 
0,128,1,1,40,20,1,38,70.95
1,128,1,1,40,20,1,38,95.01 
0,1,1,128,32,25,1,14,70.31
1,1,1,128,32,25,1,14,93.87 
0,1,2,64,32,25,1,30,71.33
1,1,2,64,32,25,1,30,94.99 
0,1,4,32,32,25,1,30,70.19
1,1,4,32,32,25,1,30,95.05 
0,1,8,16,32,25,1,30,71.07
1,1,8,16,32,25,1,30,94.97 
0,1,16,8,32,25,1,30,71.07
1,1,16,8,32,25,1,30,95.02 
0,1,32,4,32,25,1,30,70.16
1,1,32,4,32,25,1,30,95.09 
0,1,64,2,32,25,1,30,69.72
1,1,64,2,32,25,1,30,95.06 
0,1,128,1,32,25,1,22,70.11
1,1,128,1,32,25,1,22,95.07 
0,2,1,64,32,25,1,46,71.93
1,2,1,64,32,25,1,46,95.08 
0,2,2,32,32,25,1,62,70.59
1,2,2,32,32,25,1,62,95.07 
0,2,4,16,32,25,1,62,71.89
1,2,4,16,32,25,1,62,95.03 
0,2,8,8,32,25,1,62,71.09
1,2,8,8,32,25,1,62,95.07 
0,2,16,4,32,25,1,62,70.7
1,2,16,4,32,25,1,62,95.05 
0,2,32,2,32,25,1,62,68.99
1,2,32,2,32,25,1,62,95.02 
0,2,64,1,32,25,1,54,71.91
1,2,64,1,32,25,1,54,94.3 
0,4,1,32,32,25,1,46,69.94
1,4,1,32,32,25,1,46,94.7 
0,4,2,16,32,25,1,62,70.39
1,4,2,16,32,25,1,62,93.92 
0,4,4,8,32,25,1,62,71.12
1,4,4,8,32,25,1,62,94.99 
0,4,8,4,32,25,1,62,71.83
1,4,8,4,32,25,1,62,94.99 
0,4,16,2,32,25,1,62,70.43
1,4,16,2,32,25,1,62,95.02 
0,4,32,1,32,25,1,54,68.34
1,4,32,1,32,25,1,54,93.86 
0,8,1,16,32,25,1,46,70.91
1,8,1,16,32,25,1,46,93.91 
0,8,2,8,32,25,1,62,69.94
1,8,2,8,32,25,1,62,94.98 
0,8,4,4,32,25,1,62,69.91
1,8,4,4,32,25,1,62,94.53 
0,8,8,2,32,25,1,62,70.93
1,8,8,2,32,25,1,62,93.99 
0,8,16,1,32,25,1,54,67.83
1,8,16,1,32,25,1,54,94.51 
0,16,1,8,32,25,1,46,69.18
1,16,1,8,32,25,1,46,94.11 
0,16,2,4,32,25,1,62,71.27
1,16,2,4,32,25,1,62,93.97 
0,16,4,2,32,25,1,62,69.47
1,16,4,2,32,25,1,62,95.07 
0,16,8,1,32,25,1,54,69.33
1,16,8,1,32,25,1,54,93.84 
0,32,1,4,32,25,1,46,71.17
1,32,1,4,32,25,1,46,94.76 
0,32,2,2,32,25,1,62,70.83
1,32,2,2,32,25,1,62,93.85 
0,32,4,1,32,25,1,54,69.41
1,32,4,1,32,25,1,54,95.06 
0,64,1,2,32,25,1,46,71.28
1,64,1,2,32,25,1,46,95.05 
0,64,2,1,32,25,1,54,69.34
1,64,2,1,32,25,1,54,95.04 
0,128,1,1,32,25,1,38,68.87
1,128,1,1,32,25,1,38,95.08 
0,1,1,3200,1,32,1,10,72.47
1,1,1,3200,1,32,1,10,97.28 
0,1,2,1600,1,32,1,26,72.75
1,1,2,1600,1,32,1,26,98.16 
0,1,4,800,1,32,1,26,72.05
1,1,4,800,1,32,1,26,97.67 
0,1,5,640,1,32,1,26,73.36
1,1,5,640,1,32,1,26,98.11 
0,1,8,400,1,32,1,26,72.21
1,1,8,400,1,32,1,26,97.49 
0,1,10,320,1,32,1,26,72.55
1,1,10,320,1,32,1,26,97.48 
0,1,16,200,1,32,1,26,71.35
1,1,16,200,1,32,1,26,97.54 
0,1,20,160,1,32,1,26,71.49
1,1,20,160,1,32,1,26,98.0 
0,1,25,128,1,32,1,26,72.08
1,1,25,128,1,32,1,26,97.65 
0,1,32,100,1,32,1,26,72.12
1,1,32,100,1,32,1,26,96.83 
0,1,40,80,1,32,1,26,71.53
1,1,40,80,1,32,1,26,97.06 
0,1,50,64,1,32,1,26,71.03
1,1,50,64,1,32,1,26,97.29 
0,1,64,50,1,32,1,26,72.36
1,1,64,50,1,32,1,26,97.35 
0,1,80,40,1,32,1,26,70.52
1,1,80,40,1,32,1,26,97.94 
0,1,100,32,1,32,1,26,71.58
1,1,100,32,1,32,1,26,97.5 
0,1,128,25,1,32,1,26,71.93
1,1,128,25,1,32,1,26,98.09 
0,1,160,20,1,32,1,26,72.81
1,1,160,20,1,32,1,26,97.34 
0,1,200,16,1,32,1,26,71.53
1,1,200,16,1,32,1,26,97.4 
0,1,320,10,1,32,1,26,70.86
1,1,320,10,1,32,1,26,97.85 
0,1,400,8,1,32,1,26,71.11
1,1,400,8,1,32,1,26,97.51 
0,1,640,5,1,32,1,26,71.94
1,1,640,5,1,32,1,26,97.96 
0,1,800,4,1,32,1,26,72.71
1,1,800,4,1,32,1,26,97.21 
0,1,1600,2,1,32,1,26,72.11
1,1,1600,2,1,32,1,26,96.72 
0,1,3200,1,1,32,1,18,71.5
1,1,3200,1,1,32,1,18,97.33 
0,2,1,1600,1,32,1,42,72.7
1,2,1,1600,1,32,1,42,97.81 
0,2,2,800,1,32,1,58,71.45
1,2,2,800,1,32,1,58,97.4 
0,2,4,400,1,32,1,58,71.72
1,2,4,400,1,32,1,58,97.61 
0,2,5,320,1,32,1,58,71.56
1,2,5,320,1,32,1,58,97.77 
0,2,8,200,1,32,1,58,72.59
1,2,8,200,1,32,1,58,97.79 
0,2,10,160,1,32,1,58,73.05
1,2,10,160,1,32,1,58,97.53 
0,2,16,100,1,32,1,58,72.86
1,2,16,100,1,32,1,58,97.46 
0,2,20,80,1,32,1,58,72.12
1,2,20,80,1,32,1,58,98.07 
0,2,25,64,1,32,1,58,72.52
1,2,25,64,1,32,1,58,97.66 
0,2,32,50,1,32,1,58,71.51
1,2,32,50,1,32,1,58,97.55 
0,2,40,40,1,32,1,58,74.36
1,2,40,40,1,32,1,58,97.61 
0,2,50,32,1,32,1,58,72.99
1,2,50,32,1,32,1,58,97.33 
0,2,64,25,1,32,1,58,73.87
1,2,64,25,1,32,1,58,97.5 
0,2,80,20,1,32,1,58,72.97
1,2,80,20,1,32,1,58,97.37 
0,2,100,16,1,32,1,58,72.06
1,2,100,16,1,32,1,58,96.95 
0,2,160,10,1,32,1,58,71.23
1,2,160,10,1,32,1,58,96.95 
0,2,200,8,1,32,1,58,73.41
1,2,200,8,1,32,1,58,97.39 
0,2,320,5,1,32,1,58,71.6
1,2,320,5,1,32,1,58,97.93 
0,2,400,4,1,32,1,58,73.85
1,2,400,4,1,32,1,58,97.84 
0,2,800,2,1,32,1,58,73.35
1,2,800,2,1,32,1,58,97.68 
0,2,1600,1,1,32,1,50,72.35
1,2,1600,1,1,32,1,50,97.39 
0,4,1,800,1,32,1,42,71.62
1,4,1,800,1,32,1,42,97.21 
0,4,2,400,1,32,1,58,72.31
1,4,2,400,1,32,1,58,97.43 
0,4,4,200,1,32,1,58,72.91
1,4,4,200,1,32,1,58,96.92 
0,4,5,160,1,32,1,58,72.95
1,4,5,160,1,32,1,58,97.25 
0,4,8,100,1,32,1,58,73.45
1,4,8,100,1,32,1,58,97.44 
0,4,10,80,1,32,1,58,73.12
1,4,10,80,1,32,1,58,97.85 
0,4,16,50,1,32,1,58,72.87
1,4,16,50,1,32,1,58,97.38 
0,4,20,40,1,32,1,58,72.83
1,4,20,40,1,32,1,58,97.08 
0,4,25,32,1,32,1,58,73.9
1,4,25,32,1,32,1,58,97.24 
0,4,32,25,1,32,1,58,72.63
1,4,32,25,1,32,1,58,96.88 
0,4,40,20,1,32,1,58,72.26
1,4,40,20,1,32,1,58,97.26 
0,4,50,16,1,32,1,58,71.41
1,4,50,16,1,32,1,58,97.51 
0,4,80,10,1,32,1,58,72.87
1,4,80,10,1,32,1,58,97.84 
0,4,100,8,1,32,1,58,73.01
1,4,100,8,1,32,1,58,97.5 
0,4,160,5,1,32,1,58,71.55
1,4,160,5,1,32,1,58,97.43 
0,4,200,4,1,32,1,58,72.17
1,4,200,4,1,32,1,58,97.78 
0,4,400,2,1,32,1,58,72.89
1,4,400,2,1,32,1,58,97.36 
0,4,800,1,1,32,1,50,71.79
1,4,800,1,1,32,1,50,97.96 
0,5,1,640,1,32,1,42,72.08
1,5,1,640,1,32,1,42,97.24 
0,5,2,320,1,32,1,58,72.58
1,5,2,320,1,32,1,58,96.83 
0,5,4,160,1,32,1,58,73.03
1,5,4,160,1,32,1,58,97.1 
0,5,5,128,1,32,1,58,73.54
1,5,5,128,1,32,1,58,97.89 
0,5,8,80,1,32,1,58,73.15
1,5,8,80,1,32,1,58,97.17 
0,5,10,64,1,32,1,58,73.95
1,5,10,64,1,32,1,58,97.29 
0,5,16,40,1,32,1,58,73.08
1,5,16,40,1,32,1,58,97.45 
0,5,20,32,1,32,1,58,73.13
1,5,20,32,1,32,1,58,97.6 
0,5,32,20,1,32,1,58,73.23
1,5,32,20,1,32,1,58,97.07 
0,5,40,16,1,32,1,58,72.96
1,5,40,16,1,32,1,58,97.9 
0,5,64,10,1,32,1,58,73.84
1,5,64,10,1,32,1,58,97.59 
0,5,80,8,1,32,1,58,72.3
1,5,80,8,1,32,1,58,97.67 
0,5,128,5,1,32,1,58,73.25
1,5,128,5,1,32,1,58,98.06 
0,5,160,4,1,32,1,58,73.07
1,5,160,4,1,32,1,58,97.55 
0,5,320,2,1,32,1,58,72.84
1,5,320,2,1,32,1,58,97.32 
0,5,640,1,1,32,1,50,73.09
1,5,640,1,1,32,1,50,97.25 
0,8,1,400,1,32,1,42,73.03
1,8,1,400,1,32,1,42,98.03 
0,8,2,200,1,32,1,58,73.0
1,8,2,200,1,32,1,58,97.41 
0,8,4,100,1,32,1,58,73.93
1,8,4,100,1,32,1,58,97.52 
0,8,5,80,1,32,1,58,72.0
1,8,5,80,1,32,1,58,97.74 
0,8,8,50,1,32,1,58,72.38
1,8,8,50,1,32,1,58,97.71 
0,8,10,40,1,32,1,58,73.34
1,8,10,40,1,32,1,58,98.2 
0,8,16,25,1,32,1,58,72.57
1,8,16,25,1,32,1,58,97.61 
0,8,20,20,1,32,1,58,73.75
1,8,20,20,1,32,1,58,97.31 
0,8,25,16,1,32,1,58,71.78
1,8,25,16,1,32,1,58,97.52 
0,8,40,10,1,32,1,58,72.65
1,8,40,10,1,32,1,58,98.72 
0,8,50,8,1,32,1,58,72.25
1,8,50,8,1,32,1,58,97.27 
0,8,80,5,1,32,1,58,72.64
1,8,80,5,1,32,1,58,97.52 
0,8,100,4,1,32,1,58,73.64
1,8,100,4,1,32,1,58,97.94 
0,8,200,2,1,32,1,58,73.54
1,8,200,2,1,32,1,58,98.18 
0,8,400,1,1,32,1,50,73.66
1,8,400,1,1,32,1,50,97.49 
0,10,1,320,1,32,1,42,71.88
1,10,1,320,1,32,1,42,97.5 
0,10,2,160,1,32,1,58,72.11
1,10,2,160,1,32,1,58,97.15 
0,10,4,80,1,32,1,58,73.19
1,10,4,80,1,32,1,58,97.68 
0,10,5,64,1,32,1,58,72.1
1,10,5,64,1,32,1,58,97.59 
0,10,8,40,1,32,1,58,72.0
1,10,8,40,1,32,1,58,97.47 
0,10,10,32,1,32,1,58,73.11
1,10,10,32,1,32,1,58,97.77 
0,10,16,20,1,32,1,58,72.43
1,10,16,20,1,32,1,58,97.71 
0,10,20,16,1,32,1,58,73.67
1,10,20,16,1,32,1,58,97.43 
0,10,32,10,1,32,1,58,74.3
1,10,32,10,1,32,1,58,98.12 
0,10,40,8,1,32,1,58,71.24
1,10,40,8,1,32,1,58,97.7 
0,10,64,5,1,32,1,58,73.34
1,10,64,5,1,32,1,58,97.43 
0,10,80,4,1,32,1,58,73.27
1,10,80,4,1,32,1,58,97.96 
0,10,160,2,1,32,1,58,73.16
1,10,160,2,1,32,1,58,97.41 
0,10,320,1,1,32,1,50,71.26
1,10,320,1,1,32,1,50,97.45 
0,16,1,200,1,32,1,42,72.03
1,16,1,200,1,32,1,42,97.82 
0,16,2,100,1,32,1,58,73.8
1,16,2,100,1,32,1,58,97.18 
0,16,4,50,1,32,1,58,72.47
1,16,4,50,1,32,1,58,97.85 
0,16,5,40,1,32,1,58,73.27
