kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
0,5,8,80,32,1,1,60,69.23
1,5,8,80,32,1,1,60,98.06 
0,5,10,64,32,1,1,60,71.56
1,5,10,64,32,1,1,60,97.97 
0,5,16,40,32,1,1,60,71.49
1,5,16,40,32,1,1,60,97.59 
0,5,20,32,32,1,1,60,71.45
1,5,20,32,32,1,1,60,98.32 
0,5,32,20,32,1,1,60,70.86
1,5,32,20,32,1,1,60,97.75 
0,5,40,16,32,1,1,60,69.98
1,5,40,16,32,1,1,60,98.24 
0,5,64,10,32,1,1,60,71.31
1,5,64,10,32,1,1,60,97.97 
0,5,80,8,32,1,1,60,68.62
1,5,80,8,32,1,1,60,97.3 
0,5,128,5,32,1,1,60,70.36
1,5,128,5,32,1,1,60,98.0 
0,5,160,4,32,1,1,60,70.02
1,5,160,4,32,1,1,60,97.64 
0,5,320,2,32,1,1,60,68.85
1,5,320,2,32,1,1,60,97.21 
0,5,640,1,32,1,1,52,70.63
1,5,640,1,32,1,1,52,97.56 
0,8,1,400,32,1,1,44,70.73
1,8,1,400,32,1,1,44,97.42 
0,8,2,200,32,1,1,60,61.44
1,8,2,200,32,1,1,60,97.59 
0,8,4,100,32,1,1,60,71.1
1,8,4,100,32,1,1,60,97.92 
0,8,5,80,32,1,1,60,71.23
1,8,5,80,32,1,1,60,97.28 
0,8,8,50,32,1,1,60,71.02
1,8,8,50,32,1,1,60,97.96 
0,8,10,40,32,1,1,60,71.14
1,8,10,40,32,1,1,60,98.0 
0,8,16,25,32,1,1,60,71.92
1,8,16,25,32,1,1,60,98.72 
0,8,20,20,32,1,1,60,70.32
1,8,20,20,32,1,1,60,98.16 
0,8,25,16,32,1,1,60,69.34
1,8,25,16,32,1,1,60,98.07 
0,8,40,10,32,1,1,60,68.27
1,8,40,10,32,1,1,60,98.18 
0,8,50,8,32,1,1,60,70.41
1,8,50,8,32,1,1,60,98.23 
0,8,80,5,32,1,1,60,70.31
1,8,80,5,32,1,1,60,98.68 
0,8,100,4,32,1,1,60,70.6
1,8,100,4,32,1,1,60,97.71 
0,8,200,2,32,1,1,60,69.94
1,8,200,2,32,1,1,60,97.43 
0,8,400,1,32,1,1,52,71.07
1,8,400,1,32,1,1,52,97.73 
0,10,1,320,32,1,1,44,70.82
1,10,1,320,32,1,1,44,98.4 
0,10,2,160,32,1,1,60,71.07
1,10,2,160,32,1,1,60,98.36 
0,10,4,80,32,1,1,60,72.07
1,10,4,80,32,1,1,60,97.94 
0,10,5,64,32,1,1,60,71.12
1,10,5,64,32,1,1,60,97.55 
0,10,8,40,32,1,1,60,71.5
