gx,gy,gz,bx,by,bz,funcId,smefficiency 
4,64,2,256,1,2,61,5.79 
4,128,1,256,1,2,53,5.79 
8,1,64,256,1,2,45,5.79 
8,2,32,256,1,2,61,5.8 
8,4,16,256,1,2,61,5.79 
8,8,8,256,1,2,61,5.79 
8,16,4,256,1,2,61,5.79 
8,32,2,256,1,2,61,5.78 
8,64,1,256,1,2,53,5.79 
16,1,32,256,1,2,45,5.79 
16,2,16,256,1,2,61,5.79 
16,4,8,256,1,2,61,5.79 
16,8,4,256,1,2,61,5.79 
16,16,2,256,1,2,61,5.79 
16,32,1,256,1,2,53,5.79 
32,1,16,256,1,2,45,5.8 
32,2,8,256,1,2,61,5.79 
32,4,4,256,1,2,61,5.78 
32,8,2,256,1,2,61,5.79 
32,16,1,256,1,2,53,5.79 
64,1,8,256,1,2,45,5.79 
64,2,4,256,1,2,61,5.79 
64,4,2,256,1,2,61,5.79 
64,8,1,256,1,2,53,5.79 
128,1,4,256,1,2,45,5.79 
128,2,2,256,1,2,61,5.81 
128,4,1,256,1,2,53,5.79 
256,1,2,256,1,2,45,5.77 
256,2,1,256,1,2,53,5.79 
512,1,1,256,1,2,37,5.78 
1,1,256,512,1,2,13,5.78 
1,2,128,512,1,2,29,5.78 
1,4,64,512,1,2,29,5.78 
1,8,32,512,1,2,29,5.77 
1,16,16,512,1,2,29,5.77 
1,32,8,512,1,2,29,5.78 
1,64,4,512,1,2,29,5.77 
1,128,2,512,1,2,29,5.76 
1,256,1,512,1,2,21,5.78 
2,1,128,512,1,2,45,5.77 
2,2,64,512,1,2,61,5.77 
2,4,32,512,1,2,61,5.77 
2,8,16,512,1,2,61,5.77 
2,16,8,512,1,2,61,5.78 
2,32,4,512,1,2,61,5.77 
2,64,2,512,1,2,61,5.78 
2,128,1,512,1,2,53,5.77 
4,1,64,512,1,2,45,5.77 
4,2,32,512,1,2,61,5.77 
4,4,16,512,1,2,61,5.78 
4,8,8,512,1,2,61,5.76 
4,16,4,512,1,2,61,5.76 
4,32,2,512,1,2,61,5.77 
4,64,1,512,1,2,53,5.77 
8,1,32,512,1,2,45,5.77 
8,2,16,512,1,2,61,5.78 
8,4,8,512,1,2,61,5.77 
8,8,4,512,1,2,61,5.78 
8,16,2,512,1,2,61,5.76 
8,32,1,512,1,2,53,5.77 
16,1,16,512,1,2,45,5.76 
16,2,8,512,1,2,61,5.77 
16,4,4,512,1,2,61,5.77 
16,8,2,512,1,2,61,5.78 
16,16,1,512,1,2,53,5.8 
32,1,8,512,1,2,45,5.78 
32,2,4,512,1,2,61,5.77 
32,4,2,512,1,2,61,5.76 
32,8,1,512,1,2,53,5.77 
64,1,4,512,1,2,45,5.76 
64,2,2,512,1,2,61,5.79 
64,4,1,512,1,2,53,5.76 
128,1,2,512,1,2,45,5.77 
128,2,1,512,1,2,53,5.78 
256,1,1,512,1,2,37,5.75 
1,1,8192,8,2,2,15,57.8 
1,2,4096,8,2,2,31,57.86 
1,4,2048,8,2,2,31,57.93 
1,8,1024,8,2,2,31,58.14 
1,16,512,8,2,2,31,57.77 
1,32,256,8,2,2,31,58.37 
1,64,128,8,2,2,31,58.25 
1,128,64,8,2,2,31,58.27 
1,256,32,8,2,2,31,58.27 
1,512,16,8,2,2,31,58.17 
1,1024,8,8,2,2,31,58.36 
1,2048,4,8,2,2,31,58.18 
1,4096,2,8,2,2,31,58.3 
1,8192,1,8,2,2,23,58.21 
2,1,4096,8,2,2,47,58.3 
2,2,2048,8,2,2,63,58.24 
2,4,1024,8,2,2,63,58.1 
2,8,512,8,2,2,63,58.28 
2,16,256,8,2,2,63,58.5 
2,32,128,8,2,2,63,58.61 
2,64,64,8,2,2,63,58.18 
2,128,32,8,2,2,63,58.03 
2,256,16,8,2,2,63,58.16 
2,512,8,8,2,2,63,58.44 
2,1024,4,8,2,2,63,57.76 
2,2048,2,8,2,2,63,57.63 
2,4096,1,8,2,2,55,57.5 
4,1,2048,8,2,2,47,57.77 
4,2,1024,8,2,2,63,57.92 
4,4,512,8,2,2,63,57.67 
4,8,256,8,2,2,63,57.77 
4,16,128,8,2,2,63,57.73 
4,32,64,8,2,2,63,57.8 
4,64,32,8,2,2,63,57.83 
4,128,16,8,2,2,63,57.51 
4,256,8,8,2,2,63,57.43 
4,512,4,8,2,2,63,57.72 
4,1024,2,8,2,2,63,57.79 
4,2048,1,8,2,2,55,57.75 
8,1,1024,8,2,2,47,57.33 
8,2,512,8,2,2,63,57.75 
8,4,256,8,2,2,63,57.88 
8,8,128,8,2,2,63,57.77 
8,16,64,8,2,2,63,57.68 
8,32,32,8,2,2,63,57.81 
8,64,16,8,2,2,63,57.81 
8,128,8,8,2,2,63,57.57 
8,256,4,8,2,2,63,57.68 
8,512,2,8,2,2,63,57.85 
8,1024,1,8,2,2,55,57.6 
16,1,512,8,2,2,47,57.9 
16,2,256,8,2,2,63,57.83 
16,4,128,8,2,2,63,57.73 
16,8,64,8,2,2,63,57.93 
16,16,32,8,2,2,63,57.62 
16,32,16,8,2,2,63,57.75 
16,64,8,8,2,2,63,57.69 
16,128,4,8,2,2,63,57.71 
16,256,2,8,2,2,63,57.7 
16,512,1,8,2,2,55,57.23 
32,1,256,8,2,2,47,57.67 
32,2,128,8,2,2,63,57.68 
32,4,64,8,2,2,63,57.72 
32,8,32,8,2,2,63,57.92 
32,16,16,8,2,2,63,57.88 
32,32,8,8,2,2,63,57.57 
32,64,4,8,2,2,63,57.75 
32,128,2,8,2,2,63,57.9 
32,256,1,8,2,2,55,57.55 
64,1,128,8,2,2,47,57.67 
64,2,64,8,2,2,63,57.63 
64,4,32,8,2,2,63,57.77 
64,8,16,8,2,2,63,57.97 
64,16,8,8,2,2,63,57.85 
64,32,4,8,2,2,63,57.67 
64,64,2,8,2,2,63,57.58 
64,128,1,8,2,2,55,57.51 
128,1,64,8,2,2,47,57.98 
128,2,32,8,2,2,63,57.79 
128,4,16,8,2,2,63,57.98 
128,8,8,8,2,2,63,57.86 
128,16,4,8,2,2,63,57.57 
128,32,2,8,2,2,63,58.22 
128,64,1,8,2,2,55,57.72 
256,1,32,8,2,2,47,57.4 
256,2,16,8,2,2,63,58.05 
256,4,8,8,2,2,63,57.5 
256,8,4,8,2,2,63,57.87 
256,16,2,8,2,2,63,57.56 
256,32,1,8,2,2,55,57.73 
512,1,16,8,2,2,47,57.77 
512,2,8,8,2,2,63,57.61 
512,4,4,8,2,2,63,57.69 
512,8,2,8,2,2,63,57.96 
512,16,1,8,2,2,55,57.71 
1024,1,8,8,2,2,47,57.72 
1024,2,4,8,2,2,63,58.01 
1024,4,2,8,2,2,63,57.86 
1024,8,1,8,2,2,55,57.37 
2048,1,4,8,2,2,47,57.78 
2048,2,2,8,2,2,63,57.91 
2048,4,1,8,2,2,55,57.8 
4096,1,2,8,2,2,47,57.48 
4096,2,1,8,2,2,55,57.86 
8192,1,1,8,2,2,39,57.89 
1,1,4096,16,2,2,15,32.59 
1,2,2048,16,2,2,31,32.7 
1,4,1024,16,2,2,31,32.28 
1,8,512,16,2,2,31,32.46 
1,16,256,16,2,2,31,32.6 
1,32,128,16,2,2,31,32.77 
1,64,64,16,2,2,31,32.56 
1,128,32,16,2,2,31,32.07 
1,256,16,16,2,2,31,32.42 
1,512,8,16,2,2,31,32.65 
1,1024,4,16,2,2,31,32.61 
1,2048,2,16,2,2,31,32.4 
1,4096,1,16,2,2,23,32.67 
2,1,2048,16,2,2,47,32.78 
2,2,1024,16,2,2,63,32.71 
2,4,512,16,2,2,63,32.24 
2,8,256,16,2,2,63,32.42 
2,16,128,16,2,2,63,32.41 
2,32,64,16,2,2,63,32.59 
2,64,32,16,2,2,63,32.6 
2,128,16,16,2,2,63,32.36 
2,256,8,16,2,2,63,32.55 
2,512,4,16,2,2,63,32.67 
2,1024,2,16,2,2,63,32.55 
2,2048,1,16,2,2,55,32.5 
4,1,1024,16,2,2,47,32.18 
4,2,512,16,2,2,63,32.26 
4,4,256,16,2,2,63,32.58 
4,8,128,16,2,2,63,32.62 
4,16,64,16,2,2,63,32.63 
4,32,32,16,2,2,63,32.66 
4,64,16,16,2,2,63,32.36 
4,128,8,16,2,2,63,32.7 
4,256,4,16,2,2,63,32.28 
4,512,2,16,2,2,63,32.27 
4,1024,1,16,2,2,55,32.68 
8,1,512,16,2,2,47,32.68 
8,2,256,16,2,2,63,32.17 
8,4,128,16,2,2,63,32.52 
8,8,64,16,2,2,63,32.18 
8,16,32,16,2,2,63,32.58 
8,32,16,16,2,2,63,32.8 
8,64,8,16,2,2,63,32.54 
8,128,4,16,2,2,63,32.79 
8,256,2,16,2,2,63,32.41 
8,512,1,16,2,2,55,32.47 
16,1,256,16,2,2,47,32.56 
16,2,128,16,2,2,63,32.37 
16,4,64,16,2,2,63,32.57 
16,8,32,16,2,2,63,32.65 
16,16,16,16,2,2,63,32.58 
16,32,8,16,2,2,63,32.49 
16,64,4,16,2,2,63,32.21 
16,128,2,16,2,2,63,32.6 
16,256,1,16,2,2,55,32.57 
32,1,128,16,2,2,47,32.54 
32,2,64,16,2,2,63,32.64 
32,4,32,16,2,2,63,32.64 
32,8,16,16,2,2,63,32.66 
32,16,8,16,2,2,63,32.37 
32,32,4,16,2,2,63,32.71 
32,64,2,16,2,2,63,32.32 
32,128,1,16,2,2,55,32.61 
64,1,64,16,2,2,47,32.56 
64,2,32,16,2,2,63,32.65 
64,4,16,16,2,2,63,32.19 
64,8,8,16,2,2,63,32.61 
64,16,4,16,2,2,63,32.63 
64,32,2,16,2,2,63,32.4 
64,64,1,16,2,2,55,32.54 
128,1,32,16,2,2,47,32.51 
128,2,16,16,2,2,63,32.58 
128,4,8,16,2,2,63,32.06 
128,8,4,16,2,2,63,32.59 
128,16,2,16,2,2,63,32.59 
128,32,1,16,2,2,55,32.58 
256,1,16,16,2,2,47,32.65 
256,2,8,16,2,2,63,32.35 
256,4,4,16,2,2,63,32.52 
256,8,2,16,2,2,63,32.67 
256,16,1,16,2,2,55,32.33 
512,1,8,16,2,2,47,32.34 
512,2,4,16,2,2,63,32.35 
512,4,2,16,2,2,63,32.68 
512,8,1,16,2,2,55,32.63 
1024,1,4,16,2,2,47,32.36 
1024,2,2,16,2,2,63,32.54 
1024,4,1,16,2,2,55,32.62 
2048,1,2,16,2,2,47,32.63 
2048,2,1,16,2,2,55,32.6 
4096,1,1,16,2,2,39,32.37 
1,1,2048,32,2,2,15,19.22 
1,2,1024,32,2,2,31,19.12 
1,4,512,32,2,2,31,19.19 
1,8,256,32,2,2,31,19.07 
1,16,128,32,2,2,31,18.99 
1,32,64,32,2,2,31,19.26 
1,64,32,32,2,2,31,19.29 
1,128,16,32,2,2,31,19.17 
1,256,8,32,2,2,31,19.12 
1,512,4,32,2,2,31,19.22 
1,1024,2,32,2,2,31,19.17 
1,2048,1,32,2,2,23,19.28 
2,1,1024,32,2,2,47,19.41 
2,2,512,32,2,2,63,19.2 
2,4,256,32,2,2,63,19.14 
2,8,128,32,2,2,63,19.1 
2,16,64,32,2,2,63,19.22 
2,32,32,32,2,2,63,19.32 
2,64,16,32,2,2,63,19.15 
2,128,8,32,2,2,63,19.2 
2,256,4,32,2,2,63,19.09 
2,512,2,32,2,2,63,19.1 
2,1024,1,32,2,2,55,19.06 
4,1,512,32,2,2,47,19.02 
4,2,256,32,2,2,63,19.02 
4,4,128,32,2,2,63,19.18 
4,8,64,32,2,2,63,19.13 
4,16,32,32,2,2,63,19.11 
4,32,16,32,2,2,63,19.22 
4,64,8,32,2,2,63,19.09 
4,128,4,32,2,2,63,19.25 
4,256,2,32,2,2,63,19.14 
4,512,1,32,2,2,55,19.22 
8,1,256,32,2,2,47,19.19 
8,2,128,32,2,2,63,19.18 
8,4,64,32,2,2,63,19.19 
8,8,32,32,2,2,63,19.06 
8,16,16,32,2,2,63,19.21 
8,32,8,32,2,2,63,19.17 
8,64,4,32,2,2,63,19.2 
8,128,2,32,2,2,63,19.19 
8,256,1,32,2,2,55,19.22 
16,1,128,32,2,2,47,19.24 
16,2,64,32,2,2,63,19.12 
16,4,32,32,2,2,63,19.14 
16,8,16,32,2,2,63,19.22 
16,16,8,32,2,2,63,19.23 
16,32,4,32,2,2,63,19.36 
16,64,2,32,2,2,63,19.18 
16,128,1,32,2,2,55,19.24 
32,1,64,32,2,2,47,19.15 
32,2,32,32,2,2,63,19.24 
32,4,16,32,2,2,63,19.18 
32,8,8,32,2,2,63,19.16 
32,16,4,32,2,2,63,19.15 
32,32,2,32,2,2,63,19.16 
32,64,1,32,2,2,55,19.1 
64,1,32,32,2,2,47,19.18 
64,2,16,32,2,2,63,19.29 
64,4,8,32,2,2,63,19.25 
64,8,4,32,2,2,63,19.29 
64,16,2,32,2,2,63,19.22 
64,32,1,32,2,2,55,19.25 
128,1,16,32,2,2,47,19.1 
128,2,8,32,2,2,63,19.32 
128,4,4,32,2,2,63,19.13 
128,8,2,32,2,2,63,19.25 
128,16,1,32,2,2,55,19.08 
256,1,8,32,2,2,47,19.22 
256,2,4,32,2,2,63,19.12 
256,4,2,32,2,2,63,19.02 
256,8,1,32,2,2,55,19.08 
512,1,4,32,2,2,47,19.07 
512,2,2,32,2,2,63,19.1 
512,4,1,32,2,2,55,19.25 
1024,1,2,32,2,2,47,19.07 
1024,2,1,32,2,2,55,19.38 
2048,1,1,32,2,2,39,19.1 
1,1,1024,64,2,2,15,11.13 
1,2,512,64,2,2,31,11.15 
1,4,256,64,2,2,31,11.15 
1,8,128,64,2,2,31,11.12 
1,16,64,64,2,2,31,11.17 
1,32,32,64,2,2,31,11.17 
1,64,16,64,2,2,31,11.14 
1,128,8,64,2,2,31,11.12 
1,256,4,64,2,2,31,11.16 
1,512,2,64,2,2,31,11.19 
1,1024,1,64,2,2,23,11.16 
2,1,512,64,2,2,47,11.15 
2,2,256,64,2,2,63,11.19 
2,4,128,64,2,2,63,11.17 
2,8,64,64,2,2,63,11.15 
2,16,32,64,2,2,63,11.18 
2,32,16,64,2,2,63,11.16 
2,64,8,64,2,2,63,11.18 
2,128,4,64,2,2,63,11.17 
2,256,2,64,2,2,63,11.19 
2,512,1,64,2,2,55,11.15 
4,1,256,64,2,2,47,11.18 
4,2,128,64,2,2,63,11.18 
4,4,64,64,2,2,63,11.17 
4,8,32,64,2,2,63,11.28 
4,16,16,64,2,2,63,11.19 
4,32,8,64,2,2,63,11.15 
4,64,4,64,2,2,63,11.18 
4,128,2,64,2,2,63,11.16 
4,256,1,64,2,2,55,11.13 
8,1,128,64,2,2,47,11.14 
8,2,64,64,2,2,63,11.16 
8,4,32,64,2,2,63,11.14 
8,8,16,64,2,2,63,11.16 
8,16,8,64,2,2,63,11.15 
8,32,4,64,2,2,63,11.2 
8,64,2,64,2,2,63,11.16 
8,128,1,64,2,2,55,11.14 
16,1,64,64,2,2,47,11.15 
16,2,32,64,2,2,63,11.21 
16,4,16,64,2,2,63,11.22 
16,8,8,64,2,2,63,11.16 
16,16,4,64,2,2,63,11.19 
16,32,2,64,2,2,63,11.16 
16,64,1,64,2,2,55,11.16 
32,1,32,64,2,2,47,11.18 
32,2,16,64,2,2,63,11.24 
32,4,8,64,2,2,63,11.17 
32,8,4,64,2,2,63,11.16 
32,16,2,64,2,2,63,11.18 
32,32,1,64,2,2,55,11.16 
64,1,16,64,2,2,47,11.13 
64,2,8,64,2,2,63,11.18 
64,4,4,64,2,2,63,11.19 
64,8,2,64,2,2,63,11.17 
64,16,1,64,2,2,55,11.16 
128,1,8,64,2,2,47,11.14 
128,2,4,64,2,2,63,11.18 
128,4,2,64,2,2,63,11.16 
128,8,1,64,2,2,55,11.16 
256,1,4,64,2,2,47,11.17 
256,2,2,64,2,2,63,11.18 
256,4,1,64,2,2,55,11.15 
512,1,2,64,2,2,47,11.19 
512,2,1,64,2,2,55,11.14 
1024,1,1,64,2,2,39,11.12 
1,1,512,128,2,2,15,5.78 
1,2,256,128,2,2,31,5.78 
1,4,128,128,2,2,31,5.78 
1,8,64,128,2,2,31,5.78 
1,16,32,128,2,2,31,5.78 
1,32,16,128,2,2,31,5.79 
1,64,8,128,2,2,31,5.78 
1,128,4,128,2,2,31,5.79 
1,256,2,128,2,2,31,5.78 
1,512,1,128,2,2,23,5.81 
2,1,256,128,2,2,47,5.78 
2,2,128,128,2,2,63,5.8 
2,4,64,128,2,2,63,5.79 
2,8,32,128,2,2,63,5.8 
2,16,16,128,2,2,63,5.81 
2,32,8,128,2,2,63,5.79 
2,64,4,128,2,2,63,5.79 
2,128,2,128,2,2,63,5.79 
2,256,1,128,2,2,55,5.79 
4,1,128,128,2,2,47,5.79 
4,2,64,128,2,2,63,5.79 
4,4,32,128,2,2,63,5.79 
4,8,16,128,2,2,63,5.79 
4,16,8,128,2,2,63,5.79 
4,32,4,128,2,2,63,5.79 
4,64,2,128,2,2,63,5.79 
4,128,1,128,2,2,55,5.79 
8,1,64,128,2,2,47,5.8 
8,2,32,128,2,2,63,5.79 
8,4,16,128,2,2,63,5.79 
8,8,8,128,2,2,63,5.79 
8,16,4,128,2,2,63,5.8 
8,32,2,128,2,2,63,5.79 
8,64,1,128,2,2,55,5.79 
16,1,32,128,2,2,47,5.79 
16,2,16,128,2,2,63,5.79 
16,4,8,128,2,2,63,5.8 
16,8,4,128,2,2,63,5.76 
16,16,2,128,2,2,63,5.8 
16,32,1,128,2,2,55,5.79 
32,1,16,128,2,2,47,5.79 
32,2,8,128,2,2,63,5.79 
32,4,4,128,2,2,63,5.8 
32,8,2,128,2,2,63,5.8 
32,16,1,128,2,2,55,5.78 
64,1,8,128,2,2,47,5.79 
64,2,4,128,2,2,63,5.79 
64,4,2,128,2,2,63,5.79 
64,8,1,128,2,2,55,5.8 
128,1,4,128,2,2,47,5.78 
128,2,2,128,2,2,63,5.8 
128,4,1,128,2,2,55,5.78 
256,1,2,128,2,2,47,5.79 
256,2,1,128,2,2,55,5.79 
512,1,1,128,2,2,39,5.78 
1,1,256,256,2,2,15,5.77 
1,2,128,256,2,2,31,5.77 
1,4,64,256,2,2,31,5.77 
1,8,32,256,2,2,31,5.76 
1,16,16,256,2,2,31,5.77 
1,32,8,256,2,2,31,5.77 
1,64,4,256,2,2,31,5.78 
1,128,2,256,2,2,31,5.77 
1,256,1,256,2,2,23,5.77 
2,1,128,256,2,2,47,5.76 
2,2,64,256,2,2,63,5.77 
2,4,32,256,2,2,63,5.77 
2,8,16,256,2,2,63,5.77 
2,16,8,256,2,2,63,5.77 
2,32,4,256,2,2,63,5.77 
2,64,2,256,2,2,63,5.79 
2,128,1,256,2,2,55,5.76 
4,1,64,256,2,2,47,5.77 
4,2,32,256,2,2,63,5.77 
4,4,16,256,2,2,63,5.77 
4,8,8,256,2,2,63,5.77 
4,16,4,256,2,2,63,5.78 
4,32,2,256,2,2,63,5.79 
4,64,1,256,2,2,55,5.77 
8,1,32,256,2,2,47,5.77 
8,2,16,256,2,2,63,5.78 
8,4,8,256,2,2,63,5.77 
8,8,4,256,2,2,63,5.77 
8,16,2,256,2,2,63,5.78 
8,32,1,256,2,2,55,5.77 
16,1,16,256,2,2,47,5.76 
16,2,8,256,2,2,63,5.78 
16,4,4,256,2,2,63,5.78 
16,8,2,256,2,2,63,5.77 
16,16,1,256,2,2,55,5.77 
32,1,8,256,2,2,47,5.77 
32,2,4,256,2,2,63,5.77 
32,4,2,256,2,2,63,5.77 
32,8,1,256,2,2,55,5.76 
64,1,4,256,2,2,47,5.78 
64,2,2,256,2,2,63,5.78 
64,4,1,256,2,2,55,5.76 
128,1,2,256,2,2,47,5.78 
128,2,1,256,2,2,55,5.78 
256,1,1,256,2,2,39,5.77 
1,1,8192,4,4,2,15,57.77 
1,2,4096,4,4,2,31,57.45 
1,4,2048,4,4,2,31,57.49 
1,8,1024,4,4,2,31,57.57 
1,16,512,4,4,2,31,57.76 
1,32,256,4,4,2,31,57.93 
1,64,128,4,4,2,31,57.95 
1,128,64,4,4,2,31,57.54 
1,256,32,4,4,2,31,57.29 
1,512,16,4,4,2,31,57.57 
1,1024,8,4,4,2,31,57.72 
1,2048,4,4,4,2,31,57.47 
1,4096,2,4,4,2,31,57.81 
1,8192,1,4,4,2,23,57.72 
2,1,4096,4,4,2,47,57.6 
2,2,2048,4,4,2,63,57.94 
2,4,1024,4,4,2,63,57.7 
2,8,512,4,4,2,63,57.73 
2,16,256,4,4,2,63,57.72 
2,32,128,4,4,2,63,57.51 
2,64,64,4,4,2,63,57.64 
2,128,32,4,4,2,63,57.88 
2,256,16,4,4,2,63,57.8 
2,512,8,4,4,2,63,57.68 
2,1024,4,4,4,2,63,57.85 
2,2048,2,4,4,2,63,57.54 
2,4096,1,4,4,2,55,57.5 
4,1,2048,4,4,2,47,58.02 
4,2,1024,4,4,2,63,57.54 
4,4,512,4,4,2,63,57.76 
4,8,256,4,4,2,63,57.8 
4,16,128,4,4,2,63,57.88 
4,32,64,4,4,2,63,57.83 
4,64,32,4,4,2,63,57.6 
4,128,16,4,4,2,63,57.68 
4,256,8,4,4,2,63,57.78 
4,512,4,4,4,2,63,57.57 
4,1024,2,4,4,2,63,57.77 
4,2048,1,4,4,2,55,57.7 
8,1,1024,4,4,2,47,57.68 
8,2,512,4,4,2,63,57.52 
8,4,256,4,4,2,63,57.79 
8,8,128,4,4,2,63,58.01 
8,16,64,4,4,2,63,57.86 
8,32,32,4,4,2,63,57.72 
8,64,16,4,4,2,63,57.85 
8,128,8,4,4,2,63,58.11 
8,256,4,4,4,2,63,57.28 
8,512,2,4,4,2,63,57.58 
8,1024,1,4,4,2,55,57.73 
16,1,512,4,4,2,47,57.9 
16,2,256,4,4,2,63,57.78 
16,4,128,4,4,2,63,57.74 
16,8,64,4,4,2,63,57.62 
16,16,32,4,4,2,63,57.58 
16,32,16,4,4,2,63,57.7 
16,64,8,4,4,2,63,57.6 
16,128,4,4,4,2,63,57.46 
16,256,2,4,4,2,63,57.83 
16,512,1,4,4,2,55,57.85 
32,1,256,4,4,2,47,57.84 
32,2,128,4,4,2,63,57.8 
32,4,64,4,4,2,63,57.82 
32,8,32,4,4,2,63,57.55 
32,16,16,4,4,2,63,57.74 
32,32,8,4,4,2,63,57.78 
32,64,4,4,4,2,63,57.76 
32,128,2,4,4,2,63,57.39 
32,256,1,4,4,2,55,57.76 
64,1,128,4,4,2,47,57.7 
64,2,64,4,4,2,63,57.66 
64,4,32,4,4,2,63,57.81 
64,8,16,4,4,2,63,57.62 
64,16,8,4,4,2,63,57.87 
64,32,4,4,4,2,63,57.74 
64,64,2,4,4,2,63,57.72 
64,128,1,4,4,2,55,57.5 
128,1,64,4,4,2,47,57.46 
128,2,32,4,4,2,63,57.66 
128,4,16,4,4,2,63,57.51 
128,8,8,4,4,2,63,57.79 
128,16,4,4,4,2,63,57.67 
128,32,2,4,4,2,63,57.78 
128,64,1,4,4,2,55,57.74 
256,1,32,4,4,2,47,57.6 
256,2,16,4,4,2,63,57.91 
256,4,8,4,4,2,63,57.59 
256,8,4,4,4,2,63,57.75 
256,16,2,4,4,2,63,57.71 
256,32,1,4,4,2,55,57.84 
512,1,16,4,4,2,47,57.7 
512,2,8,4,4,2,63,57.64 
512,4,4,4,4,2,63,57.59 
512,8,2,4,4,2,63,57.81 
512,16,1,4,4,2,55,57.55 
1024,1,8,4,4,2,47,57.42 
1024,2,4,4,4,2,63,57.73 
1024,4,2,4,4,2,63,57.91 
1024,8,1,4,4,2,55,57.78 
2048,1,4,4,4,2,47,57.55 
2048,2,2,4,4,2,63,57.62 
2048,4,1,4,4,2,55,57.83 
4096,1,2,4,4,2,47,57.71 
4096,2,1,4,4,2,55,57.59 
8192,1,1,4,4,2,39,57.76 
1,1,4096,8,4,2,15,32.6 
1,2,2048,8,4,2,31,32.58 
1,4,1024,8,4,2,31,32.68 
1,8,512,8,4,2,31,32.41 
1,16,256,8,4,2,31,32.35 
1,32,128,8,4,2,31,32.52 
1,64,64,8,4,2,31,32.76 
1,128,32,8,4,2,31,32.52 
1,256,16,8,4,2,31,32.74 
1,512,8,8,4,2,31,32.67 
1,1024,4,8,4,2,31,32.73 
1,2048,2,8,4,2,31,32.54 
1,4096,1,8,4,2,23,32.64 
2,1,2048,8,4,2,47,32.42 
2,2,1024,8,4,2,63,32.36 
2,4,512,8,4,2,63,32.75 
2,8,256,8,4,2,63,32.59 
2,16,128,8,4,2,63,32.66 
2,32,64,8,4,2,63,32.78 
2,64,32,8,4,2,63,32.45 
2,128,16,8,4,2,63,32.69 
2,256,8,8,4,2,63,32.26 
2,512,4,8,4,2,63,32.56 
2,1024,2,8,4,2,63,32.59 
2,2048,1,8,4,2,55,32.72 
4,1,1024,8,4,2,47,32.6 
4,2,512,8,4,2,63,32.68 
4,4,256,8,4,2,63,32.66 
4,8,128,8,4,2,63,32.56 
4,16,64,8,4,2,63,32.72 
4,32,32,8,4,2,63,32.37 
4,64,16,8,4,2,63,32.66 
4,128,8,8,4,2,63,32.75 
4,256,4,8,4,2,63,32.59 
4,512,2,8,4,2,63,32.39 
4,1024,1,8,4,2,55,32.39 
8,1,512,8,4,2,47,32.29 
8,2,256,8,4,2,63,32.51 
8,4,128,8,4,2,63,32.26 
8,8,64,8,4,2,63,32.62 
8,16,32,8,4,2,63,32.64 
8,32,16,8,4,2,63,32.87 
8,64,8,8,4,2,63,32.42 
8,128,4,8,4,2,63,32.64 
8,256,2,8,4,2,63,32.31 
8,512,1,8,4,2,55,32.51 
16,1,256,8,4,2,47,32.58 
16,2,128,8,4,2,63,32.57 
16,4,64,8,4,2,63,32.28 
16,8,32,8,4,2,63,32.61 
16,16,16,8,4,2,63,32.66 
16,32,8,8,4,2,63,32.59 
16,64,4,8,4,2,63,32.64 
16,128,2,8,4,2,63,32.52 
16,256,1,8,4,2,55,32.3 
32,1,128,8,4,2,47,32.3 
32,2,64,8,4,2,63,32.65 
32,4,32,8,4,2,63,32.66 
32,8,16,8,4,2,63,32.57 
32,16,8,8,4,2,63,32.61 
32,32,4,8,4,2,63,32.72 
32,64,2,8,4,2,63,32.73 
32,128,1,8,4,2,55,32.52 
64,1,64,8,4,2,47,32.52 
64,2,32,8,4,2,63,32.51 
64,4,16,8,4,2,63,32.67 
64,8,8,8,4,2,63,32.68 
64,16,4,8,4,2,63,32.44 
64,32,2,8,4,2,63,32.61 
64,64,1,8,4,2,55,32.58 
128,1,32,8,4,2,47,32.54 
128,2,16,8,4,2,63,32.67 
128,4,8,8,4,2,63,32.58 
128,8,4,8,4,2,63,32.24 
128,16,2,8,4,2,63,32.28 
128,32,1,8,4,2,55,32.77 
256,1,16,8,4,2,47,32.59 
256,2,8,8,4,2,63,32.47 
256,4,4,8,4,2,63,32.71 
256,8,2,8,4,2,63,32.65 
256,16,1,8,4,2,55,32.31 
512,1,8,8,4,2,47,32.61 
512,2,4,8,4,2,63,32.35 
512,4,2,8,4,2,63,32.36 
512,8,1,8,4,2,55,32.56 
1024,1,4,8,4,2,47,32.68 
1024,2,2,8,4,2,63,32.63 
1024,4,1,8,4,2,55,32.62 
2048,1,2,8,4,2,47,32.61 
2048,2,1,8,4,2,55,32.63 
4096,1,1,8,4,2,39,32.67 
1,1,2048,16,4,2,15,19.15 
1,2,1024,16,4,2,31,19.33 
1,4,512,16,4,2,31,19.28 
1,8,256,16,4,2,31,19.0 
1,16,128,16,4,2,31,19.2 
1,32,64,16,4,2,31,19.14 
1,64,32,16,4,2,31,19.3 
1,128,16,16,4,2,31,19.12 
1,256,8,16,4,2,31,19.14 
1,512,4,16,4,2,31,19.32 
1,1024,2,16,4,2,31,19.11 
1,2048,1,16,4,2,23,19.28 
2,1,1024,16,4,2,47,19.17 
2,2,512,16,4,2,63,19.19 
2,4,256,16,4,2,63,19.13 
2,8,128,16,4,2,63,19.24 
2,16,64,16,4,2,63,19.19 
2,32,32,16,4,2,63,19.12 
