gx,gy,gz,bx,by,bz,funcId,smefficiency 
32,16,8,64,1,1,60,32.39 
32,32,4,64,1,1,60,32.33 
32,64,2,64,1,1,60,32.47 
32,128,1,64,1,1,52,32.45 
64,1,64,64,1,1,44,32.4 
64,2,32,64,1,1,60,32.75 
64,4,16,64,1,1,60,32.83 
64,8,8,64,1,1,60,32.3 
64,16,4,64,1,1,60,33.07 
64,32,2,64,1,1,60,32.76 
64,64,1,64,1,1,52,32.96 
128,1,32,64,1,1,44,32.98 
128,2,16,64,1,1,60,32.97 
128,4,8,64,1,1,60,32.53 
128,8,4,64,1,1,60,32.67 
128,16,2,64,1,1,60,33.06 
128,32,1,64,1,1,52,32.84 
256,1,16,64,1,1,44,32.9 
256,2,8,64,1,1,60,33.0 
256,4,4,64,1,1,60,32.96 
256,8,2,64,1,1,60,32.67 
256,16,1,64,1,1,52,32.44 
512,1,8,64,1,1,44,32.82 
512,2,4,64,1,1,60,32.28 
512,4,2,64,1,1,60,32.57 
512,8,1,64,1,1,52,32.97 
1024,1,4,64,1,1,44,33.04 
1024,2,2,64,1,1,60,33.04 
1024,4,1,64,1,1,52,32.66 
2048,1,2,64,1,1,44,32.84 
2048,2,1,64,1,1,52,32.82 
4096,1,1,64,1,1,36,32.62 
1,1,2048,128,1,1,12,19.49 
1,2,1024,128,1,1,28,19.35 
1,4,512,128,1,1,28,19.27 
1,8,256,128,1,1,28,19.53 
1,16,128,128,1,1,28,19.43 
1,32,64,128,1,1,28,19.48 
1,64,32,128,1,1,28,19.42 
1,128,16,128,1,1,28,19.31 
1,256,8,128,1,1,28,19.02 
1,512,4,128,1,1,28,19.3 
1,1024,2,128,1,1,28,19.27 
1,2048,1,128,1,1,20,19.12 
2,1,1024,128,1,1,44,19.22 
2,2,512,128,1,1,60,19.37 
2,4,256,128,1,1,60,19.47 
2,8,128,128,1,1,60,19.42 
2,16,64,128,1,1,60,19.51 
2,32,32,128,1,1,60,19.51 
2,64,16,128,1,1,60,18.89 
2,128,8,128,1,1,60,19.25 
2,256,4,128,1,1,60,19.33 
2,512,2,128,1,1,60,19.14 
2,1024,1,128,1,1,52,19.18 
4,1,512,128,1,1,44,19.46 
4,2,256,128,1,1,60,19.39 
4,4,128,128,1,1,60,19.39 
4,8,64,128,1,1,60,19.45 
4,16,32,128,1,1,60,19.52 
4,32,16,128,1,1,60,19.36 
4,64,8,128,1,1,60,19.18 
4,128,4,128,1,1,60,19.31 
4,256,2,128,1,1,60,19.3 
4,512,1,128,1,1,52,19.44 
8,1,256,128,1,1,44,19.47 
8,2,128,128,1,1,60,19.31 
8,4,64,128,1,1,60,19.53 
8,8,32,128,1,1,60,19.45 
8,16,16,128,1,1,60,19.3 
8,32,8,128,1,1,60,19.51 
8,64,4,128,1,1,60,19.35 
8,128,2,128,1,1,60,19.27 
8,256,1,128,1,1,52,19.37 
16,1,128,128,1,1,44,19.15 
16,2,64,128,1,1,60,19.45 
16,4,32,128,1,1,60,19.47 
16,8,16,128,1,1,60,19.45 
16,16,8,128,1,1,60,19.45 
16,32,4,128,1,1,60,19.26 
16,64,2,128,1,1,60,19.37 
16,128,1,128,1,1,52,19.41 
32,1,64,128,1,1,44,19.35 
32,2,32,128,1,1,60,19.47 
32,4,16,128,1,1,60,19.53 
32,8,8,128,1,1,60,19.4 
32,16,4,128,1,1,60,19.48 
32,32,2,128,1,1,60,19.44 
32,64,1,128,1,1,52,19.54 
64,1,32,128,1,1,44,19.33 
64,2,16,128,1,1,60,19.34 
64,4,8,128,1,1,60,19.47 
64,8,4,128,1,1,60,19.39 
64,16,2,128,1,1,60,19.2 
64,32,1,128,1,1,52,19.09 
128,1,16,128,1,1,44,19.0 
128,2,8,128,1,1,60,19.46 
128,4,4,128,1,1,60,19.47 
128,8,2,128,1,1,60,19.39 
128,16,1,128,1,1,52,19.51 
256,1,8,128,1,1,44,19.42 
256,2,4,128,1,1,60,19.25 
256,4,2,128,1,1,60,19.49 
256,8,1,128,1,1,52,19.29 
512,1,4,128,1,1,44,19.28 
512,2,2,128,1,1,60,19.47 
512,4,1,128,1,1,52,19.51 
1024,1,2,128,1,1,44,19.42 
1024,2,1,128,1,1,52,19.4 
2048,1,1,128,1,1,36,19.39 
1,1,1024,256,1,1,12,11.16 
1,2,512,256,1,1,28,11.19 
1,4,256,256,1,1,28,11.17 
1,8,128,256,1,1,28,11.17 
1,16,64,256,1,1,28,11.18 
