Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 0, 3,  1,  24,  64,  1,  2, 0,100.0 
 1, 4,  18,  1,  2,  32,  2, 1,100.0 
 0, 2,  3,  4,  12,  16,  2, 0,100.0 
 0, 4,  3,  6,  32,  1,  4, 0,100.0 
 0, 2,  8,  18,  1,  4,  8, 0,100.0 
 1, 2,  1,  8,  1,  576,  1, 1,100.0 
 0, 4,  1,  4,  16,  1,  36, 1,100.0 
 1, 4,  8,  1,  3,  8,  12, 1,100.0 
 1, 4,  1,  9,  64,  2,  2, 1,100.0 
 0, 6,  3,  1,  2,  64,  4, 1,100.0 
 0, 4,  8,  1,  6,  6,  8, 1,100.0 
 0, 2,  3,  4,  2,  8,  24, 0,100.0 
 1, 12,  1,  2,  4,  6,  16, 1,100.0 
 0, 16,  2,  9,  8,  4,  1, 0,100.0 
 0, 1,  2,  16,  9,  4,  8, 0,100.0 
 0, 3,  16,  6,  1,  8,  4, 0,100.0 
 1, 2,  2,  18,  2,  16,  4, 1,100.0 
 1, 4,  1,  24,  16,  1,  6, 1,100.0 
 0, 8,  4,  3,  3,  32,  1, 0,100.0 
 0, 6,  16,  1,  8,  3,  4, 0,100.0 
 1, 36,  2,  2,  4,  1,  16, 1,100.0 
 1, 2,  8,  1,  36,  2,  8, 1,100.0 
 1, 2,  1,  12,  6,  2,  32, 1,100.0 
 0, 4,  2,  2,  288,  2,  1, 0,100.0 
 0, 4,  2,  2,  8,  9,  8, 0,100.0 
 0, 16,  2,  1,  16,  1,  18, 0,100.0 
 1, 36,  2,  2,  4,  16,  1, 1,100.0 
 0, 3,  4,  2,  12,  4,  8, 0,100.0 
 0, 4,  3,  4,  4,  48,  1, 0,100.0 
 1, 3,  2,  4,  2,  32,  6, 1,100.0 
 1, 4,  2,  6,  3,  4,  16, 1,100.0 
 1, 6,  3,  16,  1,  2,  16, 1,100.0 
 1, 2,  18,  2,  4,  16,  2, 1,100.0 
 0, 2,  1,  8,  8,  4,  18, 0,100.0 
 0, 8,  2,  3,  4,  12,  4, 0,100.0 
 1, 2,  1,  6,  2,  48,  8, 1,100.0 
 0, 2,  12,  1,  12,  32,  1, 0,100.0 
 1, 18,  2,  1,  8,  2,  16, 1,100.0 
 1, 2,  48,  1,  1,  96,  1, 0,100.0 
 1, 8,  3,  4,  2,  12,  4, 0,100.0 
 1, 1,  2,  48,  2,  48,  1, 1,100.0 
 0, 1,  3,  48,  1,  32,  2, 0,100.0 
 0, 2,  6,  2,  64,  3,  2, 0,100.0 
 0, 2,  4,  4,  72,  2,  2, 0,100.0 
 1, 1,  3,  4,  48,  8,  2, 1,100.0 
 1, 3,  4,  12,  32,  2,  1, 1,100.0 
