Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
0,32,1,8,2,32,1,1,60.45
0,2,16,1,16,1,32,1,62.53
1,4,8,4,2,32,2,1,97.76
1,1,2,64,16,1,8,1,97.82
0,2,4,32,2,32,1,1,60.67
0,8,1,64,2,2,8,1,63.21
0,8,4,4,2,16,4,1,59.96
0,1,8,64,1,2,16,1,63.04
0,2,16,8,4,8,2,1,60.22
0,8,4,4,64,1,2,1,59.7
0,4,1,64,8,2,4,1,55.74
1,8,4,16,2,16,1,1,95.4
1,16,8,2,2,2,16,1,99.72
1,2,1,16,32,1,16,1,94.77
1,4,1,64,8,2,4,1,99.7
0,1,16,4,1,4,64,1,61.83
1,128,1,1,1,2,64,1,97.72
1,32,2,1,2,32,4,1,97.47
1,4,4,2,32,1,16,1,94.77
1,2,32,1,4,1,64,1,97.41
1,2,8,8,4,4,8,1,97.76
0,4,1,32,32,1,4,1,60.15
0,2,128,1,32,2,1,1,60.22
0,1,16,1,8,2,64,1,61.05
0,2,8,1,32,1,32,1,60.62
0,2,2,16,1,4,64,1,60.71
1,4,1,4,8,32,4,1,89.94
1,4,4,4,4,32,2,1,97.54
1,16,2,2,32,1,8,1,97.5
0,2,2,4,16,4,16,1,61.31
0,1,8,2,32,16,2,1,61.31
1,4,16,4,8,4,2,1,99.74
0,2,16,8,4,2,8,1,59.56
0,2,16,8,2,1,32,1,59.55
0,16,1,2,64,4,2,1,60.83
1,2,1,8,1,32,32,1,89.92
1,32,1,1,8,2,32,1,94.85
1,4,8,1,2,64,4,1,94.9
0,8,1,16,8,2,8,1,58.91
1,1,2,64,2,16,4,1,97.66
0,2,1,256,2,4,4,1,61.16
0,16,4,1,64,1,4,1,60.62
0,2,2,8,16,1,32,1,62.22
1,4,2,2,512,2,1,1,89.98
0,8,4,4,32,4,1,1,60.27
1,64,1,2,1,4,32,1,97.76
1,1,2,16,8,8,8,1,94.86
1,8,2,1,64,8,2,1,89.92
0,32,1,4,1,8,16,1,57.56
0,4,8,1,16,2,16,1,60.06
0,1,32,8,16,4,1,1,59.52
1,16,2,1,64,1,8,1,94.77
0,1,16,4,32,2,4,1,61.13
0,16,1,4,4,8,8,1,60.65
1,2,32,8,8,4,1,1,94.81
1,32,2,4,1,2,32,1,99.76
0,8,8,2,2,8,8,1,59.79
0,8,1,8,4,32,2,1,60.24
0,8,2,1,256,2,2,1,61.32
1,8,2,2,16,1,32,1,94.91
1,64,1,2,4,2,16,1,97.84
1,2,4,4,8,2,32,1,94.79
0,1,1,512,8,2,2,1,62.85
0,1,4,8,2,256,1,1,61.72
1,128,1,1,2,32,2,1,97.88
0,4,1,16,8,2,16,1,60.85
1,2,2,4,128,4,2,1,89.88
0,1,1,128,1,8,16,1,58.86
1,2,2,4,4,64,4,1,89.91
0,16,1,1,16,2,32,1,59.0
0,4,2,4,2,8,32,1,62.09
1,16,16,1,1,16,4,1,95.45
0,32,4,2,2,16,2,1,59.51
1,2,1,8,8,8,16,1,89.91
0,1,8,2,32,4,8,1,61.4
1,1,4,8,128,2,2,1,94.9
