Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,7,7,1,8,128,1,0,0.340009
0,2,1,56,2,16,14,0,0.416586
0,4,7,4,8,7,8,0,0.424304
0,28,2,2,4,4,28,0,0.424239
0,2,8,7,56,2,4,0,0.424436
0,7,4,4,8,8,7,0,0.423249
0,1,2,56,16,1,28,0,0.334577
0,28,1,2,7,16,8,0,0.417029
0,16,1,98,1,32,1,0,0.11829
0,14,28,1,2,32,2,0,0.365706
0,1,8,7,16,2,28,0,0.415936
0,14,2,4,28,16,1,0,0.379928
0,7,1,28,4,8,8,0,0.420971
0,8,7,1,7,32,4,0,0.421265
0,2,7,14,1,16,16,0,0.37966
0,8,2,14,56,2,2,0,0.42261
0,1,1,98,32,8,2,0,0.338813
0,28,8,1,1,4,56,0,0.445911
0,2,392,2,2,16,1,0,0.154364
0,28,1,4,32,1,14,0,0.334861
0,8,1,7,56,4,4,0,0.416681
0,1,16,49,16,4,1,0,0.181661
0,1,1,224,16,7,2,0,0.335132
0,1,8,49,128,1,1,0,0.241528
0,4,196,2,4,1,8,0,0.155106
0,7,2,7,2,128,2,0,0.427481
0,1,7,7,32,8,4,0,0.425695
0,49,1,32,4,2,4,0,0.17243
0,2,7,4,56,2,8,0,0.423874
0,1,224,7,8,2,2,0,0.172109
0,1,98,4,1,128,1,0,0.250577
0,8,1,49,2,4,16,0,0.361882
0,112,7,1,2,1,32,0,0.181499
0,49,8,1,2,2,32,0,0.365145
0,7,4,8,14,4,4,0,0.424389
0,4,4,98,1,16,2,0,0.155225
0,2,56,2,1,8,28,0,0.380071
0,4,28,1,7,64,1,0,0.335094
0,1,16,7,8,2,28,0,0.415308
0,2,4,14,2,32,7,0,0.424417
0,16,1,7,4,16,7,0,0.416103
0,2,14,28,4,2,8,0,0.229973
0,8,1,49,8,1,16,0,0.285998
0,4,14,1,2,56,8,0,0.421966
0,2,28,14,1,16,4,0,0.205691
0,8,4,49,1,8,4,0,0.155299
0,2,8,14,28,8,1,0,0.379872
0,2,1,98,256,1,1,0,0.290153
0,2,2,56,28,8,1,0,0.379737
0,4,196,1,1,32,2,0,0.222862
0,1,112,7,32,1,2,0,0.19248
0,7,8,2,4,2,56,0,0.423543
0,4,8,7,1,32,7,0,0.379747
0,1,56,4,14,8,2,0,0.410806
0,7,28,1,32,8,1,0,0.334811
0,98,2,4,1,64,1,0,0.17996
0,32,7,7,2,8,2,0,0.17243
0,4,392,1,16,1,2,0,0.136841
0,2,2,14,8,28,4,0,0.423781
0,14,2,8,4,28,2,0,0.424365
0,4,7,2,32,4,7,0,0.424059
0,196,2,1,32,1,4,0,0.284501
0,14,4,28,1,32,1,0,0.135775
0,7,4,2,64,7,2,0,0.423953
0,28,1,7,64,2,2,0,0.418447
0,8,1,14,14,16,2,0,0.418163
0,1,49,1,16,64,1,0,0.29449
0,8,49,2,32,1,2,0,0.206154
0,2,49,8,16,2,2,0,0.230309
0,4,4,7,14,32,1,0,0.379804
0,1,28,2,8,7,16,0,0.41541
0,224,1,1,56,2,2,0,0.335094
0,28,1,8,28,8,1,0,0.335664
0,28,1,8,56,4,1,0,0.335307
0,1,4,196,1,2,32,0,0.181062
0,28,1,2,4,28,8,0,0.416392
0,7,7,16,2,1,32,0,0.206187
0,1,4,196,4,4,4,0,0.228329
0,8,4,49,2,16,1,0,0.154863
0,98,8,2,1,2,16,0,0.155449
0,1,28,2,16,56,1,0,0.334397
0,14,4,7,32,4,1,0,0.321346
0,7,1,28,32,1,8,0,0.335009
0,98,2,1,4,32,2,0,0.424312
0,16,98,1,32,1,1,0,0.118508
0,7,8,1,16,56,1,0,0.334785
0,28,1,14,1,4,32,0,0.288673
0,1,98,1,2,64,4,0,0.336752
0,1,7,56,4,16,2,0,0.358376
0,28,7,2,8,16,1,0,0.321746
0,14,1,56,8,4,2,0,0.228552
0,1,2,49,64,1,8,0,0.337909
0,4,28,14,8,4,1,0,0.155155
0,28,2,1,448,1,2,0,0.334138
0,28,4,2,28,2,4,0,0.422553
0,8,49,4,1,16,2,0,0.15537
0,4,28,2,2,112,1,0,0.38017
0,56,1,7,64,1,2,0,0.289339
0,2,1,28,8,112,1,0,0.336042
0,1,2,112,7,4,8,0,0.416334
0,49,4,2,2,2,32,0,0.367107
0,4,28,1,1,28,16,0,0.296927
0,98,2,2,2,16,4,0,0.366307
0,8,7,7,2,64,1,0,0.328163
0,2,1,784,1,4,8,0,0.136797
0,14,8,2,7,2,16,0,0.423745
0,7,8,4,2,7,16,0,0.424331
0,1,56,7,2,4,16,0,0.355152
0,1,4,56,2,16,7,0,0.417522
0,112,7,2,1,1,32,0,0.136668
0,56,1,1,112,4,2,0,0.33504
0,1,4,28,56,2,4,0,0.418288
0,28,2,4,1,8,28,0,0.379503
0,7,4,28,1,8,8,0,0.206019
0,56,2,2,28,4,2,0,0.420536
0,4,14,4,7,16,2,0,0.424245
0,8,14,1,4,4,28,0,0.421513
0,1,392,4,2,8,2,0,0.172417
0,1,28,14,4,8,4,0,0.360427
0,4,49,4,16,4,1,0,0.210367
0,28,4,7,16,4,1,0,0.208727
0,4,1,49,2,2,64,0,0.423891
0,2,112,1,8,2,14,0,0.421001
0,112,1,1,2,32,7,0,0.335239
0,14,7,8,64,1,1,0,0.18047
0,2,8,14,4,1,56,0,0.379915
0,784,1,1,1,2,32,0,0.157302
0,98,8,1,4,1,16,0,0.181211
0,8,196,1,2,2,8,0,0.173111
0,14,2,4,1,7,64,0,0.379597
0,1,112,2,4,7,8,0,0.416784
0,7,8,4,7,16,2,0,0.424336
0,16,7,14,4,1,8,0,0.155316
0,49,1,32,32,1,1,0,0.118712
0,28,7,8,1,1,32,0,0.13658
0,7,16,7,1,4,16,0,0.209425
0,392,1,1,128,1,1,0,0.210148
0,196,2,2,64,1,1,0,0.180924
0,1,1,112,1,8,56,0,0.289932
0,1,784,2,8,1,4,0,0.136446
0,28,2,4,2,4,28,0,0.424631
0,4,4,49,1,8,8,0,0.205475
0,4,4,49,4,16,1,0,0.209136
0,7,4,28,4,8,2,0,0.230386
0,16,1,98,1,4,8,0,0.136569
0,14,4,1,1,16,56,0,0.257565
0,14,4,1,7,8,16,0,0.421846
0,2,4,7,7,2,64,0,0.424567
0,16,7,14,1,2,16,0,0.155079
0,196,2,2,1,2,32,0,0.206003
0,8,4,7,8,2,14,0,0.42296
0,14,2,2,28,4,8,0,0.424131
0,7,112,2,1,16,2,0,0.155274
0,7,2,14,4,4,16,0,0.424494
0,1,7,16,4,7,16,0,0.41673
0,2,98,2,128,1,1,0,0.283882
0,1,98,2,4,8,8,0,0.416827
0,28,1,4,16,4,7,0,0.417683
0,7,14,1,16,4,8,0,0.428205
0,14,2,28,4,4,4,0,0.229868
0,4,7,14,1,128,1,0,0.285877
0,7,4,4,1,28,16,0,0.379769
0,49,2,4,2,16,4,0,0.363071
0,1,16,7,8,4,14,0,0.416425
0,1,7,8,1,32,28,0,0.333279
0,8,7,2,14,1,32,0,0.380203
0,4,2,28,14,1,16,0,0.379906
0,7,1,28,128,1,2,0,0.334738
0,7,2,7,1,16,32,0,0.382915
0,1,1,98,64,1,8,0,0.293706
0,2,28,1,28,2,16,0,0.420101
0,4,2,98,2,32,1,0,0.209399
0,7,4,2,1,32,28,0,0.379536
0,2,8,14,1,224,1,0,0.330563
0,2,8,7,4,112,1,0,0.379612
0,28,28,2,2,8,2,0,0.172703
0,28,4,14,2,4,4,0,0.172862
0,16,7,2,7,8,4,0,0.42354
0,98,2,4,32,2,1,0,0.209317
0,2,98,1,1,256,1,0,0.290537
0,28,4,1,14,1,32,0,0.334617
0,2,49,2,8,2,16,0,0.424453
0,8,28,1,8,14,2,0,0.42484
0,1,4,28,1,56,8,0,0.333224
0,14,1,56,1,16,4,0,0.18459
0,7,8,4,112,2,1,0,0.377476
0,112,1,7,8,8,1,0,0.181717
0,4,4,7,224,2,1,0,0.379454
0,49,2,1,4,4,32,0,0.425964
0,28,2,2,1,448,1,0,0.330765
0,196,2,1,2,8,8,0,0.362292
0,1,8,196,16,2,1,0,0.136738
0,1,112,2,1,32,7,0,0.332339
0,16,2,7,14,1,16,0,0.380428
0,16,1,14,32,1,7,0,0.334241
0,2,4,49,2,4,16,0,0.36081
0,49,1,8,4,8,4,0,0.352329
0,196,1,4,8,8,1,0,0.181708
0,2,14,14,2,64,1,0,0.32896
0,2,4,14,14,16,2,0,0.423968
0,2,7,28,16,8,1,0,0.328259
0,49,2,2,64,1,4,0,0.380119
0,1,28,4,16,2,14,0,0.41581
0,49,2,1,8,64,1,0,0.337826
0,14,2,14,1,64,2,0,0.327488
0,4,49,8,32,1,1,0,0.136502
0,1,7,32,28,2,4,0,0.416476
0,8,1,98,32,1,2,0,0.181175
0,28,7,1,64,4,1,0,0.334944
0,1,56,1,1,128,7,0,0.290017
0,4,8,49,8,4,1,0,0.154846
0,14,1,4,14,16,4,0,0.415269
0,14,1,7,16,1,32,0,0.339047
0,49,8,2,4,4,4,0,0.229756
0,8,14,1,16,7,4,0,0.422479
0,7,2,4,2,14,32,0,0.424293
0,98,1,1,2,8,32,0,0.337513
0,49,1,16,4,1,16,0,0.181677
0,2,7,16,112,1,2,0,0.379962
0,1,1,112,14,16,2,0,0.33447
0,4,14,2,4,28,4,0,0.423463
0,1,112,1,1,7,64,0,0.290276
0,7,1,16,28,4,4,0,0.416922
0,1,28,14,32,2,2,0,0.361724
0,1,56,1,2,56,8,0,0.334863
0,1,28,4,56,2,4,0,0.416136
0,98,1,8,16,4,1,0,0.18133
0,14,8,2,1,8,28,0,0.379664
0,1,28,8,56,4,1,0,0.334961
0,1,7,32,4,4,14,0,0.416645
0,2,56,1,64,1,7,0,0.334808
0,7,1,7,16,32,2,0,0.427486
0,32,1,7,2,14,8,0,0.418546
0,2,56,7,4,2,8,0,0.229815
0,56,1,1,16,56,1,0,0.290254
0,7,1,7,32,8,4,0,0.427096
0,4,4,14,56,1,4,0,0.379927
0,1,7,8,1,224,4,0,0.333393
0,1,392,1,16,4,2,0,0.28842
0,28,1,2,112,1,8,0,0.334659
0,2,14,8,4,2,28,0,0.42412
0,14,1,16,32,1,7,0,0.335068
0,14,4,1,2,224,2,0,0.422078
0,1,28,4,4,112,1,0,0.334959
0,4,28,7,1,1,64,0,0.181013
0,7,1,7,256,2,2,0,0.426511
0,28,1,4,64,7,1,0,0.335416
0,7,1,16,8,4,14,0,0.417499
0,1,56,1,1,224,4,0,0.289798
0,1,392,1,2,64,1,0,0.250809
0,14,16,1,2,16,7,0,0.42275
0,7,4,14,1,32,4,0,0.327833
0,1,14,112,8,4,1,0,0.136661
0,1,1,112,448,1,1,0,0.245386
0,2,392,1,8,4,2,0,0.239663
0,2,7,28,1,2,64,0,0.326624
0,2,4,7,16,4,14,0,0.42301
0,1,49,16,8,8,1,0,0.181459
0,7,1,7,64,4,4,0,0.426578
0,8,14,2,2,112,1,0,0.377228
0,1,28,28,8,2,4,0,0.228306
0,7,2,16,4,56,1,0,0.380073
0,7,1,16,64,1,7,0,0.335121
0,28,2,28,8,1,4,0,0.155142
0,196,2,2,16,2,2,0,0.230154
0,7,1,28,256,1,1,0,0.28993
0,2,4,28,32,1,7,0,0.380122
