Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,1,176,1,8,88,1,0,12.5
1,88,11,1,2,1,64,0,12.5
1,22,11,1,4,32,4,0,12.5
1,1,44,11,128,1,2,0,12.5
0,44,22,2,2,8,4,0,90.28
0,242,1,1,16,1,32,0,90.28
1,2,8,22,22,2,8,0,12.5
1,4,2,22,1,16,44,0,12.5
1,2,8,11,22,4,8,0,12.5
1,11,2,16,11,4,8,0,12.5
1,1,176,11,1,8,8,0,12.5
1,1,88,2,1,11,64,0,12.5
0,1936,1,2,1,16,2,0,90.28
0,22,1,16,44,2,4,0,90.28
1,1,16,242,2,2,8,0,12.5
1,1,8,44,4,4,22,0,12.5
0,2,11,8,2,88,4,0,90.28
1,1,44,8,22,4,4,0,12.5
1,2,121,4,64,2,1,0,12.5
1,4,44,1,176,1,4,0,12.5
1,8,44,11,2,16,1,0,12.5
1,11,4,44,8,8,1,0,12.5
0,2,2,121,2,2,64,0,90.28
1,4,11,11,8,2,16,0,12.5
0,22,176,1,16,1,2,0,90.28
1,22,4,22,64,1,1,0,12.5
1,16,1,121,1,1,64,0,12.5
1,8,11,2,11,32,2,0,12.5
1,11,8,4,4,44,2,0,12.5
1,968,4,1,2,8,2,0,12.5
1,16,2,11,2,176,1,0,12.5
1,1,22,8,88,1,8,0,12.5
0,22,4,22,64,1,1,0,90.28
0,11,22,1,4,8,16,0,90.28
1,88,1,4,1,44,8,0,12.5
1,11,2,11,1,512,1,0,12.5
1,8,1,44,88,2,2,0,12.5
1,11,2,88,4,16,1,0,12.5
1,1,2,88,8,11,8,0,12.5
1,1,44,4,176,4,1,0,12.5
0,88,22,1,1,16,4,0,62.5
1,22,8,1,1,704,1,0,12.5
1,1,484,1,8,8,4,0,12.5
1,4,2,22,2,88,4,0,12.5
1,1,2,1936,4,2,4,0,12.5
1,8,44,1,1,11,32,0,12.5
1,11,11,2,256,2,1,0,12.5
1,2,176,1,4,8,11,0,12.5
1,1,3872,1,1,32,1,0,12.5
1,11,2,11,128,2,2,0,12.5
1,2,484,4,8,4,1,0,12.5
1,2,242,2,1,128,1,0,12.5
0,1,352,1,176,2,1,0,90.28
1,4,8,121,4,4,2,0,12.5
1,242,1,2,128,1,2,0,12.5
1,44,1,4,4,11,16,0,12.5
1,4,11,4,1,32,22,0,12.5
1,1,22,176,16,2,1,0,12.5
1,1,22,8,8,11,8,0,12.5
1,4,8,121,2,1,16,0,12.5
1,16,2,11,44,8,1,0,12.5
1,1,176,2,22,16,1,0,12.5
1,44,8,11,8,4,1,0,12.5
1,44,11,8,4,1,8,0,12.5
1,1,121,4,2,4,32,0,12.5
1,11,4,4,64,11,1,0,12.5
1,4,11,11,4,16,4,0,12.5
1,88,2,11,2,1,32,0,12.5
1,22,2,8,1,8,44,0,12.5
0,968,2,1,2,32,1,0,90.28
0,8,44,1,4,11,8,0,90.28
1,2,242,1,8,32,1,0,12.5
1,1,484,4,16,2,2,0,12.5
1,11,4,8,1,88,4,0,12.5
1,242,2,2,8,16,1,0,12.5
1,44,1,4,16,1,44,0,12.5
1,2,1,242,1,8,32,0,12.5
1,11,176,1,2,32,1,0,12.5
1,1,176,1,32,2,11,0,12.5
1,44,1,4,11,64,1,0,12.5
0,1,2,176,11,32,1,0,90.28
1,1,242,1,1,16,32,0,12.5
1,8,1,484,4,4,2,0,12.5
1,4,11,22,4,32,1,0,12.5
1,484,2,1,8,4,4,0,12.5
1,11,22,16,1,2,16,0,12.5
1,2,16,11,4,11,8,0,12.5
1,8,1,22,1,11,64,0,12.5
0,2,2,44,1,704,1,0,90.28
0,4,11,8,1,176,2,0,90.28
1,22,1,22,64,4,1,0,12.5
1,11,1,176,8,8,1,0,12.5
1,44,1,88,1,2,16,0,12.5
1,1,44,22,2,4,16,0,12.5
1,11,22,4,4,4,8,0,12.5
1,4,1,968,8,4,1,0,12.5
1,1,1,968,2,8,8,0,12.5
1,8,484,1,8,2,2,0,12.5
1,1,1,176,44,4,4,0,12.5
1,44,1,4,2,88,4,0,12.5
1,4,1,121,32,4,2,0,12.5
1,44,11,1,1,128,2,0,12.5
1,11,22,1,1,256,2,0,12.5
1,1,11,88,128,1,1,0,12.5
0,11,44,2,2,16,4,0,90.28
1,11,22,2,16,1,16,0,12.5
1,1,22,22,16,4,4,0,12.5
1,1,88,4,4,44,2,0,12.5
1,1,11,11,4,8,32,0,12.5
1,4,22,4,11,8,4,0,12.5
1,11,352,1,2,16,1,0,12.5
1,8,22,1,176,1,4,0,12.5
1,1,4,242,16,4,2,0,12.5
1,1,4,242,2,16,4,0,12.5
1,1,242,16,1,4,8,0,12.5
1,352,1,1,1,22,16,0,12.5
1,22,11,1,2,128,2,0,12.5
1,11,1,16,44,16,1,0,12.5
1,11,88,1,4,8,4,0,12.5
1,1,2,968,2,2,16,0,12.5
1,1,44,8,11,8,4,0,12.5
1,8,121,4,2,1,16,0,12.5
1,16,1,11,4,44,4,0,12.5
1,11,1,11,1,64,16,0,12.5
1,121,8,1,1,32,4,0,12.5
1,22,8,1,44,4,4,0,12.5
1,1,176,1,1,16,44,0,12.5
1,4,11,4,4,88,2,0,12.5
1,11,4,44,2,16,2,0,12.5
0,44,2,4,11,1,32,0,90.28
0,1,22,176,8,1,4,0,90.28
1,1,4,968,1,2,16,0,12.5
1,1,2,121,8,64,1,0,12.5
1,352,11,1,2,4,4,0,12.5
1,242,4,1,1,4,32,0,12.5
1,1,1,121,1,512,2,0,12.5
1,11,44,4,16,1,4,0,12.5
1,176,2,1,16,11,2,0,12.5
0,22,88,2,8,2,2,0,90.28
0,1,4,88,11,2,16,0,90.28
1,16,1,242,2,1,16,0,12.5
1,2,2,88,88,4,1,0,12.5
1,4,242,4,8,1,4,0,12.5
1,88,2,1,1,64,11,0,12.5
1,121,8,2,4,16,1,0,12.5
1,2,44,22,2,16,2,0,12.5
1,22,1,16,8,44,1,0,12.5
0,1,11,16,1,704,1,0,90.28
0,1,4,88,176,2,1,0,90.28
1,8,4,11,2,11,16,0,12.5
1,32,1,121,4,1,8,0,12.5
1,1,176,2,8,11,4,0,12.5
1,16,1,121,2,32,1,0,12.5
0,1,88,4,4,11,8,0,90.28
1,1,1,121,128,4,2,0,12.5
0,121,32,1,8,2,2,0,90.28
1,44,1,8,11,16,2,0,12.5
0,4,44,2,4,4,22,0,90.28
1,22,2,11,16,4,4,0,12.5
1,2,11,16,4,4,22,0,12.5
1,44,11,4,16,2,2,0,12.5
1,1,176,1,64,11,1,0,12.5
1,1,22,44,2,8,8,0,12.5
1,1,32,121,1,16,2,0,12.5
1,8,1,121,1,16,8,0,12.5
1,11,11,1,128,2,4,0,12.5
1,2,2,121,256,1,1,0,12.5
0,2,88,2,22,8,2,0,90.28
1,11,4,88,16,2,1,0,12.5
1,3872,1,1,4,8,1,0,12.5
1,1936,1,2,2,2,8,0,12.5
1,4,88,1,16,22,1,0,12.5
1,44,1,44,16,2,2,0,12.5
1,1,2,88,8,4,22,0,12.5
1,2,1,242,64,1,4,0,12.5
1,176,1,11,1,32,2,0,12.5
0,1,22,11,32,1,16,0,90.28
1,4,4,11,1,176,4,0,12.5
1,2,121,1,8,32,2,0,12.5
1,8,22,22,1,32,1,0,12.5
1,11,2,11,1,128,4,0,12.5
1,2,11,16,8,44,1,0,12.5
1,16,22,1,4,11,8,0,12.5
1,176,1,1,16,1,44,0,12.5
0,16,121,2,1,4,8,0,90.28
1,121,2,4,8,2,8,0,12.5
1,4,22,44,1,2,16,0,12.5
1,88,44,1,8,1,4,0,12.5
1,2,2,484,2,1,32,0,12.5
1,11,4,4,11,4,16,0,12.5
1,88,4,1,4,22,4,0,12.5
1,11,2,8,8,2,44,0,12.5
1,242,1,8,16,2,2,0,12.5
1,2,176,1,11,2,16,0,12.5
0,1,88,22,2,8,4,0,90.28
1,4,484,1,16,4,1,0,12.5
0,4,121,4,32,1,2,0,90.28
1,16,1,22,44,2,4,0,12.5
1,484,1,2,4,2,16,0,12.5
1,22,1,44,32,2,2,0,12.5
1,1,88,11,4,2,16,0,12.5
1,11,11,2,8,1,64,0,12.5
1,16,22,1,1,16,22,0,12.5
1,1,1,1936,16,1,4,0,12.5
1,1,4,242,1,128,1,0,12.5
1,1,484,4,2,32,1,0,12.5
0,1,11,88,16,1,8,0,90.28
