Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,32,2,2,16,1,32,0,0.046523
1,2,4,256,2,16,1,0,0.047839
1,1,2,32,4,8,32,0,0.047587
1,1,4,32,16,4,8,0,0.047411
1,1,256,2,1,2,64,0,0.047085
1,512,2,2,1,8,4,0,0.047481
1,8,1,128,4,8,2,0,0.046388
0,2,256,4,2,16,1,0,0.724586
1,16,16,4,4,16,1,0,0.046697
1,2,128,4,2,8,4,0,0.046657
1,64,16,2,1,8,4,0,0.047802
1,32,2,32,1,1,32,0,0.047733
1,1,512,1,4,2,16,0,0.046403
1,512,1,1,4,4,8,0,0.046411
1,1,4,64,4,64,1,0,0.045978
1,1,64,2,32,8,2,0,0.046426
1,16,4,4,128,1,2,0,0.047575
1,2,1,64,128,1,4,0,0.047015
1,128,4,4,2,2,8,0,0.048244
0,16,64,1,1,64,1,0,0.73339
1,2,16,16,64,2,1,0,0.046119
1,1,2048,1,1,4,8,0,0.047625
1,8,2,32,4,2,16,0,0.046217
1,8,1,8,32,32,1,0,0.047852
1,2,2,64,1,128,2,0,0.047633
1,2,16,16,64,1,2,0,0.046897
0,512,1,1,2,4,16,0,0.856325
1,32,4,2,16,8,2,0,0.047685
1,64,2,4,1,16,8,0,0.046493
1,64,1,1,2,128,4,0,0.047094
1,4,32,4,8,4,4,0,0.045767
1,16,1,4,2,16,32,0,0.047856
1,32,64,1,4,1,8,0,0.04822
1,512,1,1,8,16,1,0,0.045887
1,1,16,128,16,1,2,0,0.047943
1,4,4,32,8,2,8,0,0.046759
1,2,4,32,8,32,1,0,0.04697
1,1,64,2,256,1,2,0,0.047275
1,2,32,1,16,32,2,0,0.047656
1,16,4,2,16,4,8,0,0.047594
1,2,4,8,4,32,8,0,0.046992
1,1,1,256,16,8,2,0,0.04614
1,4,128,4,4,4,2,0,0.047391
1,8,128,2,4,2,4,0,0.04823
1,2,16,64,2,4,4,0,0.047727
1,4,64,2,1,8,16,0,0.045719
1,2,2,64,2,32,4,0,0.0465
1,32,1,16,8,16,1,0,0.046855
1,8,4,4,128,2,2,0,0.046748
1,2,1,64,16,2,16,0,0.047085
0,4,2,256,4,1,8,0,0.72867
0,4,64,2,32,1,4,0,0.788517
0,1,512,4,8,1,4,0,0.72168
0,8,4,64,4,8,1,0,0.72233
1,8,16,16,1,16,2,0,0.048521
1,2,8,32,2,8,8,0,0.046634
1,256,1,8,2,2,8,0,0.046994
1,2,2,512,2,8,2,0,0.047766
1,2,1024,1,1,4,8,0,0.259043
1,4,16,4,128,2,1,0,0.046665
1,4,2,64,16,1,8,0,0.045971
1,16,4,2,4,4,32,0,0.04772
1,8,4,4,128,1,4,0,0.047435
1,2,8,64,8,1,8,0,0.046598
1,2,16,16,1,16,8,0,0.046247
1,2,256,2,32,1,2,0,0.046471
1,2,256,4,4,4,2,0,0.047315
1,1,64,1,128,1,8,0,0.04701
1,2,8,32,2,32,2,0,0.047283
1,1,128,2,1,64,4,0,0.046107
1,1,4,128,32,1,4,0,0.046486
1,64,2,16,1,2,16,0,0.048213
1,16,4,2,256,1,2,0,0.046827
0,1,64,32,1,8,4,0,0.683856
1,1,32,8,8,4,8,0,0.04636
1,256,1,2,16,1,8,0,0.045796
1,2,2,128,4,4,8,0,0.046785
1,1,32,4,32,1,16,0,0.048078
1,16,2,32,32,1,2,0,0.046799
1,4,256,1,2,2,16,0,0.046261
1,16,1,8,256,1,2,0,0.04758
1,8,32,1,2,32,4,0,0.046381
1,64,2,1,4,2,64,0,0.047307
1,1,64,2,4,4,32,0,0.046945
0,128,4,2,1,8,8,0,0.832988
1,32,32,2,4,4,2,0,0.047275
0,1,256,4,2,16,2,0,0.819742
