Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,2,2,32,36,2,4,0,0.044572
1,32,2,3,1,3,64,0,0.042552
0,2,4,24,64,1,3,0,0.642502
1,12,2,12,4,8,4,0,0.042629
0,4,48,1,12,1,16,0,0.621918
0,16,12,1,1,96,2,0,0.654737
1,12,8,4,12,2,4,0,0.042467
1,4,96,1,1,6,16,0,0.410459
0,3,6,16,16,4,2,0,0.659827
1,16,2,3,12,4,8,0,0.045303
1,64,1,1,4,16,9,0,0.046012
1,6,6,8,2,4,16,0,0.042686
1,2,3,8,64,4,3,0,0.048488
1,18,1,2,1,256,4,0,0.050001
0,8,2,12,1,16,12,0,0.645595
1,3,32,6,16,2,2,0,0.043064
0,4,1,48,3,64,1,0,0.620035
1,48,1,2,16,8,3,0,0.045089
1,4,6,2,3,8,32,0,0.04866
1,1,4,48,48,2,2,0,0.04288
1,64,1,2,9,32,1,0,0.04446
1,6,6,1,2,64,8,0,0.050353
1,12,48,1,1,4,16,0,0.147573
1,96,3,4,1,8,4,0,0.050775
1,4,4,3,12,2,32,0,0.048558
0,3,6,4,1,16,32,0,0.600038
0,6,1,8,8,2,48,0,0.677149
0,8,1,16,4,2,36,0,0.685224
1,6,1,64,1,48,2,0,0.042748
1,24,4,1,64,2,3,0,0.04502
1,8,1,48,4,3,8,0,0.043055
1,96,2,2,2,3,16,0,0.042486
1,1,24,16,1,2,48,0,0.042628
0,12,32,3,2,2,8,0,0.51282
0,32,3,2,8,4,6,0,0.673949
0,12,8,4,12,2,4,0,0.608811
1,12,2,8,2,24,4,0,0.042975
1,8,6,6,16,8,1,0,0.042886
0,6,24,2,8,8,2,0,0.630695
0,1,32,9,2,4,16,0,0.659852
1,3,8,2,8,12,8,0,0.048407
1,2,64,1,24,4,3,0,0.044657
1,4,1,12,1,12,64,0,0.048388
1,4,36,2,1,8,16,0,0.042969
0,6,32,1,48,2,2,0,0.661017
1,12,16,1,6,2,16,0,0.0428
1,3,12,4,8,8,4,0,0.043032
0,32,3,3,2,64,1,0,0.635944
0,2,4,48,3,2,16,0,0.681971
1,9,16,8,2,8,2,0,0.050944
1,24,12,1,16,2,4,0,0.042829
1,96,1,1,2,192,1,0,0.044952
1,6,6,2,32,16,1,0,0.046823
1,16,4,6,4,12,2,0,0.042321
1,2,8,8,9,8,4,0,0.044802
1,2,9,64,2,8,2,0,0.050688
1,4,16,2,12,8,3,0,0.044251
1,8,4,6,3,2,32,0,0.042379
1,3,6,4,2,256,1,0,0.046914
0,16,4,6,4,12,2,0,0.652208
0,12,8,3,1,16,8,0,0.639701
1,1,1,128,1,48,6,0,0.044513
1,9,2,2,4,8,32,0,0.049916
1,4,8,3,3,4,32,0,0.04505
1,3,8,4,6,64,1,0,0.045443
1,1,8,18,1,8,32,0,0.043527
1,6,2,32,12,1,8,0,0.042444
1,4,16,3,2,3,32,0,0.042677
1,2,1,18,2,128,4,0,0.050317
1,8,36,2,16,1,4,0,0.042834
1,72,4,4,2,1,16,0,0.050485
1,8,2,12,12,4,4,0,0.043113
1,2,4,18,2,4,32,0,0.043316
