Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,4,10,40,4,4,4,0,5.31
0,400,4,1,1,8,8,0,33.67
1,128,1,25,1,8,4,0,2.9
1,1,4,32,5,160,1,0,6.02
1,20,8,1,4,8,20,0,6.0
1,4,16,10,1,20,8,0,2.42
1,10,8,4,5,32,2,0,3.73
0,1,5,32,1,320,2,0,31.11
1,10,80,2,4,1,16,0,5.06
0,2,20,20,4,16,2,0,31.59
1,2,25,8,64,1,4,0,8.27
0,10,320,1,1,4,8,0,31.77
1,8,1,80,32,1,5,0,3.6
1,2,5,20,32,8,2,0,9.84
1,8,1,16,50,8,2,0,6.24
0,4,5,16,16,10,2,0,30.49
1,8,40,5,8,2,4,0,6.3
1,4,2,20,20,8,4,0,7.98
0,800,1,1,1,128,1,0,32.75
0,1,10,64,1,160,1,0,31.04
1,2,5,16,40,4,4,0,7.06
1,4,2,80,32,1,5,0,4.13
0,4,32,5,20,2,4,0,30.97
1,25,8,2,1,8,32,0,8.85
1,5,4,160,2,8,2,0,4.43
0,8,10,4,2,16,10,0,30.69
0,1,25,4,2,512,1,0,33.34
0,80,2,5,32,4,1,0,30.5
0,20,40,2,32,2,1,0,31.77
1,2,1,50,1,16,64,0,10.73
1,1,10,16,1,64,10,0,6.56
1,5,64,5,2,2,16,0,7.32
0,1,4,40,40,1,16,0,30.75
1,20,20,4,4,16,1,0,5.72
1,80,1,8,4,2,20,0,3.63
0,8,5,20,4,16,2,0,30.49
1,4,50,4,2,2,32,0,6.98
1,5,32,4,4,2,20,0,5.29
1,8,10,5,1,4,64,0,9.46
1,200,1,1,64,1,8,0,11.96
0,160,1,1,8,5,16,0,31.86
0,2,80,2,64,5,1,0,29.94
0,2,2,80,2,20,8,0,29.88
0,1,32,20,2,80,1,0,30.75
1,8,20,1,20,4,8,0,6.94
1,16,5,20,1,32,2,0,6.73
1,80,8,5,1,32,1,0,3.13
0,4,40,2,80,2,2,0,30.32
0,16,5,40,8,1,4,0,30.3
1,1,40,10,32,4,2,0,8.33
1,2,32,5,1,16,20,0,5.24
0,40,2,8,16,2,5,0,30.26
1,5,8,4,40,1,16,0,7.91
1,50,1,32,2,4,8,0,5.35
0,4,16,10,1,20,8,0,30.33
1,1,2,1600,1,16,2,0,3.39
0,16,2,10,4,20,4,0,30.17
1,80,1,20,4,16,1,0,7.0
1,40,40,2,32,1,1,0,3.6
