Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 16,  2,  1,  16,  1,  8, 0,84.19 
 1, 1,  4,  1,  8,  8,  16, 0,13.8 
 0, 1,  4,  1,  1024,  1,  1, 1,15.64 
 0, 4,  1,  16,  2,  2,  16, 1,57.38 
 0, 1,  8,  1,  64,  8,  1, 1,31.12 
 1, 1,  16,  2,  1,  64,  2, 0,81.97 
 1, 1,  2,  64,  4,  1,  8, 0,90.89 
 1, 1,  4,  1,  8,  32,  4, 0,13.82 
 1, 2,  1,  32,  1,  32,  2, 0,88.52 
 1, 16,  1,  2,  128,  1,  1, 0,85.92 
 1, 1,  1,  32,  128,  1,  1, 0,83.53 
 0, 1,  4,  1,  8,  8,  16, 0,7.52 
 0, 8,  2,  2,  1,  16,  8, 0,50.33 
 0, 1,  8,  4,  8,  2,  8, 0,51.13 
 0, 1,  4,  4,  4,  8,  8, 0,29.01 
 0, 1,  4,  1,  8,  8,  16, 1,16.03 
 0, 2,  2,  2,  1,  64,  8, 0,14.9 
 0, 1,  2,  4,  2,  4,  64, 0,14.73 
 0, 8,  8,  2,  1,  4,  8, 0,48.36 
 0, 16,  1,  1,  32,  4,  2, 1,58.37 
 1, 32,  2,  2,  2,  8,  2, 0,91.13 
 0, 1,  16,  2,  4,  32,  1, 0,49.57 
 0, 2,  8,  2,  64,  1,  2, 0,49.69 
 0, 1,  4,  2,  256,  2,  1, 0,15.7 
 0, 4,  1,  2,  32,  4,  4, 0,14.6 
 0, 1,  2,  4,  16,  2,  16, 0,14.95 
 0, 2,  8,  2,  4,  1,  32, 0,43.4 
 1, 1,  8,  4,  8,  4,  4, 0,83.3 
 0, 4,  1,  8,  1,  128,  1, 0,48.66 
 0, 4,  8,  2,  8,  1,  8, 0,50.02 
 0, 8,  8,  1,  16,  1,  4, 0,49.15 
 0, 1,  8,  1,  8,  4,  16, 0,14.61 
 0, 1,  16,  8,  2,  16,  1, 0,48.32 
 0, 1,  4,  2,  16,  16,  2, 1,32.09 
 0, 2,  4,  1,  2,  256,  1, 0,14.6 
 0, 2,  4,  8,  8,  8,  1, 0,49.94 
 1, 1,  4,  1,  8,  8,  16, 1,26.11 
 0, 4,  8,  1,  16,  1,  8, 1,59.61 
 0, 8,  1,  8,  16,  4,  1, 0,49.54 
 0, 8,  2,  4,  1,  64,  1, 0,49.33 
 0, 2,  2,  1,  32,  16,  2, 0,7.34 
 0, 1,  1,  4,  64,  2,  8, 1,15.65 
 0, 16,  2,  1,  2,  32,  2, 0,49.13 
 0, 1,  2,  2,  4,  8,  32, 1,15.98 
 0, 4,  1,  4,  2,  16,  8, 0,28.4 
 1, 2,  2,  1,  32,  16,  2, 0,13.87 
 1, 8,  8,  1,  4,  8,  2, 0,89.3 
 0, 8,  2,  4,  2,  2,  16, 0,49.7 
 0, 16,  1,  4,  1,  8,  8, 0,47.43 
 0, 1,  4,  2,  128,  1,  4, 0,14.45 
 1, 2,  2,  4,  8,  4,  8, 0,51.87 
 1, 4,  16,  1,  1,  1,  64, 0,88.89 
 0, 1,  8,  2,  8,  4,  8, 0,29.01 
 0, 4,  16,  2,  1,  1,  32, 0,48.12 
 0, 1,  4,  1,  2,  16,  32, 0,7.41 
 0, 16,  2,  2,  4,  16,  1, 0,49.69 
 0, 2,  2,  1,  32,  16,  2, 1,15.61 
 0, 4,  1,  16,  16,  1,  4, 0,48.97 
 0, 1,  8,  8,  1,  16,  4, 0,49.27 
 0, 2,  8,  2,  1,  128,  1, 0,49.85 
 0, 1,  1,  64,  2,  16,  2, 0,50.34 
 0, 8,  8,  1,  2,  32,  1, 1,57.13 
 0, 8,  1,  1,  8,  16,  4, 0,14.42 
 0, 2,  4,  2,  2,  16,  8, 0,29.78 
 0, 2,  8,  4,  2,  16,  2, 0,50.11 
 0, 1,  8,  8,  1,  1,  64, 0,49.34 
 0, 1,  2,  64,  1,  1,  32, 0,52.08 
 0, 1,  8,  1,  64,  1,  8, 0,14.41 
 0, 1,  8,  1,  4,  4,  32, 0,14.9 
 0, 1,  32,  1,  4,  2,  16, 0,48.56 
 0, 1,  1,  128,  8,  2,  2, 0,48.15 
 1, 1,  32,  2,  4,  2,  8, 0,89.01 
 0, 1,  2,  32,  2,  32,  1, 0,53.1 
 0, 1,  32,  4,  32,  1,  1, 0,55.79 
 0, 8,  2,  1,  2,  2,  64, 0,29.5 
 0, 4,  1,  8,  8,  16,  1, 0,48.95 
 0, 4,  2,  4,  2,  64,  1, 0,49.71 
 0, 8,  1,  2,  8,  32,  1, 0,28.88 
 1, 16,  4,  2,  1,  1,  32, 0,91.11 
 0, 4,  1,  8,  8,  1,  16, 0,49.37 
 0, 2,  1,  8,  2,  64,  2, 0,28.42 
 0, 2,  4,  1,  64,  4,  2, 0,14.66 
 0, 1,  32,  1,  8,  4,  4, 0,49.56 
 1, 1,  8,  8,  16,  1,  4, 0,89.08 
 0, 4,  4,  2,  16,  1,  8, 1,59.98 
 0, 4,  4,  4,  4,  16,  1, 1,59.29 
 1, 8,  2,  2,  32,  4,  1, 0,83.73 
 0, 32,  4,  1,  1,  32,  1, 0,48.44 
 0, 4,  2,  1,  128,  4,  1, 0,14.42 
 0, 16,  1,  1,  4,  16,  4, 0,28.63 
 0, 4,  1,  8,  64,  2,  1, 0,48.95 
 0, 1,  1,  16,  2,  8,  16, 0,28.95 
 0, 4,  1,  2,  8,  64,  1, 0,14.67 
 1, 1,  2,  4,  4,  8,  16, 0,27.07 
 0, 1,  4,  8,  32,  1,  4, 1,55.47 
 0, 2,  8,  2,  1,  4,  32, 0,50.09 
 0, 32,  2,  2,  16,  2,  1, 0,46.96 
 0, 4,  8,  2,  32,  2,  1, 0,49.54 
 0, 1,  8,  8,  8,  1,  8, 0,47.34 
