Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 7,  28,  1,  2,  4,  32, 1,90.73 
 1, 2,  2,  196,  4,  4,  4, 0,97.56 
 1, 2,  28,  2,  1,  112,  4, 1,94.81 
 1, 16,  1,  7,  7,  16,  4, 1,93.27 
 1, 4,  14,  7,  8,  1,  16, 1,91.19 
 1, 14,  2,  4,  28,  1,  16, 1,92.55 
 1, 2,  28,  1,  14,  2,  32, 0,97.62 
 0, 7,  112,  1,  8,  1,  8, 0,56.45 
 1, 1,  14,  16,  2,  8,  14, 0,97.46 
 0, 1,  2,  392,  1,  32,  2, 0,57.09 
 0, 16,  49,  1,  2,  8,  4, 1,69.67 
 1, 14,  4,  28,  1,  8,  4, 0,92.45 
 0, 28,  4,  1,  32,  1,  14, 1,68.37 
 0, 7,  112,  1,  8,  1,  8, 1,69.04 
 0, 2,  2,  49,  2,  2,  64, 0,60.72 
 0, 4,  2,  14,  14,  2,  16, 1,69.71 
 0, 2,  56,  1,  7,  32,  2, 0,60.24 
 1, 7,  7,  8,  16,  4,  2, 1,94.93 
 0, 1,  7,  16,  1,  16,  28, 1,69.66 
 0, 1,  56,  2,  4,  7,  16, 0,63.15 
 0, 2,  4,  98,  1,  16,  4, 0,56.61 
 0, 2,  4,  14,  2,  28,  8, 0,62.69 
 0, 28,  1,  28,  1,  8,  8, 1,67.35 
 0, 1,  1,  112,  112,  2,  2, 0,62.49 
 0, 1,  56,  7,  8,  1,  16, 0,58.0 
 0, 56,  2,  2,  1,  224,  1, 1,70.67 
 1, 2,  56,  1,  14,  1,  32, 0,97.5 
 1, 2,  4,  14,  56,  2,  4, 0,97.72 
 1, 8,  2,  49,  64,  1,  1, 0,97.66 
 0, 8,  2,  7,  32,  7,  2, 1,68.37 
 0, 7,  8,  7,  2,  1,  64, 0,59.11 
 0, 1,  14,  28,  32,  4,  1, 0,59.31 
 0, 2,  4,  7,  16,  56,  1, 0,62.45 
 0, 1,  16,  98,  8,  2,  2, 1,70.06 
 0, 14,  8,  7,  1,  64,  1, 0,57.72 
 0, 28,  14,  2,  4,  16,  1, 1,69.19 
