Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,28,7,1,16,4,4,0,0.412851
0,2,2,98,2,4,16,0,0.325751
0,4,14,4,1,224,1,0,0.41087
0,2,7,4,14,2,32,0,0.410537
0,7,2,112,2,4,4,0,0.073603
0,7,7,1,8,128,1,0,0.42252
0,49,8,1,64,1,2,0,0.326254
0,14,2,56,1,32,1,0,0.076438
0,4,28,2,1,4,56,0,0.407126
0,1,112,2,16,14,1,0,0.409013
0,7,2,16,7,4,8,0,0.408556
0,14,2,7,4,8,8,0,0.409177
0,4,4,49,16,1,4,0,0.185485
0,1,28,2,16,7,8,0,0.417277
0,2,2,28,448,1,1,0,0.410341
0,14,16,7,4,1,8,0,0.073217
0,1,7,224,32,1,1,0,0.072389
0,2,56,7,2,1,32,0,0.183477
0,2,7,4,8,8,14,0,0.411399
0,7,4,28,1,1,64,0,0.189388
0,7,16,1,16,1,28,0,0.410022
0,4,8,7,4,8,7,0,0.40733
0,98,8,2,4,8,1,0,0.073428
0,2,196,4,16,1,2,0,0.072952
0,1,56,1,32,4,7,0,0.409919
0,4,2,28,4,8,7,0,0.407644
0,2,2,28,7,4,16,0,0.410433
0,98,1,8,4,8,2,0,0.188006
0,2,4,7,8,16,7,0,0.410973
0,1,1,224,4,14,4,0,0.406973
0,4,4,49,1,16,4,0,0.183964
0,1,4,98,8,4,4,0,0.329996
0,1,4,56,2,7,16,0,0.412787
0,1,28,4,28,2,8,0,0.415443
0,196,2,4,16,1,2,0,0.073749
0,2,7,4,2,112,4,0,0.410558
0,2,98,1,4,32,2,0,0.412688
0,2,2,56,1,16,14,0,0.406834
0,2,14,2,112,8,1,0,0.410104
0,2,2,392,1,2,16,0,0.073086
0,7,8,1,8,2,56,0,0.414773
0,49,4,1,4,32,2,0,0.412047
0,1,16,7,8,56,1,0,0.412415
0,1,2,112,14,16,1,0,0.412065
0,2,56,2,14,1,16,0,0.407803
0,4,4,14,7,2,16,0,0.407956
0,8,7,2,4,8,14,0,0.411374
0,784,1,2,2,4,4,0,0.077537
0,7,2,7,2,256,1,0,0.413508
0,2,7,7,8,8,8,0,0.413648
0,2,14,2,16,7,8,0,0.410585
0,2,1,28,16,8,7,0,0.416315
0,1,7,7,4,32,8,0,0.424087
0,16,49,1,4,8,2,0,0.193323
0,8,28,7,16,2,1,0,0.073059
0,7,4,4,4,56,2,0,0.411094
0,4,98,1,1,2,64,0,0.339958
0,16,14,7,32,1,1,0,0.073986
0,112,1,2,8,2,14,0,0.411944
0,49,1,4,4,32,2,0,0.413831
0,2,28,2,1,28,16,0,0.409616
0,4,4,7,56,2,4,0,0.411231
0,4,7,4,14,16,2,0,0.411153
0,1,14,4,8,2,56,0,0.416957
0,2,49,16,32,1,1,0,0.073594
0,56,1,4,8,1,28,0,0.406325
0,1,2,56,2,112,2,0,0.415474
0,1,1,56,2,32,14,0,0.4105
0,56,1,1,4,56,4,0,0.409614
0,7,56,1,4,8,4,0,0.329018
0,28,28,2,1,2,16,0,0.07309
0,4,1,14,2,7,64,0,0.415723
0,1,2,28,2,56,8,0,0.416724
0,7,1,16,14,2,16,0,0.415444
0,8,1,14,32,1,14,0,0.40966
0,2,49,1,1,8,64,0,0.475105
0,1,1,196,2,32,4,0,0.408978
0,1,4,28,1,56,8,0,0.411836
0,14,1,112,32,1,1,0,0.074834
0,1,14,7,32,16,1,0,0.414169
0,7,4,4,2,7,32,0,0.410483
0,7,1,28,16,16,1,0,0.408757
0,2,14,8,1,32,7,0,0.407691
0,2,4,7,16,56,1,0,0.410873
0,4,8,7,4,1,56,0,0.407243
0,4,7,2,2,32,14,0,0.410452
0,7,7,2,8,16,4,0,0.420647
0,7,7,1,1,64,16,0,0.542806
0,1,28,14,1,2,64,0,0.324308
0,2,8,14,16,14,1,0,0.407359
0,1,7,16,8,8,7,0,0.415774
0,14,1,8,14,32,1,0,0.409975
0,4,7,28,4,4,4,0,0.190339
0,7,28,4,64,1,1,0,0.189771
0,1,7,8,2,14,32,0,0.416276
0,7,16,14,16,2,1,0,0.073163
0,8,7,4,1,224,1,0,0.411414
0,1,16,14,2,2,56,0,0.413433
0,1,224,1,7,2,16,0,0.41396
0,4,7,2,1,224,4,0,0.409919
0,4,56,1,8,2,14,0,0.411002
0,1,224,1,112,2,1,0,0.4065
0,56,1,2,14,8,4,0,0.416649
0,2,49,1,32,1,16,0,0.413332
0,7,16,1,2,32,7,0,0.414939
0,7,2,4,2,32,14,0,0.410684
0,2,98,1,8,8,4,0,0.413564
0,7,14,4,4,8,4,0,0.326673
0,1,16,14,28,2,4,0,0.413204
0,2,1,98,128,1,2,0,0.407756
0,28,1,4,224,1,2,0,0.40939
0,28,4,7,2,32,1,0,0.190087
0,1,49,16,16,1,4,0,0.18317
0,14,1,7,1,8,64,0,0.41304
0,49,1,32,4,8,1,0,0.072483
0,28,1,8,2,8,14,0,0.412533
0,224,1,7,2,1,16,0,0.072871
0,1,8,14,112,2,2,0,0.416068
0,1,8,14,7,32,2,0,0.417207
0,16,7,1,14,2,16,0,0.414501
0,2,2,14,16,56,1,0,0.410426
0,49,2,8,1,2,32,0,0.185328
0,14,28,2,16,4,1,0,0.18559
0,7,224,1,16,2,1,0,0.072729
0,1,16,7,4,112,1,0,0.409475
0,49,1,1,32,1,32,0,0.415325
0,4,7,2,28,1,32,0,0.410611
0,4,14,2,56,2,4,0,0.410407
0,49,2,4,16,4,2,0,0.325875
0,4,196,1,64,1,1,0,0.182944
0,1,28,2,1,28,32,0,0.412726
0,2,2,49,16,8,2,0,0.409142
0,49,2,1,256,1,2,0,0.413392
0,1,7,7,64,4,4,0,0.425076
0,4,14,14,1,8,8,0,0.183638
0,1,56,2,14,4,8,0,0.416378
0,1,16,14,1,32,7,0,0.411353
0,14,4,1,7,16,8,0,0.414846
0,1,1,98,16,4,8,0,0.413591
0,2,196,2,1,1,64,0,0.185346
0,4,1,28,28,8,2,0,0.415108
0,224,1,1,7,32,1,0,0.406991
0,2,2,49,8,4,8,0,0.410591
0,1,14,8,28,4,4,0,0.41596
0,2,56,2,2,8,14,0,0.407321
0,1,49,2,1,8,64,0,0.416803
0,1,1,224,28,1,8,0,0.406972
0,7,7,1,2,8,64,0,0.42041
0,4,2,7,16,1,56,0,0.410389
0,2,7,7,128,2,2,0,0.414097
0,1,7,56,8,1,16,0,0.320888
0,8,1,98,2,16,2,0,0.18659
0,7,7,2,128,1,4,0,0.413787
0,1,196,4,2,4,8,0,0.188828
0,14,8,14,1,32,1,0,0.076396
0,2,14,4,2,16,14,0,0.410184
0,196,4,2,1,16,2,0,0.073586
0,56,14,1,64,1,1,0,0.185539
0,1,2,28,16,28,2,0,0.417028
0,14,1,16,4,2,28,0,0.41169
0,1,2,49,4,2,64,0,0.420532
0,1,112,1,1,28,16,0,0.408986
0,8,98,2,1,8,4,0,0.073044
0,14,7,8,4,8,2,0,0.184714
0,14,8,1,16,7,4,0,0.414606
0,2,2,56,1,224,1,0,0.410195
0,8,28,1,7,8,4,0,0.411287
0,1,49,1,32,1,32,0,0.416456
0,2,1,49,1,64,8,0,0.413133
0,8,4,49,1,4,8,0,0.073143
0,28,1,14,64,2,1,0,0.324779
0,56,14,1,1,4,16,0,0.194366
0,2,49,8,2,8,4,0,0.189335
0,2,14,28,8,2,4,0,0.184974
0,14,4,14,1,2,32,0,0.183509
0,2,4,14,2,7,32,0,0.410578
0,8,98,1,1,2,32,0,0.192279
0,4,2,7,1,112,8,0,0.410788
0,49,2,1,4,2,64,0,0.418062
0,4,28,7,1,8,8,0,0.183499
0,4,49,8,16,1,2,0,0.073543
0,7,4,14,32,1,4,0,0.312389
0,2,2,28,7,1,64,0,0.409736
0,56,2,14,1,4,8,0,0.073087
0,392,1,1,1,128,1,0,0.318397
0,2,14,2,1,32,28,0,0.41018
0,2,4,7,1,224,4,0,0.410257
0,4,98,1,2,1,64,0,0.323511
0,196,1,4,16,4,1,0,0.18284
0,1,28,14,16,2,4,0,0.334756
0,1,2,112,28,8,1,0,0.407
0,1,8,28,2,56,2,0,0.413888
0,1,7,32,32,1,7,0,0.406981
0,2,1,196,1,4,32,0,0.325022
0,14,28,1,2,32,2,0,0.326381
0,1,1,98,32,2,8,0,0.413551
0,392,2,2,8,4,1,0,0.073166
0,14,2,28,4,16,1,0,0.183415
0,56,2,2,1,112,2,0,0.407065
0,28,4,1,224,1,2,0,0.409219
0,4,392,1,2,16,1,0,0.072587
0,1,1,98,1,32,16,0,0.413513
0,392,4,1,8,1,4,0,0.072674
0,1,7,8,128,1,7,0,0.410139
0,1,2,112,14,4,4,0,0.414575
0,196,1,2,64,2,1,0,0.323488
0,98,4,2,64,1,1,0,0.184772
0,4,1,56,16,1,14,0,0.406257
0,1,2,28,14,4,16,0,0.417071
0,8,7,1,28,4,8,0,0.414523
0,4,56,7,1,2,16,0,0.073228
0,2,56,1,16,28,1,0,0.409103
0,49,2,4,1,128,1,0,0.329729
0,56,1,14,4,16,1,0,0.189787
0,7,7,2,1,32,16,0,0.41322
0,8,2,49,4,4,4,0,0.184266
0,2,4,49,1,32,4,0,0.320533
0,4,98,1,2,4,16,0,0.330429
0,7,56,4,4,8,1,0,0.073558
0,28,2,2,8,7,8,0,0.410335
0,1,98,1,2,32,8,0,0.413313
0,98,1,4,2,8,8,0,0.325987
0,4,98,4,2,16,1,0,0.075198
0,1,2,784,4,4,2,0,0.077278
0,1,4,14,7,8,16,0,0.417011
0,2,28,7,1,64,2,0,0.317481
0,7,2,8,1,112,4,0,0.410055
0,7,1,8,224,2,2,0,0.416077
0,7,1,14,16,4,8,0,0.419194
0,16,1,7,28,8,2,0,0.41537
0,1,14,56,4,2,8,0,0.188427
0,8,2,98,1,8,4,0,0.073118
0,1,4,28,8,1,56,0,0.409593
0,4,2,49,1,4,32,0,0.325412
0,1,392,2,8,2,4,0,0.188964
0,16,98,1,8,1,4,0,0.072698
0,14,4,7,4,32,1,0,0.32364
0,1,1,224,4,28,2,0,0.406858
0,8,14,7,8,1,8,0,0.183724
0,2,1,49,4,32,4,0,0.419594
0,7,1,8,32,7,4,0,0.415773
0,8,2,7,2,56,4,0,0.410463
0,28,2,4,1,7,32,0,0.40684
0,1,49,2,1,512,1,0,0.413482
0,7,8,7,1,32,4,0,0.323374
0,2,28,14,4,2,8,0,0.184015
0,16,1,49,4,2,8,0,0.1887
0,1,7,16,8,2,28,0,0.416395
0,56,14,2,16,2,1,0,0.072917
0,2,1,28,28,32,1,0,0.409809
0,4,49,8,4,4,2,0,0.073899
0,8,1,49,1,8,16,0,0.319521
0,98,1,16,2,16,1,0,0.072424
0,56,1,14,2,32,1,0,0.183506
0,1568,1,1,32,1,1,0,0.071344
0,14,4,7,2,2,32,0,0.326097
0,56,1,14,4,8,2,0,0.193959
0,8,1,196,2,2,8,0,0.076788
0,28,8,1,14,1,16,0,0.407691
0,28,2,1,7,4,32,0,0.415363
0,1,196,4,2,2,16,0,0.189249
0,2,4,196,1,4,8,0,0.073021
0,1,392,1,2,64,1,0,0.324039
0,2,7,16,1,32,7,0,0.407145
0,2,2,28,7,2,32,0,0.410237
0,16,2,49,1,2,16,0,0.073185
0,4,14,1,8,7,16,0,0.414585
0,1,4,49,4,2,32,0,0.414829
0,1,4,14,1,14,64,0,0.412125
0,1,2,28,2,224,2,0,0.416927
0,2,56,2,28,2,4,0,0.407453
0,1,98,4,64,1,2,0,0.325268
0,1,1,224,32,1,7,0,0.407144
0,7,8,2,2,8,28,0,0.41132
0,8,2,7,2,224,1,0,0.410046
0,1,28,4,16,14,2,0,0.416908
0,1,2,28,1,112,8,0,0.412104
0,32,1,7,8,4,7,0,0.411221
0,1,2,28,16,4,14,0,0.417029
0,7,7,4,1,128,2,0,0.408537
0,8,1,49,2,8,8,0,0.333068
0,14,1,4,112,8,1,0,0.409716
0,4,4,49,8,2,4,0,0.190719
0,1,2,56,8,7,8,0,0.415925
0,1,28,2,4,7,32,0,0.417565
0,4,7,28,2,2,16,0,0.183775
0,2,14,4,16,4,7,0,0.410457
0,4,2,14,1,8,56,0,0.409783
0,2,16,7,32,1,7,0,0.407111
0,49,4,2,1,64,2,0,0.320444
0,16,1,98,8,1,4,0,0.072853
0,4,2,28,1,14,16,0,0.406894
0,32,1,49,1,16,2,0,0.073093
0,2,28,1,64,1,14,0,0.40974
0,1,392,1,32,2,2,0,0.325989
0,14,7,1,128,4,1,0,0.421355
0,28,1,2,14,16,4,0,0.41656
0,2,1,392,16,2,2,0,0.188201
0,8,7,2,1,448,1,0,0.413599
0,7,16,7,2,8,4,0,0.184104
0,8,7,4,4,8,7,0,0.407871
0,1,1,98,128,2,2,0,0.414211
0,98,1,1,8,32,2,0,0.413565
0,2,56,2,16,7,2,0,0.408238
0,49,4,8,16,1,2,0,0.073535
0,2,2,56,1,14,16,0,0.407156
0,2,56,14,1,8,4,0,0.073128
0,28,2,2,64,7,1,0,0.410825
0,1,2,196,1,8,16,0,0.330789
0,56,4,7,4,1,8,0,0.075675
0,8,1,7,4,16,14,0,0.415935
0,49,2,2,4,16,4,0,0.409489
0,28,14,1,2,64,1,0,0.322108
0,2,98,1,16,8,2,0,0.413628
0,7,56,1,2,4,16,0,0.328099
0,8,7,1,8,7,16,0,0.414377
0,2,2,14,1,16,56,0,0.410382
0,2,2,56,2,16,7,0,0.408375
0,14,1,4,2,28,16,0,0.416266
0,14,1,28,8,16,1,0,0.325038
0,2,2,28,28,2,8,0,0.409959
0,7,1,7,32,1,32,0,0.421569
0,4,4,7,14,1,32,0,0.409857
0,2,7,14,2,4,32,0,0.409356
0,1,98,4,4,4,8,0,0.326594
0,2,8,14,1,224,1,0,0.411146
0,49,1,16,2,1,32,0,0.1832
0,112,1,1,7,2,32,0,0.409777
0,2,4,196,1,32,1,0,0.076394
0,2,112,1,2,112,1,0,0.40742
0,4,8,7,1,112,2,0,0.407154
0,8,1,14,7,64,1,0,0.409128
0,1,98,8,4,16,1,0,0.190236
0,8,4,7,56,1,4,0,0.409077
0,28,2,1,14,64,1,0,0.409488
0,16,1,7,8,4,14,0,0.41536
0,7,2,16,112,1,2,0,0.408468
0,8,7,1,7,8,16,0,0.414571
0,28,1,8,7,8,4,0,0.413419
0,14,1,4,28,4,8,0,0.415829
0,2,4,98,1,8,8,0,0.183067
0,4,14,7,4,32,1,0,0.321426
0,16,1,14,14,2,8,0,0.411062
0,2,196,1,8,8,2,0,0.328587
0,14,2,2,16,7,8,0,0.410998
0,14,1,16,2,2,56,0,0.411493
0,1,4,14,28,2,16,0,0.417374
0,56,7,4,8,4,1,0,0.073158
0,4,1,28,32,1,14,0,0.409381
0,1,1,112,8,7,8,0,0.409767
0,8,1,196,4,2,4,0,0.076802
0,2,49,2,4,8,8,0,0.409212
0,4,49,2,8,8,2,0,0.325999
0,2,4,28,8,14,2,0,0.40793
0,1,1,112,2,224,1,0,0.409528
0,98,1,2,1,16,16,0,0.407958
0,2,4,49,8,16,1,0,0.325485
0,4,98,4,1,4,8,0,0.07328
0,7,2,8,4,7,16,0,0.410124
0,14,14,2,4,2,16,0,0.325159
0,1,7,8,112,8,1,0,0.409554
0,8,14,14,4,2,4,0,0.073443
0,4,2,7,2,56,8,0,0.41044
0,8,7,2,2,56,4,0,0.410921
0,7,56,1,128,1,1,0,0.310999
0,1,4,98,1,64,2,0,0.323817
0,2,56,2,8,7,4,0,0.407305
0,1,4,28,28,4,4,0,0.416045
0,2,14,28,2,1,32,0,0.183519
0,4,8,7,8,7,4,0,0.40748
0,1,2,28,16,56,1,0,0.41024
0,2,7,16,1,7,32,0,0.407823
0,56,1,1,1,64,14,0,0.408601
0,14,1,8,7,1,64,0,0.409389
0,1,56,1,16,56,1,0,0.417108
