Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,1,1,9,1,128,8,0,0.189431
0,2,6,1,8,2,48,0,0.181625
0,2,12,1,3,2,64,0,0.122186
0,1,12,1,8,32,3,0,0.180266
0,8,1,3,16,24,1,0,0.12336
0,6,8,2,6,1,16,0,0.111296
0,9,1,1,256,2,2,0,0.203952
0,4,4,2,18,8,2,0,0.113547
0,3,8,1,48,2,4,0,0.127095
0,3,4,4,3,1,64,0,0.111906
0,6,3,1,16,4,8,0,0.146912
0,4,8,3,8,2,6,0,0.114505
0,3,2,8,1,96,2,0,0.115225
0,48,1,3,2,4,8,0,0.088179
0,8,1,6,4,24,2,0,0.117993
0,24,4,3,32,1,1,0,0.068675
0,2,4,2,24,8,3,0,0.162481
0,1,16,1,16,36,1,0,0.157757
0,9,1,32,16,1,2,0,0.067955
0,3,2,16,8,2,6,0,0.117334
0,3,1,8,1,32,12,0,0.126047
0,8,4,1,1,72,4,0,0.144382
0,4,4,2,3,96,1,0,0.11581
0,36,1,4,16,1,4,0,0.08489
0,3,2,4,12,2,16,0,0.128726
0,16,6,1,3,2,16,0,0.115108
0,3,4,12,32,1,2,0,0.086839
0,8,3,4,12,2,4,0,0.116966
0,8,9,4,1,32,1,0,0.071061
0,2,3,8,8,6,4,0,0.117586
0,4,2,2,16,2,18,0,0.15549
0,3,12,8,4,4,2,0,0.072784
0,1,3,16,3,1,64,0,0.116147
0,18,1,1,32,8,2,0,0.149626
0,1,8,4,24,6,2,0,0.117146
0,1,2,6,1,192,4,0,0.180217
0,12,2,1,2,96,2,0,0.122968
0,1,1,32,1,16,18,0,0.111182
0,8,1,4,6,6,8,0,0.117273
0,1,12,4,1,4,48,0,0.115716
0,1,6,2,96,2,4,0,0.174102
0,2,18,1,8,2,16,0,0.112751
0,2,1,12,1,384,1,0,0.121756
0,24,3,4,16,1,2,0,0.069866
0,6,8,3,1,2,32,0,0.087967
0,8,9,1,32,2,2,0,0.116279
0,6,4,4,3,4,8,0,0.117734
0,12,3,1,4,4,16,0,0.114617
0,6,2,4,48,4,1,0,0.115336
0,12,24,1,4,4,2,0,0.070168
0,4,9,1,8,1,32,0,0.111297
0,1,6,3,4,2,64,0,0.144573
0,32,1,1,18,2,8,0,0.111991
0,16,3,3,1,8,8,0,0.087321
0,1,4,36,16,2,2,0,0.088744
0,16,9,2,2,4,4,0,0.072712
0,4,1,12,64,1,3,0,0.110648
0,4,3,1,12,4,16,0,0.182313
0,1,2,36,32,4,1,0,0.114774
0,36,1,2,2,16,4,0,0.117633
0,2,4,36,4,2,4,0,0.072977
0,12,3,2,8,8,2,0,0.113676
0,1,3,12,16,16,1,0,0.110814
0,8,6,3,2,2,16,0,0.089885
0,8,3,2,48,1,4,0,0.115889
0,72,1,1,1,8,16,0,0.113731
0,48,3,2,1,16,2,0,0.070858
0,2,4,2,12,24,2,0,0.162949
0,4,24,1,8,12,1,0,0.113218
0,1,2,16,2,24,6,0,0.112963
0,2,18,1,128,2,1,0,0.116217
0,16,3,6,8,4,1,0,0.07036
0,1,2,24,1,16,12,0,0.111694
0,2,1,36,2,4,16,0,0.117738
0,1,16,9,2,4,8,0,0.08863
0,4,1,12,192,1,1,0,0.115257
0,1,32,3,4,2,12,0,0.117824
0,1,2,16,4,24,3,0,0.113056
0,1,9,1,4,16,16,0,0.189647
0,1,2,16,1,8,36,0,0.115397
0,1,18,2,2,128,1,0,0.11524
0,4,4,2,2,9,16,0,0.11354
0,8,2,2,12,6,4,0,0.117184
0,1,6,2,48,16,1,0,0.166213
0,2,3,8,8,2,12,0,0.113618
0,4,24,1,1,48,2,0,0.115399
0,4,3,2,4,2,48,0,0.128925
0,6,3,1,8,2,32,0,0.149534
0,4,1,36,4,16,1,0,0.086701
0,2,4,3,4,32,3,0,0.124195
0,1,3,8,8,1,48,0,0.121976
0,2,6,1,8,12,8,0,0.171611
0,2,8,1,3,32,6,0,0.159894
0,3,32,1,1,3,32,0,0.116366
0,3,1,24,4,8,4,0,0.117327
0,8,3,6,4,2,8,0,0.089826
0,8,4,3,1,3,32,0,0.114615
0,2,3,2,2,96,4,0,0.187658
0,1,8,36,1,32,1,0,0.067851
0,2,48,1,2,4,12,0,0.114073
0,9,1,4,8,2,16,0,0.118291
0,18,16,1,1,4,8,0,0.075897
0,12,2,3,2,64,1,0,0.116245
0,2,2,3,16,48,1,0,0.181942
0,4,3,2,8,1,48,0,0.126991
0,3,4,8,1,16,6,0,0.114581
0,1,1,16,72,4,2,0,0.148271
0,1,2,8,2,96,3,0,0.153002
0,24,1,3,4,2,16,0,0.117492
0,3,32,3,8,4,1,0,0.070651
0,6,3,16,1,8,4,0,0.071291
0,1,6,2,16,16,3,0,0.174125
0,1,3,96,32,1,1,0,0.069966
0,4,2,4,16,1,18,0,0.115286
0,1,8,36,16,1,2,0,0.070483
0,1,8,2,4,12,12,0,0.152857
0,4,2,4,6,6,8,0,0.113534
0,1,3,16,2,12,8,0,0.11732
0,6,4,1,3,2,64,0,0.122397
0,1,1,16,18,32,1,0,0.162052
0,1,8,4,12,2,12,0,0.113109
0,1,32,9,4,1,8,0,0.070683
0,6,1,8,8,3,8,0,0.113393
0,2,1,12,3,32,4,0,0.127781
0,1,1,16,16,9,4,0,0.148493
0,1,1,32,4,72,1,0,0.115564
0,2,12,4,3,1,32,0,0.111376
0,4,1,72,4,2,4,0,0.071406
0,2,4,4,36,2,4,0,0.117783
0,24,3,2,16,1,4,0,0.086996
0,1,12,8,3,16,2,0,0.117408
0,4,4,6,2,24,2,0,0.113215
0,1,1,12,16,8,6,0,0.177488
0,4,6,4,12,2,4,0,0.113156
0,8,1,6,8,6,4,0,0.113387
0,12,1,2,16,1,24,0,0.124422
0,2,4,6,2,8,12,0,0.117442
0,1,48,6,4,1,8,0,0.071887
0,96,3,1,1,32,1,0,0.069652
0,6,2,2,1,8,48,0,0.121246
0,1,2,8,16,4,9,0,0.153037
0,6,1,4,4,48,2,0,0.128612
0,4,36,2,4,1,8,0,0.069879
0,1,2,16,6,1,48,0,0.116116
0,4,12,6,32,1,1,0,0.06878
0,12,1,12,2,2,16,0,0.088224
0,8,1,2,12,16,3,0,0.160669
0,12,1,8,2,48,1,0,0.115393
0,32,1,1,4,2,36,0,0.11577
0,1,3,48,8,8,1,0,0.085795
0,48,2,1,2,24,2,0,0.115552
0,3,2,24,4,4,4,0,0.091168
0,4,18,2,2,2,16,0,0.089772
