gx,gy,gz,bx,by,bz,smefficiency
4,32,2,64,1,16,10.23
32,2,128,1,1,32,98.77
2,64,4,2,128,2,10.21
16,32,1,2,8,32,10.21
32,256,1,2,1,16,98.8
8,16,64,1,1,32,98.88
64,128,1,8,4,1,98.84
4,32,2,8,4,32,10.22
16,4,4,1024,1,1,10.21
16,8,4,32,16,1,10.19
32,8,2,4,4,32,10.21
64,2,8,8,32,1,19.03
128,2,1,32,4,8,10.24
8,64,8,16,1,4,67.29
32,1,32,8,2,16,19.17
128,1,64,4,8,1,98.68
1,64,64,32,2,1,67.18
2,4096,1,2,4,4,98.63
4,64,1,4,8,32,10.23
16,2,8,16,8,8,10.24
64,2,2,256,2,2,10.24
2,8,32,16,32,1,10.19
16,64,8,1,16,2,98.71
16,32,16,2,8,2,98.57
16,8,2,4,16,16,10.22
4,1,512,64,1,2,35.13
8,512,2,1,1,32,98.8
1,8,128,8,8,4,19.08
64,4,1,8,4,32,10.23
1,16,32,64,1,8,10.2
32,4,8,64,2,2,19.07
8,2,16,64,1,16,10.23
32,1,64,2,16,4,35.17
128,2,4,16,8,2,19.08
4,16,4,16,8,8,10.23
4,1,256,2,4,32,19.1
8,256,1,1,128,1,35.1
256,1,32,1,32,1,98.82
8,2,16,16,1,64,10.24
1024,2,2,1,16,4,67.27
16,2,16,8,1,64,10.22
4,256,2,32,2,2,35.2
4,2,32,4,32,8,10.23
1,8,32,128,1,8,10.21
1024,2,4,16,1,2,98.85
16,4,4,256,2,2,10.23
4,16,16,2,64,2,19.12
2,16,64,64,2,1,35.16
64,32,4,2,2,8,98.79
16,1,16,64,16,1,10.21
64,8,2,4,64,1,19.09
256,8,2,4,4,4,67.28
1024,2,1,2,32,2,35.23
128,16,4,1,4,8,98.84
32,8,8,4,4,8,35.21
32,16,16,1,1,32,98.81
2,64,4,64,4,2,10.2
4,2,128,4,4,16,19.13
4,2048,1,4,1,8,98.79
8,128,8,2,8,2,98.76
1,128,2,4,64,4,10.25
8,2,512,2,4,4,98.82
1024,4,2,8,2,2,98.72
32,32,1,4,64,1,19.06
512,1,4,4,32,1,35.1
1,32,64,4,32,1,35.15
1,16,64,16,4,4,19.13
128,1,4,1,128,4,10.22
2,4,64,2,8,32,10.21
64,8,4,4,32,1,35.14
32,8,4,1,128,2,19.05
8,16,4,64,8,1,10.2
512,4,2,1,4,16,67.23
16,4,16,2,32,4,19.11
32,1,16,1,64,8,10.22
2048,4,1,1,4,8,97.68
64,128,1,2,8,2,98.68
128,8,2,2,2,32,35.2
2,4,64,256,1,2,10.22
1024,4,1,1,32,2,67.29
4,8,32,2,32,4,19.12
4,16,16,256,1,1,19.04
16,32,1,8,64,1,10.21
32,4,8,1,8,32,19.08
32,16,4,4,16,2,35.16
