gx,gy,gz,bx,by,bz,smefficiency
256,2,4,8,1,16,35.18
8,64,1,128,1,4,10.19
4,4,32,256,2,1,10.19
4,8,8,2,32,16,10.22
16,4,128,2,16,1,98.74
8,128,1,2,16,8,19.12
8,8,8,4,128,1,10.19
128,2,4,2,64,2,19.09
1,64,16,2,16,8,19.12
1,32,8,4,16,16,10.24
1,128,32,1,1,64,67.26
8,16,4,1,16,32,10.19
512,1,4,64,2,1,35.12
1,4096,2,2,4,4,98.7
4,8,128,1,32,2,67.24
32,1,32,64,1,4,19.08
64,1,4,1,256,4,10.23
64,16,2,1,8,16,35.13
64,4,2,4,16,8,10.21
16,256,1,16,1,4,67.24
2,64,64,2,1,16,98.79
256,32,1,8,1,4,98.77
1,512,16,16,2,1,98.65
1,128,16,8,1,16,35.11
4,8,32,1,32,8,19.08
32,4,2,2,8,64,10.23
4,1,64,4,8,32,10.26
128,8,2,64,1,2,35.17
256,2,1,32,8,2,10.21
4,4,16,32,2,16,10.22
2,4,128,256,1,1,19.06
1,64,4,1,512,2,10.2
256,2,1,128,2,2,10.21
8,2,32,2,256,1,10.19
128,2,4,4,2,32,19.11
1,32,8,4,8,32,10.23
512,8,1,1,32,2,67.29
1,128,32,8,8,1,67.24
512,2,8,4,8,1,98.68
1,1,1024,64,4,1,19.05
16,32,1,4,8,16,10.2
2,1,128,32,1,32,10.24
32,4,4,8,1,64,10.22
8,8,8,64,8,1,10.2
8,4,8,2,32,16,10.22
8,32,4,2,8,16,19.12
1,4,1024,16,2,2,67.34
1,128,32,32,1,2,67.24
2,1,128,512,1,2,10.24
4,1,512,2,4,16,35.22
2,128,1,4,8,32,10.23
32,8,4,4,8,8,19.12
16,64,4,8,4,2,67.31
8,8,64,4,4,4,67.3
2,256,2,1,8,32,19.06
4,2048,1,1,2,16,98.29
4,2,64,1,256,2,10.2
2,512,4,8,8,1,67.22
256,1,1,16,32,2,10.23
16,8,4,1,16,32,10.19
16,16,2,64,8,1,10.19
32,32,2,16,4,2,35.2
64,1,64,32,1,2,67.25
4,1,1024,16,4,1,67.24
4,128,2,1,128,2,19.03
8,16,4,4,64,2,10.2
8,64,1,4,64,2,10.21
16,16,2,64,2,4,10.21
1,256,2,16,16,2,10.21
2048,1,1,64,1,2,35.1
8,16,2,8,2,64,10.23
16,1,16,4,128,2,10.27
4,4,128,1,32,4,35.11
1,4,64,32,16,2,10.25
32,4,32,1,2,32,67.23
1,64,16,16,16,1,19.06
32,8,8,1,128,1,35.14
128,64,1,4,2,4,98.63
2,32,64,16,4,1,67.23
8,64,8,1,1,64,67.24
4,128,1,2,64,4,10.2
8,1,64,16,16,2,10.23
128,16,1,4,1,32,35.1
256,1,1,128,2,4,10.22
8,64,4,8,4,4,35.2
2,1,512,1,8,32,19.09
32,16,8,8,1,8,67.25
64,2,2,4,4,64,10.22
8,16,8,1,16,16,19.06
4,256,1,4,4,16,19.08
16,16,1,8,64,2,10.23
32,16,4,64,2,1,35.15
2,512,2,2,32,2,35.2
8,512,1,4,2,8,67.26
256,32,1,1,2,16,98.24
256,1,4,8,4,8,19.11
2,4,1024,1,2,16,98.74
64,2,8,64,1,4,19.09
1,8,128,2,2,64,19.14
8,8,16,8,32,1,19.09
4,4,16,64,16,1,10.21
16,4,8,4,64,2,10.21
64,4,16,2,1,32,67.28
32,8,8,2,16,4,35.19
32,4,2,512,2,1,10.21
1,1024,4,1,2,32,67.22
1,8,32,256,2,2,10.25
16,32,2,1,64,4,19.09
8,1024,1,2,4,4,98.78
512,4,4,1,32,1,98.88
16,2,64,2,2,32,35.15
256,1,8,16,4,2,35.23
16,1,64,2,4,32,19.16
8,8,4,4,64,4,10.22
2,4,128,16,8,2,19.12
2,1024,2,4,2,8,67.3
8,16,32,4,1,16,67.27
16,8,32,4,16,1,67.23
8,8,32,64,1,2,35.17
32,8,16,2,32,1,67.2
32,32,2,8,4,4,35.22
8,32,1,2,128,4,10.23
1,512,16,2,2,8,98.84
2,4,256,2,16,4,35.21
32,32,4,16,1,4,67.29
256,8,4,1,32,1,98.75
1,1,2048,128,1,1,35.08
128,8,4,4,2,8,67.35
128,1,8,2,64,2,19.16
4,16,4,1,1024,1,10.2
32,16,1,8,32,2,10.21
1,128,64,1,32,1,98.82
64,2,4,4,64,2,10.2
1,256,4,128,2,1,19.07
64,1,4,8,4,32,10.26
32,2,4,32,16,2,10.21
512,2,4,2,32,1,67.28
16,2,8,64,1,16,10.24
16,1,256,2,32,1,67.18
16,8,64,4,2,4,98.79
64,4,8,4,16,2,35.21
64,1,64,4,1,16,67.25
1,2,128,2,64,8,10.24
2,8,256,8,8,1,67.28
32,64,1,4,8,4,35.2
2,16,32,1,4,64,19.07
2,256,1,64,2,4,10.21
1,32,16,8,64,1,10.18
32,8,4,1,256,1,19.05
2,2,1024,32,2,1,67.18
1,16,256,2,1,32,67.2
64,16,1,2,128,1,19.08
8,32,16,2,16,2,67.35
512,1,1,8,8,8,10.22
4,32,8,1,4,64,19.07
8192,1,1,1,32,1,98.66
4,1,512,32,4,1,35.14
2,32,16,8,2,16,19.09
2,2,128,512,1,1,10.18
4,2,128,4,8,8,19.1
4096,2,1,4,2,4,98.75
1,4,256,8,8,4,19.1
128,1,32,16,2,2,67.33
8,8,4,8,16,8,10.23
2,256,16,2,1,16,98.81
1,128,4,256,2,1,10.19
1,2,2048,4,4,4,67.34
2,128,2,1,256,2,10.19
2,8,32,256,2,1,10.2
1,8,256,4,16,2,35.27
256,4,1,8,1,32,19.06
2,512,2,8,1,16,35.16
8,16,64,8,2,2,98.7
512,1,4,2,64,1,35.13
512,1,1,8,16,4,10.21
8,4,256,1,2,16,98.8
1,8,32,256,4,1,10.2
64,16,2,16,4,2,35.17
32,64,2,4,4,4,67.24
128,1,64,16,1,2,98.74
2,512,8,1,2,16,98.74
1,256,16,2,4,8,67.26
32,2,4,8,128,1,10.21
8,16,16,16,2,4,35.18
2,16,32,8,2,16,19.12
32,8,4,8,16,2,19.07
2,64,2,4,128,2,10.22
2,2,256,64,1,4,19.08
128,2,8,64,2,1,35.12
128,1,2,1024,1,1,10.21
2,32,16,1,64,4,19.08
1,1,1024,2,128,1,19.06
1,32,64,2,16,4,35.25
32,4,4,1,256,2,10.19
2,64,16,64,1,2,35.14
8,2,32,64,2,4,10.21
32,16,2,64,4,1,19.06
8,4,8,128,2,4,10.24
512,4,1,16,4,2,35.21
8,1,128,4,4,16,19.16
1,2,256,16,8,4,10.21
1,32,16,16,16,2,10.21
8,4,32,128,2,1,19.08
2,64,2,32,32,1,10.22
2,128,4,16,1,16,19.12
4,64,2,16,2,16,10.21
8,4,16,2,4,64,10.21
4,8,128,8,1,8,67.27
4,8,32,16,16,1,19.08
32,32,2,64,2,1,35.16
4,64,1,2,512,1,10.22
2,16,16,1,128,4,10.19
2,32,8,4,128,1,10.19
32,2,8,512,1,1,10.18
8,8,4,2,8,64,10.23
8,256,1,8,8,2,35.21
1,512,2,1,64,4,19.08
8,64,4,1,8,16,35.16
4,8,64,4,4,8,35.21
8,256,1,2,64,1,35.14
512,16,1,2,2,8,98.73
32,2,4,16,8,8,10.22
16,4,16,8,4,8,19.12
1024,2,4,1,32,1,98.81
1,2,512,1,4,64,19.07
4,1,64,128,1,8,10.24
8,512,1,8,2,4,67.26
8,32,16,1,2,32,67.28
1,4,128,32,4,4,10.21
1,1,256,4,128,2,10.21
16,64,8,16,2,1,98.68
4,128,2,16,16,1,19.08
16,64,2,8,4,4,35.19
2,4,64,64,1,8,10.22
4,8,256,2,1,16,98.74
2048,1,1,4,16,2,35.14
8,128,1,2,8,16,19.11
128,32,1,1,4,16,67.91
8,256,2,1,4,16,67.21
2,32,8,4,64,2,10.21
1,2,256,32,16,1,10.19
2,1024,1,1,8,16,37.0
8,8,16,8,1,32,19.12
2048,2,1,1,4,16,67.98
4,1,64,16,4,16,10.25
64,8,4,2,16,4,35.22
2,4,32,2,16,32,10.22
128,2,8,8,4,4,35.22
64,8,16,1,1,32,98.77
2,128,1,32,1,32,10.2
4,128,2,4,8,8,19.12
8,1,128,4,32,2,19.15
128,2,16,4,16,1,67.27
64,128,1,8,1,4,98.79
2,32,128,1,4,8,98.74
16,32,1,1,8,64,13.04
4,16,128,1,16,2,98.73
128,8,8,2,1,16,98.78
512,1,16,1,32,1,98.95
64,8,1,8,2,32,10.21
1,2,4096,2,16,1,98.82
1,16,512,2,16,1,98.74
2,1,256,64,4,2,10.21
2,2,512,32,1,4,35.2
32,8,8,2,2,32,35.16
2,32,32,8,8,2,35.2
4,32,8,1,8,32,19.05
2,1,256,16,32,1,10.19
1,16,512,1,2,16,98.71
16,16,4,32,4,2,19.12
1,1,1024,128,1,2,19.05
64,16,1,16,2,8,19.12
256,1,32,4,1,8,98.76
4,64,8,16,1,8,35.17
8,1,256,1,2,64,35.16
32,64,1,4,4,8,35.21
16,2,128,4,4,4,67.32
4,256,4,8,1,8,67.27
4,1,64,256,4,1,10.21
16,1,16,16,32,2,10.24
8,1,64,2,8,32,10.21
32,1,128,8,8,1,67.19
4,8,256,1,8,4,98.81
2,1,256,8,4,16,10.23
512,4,4,8,2,2,98.55
4,64,4,8,32,1,19.07
2,256,1,64,1,8,10.19
64,2,2,32,4,8,10.22
1,16,16,16,2,32,10.26
4,8,8,2,256,2,10.22
4,2,512,1,1,64,67.27
32,8,1,64,2,8,10.24
4,64,4,16,2,8,19.12
32,2,8,2,8,32,10.21
2,256,4,2,16,4,35.21
256,8,2,16,2,2,67.34
4,32,64,8,4,1,98.82
128,1,8,128,2,1,19.09
8,1,1024,8,4,1,98.78
8,16,16,1,32,4,35.14
16,64,2,2,4,16,35.18
128,32,1,1,8,8,67.89
2,64,32,8,8,1,67.28
64,1,128,32,1,1,98.75
1,32,32,1,4,64,19.07
16,1,256,16,1,4,67.27
8,256,1,1,64,2,35.11
1,2048,1,8,1,16,35.15
2,8,64,16,8,2,19.12
8,8,64,1,4,16,67.24
4,1,512,128,1,1,35.11
64,2,2,128,4,2,10.22
1,64,8,8,4,16,10.21
2,16,64,4,1,32,35.19
4,8,16,2,16,16,10.21
2,16,8,512,2,1,10.2
4096,1,1,2,8,4,67.22
1,2048,1,4,16,2,35.16
8,64,1,2,64,4,10.21
8,128,1,128,1,2,19.08
512,8,2,2,2,8,98.81
2,512,2,1,64,2,35.14
1,64,16,2,2,64,19.13
4,8,256,1,32,1,98.8
16,8,4,512,1,1,10.19
4,8,16,8,64,1,10.19
8,256,2,4,16,1,67.28
32,1,8,1,64,16,10.24
2,1,2048,4,1,16,67.23
1,64,64,16,1,4,67.2
32,8,32,1,16,2,98.76
8,64,1,8,16,4,10.21
256,1,16,1,16,4,67.21
16,32,1,32,16,1,10.21
32,1,32,2,64,2,19.14
512,1,16,4,2,4,98.79
16,1,128,4,8,4,35.2
4,4,16,32,8,4,10.22
64,4,8,8,8,2,35.21
256,4,1,8,2,16,19.1
1024,1,8,2,16,1,98.81
16,64,1,8,1,32,19.08
128,8,2,2,64,1,35.14
1,8,32,512,1,2,10.21
512,1,1,16,2,16,10.21
256,8,1,1,16,8,36.17
64,2,16,2,1,64,35.16
2,64,4,2,256,1,10.2
16,128,4,4,1,8,98.7
8,128,2,2,1,64,35.16
4,8,256,4,8,1,98.65
8,2,32,2,64,4,10.21
8,64,8,8,1,8,67.27
8,32,4,1,32,8,19.07
2,512,2,8,16,1,35.17
2,256,16,16,1,2,98.79
2,128,1,4,64,4,10.24
2,128,2,4,16,8,10.21
8,1024,1,2,2,8,98.76
2,128,2,64,8,1,10.19
8,4,16,1,8,64,10.19
512,2,2,1,16,8,35.14
256,2,1,4,8,16,10.2
64,16,2,8,16,1,35.15
512,2,2,4,16,2,35.18
2,8,128,1,8,16,35.13
32,4,4,64,2,4,10.21
2,2,64,1,512,2,10.2
1,1024,4,1,1,64,67.26
8,32,2,1,64,8,10.19
128,4,1,128,2,2,10.2
64,8,8,8,1,8,67.28
64,4,1,8,64,2,10.23
4,1,128,32,16,1,10.19
32,4,2,128,8,1,10.21
8,64,1,64,1,8,10.18
64,64,1,16,2,2,67.27
128,1,4,32,8,2,10.22
256,4,2,2,4,16,35.19
32,2,32,2,1,64,35.18
32,2,4,256,1,4,10.23
1,4,256,2,32,4,19.13
16,8,64,1,8,4,98.8
128,4,4,2,2,32,35.21
2,64,2,4,16,16,10.23
16,1,16,4,16,16,10.24
128,32,2,2,1,16,98.8
16,256,1,4,8,2,67.24
1,1,512,16,1,32,10.18
1,512,4,1,16,8,35.14
1024,1,8,16,1,2,98.89
4,1,64,256,1,4,10.24
64,1,4,2,32,16,10.25
2,1,512,32,4,2,19.14
64,32,2,16,1,4,67.27
8,512,2,2,4,4,98.78
1,128,64,2,4,4,98.78
4,16,32,1,64,2,35.16
64,8,8,4,4,4,67.31
1,4,2048,2,4,4,98.8
256,4,8,2,1,16,98.86
8,32,1,16,64,1,10.21
2,256,4,2,1,64,35.15
8,4,64,64,2,1,35.14
4,32,4,32,2,8,10.21
16,1,16,512,1,2,10.24
2,16,16,1,32,16,10.19
32,8,16,8,8,1,67.23
8,1,1024,4,8,1,98.83
4,8,8,4,16,16,10.23
256,8,1,16,2,4,35.22
1,8,128,1,16,16,19.06
2,8,32,32,16,1,10.19
8,4,128,16,2,2,67.32
512,1,8,1,2,32,67.18
1,1,512,32,8,2,10.2
4,4,64,8,2,16,19.09
8,256,1,4,2,16,35.21
2,16,128,2,32,1,67.25
4,64,1,2,256,2,10.23
1024,1,1,4,8,8,19.11
1,4,128,4,128,1,10.19
4,128,16,16,1,2,98.81
8,4,8,2,512,1,10.21
1,1,1024,8,8,4,19.02
2,32,4,256,2,2,10.23
1,4,128,512,1,1,10.18
4,8,8,8,128,1,10.21
2,64,2,8,2,64,10.22
8,4,16,64,1,8,10.22
64,1,16,8,2,16,19.13
8,32,1,32,4,8,10.23
4,8,32,2,16,8,19.12
128,16,4,2,16,1,98.84
128,1,16,64,2,1,35.13
512,1,1,4,4,32,10.2
4,128,4,4,4,8,35.2
32,4,64,4,1,8,98.73
2,8,64,32,8,1,19.06
64,2,4,1,8,64,10.19
8,8,16,1,64,4,19.07
1,2,4096,4,2,4,98.89
1024,8,1,1,2,16,98.21
32,8,1,2,64,8,10.24
32,1,16,2,256,1,10.19
1,64,4,2,512,1,10.21
32,64,4,4,1,8,98.85
512,1,1,32,8,2,10.21
2,128,32,1,4,8,98.8
16,16,2,16,2,16,10.22
1,32,64,8,8,2,35.23
1,1,4096,1,2,32,67.21
8,4,16,4,4,32,10.21
1,16,16,16,4,16,10.26
32,64,1,16,2,4,35.21
4,64,4,2,128,1,19.08
64,4,4,8,32,1,19.08
1,512,4,8,4,4,35.26
1,16,16,512,1,2,10.21
8,2,128,16,2,4,35.19
2,16,8,16,4,16,10.22
128,2,1,8,32,4,10.24
16,32,2,8,4,8,19.08
2,4096,1,4,2,4,98.76
1,32,8,4,64,4,10.23
128,1,8,4,32,2,19.16
2,256,1,4,2,64,10.2
2,16,16,8,64,1,10.19
4,8,64,1,2,64,35.12
8,8,128,2,4,4,98.8
256,2,4,16,1,8,35.14
8,2,16,2,32,16,10.23
16,32,8,8,8,1,67.21
512,4,4,8,1,4,98.93
2,16,32,2,2,64,19.1
4,512,1,16,1,8,35.1
32,4,4,8,64,1,10.19
1,32,128,1,2,32,67.26
1,16,128,16,1,8,35.15
4,16,128,8,2,2,98.77
4,64,4,4,32,2,19.12
8,1,512,2,1,32,67.25
32,4,4,512,1,1,10.19
2,256,2,1,128,2,19.08
32,2,8,4,8,16,10.22
1,8,64,1,16,32,10.19
8,4,16,64,8,1,10.2
64,1,8,16,1,32,10.23
4,2,64,8,32,2,10.2
512,1,4,8,4,4,35.2
2,1024,1,8,2,8,35.15
16,128,1,4,1,32,35.14
1,64,64,1,64,1,67.22
1,512,1,256,2,1,10.18
32,16,2,128,2,1,19.09
1,8,64,256,1,2,10.2
2,1,128,64,4,4,10.27
2,4,512,1,8,8,67.23
8,8,64,8,8,1,67.25
128,1,16,4,16,2,35.21
32,4,32,2,2,16,67.32
4,1024,1,16,1,4,67.17
512,1,2,4,8,8,19.12
8,1,256,64,1,2,35.16
4,512,1,4,16,2,35.2
2,2,256,64,2,2,19.11
32,8,32,4,2,4,98.8
2,4,32,32,8,4,10.23
4,8,16,1,256,2,10.2
16,128,4,2,4,4,98.72
1,1024,2,1,64,2,35.16
64,8,1,4,32,4,10.21
256,16,1,2,16,2,67.29
1,4,256,16,16,1,19.06
64,2,64,1,1,32,98.71
1,32,32,4,1,64,19.08
1,64,16,1,128,2,19.07
2,512,2,64,2,1,35.14
2,4,1024,8,1,4,98.81
256,2,4,4,32,1,35.14
2,2048,1,8,2,4,67.32
1,2,1024,64,2,1,35.14
64,4,32,1,32,1,98.79
128,2,2,2,128,2,10.21
2,128,1,1,256,4,9.3
4,1,2048,32,1,1,98.87
1,16,32,16,4,8,10.21
4,64,2,512,1,1,10.18
128,8,2,1,64,2,35.09
2,8,16,4,4,64,10.22
1,64,16,1,32,8,19.08
32,1,256,2,2,8,98.73
64,8,2,16,8,2,19.11
2,128,1,16,64,1,10.22
16,16,1,2,32,16,10.23
1,256,16,8,1,8,67.28
1,32,128,1,32,2,67.2
1,8,512,4,4,4,67.3
512,4,4,4,4,2,98.78
8,8,64,4,16,1,67.29
64,32,1,16,4,2,35.21
2,2,2048,2,8,2,98.83
32,16,1,16,2,16,10.2
512,2,4,1,8,8,67.26
1,2,128,8,16,8,10.24
16,32,4,8,2,8,35.21
4,1,2048,2,4,4,98.73
64,16,2,4,1,32,35.15
1,512,4,8,1,16,35.15
128,1,16,128,1,1,35.1
128,1,64,16,2,1,98.82
1,2,128,128,2,4,10.24
8192,1,1,1,8,4,98.76
2,2,64,512,1,2,10.24
128,1,8,4,1,64,19.09
128,1,2,2,32,16,10.26
2,32,16,16,1,16,19.12
64,4,16,1,2,32,67.24
16,64,2,2,64,1,35.13
8,32,16,64,1,1,67.24
4096,2,1,1,16,2,98.23
2,16,8,4,128,2,10.23
1,8,512,64,1,1,67.24
1,128,16,1,32,4,35.15
128,4,4,16,8,1,35.16
1,32,32,4,32,2,19.13
64,4,1,32,16,2,10.25
1,128,16,32,1,4,35.14
1,8192,1,16,2,1,98.7
4,32,64,1,4,8,98.78
64,2,4,4,32,4,10.21
2,2048,2,2,16,1,98.7
16,16,1,1,256,4,9.3
8,2,64,16,16,1,19.05
1,8,64,8,64,1,10.18
1,2,1024,4,32,1,35.1
32,128,2,8,4,1,98.79
64,8,1,32,1,16,10.19
8,16,4,128,4,1,10.19
128,2,1,256,1,4,10.21
64,32,4,16,1,2,98.85
2,64,2,16,64,1,10.21
2,8,32,8,32,2,10.21
1,64,64,8,1,8,67.25
2,128,4,64,1,4,19.13
8,4,16,1,16,32,10.19
8,2,512,2,8,2,98.84
16,128,2,1,8,8,67.25
32,16,2,1,32,8,19.05
4,8,256,2,2,8,98.83
1,1,256,64,2,8,10.22
64,4,2,2,32,8,10.2
4,64,8,128,1,1,35.15
32,8,8,4,8,4,35.2
1,512,8,64,1,1,67.13
16,4,4,2,128,4,10.23
8,4,8,16,16,4,10.23
1,1,256,8,2,64,10.21
2,1,256,8,2,32,10.22
64,16,1,8,32,1,19.08
4,128,1,2,256,1,10.21
4,32,64,1,1,32,98.73
1,4096,2,1,4,8,98.81
1,1,1024,2,32,4,19.06
2,16,8,2,128,4,10.23
64,4,4,4,16,4,19.07
64,32,1,4,8,4,35.19
64,4,4,4,2,32,19.07
32,4,8,32,2,4,19.1
64,1,32,1,128,1,35.12
4,512,2,2,8,4,67.29
128,1,16,32,2,2,35.17
1,64,128,1,1,32,98.75
1024,1,8,2,1,16,98.85
4,512,1,1,8,16,36.99
2,512,2,4,8,4,35.21
64,16,1,1,256,1,19.01
1024,1,2,1,128,1,35.13
4,4,64,128,2,1,19.08
4,2,128,4,64,1,19.07
2,1,256,1,16,32,10.22
4,2,512,1,16,4,67.19
64,4,2,256,2,1,10.19
1,16,32,64,2,4,10.21
32,2,64,16,4,1,67.28
4096,1,2,32,1,1,98.74
1,256,16,1,64,1,67.18
32,64,2,4,8,2,67.3
8,64,2,8,32,1,19.09
1,16,16,1,128,8,10.21
256,1,32,1,2,16,98.79
2,8,32,32,2,8,10.21
2,64,4,16,2,16,10.21
128,4,8,16,2,2,67.27
16,64,2,16,1,8,35.16
16,64,2,128,1,1,35.11
256,1,2,8,1,64,10.22
1,8,1024,16,2,1,98.77
4,16,16,4,4,16,19.13
8,32,2,16,16,2,10.21
2,32,64,8,8,1,67.22
4,16,8,8,16,4,10.21
256,2,8,2,32,1,67.26
2,32,32,2,1,64,35.15
512,2,2,2,32,2,35.16
4,128,1,1,8,64,13.05
4,4,128,1,8,16,35.13
32,2,8,1,256,2,10.19
4,512,2,4,1,16,67.23
256,8,1,8,16,1,35.13
64,1,128,1,1,32,98.69
4,8,16,4,8,16,10.21
2,64,2,16,1,64,10.24
4,128,16,1,8,4,98.8
1,1024,1,32,8,1,19.05
1,2,4096,1,16,2,98.77
64,2,4,64,4,2,10.21
1,1024,4,16,4,1,67.24
1,128,2,64,8,2,10.24
16,4,64,4,8,2,67.29
128,1,32,2,16,2,67.29
128,16,2,4,2,8,67.27
1,16,16,64,1,16,10.21
128,8,4,1,16,4,67.25
4,2,128,1,16,16,19.07
4,128,1,128,4,1,10.2
64,2,16,1,8,16,35.15
128,16,2,2,1,32,67.3
8,128,4,2,1,32,67.3
32,8,2,4,8,16,10.21
64,1,8,1,8,64,10.22
32,16,2,2,4,32,19.12
1,8,1024,2,4,4,98.73
128,8,4,2,1,32,67.3
8,32,32,1,32,1,98.87
1,64,8,16,16,2,10.21
8,1,32,4,128,2,10.25
1,4,64,2,32,16,10.25
16,1,32,64,4,2,10.22
1,128,2,1,16,64,10.2
1,1,512,4,4,32,10.19
16,1,128,32,1,4,35.16
1,2,1024,4,2,16,35.23
16,2,64,64,1,2,35.18
1024,8,1,4,4,2,98.71
2,16,128,2,1,32,67.27
16,32,4,16,8,1,35.13
32,64,2,1,64,1,67.16
8,2,16,512,1,2,10.23
1,4,1024,4,2,8,67.33
1024,1,1,32,4,2,19.1
256,1,8,8,16,1,35.11
128,1,16,16,2,4,35.21
8,4,256,8,2,2,98.71
1,1,8192,16,2,1,98.82
8,64,4,64,1,2,35.15
16,1,512,8,1,4,98.81
1024,2,1,2,4,16,35.21
8,1,64,4,8,16,10.22
64,1,8,32,1,16,10.22
64,128,1,1,8,4,97.58
512,1,8,16,4,1,67.24
1,8,64,2,16,16,10.21
2,1,256,2,32,8,10.23
256,1,4,256,1,1,19.07
16,8,2,128,8,1,10.2
128,32,2,8,1,4,98.82
1024,1,2,32,2,2,35.22
256,2,4,1,64,2,35.15
256,1,4,16,4,4,19.16
1,16,16,2,256,2,10.24
4,128,2,4,64,1,19.08
16,256,2,2,1,16,98.79
128,8,2,4,8,4,35.18
2,64,8,8,1,32,19.11
32,64,2,2,16,2,67.33
64,4,1,4,16,16,10.23
256,1,32,2,2,8,98.9
32,2,16,64,2,2,19.12
64,16,1,2,2,64,19.12
1,4096,1,16,4,1,67.28
16,32,8,8,1,8,67.27
1,8,512,4,1,16,67.25
1,256,1,4,64,4,10.21
2,1,2048,32,2,1,67.22
4,64,32,4,8,1,98.77
32,4,4,1,64,8,10.19
1,128,4,4,8,16,10.2
1,32,32,8,16,2,19.13
64,1,4,1024,1,1,10.19
512,1,1,4,64,2,10.21
64,16,1,8,4,8,19.1
32,2,16,32,8,1,19.05
2048,2,1,4,4,4,67.27
128,4,4,4,1,32,35.14
2,4,256,1,2,64,35.14
2,128,2,2,8,32,10.21
1,8,128,2,64,2,19.14
512,4,4,2,16,1,98.78
4,512,2,2,4,8,67.25
256,1,16,1,32,2,67.22
8,128,4,8,4,2,67.28
2048,1,4,1,4,8,98.74
16,1,16,32,4,8,10.25
2,1024,2,4,1,16,67.25
4,64,8,1,128,1,35.15
32,1,8,1,128,8,10.24
8,4,16,2,128,2,10.2
4,4,128,32,2,2,35.18
128,2,32,1,8,4,98.77
512,8,2,4,2,4,98.77
64,1,8,16,32,1,10.19
128,2,1,32,2,16,10.23
128,4,8,1,4,16,67.29
1,256,2,128,4,1,10.18
1,128,16,4,16,2,35.26
128,16,1,16,8,1,35.17
32,4,4,16,2,16,10.2
256,4,4,4,1,16,67.28
64,8,2,128,2,1,19.06
256,16,1,1,16,4,67.57
8,16,2,4,16,16,10.23
128,1,64,2,2,8,98.66
64,2,2,1,1024,1,10.2
2,32,32,128,1,1,35.15
256,16,1,8,1,8,67.21
1,2,128,32,32,1,10.2
32,4,8,1,128,2,19.04
2,64,32,1,2,32,67.26
32,2,4,8,4,32,10.23
128,16,1,2,16,4,35.18
8,2,64,16,8,2,19.12
8,1,32,512,2,1,10.2
16,64,1,4,4,16,19.09
32,16,4,2,2,32,35.16
4,16,4,1,512,2,10.21
16,32,1,256,2,1,10.21
1,32,8,512,2,1,10.2
128,2,16,4,8,2,67.32
2,2048,1,2,32,1,67.25
1,2,512,128,2,1,19.07
8,512,1,16,2,2,67.23
64,32,1,1,2,64,36.12
1,2,128,64,8,2,10.24
2,16,8,2,64,8,10.22
64,1,4,64,2,8,10.24
1,8,32,16,32,2,10.25
64,16,2,4,16,2,35.16
2,8,16,8,64,2,10.23
1,1024,8,8,4,1,98.78
128,8,1,8,32,1,19.08
2,2,1024,16,4,1,67.18
1024,1,4,4,1,16,67.24
32,2,128,4,2,4,98.73
4,8,32,64,2,2,19.11
2,1024,2,2,16,2,67.3
1,1,1024,64,2,2,19.04
64,2,2,16,4,16,10.22
1,1024,1,2,64,2,19.05
16,256,1,1,32,2,67.24
4,64,8,64,2,1,35.14
64,2,4,32,1,16,10.21
1,512,4,4,1,32,35.13
2,1,512,2,32,4,19.15
4,64,4,4,64,1,19.07
1,128,32,32,2,1,67.28
128,1,4,8,1,64,10.22
1,128,16,128,1,1,35.12
1,8,64,8,8,8,10.2
4,16,32,1,128,1,35.14
8,2,256,2,16,2,67.25
1,4096,2,8,1,4,98.71
8,1,1024,4,2,4,98.74
256,1,8,1,64,2,35.14
256,2,4,2,2,32,35.2
1,256,4,8,16,2,19.13
8,128,2,2,8,8,35.13
4,16,8,2,4,64,10.21
128,2,16,1,4,16,67.23
2,512,8,32,1,1,98.76
4,2,512,8,4,2,67.28
256,1,2,128,4,1,10.19
8,4,128,2,1,32,67.24
8,8,16,64,1,4,19.11
2,2,2048,1,8,4,98.75
8,8,4,128,4,2,10.23
64,2,16,1,128,1,35.14
16,4,16,1,128,2,19.07
8,16,64,32,1,1,98.74
2,2,512,32,2,2,35.2
128,1,2,512,2,1,10.21
2,4,1024,2,16,1,98.83
256,2,4,2,64,1,35.15
128,2,1,8,64,2,10.24
4,16,8,1,16,32,10.2
4,32,8,16,4,4,19.1
16,1,64,16,4,4,19.16
4,4,64,4,64,1,19.08
32,8,1,128,1,8,10.2
32,8,4,1,8,32,19.09
512,1,1,1,8,64,10.18
1,128,8,1,8,32,19.06
8,32,1,8,32,4,10.24
32,8,1,1024,1,1,10.19
8,16,4,8,32,2,10.21
256,16,2,1,8,4,98.78
8,4,32,2,16,8,19.1
2,1,512,4,16,4,19.16
1,128,8,2,32,4,19.14
64,1,128,8,2,2,98.68
32,1,8,256,4,1,10.21
1,16,16,8,8,16,10.23
16,512,1,2,1,16,98.73
8,1,512,8,2,4,67.31
256,2,16,16,2,1,98.79
4,16,8,1,8,64,10.19
32,32,4,1,32,2,67.24
8,1,128,1,32,8,19.1
32,8,2,2,16,16,10.22
32,2,16,1,4,64,19.03
8,4,8,8,64,2,10.23
64,4,8,32,1,4,35.19
1,32,16,16,2,16,10.21
2,8,32,8,64,1,10.19
16,2,16,32,16,1,10.19
8,32,1,4,64,4,10.23
1,1024,1,4,4,16,19.07
