Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 1,  24,  4,  16,  3,  8, 0 , 88.34 
 0, 1,  4,  48,  2,  6,  16, 0 , 67.64 
 0, 3,  8,  4,  8,  2,  24, 0 , 67.8 
 1, 24,  3,  1,  64,  4,  2, 0 , 87.64 
 0, 4,  8,  4,  16,  6,  3, 0 , 67.5 
 1, 576,  1,  2,  2,  1,  16, 0 , 99.41 
 0, 12,  6,  16,  2,  4,  4, 0 , 76.14 
 0, 64,  6,  3,  32,  1,  1, 0 , 75.76 
 0, 24,  4,  2,  2,  3,  32, 0 , 67.6 
 0, 3,  24,  2,  4,  4,  16, 0 , 66.28 
 0, 1,  24,  3,  4,  32,  4, 0 , 68.07 
 1, 18,  1,  8,  2,  2,  64, 0 , 96.71 
 1, 2,  6,  24,  8,  1,  16, 0 , 90.72 
 0, 1,  12,  12,  1,  256,  1, 0 , 67.06 
 0, 64,  2,  1,  4,  18,  4, 0 , 67.85 
 0, 4,  2,  16,  8,  4,  9, 0 , 67.59 
 0, 288,  1,  1,  4,  4,  8, 0 , 66.71 
 0, 6,  6,  8,  1,  128,  1, 0 , 66.48 
 0, 1,  6,  32,  32,  1,  6, 0 , 67.46 
 0, 1,  48,  1,  6,  16,  8, 0 , 69.2 
 0, 3,  48,  1,  4,  8,  8, 0 , 67.49 
 0, 2,  2,  24,  24,  16,  1, 0 , 67.58 
 0, 2,  12,  6,  1,  64,  4, 0 , 67.62 
 1, 2,  32,  1,  1,  9,  64, 0 , 87.84 
 0, 8,  1,  8,  24,  12,  2, 0 , 66.28 
 0, 16,  3,  3,  4,  2,  32, 0 , 66.91 
 1, 32,  4,  1,  2,  8,  18, 0 , 94.17 
 1, 8,  4,  4,  3,  4,  24, 0 , 94.1 
 0, 1,  1,  72,  64,  2,  4, 0 , 67.35 
 1, 1,  2,  288,  16,  4,  1, 0 , 95.94 
 0, 12,  2,  16,  3,  32,  1, 0 , 68.59 
 0, 6,  8,  4,  8,  4,  6, 0 , 67.2 
 0, 2,  18,  32,  16,  2,  1, 0 , 75.83 
 0, 1,  32,  2,  64,  3,  3, 0 , 66.81 
 0, 2,  8,  9,  1,  4,  64, 0 , 67.38 
 1, 16,  3,  4,  1,  32,  6, 0 , 94.04 
 1, 3,  2,  8,  4,  48,  4, 0 , 96.42 
 0, 16,  4,  3,  4,  16,  3, 0 , 67.22 
 0, 1,  16,  8,  36,  4,  2, 0 , 68.05 
 1, 1,  8,  18,  32,  1,  8, 0 , 96.47 
 0, 4,  9,  4,  4,  16,  4, 0 , 67.01 
 1, 3,  24,  1,  8,  1,  64, 0 , 87.25 
 1, 4,  2,  16,  8,  18,  2, 0 , 94.47 
 0, 2,  24,  2,  8,  6,  8, 0 , 68.02 
 0, 1,  24,  6,  1,  128,  2, 0 , 66.72 
 0, 1,  16,  3,  4,  64,  3, 0 , 69.61 
 1, 1,  128,  3,  12,  8,  1, 0 , 94.33 
 0, 1,  8,  16,  2,  12,  12, 0 , 67.78 
 0, 6,  2,  96,  4,  8,  1, 0 , 76.1 
 1, 6,  2,  4,  256,  1,  3, 0 , 95.27 
 0, 3,  2,  12,  4,  128,  1, 0 , 67.54 
 1, 8,  3,  2,  2,  16,  24, 0 , 89.58 
 1, 9,  1,  8,  16,  16,  2, 0 , 88.05 
 0, 32,  1,  2,  16,  3,  12, 0 , 65.87 
 0, 1,  6,  8,  8,  3,  32, 0 , 69.69 
 1, 1,  3,  32,  32,  6,  2, 0 , 94.25 
 1, 1,  16,  18,  1,  4,  32, 0 , 86.56 
 0, 12,  6,  2,  8,  1,  32, 0 , 67.42 
