Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,12,4,6,1,16,2,0,3.34
1,8,4,3,4,4,6,0,1.2
1,24,1,1,2,3,64,0,2.31
1,4,2,6,8,24,1,0,1.17
1,1,24,1,64,6,1,0,2.23
1,24,4,1,1,24,4,0,1.86
1,4,1,12,1,48,4,0,1.23
0,3,4,8,1,3,32,0,40.61
0,6,2,3,64,1,4,0,41.53
1,12,2,6,2,4,8,0,3.84
1,16,1,2,3,32,3,0,11.36
1,3,3,1,128,1,8,0,25.69
1,12,1,8,1,16,6,0,1.94
1,24,2,3,16,4,1,0,4.25
1,1,4,4,24,2,12,0,22.49
0,8,1,2,24,4,6,0,41.74
0,4,2,6,8,24,1,0,41.83
0,4,12,6,8,2,2,0,37.49
1,32,3,3,1,1,32,0,2.93
1,2,3,2,8,2,48,0,1.33
1,6,24,2,1,1,32,0,5.24
1,16,6,3,1,32,1,0,3.43
1,16,1,6,12,2,4,0,1.32
0,3,16,1,12,1,16,0,41.47
1,1,72,1,16,8,1,0,5.78
1,1,2,16,12,2,12,0,11.19
0,2,4,2,32,6,3,0,41.65
0,2,8,1,3,48,4,0,40.91
1,3,3,2,256,1,2,0,19.95
1,12,1,1,1,192,4,0,2.65
1,36,8,1,4,1,8,0,3.35
1,1,4,4,32,6,3,0,22.14
1,1,48,3,8,4,2,0,4.0
1,4,12,2,8,3,4,0,1.2
1,32,3,1,6,8,2,0,1.48
0,24,1,6,1,16,4,0,40.67
0,1,96,1,3,16,2,0,40.84
1,4,1,24,12,8,1,0,1.47
1,6,1,24,64,1,1,0,4.02
1,2,3,16,48,1,2,0,1.28
1,3,8,2,2,6,16,0,1.23
0,3,8,1,48,1,8,0,41.6
1,4,1,9,128,2,1,0,2.91
0,4,4,1,1,96,6,0,39.67
1,1,8,6,3,8,8,0,1.34
1,3,3,8,16,4,2,0,5.91
1,9,2,2,64,2,2,0,2.35
1,1,1,288,2,4,4,0,3.2
1,24,2,2,8,6,2,0,1.4
1,8,3,2,1,24,8,0,1.41
0,1,2,8,36,8,2,0,40.97
1,6,8,1,8,12,2,0,1.01
0,1,1,18,1,16,32,0,41.88
1,3,1,24,16,4,2,0,5.81
1,144,1,2,8,1,4,0,4.24
0,1,3,4,2,12,32,0,40.4
1,4,3,2,32,2,6,0,2.31
1,1,6,4,4,2,48,0,2.46
1,1,96,1,4,8,3,0,1.33
0,2,4,2,16,9,4,0,41.3
1,4,9,2,32,2,2,0,5.62
0,1,4,3,3,256,1,0,41.25
1,16,3,1,2,4,24,0,1.08
0,1,2,18,8,4,8,0,40.24
1,2,2,3,2,96,4,0,1.5
1,12,1,8,2,6,8,0,1.23
0,3,16,1,192,1,1,0,41.59
1,1,1,16,8,72,1,0,22.94
1,1,12,4,192,1,1,0,1.12
1,2,16,9,2,16,1,0,3.57
1,2,8,3,1,96,2,0,1.24
1,1,3,4,8,2,48,0,2.19
1,6,4,3,32,2,2,0,5.65
1,4,6,12,1,32,1,0,3.34
1,2,3,4,8,2,24,0,2.53
1,3,1,16,48,4,1,0,1.2
1,1,4,8,24,3,4,0,10.89
1,6,2,4,1,4,48,0,1.23
1,3,16,6,16,1,2,0,3.57
1,16,1,2,6,24,2,0,11.09
1,4,1,4,8,18,4,0,23.71
0,6,8,1,8,12,2,0,40.1
1,1,12,6,1,8,16,0,5.48
1,16,1,2,2,144,1,0,10.57
1,1,6,4,4,96,1,0,2.49
1,12,1,3,1,4,64,0,2.8
1,2,16,1,12,6,4,0,10.6
1,16,1,1,48,1,12,0,23.86
1,8,1,3,3,32,4,0,2.37
1,2,12,12,1,8,4,0,3.55
1,48,1,3,4,1,16,0,4.38
1,2,4,4,48,6,1,0,10.76
0,2,2,9,16,16,1,0,40.89
0,6,4,2,4,16,3,0,40.96
0,1,2,9,8,32,2,0,40.52
1,1,2,24,8,1,24,0,1.31
1,6,4,2,3,64,1,0,1.13
1,2,6,1,48,8,2,0,2.13
1,4,3,6,2,8,8,0,5.91
1,2,2,8,32,9,1,0,10.72
1,24,1,2,1,3,64,0,1.39
1,3,16,1,2,6,16,0,1.21
1,16,1,6,32,3,1,0,1.73
0,2,1,16,12,2,12,0,41.09
1,3,16,1,24,2,4,0,1.3
1,1,1,9,8,16,8,0,25.62
1,2,2,4,16,3,12,0,23.78
1,1,36,4,4,2,8,0,3.97
1,6,1,16,4,6,4,0,1.46
1,1,16,3,2,3,32,0,1.28
1,4,24,1,1,16,6,0,2.23
1,2,16,3,1,3,32,0,1.82
1,3,32,3,1,8,4,0,3.71
1,2,3,2,4,24,8,0,1.32
1,2,1,16,24,2,6,0,10.8
1,1,2,12,8,2,24,0,2.84
0,6,2,6,16,2,4,0,40.97
1,9,4,1,32,4,2,0,2.42
1,48,6,1,2,16,1,0,4.01
0,6,2,1,3,4,64,0,39.83
1,1,12,2,2,4,48,0,2.28
1,16,2,3,16,6,1,0,1.15
1,1,1,48,3,16,4,0,1.39
1,2,1,72,32,1,2,0,4.18
1,1,16,2,1,96,3,0,10.94
1,2,3,4,12,2,16,0,3.02
1,2,6,1,2,64,6,0,1.94
1,1,16,2,48,3,2,0,10.71
