Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,1,54,6,128,1,2,0,2.64
0,72,1,6,4,3,16,0,23.75
0,2,24,9,12,8,2,0,23.43
0,1,54,6,128,1,2,0,24.66
1,1,648,4,2,2,8,0,1.1
1,24,1,4,18,4,12,0,4.87
1,3,1,27,256,4,1,0,4.74
1,18,3,16,4,24,1,0,1.66
0,3,24,2,4,48,3,0,22.73
0,2,9,8,24,8,3,0,22.34
0,8,36,1,1,144,2,0,24.22
0,9,3,3,32,8,4,0,24.7
0,72,1,2,12,4,12,0,22.73
0,1,648,4,2,2,8,0,13.81
1,12,54,2,64,1,1,0,1.59
1,24,1,6,16,4,9,0,5.21
1,8,2,18,6,48,1,0,2.36
1,2,36,2,2,8,36,0,5.35
1,18,16,1,6,12,4,0,2.37
1,4,1,24,3,12,24,0,4.63
1,1,81,2,8,2,32,0,4.0
1,16,9,18,16,1,2,0,0.3
1,12,8,1,72,2,6,0,4.54
1,1,9,144,32,2,1,0,0.92
0,16,9,18,16,1,2,0,14.15
1,2,4,162,16,2,2,0,0.87
1,9,1,12,64,12,1,0,0.93
1,54,2,6,2,64,1,0,3.55
1,6,1,72,2,48,2,0,4.75
1,3,2,18,8,24,4,0,0.87
1,16,1,9,2,24,12,0,4.97
0,27,2,12,2,4,16,0,23.57
0,9,4,8,4,3,24,0,24.38
1,16,9,1,16,2,18,0,5.18
1,4,3,9,1,32,24,0,0.98
1,6,24,2,6,48,1,0,3.56
1,2,18,3,3,32,8,0,0.83
1,3,108,1,2,16,8,0,3.27
1,6,2,12,12,4,12,0,4.71
1,3,32,1,12,8,9,0,4.91
1,9,1,36,2,4,32,0,3.74
1,2,6,72,96,1,1,0,1.06
1,81,8,1,1,128,1,0,6.61
0,1,12,24,1,8,36,0,24.85
1,8,2,54,6,16,1,0,1.8
1,72,2,2,8,12,3,0,2.61
1,36,3,8,6,4,4,0,1.16
1,1,12,8,18,6,8,0,5.49
1,1,6,144,4,12,2,0,1.4
1,4,24,27,1,2,16,0,0.25
1,3,48,2,6,16,3,0,3.34
1,1,36,24,16,1,6,0,3.64
1,9,1,48,4,8,6,0,6.52
0,1,18,24,1,4,48,0,24.78
1,9,1,32,18,16,1,0,3.54
1,4,18,4,36,2,4,0,2.21
1,72,3,6,8,1,8,0,1.97
1,16,18,9,2,8,2,0,0.24
1,1,9,9,64,16,1,0,4.16
1,18,16,3,4,6,4,0,1.0
1,9,8,9,2,4,16,0,3.47
1,1,9,24,6,8,8,0,5.22
0,18,24,1,4,16,3,0,23.52
1,3,72,4,6,2,8,0,1.46
0,12,24,1,6,2,24,0,24.94
0,12,2,12,9,2,16,0,24.01
0,12,6,4,18,4,4,0,24.35
0,12,8,9,4,1,24,0,22.3
0,27,2,6,32,2,4,0,24.03
0,27,4,4,4,12,4,0,24.01
1,3,36,1,8,8,12,0,0.66
1,2,12,12,32,9,1,0,3.31
1,1,24,4,36,2,12,0,5.2
0,6,6,3,8,24,4,0,21.23
1,18,1,16,4,12,6,0,2.61
1,36,4,1,48,1,12,0,4.87
1,2,2,27,16,6,8,0,0.73
1,2,24,27,1,2,32,0,2.2
1,8,6,6,4,72,1,0,2.55
1,432,1,1,24,4,2,0,6.92
0,3,72,4,4,3,8,0,22.58
1,3,2,18,16,2,24,0,1.09
1,1,18,48,1,16,6,0,1.26
1,12,24,1,48,6,1,0,2.92
1,27,1,6,32,1,16,0,4.0
1,1,48,3,144,2,2,0,4.03
1,4,27,4,32,3,2,0,5.1
1,48,1,54,8,2,2,0,0.25
0,12,12,2,3,24,4,0,24.96
1,12,4,2,24,6,6,0,4.89
1,1,48,18,2,3,16,0,1.98
1,96,3,1,36,2,4,0,2.68
0,16,18,9,2,8,2,0,13.78
1,27,4,2,96,2,2,0,5.85
1,9,24,4,6,8,2,0,0.72
0,2,4,108,1,16,6,0,22.26
1,3,9,16,2,12,8,0,6.32
1,1,4,24,288,3,1,0,4.75
1,1,4,216,6,1,16,0,1.33
1,4,27,2,6,64,1,0,5.62
1,4,1,72,24,3,4,0,2.72
1,12,9,8,1,6,16,0,7.03
1,18,6,3,1,128,2,0,2.88
1,4,12,3,16,12,3,0,5.11
1,432,1,6,4,4,2,0,0.29
0,8,2,9,12,1,48,0,22.37
0,81,1,4,8,1,32,0,24.27
1,8,12,3,24,4,3,0,2.43
1,8,12,1,2,27,16,0,4.8
1,18,24,1,2,2,48,0,5.21
1,1,36,4,36,1,16,0,4.51
0,27,16,2,2,3,16,0,22.26
1,27,8,1,48,4,2,0,7.03
1,4,6,9,3,64,2,0,7.08
1,4,1,72,12,3,8,0,2.76
1,12,2,4,8,54,2,0,4.96
1,108,1,4,6,16,2,0,5.87
1,1,24,18,4,8,6,0,6.64
1,36,1,4,9,32,2,0,5.36
1,3,144,3,2,32,1,0,1.93
1,4,8,3,6,24,6,0,5.16
1,27,4,2,16,3,8,0,6.45
1,16,27,3,64,1,1,0,2.04
1,2,9,48,8,2,6,0,1.37
1,27,1,6,4,8,16,0,4.01
1,108,1,6,32,4,1,0,3.66
0,4,72,9,1,2,16,0,13.97
1,2,12,12,8,4,9,0,2.58
1,8,3,12,12,6,4,0,2.86
1,2,108,4,48,2,1,0,1.11
1,3,12,12,1,24,8,0,6.44
1,4,4,54,24,1,4,0,1.32
1,1,96,1,2,108,4,0,4.54
1,2,3,24,12,1,48,0,5.24
1,1,12,12,16,3,12,0,9.5
1,12,8,1,108,1,8,0,5.0
0,1,2,108,24,2,8,0,23.86
1,9,1,16,3,4,48,0,4.49
1,32,3,1,24,9,4,0,4.82
1,24,1,6,48,12,1,0,4.92
1,72,1,18,1,64,1,0,0.7
1,9,8,4,24,1,12,0,2.5
1,2,24,9,48,2,2,0,6.24
0,32,9,1,2,36,4,0,24.6
0,3,4,24,6,1,48,0,24.32
1,27,3,4,4,16,4,0,3.47
1,3,3,144,16,4,1,0,4.64
1,3,9,4,8,12,8,0,0.95
1,6,16,1,2,108,4,0,5.08
0,4,24,9,12,4,2,0,22.22
1,54,6,1,8,2,16,0,3.61
1,1,12,108,4,16,1,0,1.06
1,108,2,2,4,4,12,0,1.6
1,12,36,6,2,2,8,0,0.22
1,2,4,18,4,4,36,0,4.67
1,18,6,2,2,12,16,0,4.75
1,72,1,2,24,8,3,0,5.14
1,4,36,2,36,1,8,0,2.27
1,27,4,8,24,2,2,0,1.24
0,12,36,6,2,2,8,0,13.58
1,3,4,72,24,1,4,0,1.63
1,2,16,3,9,3,32,0,4.89
1,18,2,8,12,24,1,0,2.06
1,8,3,6,64,9,1,0,5.3
1,3,12,8,72,2,2,0,2.44
1,1,6,16,18,3,16,0,4.57
1,2,8,9,2,18,16,0,4.87
1,9,6,2,2,24,16,0,0.91
1,24,27,1,8,16,1,0,4.03
1,2,36,4,4,24,3,0,2.16
1,12,3,8,12,3,8,0,2.51
1,3,4,18,4,16,6,0,2.89
0,3,96,3,2,24,2,0,22.33
1,3,48,6,6,16,1,0,0.5
1,1,24,9,12,8,4,0,4.85
1,12,8,3,8,9,4,0,3.18
1,2,9,12,1,64,6,0,6.69
