Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,16,1,8,4,8,1,0,3.2
0,64,2,1,1,4,8,0,40.82
0,1,4,2,2,4,64,0,59.65
0,2,4,8,16,2,2,0,40.98
1,1,4,2,32,1,16,0,34.94
1,2,4,8,8,1,8,0,4.59
1,1,2,8,1,16,16,0,15.79
1,2,2,32,8,4,1,0,3.15
1,4,2,1,1,512,1,0,34.99
1,16,2,2,1,2,32,0,4.33
1,1,1,64,2,16,2,0,5.1
1,32,2,1,2,32,1,0,2.84
1,8,1,8,1,16,4,0,4.26
1,8,4,1,4,4,8,0,6.55
1,1,4,2,128,2,2,0,34.89
1,4,8,2,4,2,8,0,4.75
1,4,1,4,32,8,1,0,15.64
1,4,1,1,128,2,4,0,67.12
1,8,2,1,2,128,1,0,15.11
1,1,32,1,4,8,4,0,6.47
0,16,1,8,2,8,2,0,41.6
1,1,2,2,256,4,1,0,67.11
1,4,2,1,2,16,16,0,35.07
1,2,4,1,1,128,4,0,34.74
1,4,2,16,2,4,4,0,3.61
1,4,4,2,1,16,8,0,7.23
1,4,1,8,2,16,4,0,7.04
1,1,1,32,16,1,8,0,6.94
1,1,1,16,16,8,2,0,15.21
1,2,4,2,8,2,16,0,15.74
1,2,2,1,256,2,2,0,67.13
1,2,2,8,32,2,2,0,5.98
1,2,2,1,128,4,2,0,67.08
1,1,16,1,4,1,64,0,15.39
1,32,1,1,128,1,1,0,6.09
1,8,2,2,64,2,1,0,7.03
1,2,1,2,256,4,1,0,67.07
1,4,1,1,128,8,1,0,67.05
1,1,8,1,4,16,8,0,35.02
0,4,2,4,4,4,8,0,40.65
0,16,1,2,2,4,16,0,40.76
1,2,4,16,4,2,4,0,3.39
1,32,2,1,16,2,2,0,4.19
1,2,4,1,8,2,32,0,34.99
1,1,1,64,8,2,4,0,4.42
1,1,32,2,2,2,16,0,3.92
1,2,1,32,64,1,1,0,4.15
1,1,16,2,4,4,8,0,6.49
1,2,2,8,128,1,1,0,6.88
