Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
0,1,512,8,1,32,2,0,31.73
0,4,64,1,1,64,16,0,4.69
0,16,64,2,1,32,4,0,19.5
0,2,256,1,1,64,8,0,5.8
0,64,64,2,16,2,1,0,58.18
0,4,32,2,2,512,1,0,5.78
0,8,32,2,128,1,4,0,5.79
0,8,2,128,2,4,16,0,19.13
0,2,8,128,32,4,1,0,19.54
0,2,16,32,16,8,2,0,11.18
0,1,4,128,8,4,16,0,5.84
0,64,4,8,128,1,1,0,19.42
0,8,256,1,1,32,4,0,20.15
0,32,8,32,1,8,4,0,58.37
0,2,32,64,1,16,4,0,32.03
0,2,2,128,32,4,4,0,5.8
0,256,1,1,2,16,32,0,5.78
0,4,1,256,2,128,1,0,11.17
0,64,32,1,4,8,4,0,19.62
0,64,64,1,8,8,1,0,31.8
0,32,4,4,32,2,8,0,5.8
0,1,32,64,2,2,32,0,19.58
0,16,1,512,8,2,2,0,58.5
0,8,32,1,32,32,1,0,5.78
0,8,8,64,16,1,4,0,31.98
0,16,2,64,32,4,1,0,19.31
0,8,16,2,32,16,2,0,5.78
0,256,2,2,128,2,1,0,11.17
0,4,64,4,16,16,1,0,11.16
0,4,256,8,1,16,2,0,58.14
0,32,2,4,128,2,4,0,5.79
0,1,2,256,8,2,32,0,5.86
0,2,32,16,2,2,64,0,11.18
0,4,256,1,2,64,2,0,11.23
0,2,2,128,2,16,16,0,5.8
0,1024,2,2,4,16,1,0,31.66
0,4,1,64,32,32,1,0,5.78
0,4,8,8,64,16,1,0,5.78
0,4,4,256,4,16,1,0,32.09
0,16,32,16,2,4,4,0,58.53
0,4,16,32,32,1,4,0,19.23
0,1,2,512,8,2,16,0,11.24
0,16,2,16,1,256,2,0,5.82
0,2,1,256,32,16,1,0,5.8
0,1,2,256,1,256,2,0,5.8
0,4,128,4,2,8,8,0,19.47
0,64,8,4,1,2,64,0,18.77
0,2,128,4,2,2,64,0,11.16
0,64,8,2,16,4,4,0,11.2
0,128,8,1,8,1,32,0,11.16
0,2,32,128,1,4,8,0,57.97
0,2,8,16,1024,1,1,0,5.8
0,2,128,2,4,4,32,0,5.82
0,4,64,2,2,256,1,0,5.8
0,64,8,8,2,32,1,0,32.37
0,16,1,512,1,4,8,0,58.21
0,8,16,32,4,1,16,0,31.39
0,32,2,128,32,1,1,0,58.15
0,128,2,1,4,4,64,0,5.81
0,64,2,16,1,64,2,0,19.34
0,4,64,8,128,1,1,0,19.57
0,1,32,8,32,32,1,0,5.8
0,1,32,128,8,4,2,0,31.93
0,128,4,2,2,4,32,0,11.18
0,4,16,8,2,4,64,0,5.84
0,32,16,4,1,4,32,0,19.34
0,2,32,32,32,2,2,0,19.52
0,1024,1,8,1,32,1,0,58.05
0,8,256,1,8,2,8,0,19.27
0,1,2,128,32,1,32,0,5.78
0,16,32,2,64,1,4,0,11.2
0,8,1,64,2,16,16,0,5.84
0,4,16,4,16,32,2,0,5.78
0,1,2,256,8,4,16,0,5.84
0,256,4,2,32,4,1,0,19.38
0,512,1,8,2,32,1,0,31.45
0,8,2,16,1,32,32,0,5.78
0,1,32,16,1,16,32,0,5.8
0,2,256,2,2,32,4,0,11.18
0,32,16,16,4,2,4,0,58.41
0,128,16,2,4,1,16,0,32.08
0,1,16,32,64,8,1,0,5.8
0,1,32,64,32,2,2,0,19.49
0,256,2,16,16,2,1,0,58.47
0,2,32,128,8,4,1,0,58.18
0,1024,1,1,1,128,2,0,11.18
0,8,256,1,16,8,1,0,19.5
0,32,4,8,64,1,4,0,11.19
0,4,1,512,2,32,2,0,19.57
0,1,2,256,2,16,16,0,5.85
0,8,64,8,4,4,4,0,32.1
0,128,8,8,1,8,4,0,58.06
0,2,512,1,4,8,8,0,11.25
0,16,16,2,4,2,64,0,5.8
0,4,2,512,2,8,4,0,32.2
0,2,1,512,1,32,8,0,11.18
0,1,2048,1,16,4,2,0,19.48
0,4,8,8,32,2,16,0,5.78
0,4,8,256,8,2,2,0,58.23
0,512,1,1,1,8,64,0,5.8
0,16,1,128,8,8,2,0,19.62
0,1,2,256,2,256,1,0,5.8
0,32,16,16,1,2,16,0,58.34
0,8,1024,1,2,2,8,0,58.13
0,2,128,1,1,128,8,0,4.69
0,8,32,8,2,64,1,0,19.51
0,256,2,4,8,8,2,0,19.59
0,32,1,16,2,256,1,0,5.8
0,1,4096,1,8,4,2,0,32.15
0,4,2,64,64,8,1,0,5.81
0,256,2,2,4,64,1,0,11.17
0,32,4,64,2,16,1,0,58.15
0,256,4,2,8,1,16,0,19.56
0,32,4,16,2,64,1,0,19.4
0,128,16,1,4,16,2,0,19.64
0,64,2,64,1,16,2,0,58.11
0,4,2,512,4,4,4,0,31.26
0,8,2,512,2,2,8,0,57.86
0,4,64,16,4,1,16,0,32.01
0,4,32,2,32,1,32,0,5.78
0,64,8,4,1,32,4,0,19.44
0,64,16,8,1,16,2,0,58.15
0,4,16,64,1,1,64,0,32.58
0,1,64,32,16,8,1,0,19.38
0,1,256,4,8,16,2,0,11.26
0,128,1,4,128,1,4,0,5.81
0,1,2048,4,4,2,4,0,58.22
0,16,8,64,8,2,2,0,58.27
0,16,32,8,1,8,8,0,32.09
0,4,512,1,16,8,1,0,19.3
0,16,2,8,64,1,16,0,5.77
0,16,8,4,128,2,2,0,5.82
0,128,2,4,4,64,1,0,11.17
0,64,32,1,1,4,32,0,20.4
0,1,4,128,4,32,4,0,5.84
0,64,32,2,16,2,2,0,32.08
0,32,2,32,32,4,1,0,19.3
0,2,1024,4,4,8,1,0,58.64
0,4,1,128,64,2,4,0,5.84
0,64,2,2,4,8,32,0,5.79
0,1,2,128,2,64,8,0,5.83
0,2,128,2,64,2,4,0,5.82
0,512,1,8,8,2,4,0,32.39
0,2048,2,1,2,16,2,0,32.03
0,32,64,2,16,2,2,0,32.45
0,8,16,8,64,4,1,0,11.19
0,128,1,8,16,1,16,0,11.19
0,16,1,16,256,2,2,0,5.84
0,4,256,2,1,16,8,0,19.56
0,64,4,2,8,32,2,0,5.8
0,2,1,256,2,16,16,0,5.84
0,1,256,16,2,8,4,0,32.35
0,16,8,16,8,2,8,0,19.25
0,256,1,4,32,4,2,0,11.24
