gx,gy,gz,bx,by,bz,smefficiency
2,1,2,32,4,8,8.72
4,2,2,128,2,1,10.55
8,4,2,16,1,4,10.73
1,4,1,1024,1,1,8.66
1,2,64,2,4,4,18.22
2,16,2,8,4,2,10.82
4,4,2,2,2,32,10.76
8,2,2,2,2,32,10.77
8,2,2,4,2,16,10.76
2,4,1,32,2,8,9.63
1,2,2,1,16,64,8.67
1,8,1,4,8,16,9.63
4,2,16,2,16,1,19.06
1,4,4,2,4,32,10.54
1,2,32,1,8,8,10.55
2,1,4,128,1,4,9.71
16,1,2,1,64,2,11.29
4,1,32,8,1,4,19.22
32,4,1,4,2,4,18.22
8,1,2,128,2,1,10.42
8,1,16,2,2,8,18.25
4,1,4,4,64,1,10.61
1,2,64,4,1,8,18.26
4,4,8,4,8,1,18.19
1,4,1,4,16,16,8.68
1,2,2,2,128,4,8.72
4,1,8,16,8,1,10.68
4,16,2,8,1,4,18.38
32,2,2,1,1,32,18.37
1,16,8,1,4,8,18.94
1,8,2,4,8,8,10.56
2,8,1,256,1,1,10.47
4,2,2,4,32,2,11.57
2,8,8,2,16,1,18.21
128,1,1,8,2,2,18.34
1,4,1,32,32,1,8.66
1,64,1,8,4,2,10.58
32,1,1,4,16,2,10.67
1,16,2,4,1,32,10.64
2,1,16,4,1,32,11.63
4,4,1,4,64,1,10.61
2,1,16,2,8,8,10.63
8,2,1,4,32,2,10.54
16,1,2,8,8,2,10.61
1,64,1,2,2,16,10.59
8,1,2,16,8,2,10.63
1,8,2,128,2,1,11.46
1,8,2,16,8,2,10.55
8,2,8,4,4,2,18.44
1,32,1,8,16,1,10.61
1,4,32,32,1,1,18.19
16,1,8,1,8,4,18.18
2,4,1,64,4,2,10.06
2,8,1,8,32,1,11.21
2,2,1,2,32,16,8.89
1,4,2,16,4,8,9.64
4,4,1,2,64,2,10.53
16,2,1,2,32,2,10.54
8,1,2,1,128,2,10.5
1,1,8,1,64,8,9.66
4,1,2,2,64,4,9.7
2,2,1,2,128,4,8.71
64,2,1,32,1,1,18.15
1,32,4,8,4,1,18.21
8,4,1,1,32,4,10.56
1,1,4,128,2,4,8.67
32,4,1,16,1,2,18.2
4,1,32,2,8,2,18.27
1,32,4,8,1,4,18.31
1,1,64,64,1,1,10.52
2,1,4,4,4,32,9.67
4,4,2,1,16,8,10.54
1,4,4,4,2,32,10.55
1,16,1,1,16,16,10.52
1,16,8,8,4,1,18.2
4,4,2,1,4,32,10.58
1,2,32,1,64,1,10.52
4,32,1,1,32,1,18.2
1,1,16,1,128,2,10.6
2,16,4,1,8,4,18.19
8,8,1,4,16,1,10.65
2,4,2,16,2,8,11.55
1,32,1,2,32,2,11.11
32,1,4,32,1,1,18.29
64,2,1,2,2,8,18.17
4,16,1,64,1,1,10.48
1,4,16,32,1,2,11.6
2,1,4,1,256,2,10.1
4,2,1,1,256,2,9.56
4,8,4,8,2,2,18.4
16,1,8,8,4,1,18.29
1,1,16,4,1,64,10.5
1,4,4,1,64,4,10.54
1,4,2,2,32,8,9.65
1,1,32,2,64,1,10.5
4,16,1,2,4,8,10.56
2,16,1,2,4,16,10.53
8,8,1,16,1,4,10.54
4,2,4,1,16,8,10.55
2,2,1,8,32,4,8.71
1,8,1,32,8,2,9.62
2,4,16,2,8,2,18.44
4,1,1,16,2,32,8.71
2,1,8,2,16,8,10.61
8,8,2,2,2,8,18.38
1,8,4,16,4,2,10.56
1,64,1,16,1,4,10.7
64,1,2,2,16,1,18.27
16,4,1,1,1,64,10.54
8,1,8,2,16,2,10.64
128,1,1,1,4,8,18.16
4,2,8,64,1,1,10.57
2,16,4,4,4,2,18.42
8,2,4,4,16,1,10.58
8,1,1,4,128,1,9.58
1,8,4,2,2,32,10.55
2,1,2,32,1,32,8.72
32,2,2,16,1,2,18.4
2,16,1,1,8,16,12.67
2,8,2,8,1,16,10.73
1,16,8,2,16,1,18.21
2,4,2,64,2,2,11.53
1,32,1,64,2,1,10.61
2,32,1,2,32,1,10.65
2,4,2,8,4,8,10.73
2,1,8,2,2,64,10.6
1,2,4,2,16,16,9.64
4,2,8,16,1,4,11.67
4,1,4,1,8,32,10.49
2,1,16,32,4,1,10.63
16,4,2,1,32,1,18.29
128,1,1,2,16,1,18.16
4,2,8,32,2,1,10.56
1,64,1,1,2,32,10.53
1,1,16,1,16,16,10.6
4,1,32,4,4,2,18.3
8,2,2,64,1,2,10.72
1,8,2,8,16,2,10.55
2,2,4,4,2,32,10.74
1,2,32,1,16,4,11.33
1,64,1,1,32,2,10.55
1,32,4,4,2,4,18.92
1,2,2,128,1,8,8.7
32,2,1,8,2,4,10.55
64,2,1,1,32,1,18.19
16,2,4,2,1,16,18.38
2,1,64,1,2,16,18.18
2,1,16,4,32,1,10.63
16,1,1,8,8,4,10.66
1,2,8,32,1,8,10.62
2,1,16,8,1,16,10.68
8,1,4,4,1,32,10.69
64,1,2,2,8,2,18.29
1,16,4,8,8,1,10.54
32,1,4,8,2,2,18.29
32,1,2,8,8,1,10.65
1,16,1,2,4,32,10.56
1,1,16,1,8,32,10.58
2,2,1,64,2,8,8.7
4,2,16,8,2,2,18.41
1,32,4,16,2,1,18.17
1,1,128,1,4,8,18.27
1,4,4,1,4,64,11.31
2,4,1,4,128,1,9.65
2,2,2,4,16,8,10.26
8,1,8,1,8,8,10.53
1,2,2,2,8,64,8.7
2,4,1,16,1,32,9.59
4,4,1,64,1,4,10.48
4,4,8,1,8,4,18.18
4,2,4,16,4,2,10.76
2,1,4,8,16,4,9.67
64,1,1,16,2,2,10.69
1,4,8,16,2,4,10.55
4,4,8,16,2,1,18.19
32,1,2,1,4,16,10.5
1,16,8,1,2,16,18.17
2,4,1,2,16,16,9.64
2,8,1,64,1,4,10.49
