gx,gy,gz,bx,by,bz,gpuId,smefficiency   
4,2,8,32,2,1,0,10.57 
4,4,4,32,2,1,0,10.56 
4,8,2,32,2,1,0,10.57 
4,16,1,32,2,1,0,10.65 
8,1,8,32,2,1,0,10.64 
8,2,4,32,2,1,0,10.57 
8,4,2,32,2,1,0,10.57 
8,8,1,32,2,1,0,10.66 
16,1,4,32,2,1,0,10.65 
16,2,2,32,2,1,0,10.58 
16,4,1,32,2,1,0,10.64 
32,1,2,32,2,1,0,10.65 
32,2,1,32,2,1,0,10.65 
64,1,1,32,2,1,0,10.51 
1,1,32,64,2,1,0,10.48 
1,2,16,64,2,1,0,10.51 
1,4,8,64,2,1,0,10.52 
1,8,4,64,2,1,0,10.52 
1,16,2,64,2,1,0,10.52 
1,32,1,64,2,1,0,10.59 
2,1,16,64,2,1,0,10.62 
2,2,8,64,2,1,0,10.57 
2,4,4,64,2,1,0,10.57 
2,8,2,64,2,1,0,10.56 
2,16,1,64,2,1,0,10.64 
4,1,8,64,2,1,0,10.62 
4,2,4,64,2,1,0,10.57 
4,4,2,64,2,1,0,10.56 
4,8,1,64,2,1,0,10.64 
8,1,4,64,2,1,0,10.63 
8,2,2,64,2,1,0,10.56 
8,4,1,64,2,1,0,10.63 
16,1,2,64,2,1,0,10.61 
16,2,1,64,2,1,0,10.64 
32,1,1,64,2,1,0,10.5 
1,1,16,128,2,1,0,10.46 
1,2,8,128,2,1,0,10.52 
1,4,4,128,2,1,0,10.52 
1,8,2,128,2,1,0,10.52 
1,16,1,128,2,1,0,10.59 
2,1,8,128,2,1,0,10.62 
2,2,4,128,2,1,0,10.56 
2,4,2,128,2,1,0,10.56 
2,8,1,128,2,1,0,10.62 
4,1,4,128,2,1,0,10.61 
4,2,2,128,2,1,0,10.55 
4,4,1,128,2,1,0,10.67 
8,1,2,128,2,1,0,10.6 
8,2,1,128,2,1,0,10.62 
16,1,1,128,2,1,0,10.48 
1,1,8,256,2,1,0,9.58 
1,2,4,256,2,1,0,9.61 
1,4,2,256,2,1,0,9.61 
1,8,1,256,2,1,0,9.64 
2,1,4,256,2,1,0,9.66 
2,2,2,256,2,1,0,9.63 
2,4,1,256,2,1,0,9.67 
4,1,2,256,2,1,0,9.66 
4,2,1,256,2,1,0,9.67 
8,1,1,256,2,1,0,9.59 
1,1,4,512,2,1,0,8.65 
1,2,2,512,2,1,0,8.67 
1,4,1,512,2,1,0,8.66 
2,1,2,512,2,1,0,8.67 
2,2,1,512,2,1,0,8.69 
4,1,1,512,2,1,0,8.65 
1,1,128,8,4,1,0,18.15 
1,2,64,8,4,1,0,18.18 
1,4,32,8,4,1,0,18.18 
1,8,16,8,4,1,0,18.19 
1,16,8,8,4,1,0,18.18 
1,32,4,8,4,1,0,18.2 
1,64,2,8,4,1,0,18.19 
1,128,1,8,4,1,0,18.25 
2,1,64,8,4,1,0,18.29 
2,2,32,8,4,1,0,18.22 
2,4,16,8,4,1,0,18.2 
2,8,8,8,4,1,0,18.24 
2,16,4,8,4,1,0,18.24 
2,32,2,8,4,1,0,18.22 
2,64,1,8,4,1,0,18.31 
4,1,32,8,4,1,0,18.28 
4,2,16,8,4,1,0,18.25 
4,4,8,8,4,1,0,18.21 
4,8,4,8,4,1,0,18.24 
4,16,2,8,4,1,0,18.22 
4,32,1,8,4,1,0,18.3 
8,1,16,8,4,1,0,18.28 
8,2,8,8,4,1,0,18.22 
8,4,4,8,4,1,0,18.23 
8,8,2,8,4,1,0,18.22 
8,16,1,8,4,1,0,18.3 
16,1,8,8,4,1,0,18.3 
16,2,4,8,4,1,0,18.22 
16,4,2,8,4,1,0,18.22 
16,8,1,8,4,1,0,18.29 
32,1,4,8,4,1,0,18.3 
32,2,2,8,4,1,0,18.21 
32,4,1,8,4,1,0,18.34 
64,1,2,8,4,1,0,18.32 
64,2,1,8,4,1,0,18.31 
128,1,1,8,4,1,0,18.15 
1,1,64,16,4,1,0,10.5 
1,2,32,16,4,1,0,10.53 
1,4,16,16,4,1,0,10.53 
1,8,8,16,4,1,0,10.54 
1,16,4,16,4,1,0,10.53 
1,32,2,16,4,1,0,10.53 
1,64,1,16,4,1,0,10.6 
2,1,32,16,4,1,0,10.64 
2,2,16,16,4,1,0,10.57 
2,4,8,16,4,1,0,10.57 
2,8,4,16,4,1,0,10.57 
2,16,2,16,4,1,0,10.59 
2,32,1,16,4,1,0,10.66 
4,1,16,16,4,1,0,10.65 
4,2,8,16,4,1,0,10.56 
4,4,4,16,4,1,0,10.57 
4,8,2,16,4,1,0,10.56 
4,16,1,16,4,1,0,10.66 
8,1,8,16,4,1,0,10.65 
8,2,4,16,4,1,0,10.56 
8,4,2,16,4,1,0,10.56 
8,8,1,16,4,1,0,10.65 
16,1,4,16,4,1,0,10.65 
16,2,2,16,4,1,0,10.57 
16,4,1,16,4,1,0,10.71 
32,1,2,16,4,1,0,10.66 
32,2,1,16,4,1,0,10.66 
64,1,1,16,4,1,0,10.51 
1,1,32,32,4,1,0,10.49 
1,2,16,32,4,1,0,10.53 
1,4,8,32,4,1,0,10.51 
1,8,4,32,4,1,0,10.52 
1,16,2,32,4,1,0,10.52 
1,32,1,32,4,1,0,10.61 
2,1,16,32,4,1,0,10.63 
2,2,8,32,4,1,0,10.56 
2,4,4,32,4,1,0,10.56 
2,8,2,32,4,1,0,10.57 
2,16,1,32,4,1,0,10.63 
4,1,8,32,4,1,0,10.61 
4,2,4,32,4,1,0,10.56 
4,4,2,32,4,1,0,10.56 
4,8,1,32,4,1,0,10.63 
8,1,4,32,4,1,0,10.62 
8,2,2,32,4,1,0,10.56 
8,4,1,32,4,1,0,10.63 
16,1,2,32,4,1,0,10.62 
16,2,1,32,4,1,0,10.63 
32,1,1,32,4,1,0,10.5 
1,1,16,64,4,1,0,10.46 
1,2,8,64,4,1,0,10.52 
1,4,4,64,4,1,0,10.52 
1,8,2,64,4,1,0,10.52 
1,16,1,64,4,1,0,10.6 
2,1,8,64,4,1,0,10.62 
2,2,4,64,4,1,0,10.56 
2,4,2,64,4,1,0,10.56 
2,8,1,64,4,1,0,10.62 
4,1,4,64,4,1,0,10.61 
4,2,2,64,4,1,0,10.54 
4,4,1,64,4,1,0,10.62 
8,1,2,64,4,1,0,10.61 
8,2,1,64,4,1,0,10.62 
16,1,1,64,4,1,0,10.47 
1,1,8,128,4,1,0,9.59 
1,2,4,128,4,1,0,9.61 
1,4,2,128,4,1,0,9.62 
1,8,1,128,4,1,0,9.64 
2,1,4,128,4,1,0,9.66 
2,2,2,128,4,1,0,9.63 
2,4,1,128,4,1,0,9.67 
4,1,2,128,4,1,0,9.66 
4,2,1,128,4,1,0,9.68 
8,1,1,128,4,1,0,9.59 
1,1,4,256,4,1,0,8.65 
1,2,2,256,4,1,0,8.67 
1,4,1,256,4,1,0,8.66 
2,1,2,256,4,1,0,8.67 
2,2,1,256,4,1,0,8.69 
4,1,1,256,4,1,0,8.64 
1,1,128,4,8,1,0,18.16 
1,2,64,4,8,1,0,18.19 
1,4,32,4,8,1,0,18.18 
1,8,16,4,8,1,0,18.17 
1,16,8,4,8,1,0,18.19 
1,32,4,4,8,1,0,18.19 
1,64,2,4,8,1,0,18.19 
1,128,1,4,8,1,0,18.28 
2,1,64,4,8,1,0,18.3 
2,2,32,4,8,1,0,18.23 
2,4,16,4,8,1,0,18.2 
2,8,8,4,8,1,0,18.22 
2,16,4,4,8,1,0,18.22 
2,32,2,4,8,1,0,18.23 
2,64,1,4,8,1,0,18.32 
4,1,32,4,8,1,0,18.3 
4,2,16,4,8,1,0,18.24 
4,4,8,4,8,1,0,18.2 
4,8,4,4,8,1,0,18.24 
4,16,2,4,8,1,0,18.24 
4,32,1,4,8,1,0,18.31 
8,1,16,4,8,1,0,18.3 
8,2,8,4,8,1,0,18.22 
8,4,4,4,8,1,0,18.22 
8,8,2,4,8,1,0,18.22 
8,16,1,4,8,1,0,18.29 
16,1,8,4,8,1,0,18.3 
16,2,4,4,8,1,0,18.22 
16,4,2,4,8,1,0,18.23 
16,8,1,4,8,1,0,18.3 
32,1,4,4,8,1,0,18.29 
32,2,2,4,8,1,0,18.24 
32,4,1,4,8,1,0,18.29 
64,1,2,4,8,1,0,18.3 
64,2,1,4,8,1,0,18.3 
128,1,1,4,8,1,0,18.18 
1,1,64,8,8,1,0,10.51 
1,2,32,8,8,1,0,10.53 
1,4,16,8,8,1,0,10.53 
1,8,8,8,8,1,0,10.53 
1,16,4,8,8,1,0,10.52 
1,32,2,8,8,1,0,10.53 
1,64,1,8,8,1,0,10.62 
2,1,32,8,8,1,0,10.65 
2,2,16,8,8,1,0,10.57 
2,4,8,8,8,1,0,10.56 
2,8,4,8,8,1,0,10.57 
2,16,2,8,8,1,0,10.57 
2,32,1,8,8,1,0,10.67 
4,1,16,8,8,1,0,10.65 
4,2,8,8,8,1,0,10.56 
4,4,4,8,8,1,0,10.6 
4,8,2,8,8,1,0,10.57 
4,16,1,8,8,1,0,10.66 
8,1,8,8,8,1,0,10.65 
8,2,4,8,8,1,0,10.57 
8,4,2,8,8,1,0,10.57 
8,8,1,8,8,1,0,10.65 
16,1,4,8,8,1,0,10.65 
16,2,2,8,8,1,0,10.56 
16,4,1,8,8,1,0,10.65 
32,1,2,8,8,1,0,10.65 
32,2,1,8,8,1,0,10.66 
64,1,1,8,8,1,0,10.51 
1,1,32,16,8,1,0,10.49 
1,2,16,16,8,1,0,10.53 
1,4,8,16,8,1,0,10.52 
1,8,4,16,8,1,0,10.56 
1,16,2,16,8,1,0,10.52 
1,32,1,16,8,1,0,10.61 
2,1,16,16,8,1,0,10.62 
2,2,8,16,8,1,0,10.56 
2,4,4,16,8,1,0,10.56 
2,8,2,16,8,1,0,10.56 
2,16,1,16,8,1,0,10.64 
4,1,8,16,8,1,0,10.63 
4,2,4,16,8,1,0,10.56 
4,4,2,16,8,1,0,10.56 
4,8,1,16,8,1,0,10.64 
8,1,4,16,8,1,0,10.63 
8,2,2,16,8,1,0,10.56 
8,4,1,16,8,1,0,10.63 
16,1,2,16,8,1,0,10.64 
16,2,1,16,8,1,0,10.64 
32,1,1,16,8,1,0,10.5 
1,1,16,32,8,1,0,10.48 
1,2,8,32,8,1,0,10.52 
1,4,4,32,8,1,0,10.52 
1,8,2,32,8,1,0,10.52 
1,16,1,32,8,1,0,10.59 
2,1,8,32,8,1,0,10.62 
2,2,4,32,8,1,0,10.59 
2,4,2,32,8,1,0,10.56 
2,8,1,32,8,1,0,10.62 
4,1,4,32,8,1,0,10.61 
4,2,2,32,8,1,0,10.56 
4,4,1,32,8,1,0,10.61 
8,1,2,32,8,1,0,10.61 
8,2,1,32,8,1,0,10.62 
16,1,1,32,8,1,0,10.52 
1,1,8,64,8,1,0,9.59 
1,2,4,64,8,1,0,9.62 
