Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  1024,  1,  2,  32, 0 , 0.946313 
 0, 1,  4,  128,  4,  16,  8, 0 , 0.629578 
 0, 128,  1,  8,  16,  2,  8, 0 , 0.754311 
 0, 2,  512,  4,  8,  8,  1, 0 , 0.945774 
 0, 128,  1,  8,  2,  128,  1, 0 , 0.754423 
 0, 4,  16,  16,  2,  128,  1, 0 , 0.754344 
 0, 2,  128,  16,  1,  16,  4, 0 , 0.945925 
 0, 1,  32,  64,  2,  1,  64, 0 , 0.861109 
 0, 1,  512,  1,  2,  16,  16, 0 , 0.626515 
 0, 16,  2,  8,  1,  512,  2, 0 , 0.637558 
 0, 2,  128,  16,  4,  8,  2, 0 , 0.944868 
 0, 128,  2,  4,  2,  2,  64, 0 , 0.753851 
 0, 1,  256,  2,  512,  1,  1, 0 , 0.626748 
 0, 2,  1,  1024,  32,  1,  4, 0 , 0.860168 
 0, 16,  128,  1,  2,  32,  2, 0 , 0.862854 
 0, 1,  64,  8,  1,  64,  8, 0 , 0.626445 
 0, 2,  16,  8,  4,  64,  4, 0 , 0.634328 
 0, 256,  1,  4,  4,  16,  4, 0 , 0.754777 
 0, 32,  2,  64,  8,  1,  8, 0 , 0.945522 
 0, 2,  4,  64,  512,  1,  1, 0 , 0.625533 
 0, 16,  8,  2,  512,  1,  2, 0 , 0.633708 
 0, 2048,  1,  4,  32,  1,  1, 0 , 0.965942 
 0, 1,  64,  16,  16,  1,  16, 0 , 0.75348 
 0, 1,  64,  8,  256,  1,  2, 0 , 0.626183 
 0, 128,  8,  8,  1,  32,  1, 0 , 0.965727 
 0, 2,  16,  16,  2,  256,  1, 0 , 0.627958 
 0, 128,  8,  1,  256,  1,  1, 0 , 0.755307 
 0, 512,  4,  4,  1,  8,  4, 0 , 0.965366 
 0, 8,  4,  8,  64,  2,  8, 0 , 0.634087 
 0, 2,  2048,  2,  1,  16,  2, 0 , 0.965377 
 0, 256,  1,  8,  8,  16,  1, 0 , 0.861268 
 0, 2048,  4,  1,  1,  8,  4, 0 , 0.950356 
 0, 8,  64,  2,  2,  8,  16, 0 , 0.753761 
 0, 4,  512,  4,  2,  2,  8, 0 , 0.964813 
 0, 1,  128,  64,  8,  4,  1, 0 , 0.965761 
 0, 256,  8,  1,  16,  4,  2, 0 , 0.862478 
 0, 2,  1,  512,  8,  4,  8, 0 , 0.754665 
 0, 512,  8,  2,  16,  2,  1, 0 , 0.965225 
 0, 8,  8,  4,  128,  8,  1, 0 , 0.635714 
 0, 1,  128,  2,  64,  1,  16, 0 , 0.635417 
 0, 1,  128,  16,  4,  4,  8, 0 , 0.862339 
 0, 8,  16,  4,  8,  32,  2, 0 , 0.627315 
 0, 32,  32,  1,  2,  4,  32, 0 , 0.755478 
 0, 512,  2,  4,  16,  1,  4, 0 , 0.945524 
 0, 8,  256,  2,  8,  1,  8, 0 , 0.945476 
 0, 1,  64,  4,  256,  1,  4, 0 , 0.634101 
 0, 8,  512,  1,  4,  4,  4, 0 , 0.945389 
 0, 4,  2,  32,  32,  16,  2, 0 , 0.633848 
 0, 4,  1,  256,  1,  32,  8, 0 , 0.754815 
 0, 2,  2048,  2,  1,  4,  8, 0 , 0.965356 
 0, 32,  1,  8,  4,  4,  64, 0 , 0.633094 
 0, 32,  2,  8,  128,  1,  4, 0 , 0.626049 
 0, 4,  2,  256,  4,  4,  8, 0 , 0.861294 
 0, 256,  8,  1,  8,  8,  2, 0 , 0.862233 
 0, 1,  64,  8,  512,  1,  1, 0 , 0.626458 
 0, 32,  4,  64,  1,  4,  8, 0 , 0.965364 
 0, 1,  128,  2,  16,  8,  8, 0 , 0.634434 
 0, 128,  2,  1,  8,  16,  8, 0 , 0.635383 
 0, 16,  1,  16,  8,  128,  1, 0 , 0.634668 
 0, 128,  2,  4,  32,  4,  2, 0 , 0.753673 
 0, 16,  2,  32,  16,  2,  8, 0 , 0.753793 
 0, 1,  16,  64,  8,  8,  4, 0 , 0.756298 
 0, 1,  16,  16,  32,  2,  16, 0 , 0.634013 
 0, 1,  2,  256,  256,  1,  2, 0 , 0.625227 
 0, 16,  32,  2,  8,  4,  8, 0 , 0.753882 
 0, 1,  1,  4096,  1,  1,  64, 0 , 0.946817 
 0, 2,  2,  1024,  4,  2,  8, 0 , 0.944984 
 0, 4,  64,  2,  1,  64,  8, 0 , 0.627588 
 0, 1024,  1,  4,  64,  1,  1, 0 , 0.946952 
 0, 64,  8,  8,  32,  1,  2, 0 , 0.945526 
 0, 2,  1,  256,  1,  256,  2, 0 , 0.624087 
 0, 256,  4,  2,  4,  2,  16, 0 , 0.861535 
 0, 32,  1,  64,  2,  8,  8, 0 , 0.862397 
 0, 64,  4,  1,  4,  16,  16, 0 , 0.634863 
 0, 32,  16,  1,  4,  4,  32, 0 , 0.628977 
 0, 32,  16,  16,  32,  1,  1, 0 , 0.965672 
 0, 8,  32,  1,  1,  256,  4, 0 , 0.454837 
 0, 128,  4,  1,  1,  64,  8, 0 , 0.625755 
 0, 4,  32,  2,  8,  8,  16, 0 , 0.632935 
 0, 16,  64,  4,  1,  4,  16, 0 , 0.945912 
 0, 16,  16,  8,  2,  16,  4, 0 , 0.86137 
 0, 16,  2,  32,  8,  8,  4, 0 , 0.753124 
 0, 64,  16,  4,  1,  32,  2, 0 , 0.945924 
 0, 1,  8,  64,  16,  4,  8, 0 , 0.629796 
 0, 2,  2,  2048,  4,  2,  4, 0 , 0.964797 
 0, 1,  512,  2,  32,  4,  2, 0 , 0.755829 
 0, 2,  128,  4,  4,  2,  32, 0 , 0.753647 
 0, 4,  128,  16,  1,  4,  8, 0 , 0.965386 
 0, 2,  2,  512,  1,  128,  1, 0 , 0.861236 
 0, 1,  2,  256,  16,  8,  4, 0 , 0.629596 
 0, 1,  1024,  1,  32,  4,  2, 0 , 0.753984 
 0, 8,  8,  4,  2,  512,  1, 0 , 0.633793 
 0, 2,  4,  512,  4,  8,  2, 0 , 0.944855 
 0, 4,  1,  128,  2,  16,  16, 0 , 0.627732 
 0, 1,  32,  128,  4,  2,  8, 0 , 0.945103 
 0, 64,  1,  32,  16,  4,  2, 0 , 0.862121 
 0, 4,  16,  32,  8,  1,  16, 0 , 0.860892 
 0, 1,  1,  512,  128,  4,  1, 0 , 0.626268 
 0, 4,  2,  32,  8,  128,  1, 0 , 0.634645 
 0, 4,  1,  64,  64,  2,  8, 0 , 0.634226 
 0, 32,  8,  8,  32,  1,  4, 0 , 0.861147 
 0, 1,  16,  64,  16,  16,  1, 0 , 0.754196 
 0, 4,  64,  4,  1,  32,  8, 0 , 0.755303 
 0, 2,  64,  8,  32,  8,  1, 0 , 0.754566 
 0, 8,  64,  2,  16,  1,  16, 0 , 0.753428 
 0, 64,  8,  8,  1,  4,  16, 0 , 0.945914 
 0, 4096,  1,  1,  2,  8,  4, 0 , 0.945846 
 0, 1,  128,  2,  2,  512,  1, 0 , 0.635026 
 0, 16,  32,  8,  2,  2,  16, 0 , 0.944879 
 0, 512,  4,  1,  4,  1,  32, 0 , 0.861424 
 0, 8,  16,  4,  64,  2,  4, 0 , 0.626578 
 0, 1,  128,  16,  8,  4,  4, 0 , 0.861863 
