Kernel,gx,gy,gz,bx,by,gpuId,ipc
0,20,2,5,16,16,2,1,1.59179
1,1,10,10,32,1,32,1,0.149204
0,32,4,1,16,2,25,1,1.414664
1,4,16,5,20,8,2,1,0.143889
0,8,2,10,10,1,64,1,1.540604
1,4,5,16,1,160,2,1,0.143808
1,10,4,20,32,2,2,1,0.146595
1,320,1,10,1,2,16,1,0.200193
1,32,2,25,16,4,1,1,0.147258
0,1,16,8,40,5,4,1,1.412744
1,10,64,1,1,32,5,1,0.279591
0,4,5,16,1,160,2,1,1.545709
1,20,10,2,8,8,4,1,0.146563
1,2,64,1,80,2,5,1,0.148002
1,1,1,1600,16,1,4,1,0.146995
0,16,2,20,8,20,1,1,1.594343
1,25,2,32,4,4,4,1,0.146805
0,2,64,5,1,20,8,1,1.562877
0,5,32,1,1,320,2,1,1.424879
1,25,8,4,64,2,1,1,0.147155
1,10,2,8,8,10,8,1,0.144861
1,25,8,4,8,2,8,1,0.149476
0,5,64,1,16,1,20,1,1.558161
1,2,320,1,4,8,5,1,0.144001
0,1,160,10,1,1,64,1,1.201242
1,200,2,2,4,1,32,1,0.148248
1,10,8,20,1,4,16,1,0.147586
1,10,2,10,1,64,8,1,0.148151
0,1,8,100,128,1,1,1,1.537191
1,4,10,4,320,2,1,1,0.145161
1,32,5,2,10,2,16,1,0.144457
0,20,16,2,5,1,32,1,1.580633
1,1,128,5,40,1,4,1,0.143855
1,1,32,4,2,8,50,1,0.147757
1,40,4,1,1,40,16,1,0.419587
1,2,1,50,1,16,64,1,0.149683
1,1,10,160,2,8,4,1,0.146333
1,50,1,4,32,2,8,1,0.147664
1,2,100,1,16,8,4,1,0.14969
1,2,5,10,1,128,8,1,0.149699
1,2,2,160,10,1,16,1,0.144286
1,100,16,1,1,32,2,1,0.273884
1,2,100,1,128,2,2,1,0.147619
1,50,2,4,16,8,2,1,0.147843
1,1,4,32,4,25,8,1,0.147802
1,4,4,200,1,4,8,1,0.200302
1,2,2,80,4,16,5,1,0.145029
1,32,1,10,64,5,1,1,0.14553
0,400,1,4,8,8,1,1,1.222636
0,1,800,1,1,64,2,1,1.565627
1,2,16,4,20,10,4,1,0.14809
1,5,2,16,8,2,40,1,0.145465
1,8,1,200,1,32,2,1,0.147246
1,16,2,4,200,1,4,1,0.147972
1,4,4,20,20,4,4,1,0.145178
1,1,4,40,10,2,32,1,0.144458
1,2,80,4,5,2,16,1,0.144106
1,1,128,1,8,4,25,1,0.14787
1,4,8,4,2,40,10,1,0.147136
1,8,10,4,4,8,10,1,0.144702
1,4,2,40,8,40,1,1,0.143949
1,40,4,5,1,4,32,1,0.148156
1,4,80,2,160,1,1,1,0.145066
1,5,1,64,2,20,8,1,0.144278
1,16,1,200,4,8,1,1,0.199478
1,2,2,40,8,80,1,1,0.144973
1,8,50,1,2,4,32,1,0.147411
1,4,10,8,8,40,1,1,0.14468
1,5,8,4,5,64,2,1,0.145175
1,1,1,100,256,4,1,1,0.149308
1,16,8,1,1,80,10,1,0.40295
1,10,8,2,4,32,5,1,0.145383
1,2,2,800,1,8,4,1,0.199811
1,2,40,2,16,10,4,1,0.14483
1,4,50,2,4,1,64,1,0.148639
