Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,4,16,8,2,2,8,1,0.240141
0,8,4,1,2,32,8,1,0.626966
0,64,4,2,4,4,2,1,0.438518
0,4,8,2,8,8,4,1,0.653807
1,1,16,32,2,1,16,1,0.238642
1,4,2,2,128,1,8,1,0.190603
1,1,4,32,1,8,16,1,0.167853
1,16,8,2,1,2,32,1,0.186159
1,16,16,1,16,1,4,1,0.186448
1,4,2,64,4,1,8,1,0.23716
1,2,64,2,2,2,16,1,0.186935
1,8,1,16,8,2,8,1,0.168029
1,1,2,32,2,32,4,1,0.167362
1,2,2,8,2,128,2,1,0.175191
0,8,2,32,1,4,8,1,0.419942
1,16,4,1,32,1,8,1,0.167213
1,4,1,32,32,2,2,1,0.168137
1,4,2,2,8,32,4,1,0.190147
1,1,1,512,1,1,32,1,0.238961
1,1,128,2,2,1,32,1,0.186598
1,4,1,4,32,16,2,1,0.190593
1,8,8,4,2,1,32,1,0.186808
1,128,4,1,4,2,4,1,0.238996
1,8,2,2,1,16,32,1,0.175982
1,4,4,32,2,2,8,1,0.235864
1,1,32,2,64,2,2,1,0.167005
1,32,2,4,1,32,2,1,0.186272
0,4,4,1,1,16,64,1,0.587427
1,32,2,4,64,1,1,1,0.186317
1,8,1,8,8,1,32,1,0.16712
1,1,16,1,64,8,2,1,0.190523
1,4,16,2,64,2,1,1,0.168707
1,4,4,2,64,1,8,1,0.176651
1,4,2,16,4,8,4,1,0.168108
1,16,2,1,32,4,4,1,0.1759
1,32,2,1,8,32,1,1,0.167215
1,8,2,4,1,64,4,1,0.167325
0,1,512,1,8,4,1,1,0.407924
1,8,4,2,16,4,4,1,0.167206
1,1,8,2,4,16,16,1,0.190539
1,16,1,2,64,2,4,1,0.175942
1,1,32,8,2,4,8,1,0.186451
1,2,4,8,4,1,64,1,0.166945
1,16,2,2,1,64,4,1,0.167095
1,32,1,16,8,2,2,1,0.239819
1,1,8,32,8,8,1,1,0.186715
1,4,16,2,16,2,4,1,0.168224
1,8,1,2,2,512,1,1,0.190212
1,2,4,8,16,4,4,1,0.167164
1,4,64,1,2,16,2,1,0.186774
0,128,1,2,32,1,2,1,0.491523
0,2,8,2,2,4,64,1,0.65657
1,8,1,4,64,8,1,1,0.176123
1,4,4,32,1,8,4,1,0.233
1,32,2,1,2,4,32,1,0.167331
1,2,8,4,8,16,2,1,0.166942
1,64,2,4,8,4,1,1,0.242473
1,64,1,1,4,16,4,1,0.166933
1,1,8,2,128,1,8,1,0.19021
1,2,4,2,8,2,64,1,0.191033
1,2,2,64,8,4,2,1,0.186938
1,16,8,1,4,2,16,1,0.168105
1,4,32,2,2,2,16,1,0.1874
1,1,2,32,1,16,16,1,0.167008
1,1,16,4,16,16,1,1,0.166975
1,8,1,64,1,8,4,1,0.239269
1,1,1,256,2,2,16,1,0.186815
1,2,8,4,8,1,32,1,0.167226
1,16,1,4,1,256,1,1,0.167124
1,2,2,16,8,2,16,1,0.167045
1,16,1,8,2,64,1,1,0.168415
1,32,2,4,2,1,32,1,0.186588
1,2,8,1,1024,1,1,1,0.19057
1,2,1,256,1,1,32,1,0.236856
1,1,2,16,32,1,16,1,0.175936
0,8,16,4,8,2,2,1,0.437607
1,4,16,2,16,8,1,1,0.1684
1,4,4,2,16,8,4,1,0.175281
1,8,2,2,1,8,64,1,0.175802
1,1,1,64,1,128,2,1,0.16688
1,1,1,32,16,16,2,1,0.175932
1,32,16,1,1,32,1,1,0.243296
