Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,8,2,1,6,16,6,1,0.234418
0,8,1,4,6,4,12,1,0.373225
1,36,1,4,32,2,1,1,0.17676
0,1,16,2,12,2,12,1,0.358453
0,2,2,8,1,96,3,1,0.35343
0,3,1,12,1,16,16,1,0.345816
0,3,8,6,1,8,8,1,0.353398
0,36,1,4,32,2,1,1,0.362049
1,4,2,9,8,2,8,1,0.195619
1,1,1,16,4,8,18,1,0.234525
1,72,2,1,16,1,4,1,0.178421
1,4,2,3,3,128,1,1,0.180974
1,2,1,12,12,32,1,1,0.180587
1,3,16,1,96,1,2,1,0.176984
1,1,2,18,4,32,2,1,0.18253
1,8,2,1,9,64,1,1,0.233983
1,12,4,1,1,3,64,1,0.832189
1,12,4,1,12,2,8,1,0.175456
0,1,24,4,8,1,12,1,0.361046
1,4,4,2,2,18,8,1,0.201706
0,3,1,4,1,12,64,1,0.344063
1,3,2,8,1,12,16,1,0.178416
0,3,6,2,32,4,2,1,0.37261
1,2,8,1,6,8,12,1,0.235134
0,12,4,1,12,2,8,1,0.361584
1,2,1,18,64,1,4,1,0.181806
1,1,6,2,16,6,8,1,0.178329
0,3,1,32,16,2,3,1,0.377927
0,1,1,9,256,4,1,1,0.437705
1,4,4,6,32,3,1,1,0.178393
1,1,4,36,32,1,2,1,0.178134
1,3,1,32,2,2,24,1,0.179119
1,18,2,2,8,4,4,1,0.194072
1,3,32,1,8,3,4,1,0.179923
1,12,1,3,2,32,4,1,0.181362
0,9,1,1,64,4,4,1,0.468636
0,12,4,2,2,48,1,1,0.364984
0,1,1,144,16,2,2,1,0.36127
1,12,3,2,4,32,1,1,0.194668
1,6,6,1,2,16,8,1,0.180616
1,1,4,3,1,96,8,1,0.17638
1,24,1,4,1,24,4,1,0.180067
0,8,4,1,2,9,16,1,0.359612
1,4,4,2,18,8,2,1,0.205274
0,6,4,2,16,2,6,1,0.373582
0,24,2,1,3,4,16,1,0.357395
1,1,32,1,1,24,12,1,0.20424
