Kernel,gx,gy,gz,bx,by,gpuId,ipc
0,16,2,4,2,8,2,1,0.172262
0,1,1,4,4,32,8,1,0.476947
0,64,2,1,16,2,1,1,0.165047
0,8,2,1,1,4,64,1,0.160002
0,4,8,2,16,2,2,1,0.172767
0,4,1,8,8,8,2,1,0.173771
0,4,2,8,8,4,2,1,0.171558
1,1,32,2,64,1,1,1,0.278228
0,1,8,16,32,1,1,1,0.154357
1,1,8,1,64,4,2,1,0.370773
1,64,1,1,8,4,2,1,0.278695
0,4,2,1,64,4,2,1,0.244373
0,1,2,2,16,4,16,1,0.485119
0,1,1,8,32,1,16,1,0.241269
0,1,16,8,2,1,16,1,0.165007
0,1,4,2,32,2,8,1,0.246488
0,1,4,1,1,64,16,1,0.470025
0,2,1,8,1,256,1,1,0.162541
0,2,1,2,1,1024,1,1,0.472168
0,1,16,1,8,2,16,1,0.158005
0,16,1,2,4,4,8,1,0.172375
0,32,1,1,1,128,1,1,0.159832
0,1,2,8,4,2,32,1,0.164794
1,1,2,2,2,512,1,1,0.407738
0,1,2,64,2,16,1,1,0.165035
0,1,64,1,1,16,4,1,0.16312
0,1,8,1,8,2,32,1,0.235785
0,32,1,1,2,8,8,1,0.166507
0,4,1,4,128,2,1,1,0.166436
0,16,4,1,1,8,8,1,0.160679
0,2,2,8,4,4,8,1,0.172179
0,1,2,16,2,8,8,1,0.164487
0,2,1,64,2,8,2,1,0.173417
0,32,1,2,1,4,16,1,0.158328
0,1,4,8,1,4,32,1,0.165928
0,16,1,1,4,16,4,1,0.166419
0,4,2,8,1,4,16,1,0.161825
0,8,1,1,64,1,8,1,0.228962
0,1,2,64,1,32,1,1,0.162957
0,2,8,2,128,1,1,1,0.164979
0,1,16,1,32,1,8,1,0.163688
0,4,1,4,8,1,32,1,0.166246
0,1,1,16,4,4,16,1,0.166412
0,1,8,2,8,32,1,1,0.164669
0,1,4,1,16,32,2,1,0.465399
0,128,1,1,4,8,1,1,0.162157
0,2,4,4,2,4,16,1,0.17227
0,1,4,16,8,1,8,1,0.164564
0,4,4,4,2,16,2,1,0.171773
0,8,4,1,1,16,8,1,0.160403
0,1,1,16,8,4,8,1,0.166381
0,2,1,2,4,128,2,1,0.497016
0,4,4,4,1,4,16,1,0.160995
0,4,32,1,2,2,8,1,0.163577
0,2,1,2,32,1,32,1,0.478338
0,4,4,8,1,32,1,1,0.165459
0,32,1,2,2,4,8,1,0.173207
0,2,2,8,1,2,64,1,0.162173
0,1,2,4,32,1,16,1,0.244439
0,1,4,4,4,1,64,1,0.166089
0,8,1,8,2,32,1,1,0.16557
0,1,32,1,64,1,2,1,0.161248
0,16,1,2,8,1,16,1,0.16556
0,1,1,8,4,16,8,1,0.246206
0,2,2,1,8,128,1,1,0.475778
1,8,2,4,1,64,1,1,0.278901
0,1,2,16,16,8,1,1,0.164825
0,2,1,4,4,8,16,1,0.254064
0,16,1,1,8,4,8,1,0.167145
0,4,2,2,8,8,4,1,0.172414
0,1,8,4,4,32,1,1,0.166617
0,1,16,8,1,4,8,1,0.165527
0,4,8,1,16,2,4,1,0.166436
0,1,4,8,8,1,16,1,0.164827
0,64,2,1,2,4,4,1,0.1661
0,32,1,2,1,1,64,1,0.162284
0,16,2,1,4,4,8,1,0.165426
0,2,2,16,1,64,1,1,0.16671
1,1,2,16,32,2,2,1,0.288414
0,1,1,16,1,256,1,1,0.157551
0,2,4,2,256,1,1,1,0.166222
1,1,1,32,64,2,1,1,0.287198
0,4,16,1,8,2,4,1,0.164331
0,1,4,2,1,128,4,1,0.241871
0,2,2,1,512,2,1,1,0.478239
0,4,1,16,1,2,32,1,0.157913
0,2,2,4,8,1,32,1,0.170274
0,8,4,1,4,4,8,1,0.166475
1,1,8,1,16,1,32,1,0.370551
1,1,2,64,8,4,1,1,0.278639
0,8,4,1,1,128,1,1,0.156177
0,4,4,1,2,128,1,1,0.165808
0,2,4,4,32,4,1,1,0.168765
0,32,1,1,1,32,4,1,0.160938
0,2,1,2,2,64,8,1,0.496549
0,1,1,32,2,4,16,1,0.16639
0,1,16,1,1,128,2,1,0.160239
0,16,2,2,16,2,2,1,0.171897
0,1,4,4,2,128,1,1,0.165907
0,8,4,1,8,4,4,1,0.166311
0,8,4,2,4,4,4,1,0.172099
0,2,32,2,1,4,8,1,0.162324
0,1,2,2,128,8,1,1,0.477006
0,4,1,16,32,1,2,1,0.16595
0,4,2,1,4,32,4,1,0.239445
0,4,2,1,32,4,4,1,0.243006
0,64,2,1,4,8,1,1,0.165765
0,4,1,16,8,1,8,1,0.162998
0,4,1,4,4,32,2,1,0.173326
0,2,1,2,64,8,2,1,0.492407
0,2,2,2,16,8,4,1,0.255425
0,2,1,8,4,32,2,1,0.173084
0,4,2,16,1,2,16,1,0.161498
0,2,4,8,2,8,4,1,0.171533
0,1,2,16,1,2,64,1,0.16303
0,2,1,4,1,8,64,1,0.234262
0,2,8,8,8,2,2,1,0.168826
0,4,1,8,4,8,4,1,0.172402
0,2,8,2,16,1,8,1,0.168834
1,4,2,4,2,64,1,1,0.287053
0,4,1,2,1,512,1,1,0.240434
0,2,4,8,8,8,1,1,0.169725
0,8,4,1,8,2,8,1,0.165656
0,4,2,4,128,1,1,1,0.166407
0,4,1,16,8,8,1,1,0.166405
0,1,4,8,1,16,8,1,0.165777
0,8,2,4,8,1,8,1,0.169621
0,4,2,8,2,8,4,1,0.171832
0,1,16,8,4,2,4,1,0.164151
0,1,1,64,1,1,64,1,0.159063
0,1,2,2,2,256,2,1,0.484636
1,1,2,32,2,1,32,1,0.278662
0,1,4,1,128,4,2,1,0.464341
0,1,16,8,2,4,4,1,0.164622
0,2,1,4,128,1,4,1,0.244188
0,4,2,1,16,32,1,1,0.242263
0,4,1,4,4,64,1,1,0.16459
0,2,1,32,2,1,32,1,0.165964
0,2,8,1,4,64,1,1,0.16617
0,2,2,16,2,8,4,1,0.171065
0,4,2,2,32,2,4,1,0.171432
0,4,1,4,64,2,2,1,0.173526
0,4,2,1,512,1,1,1,0.240064
1,16,4,2,4,8,1,1,0.278014
1,64,1,1,1,32,2,1,0.277926
0,1,2,32,2,16,2,1,0.16586
0,1,64,2,2,2,8,1,0.166225
0,2,4,4,4,1,32,1,0.169631
0,32,1,2,2,32,1,1,0.1665
0,1,8,8,4,1,16,1,0.163628
0,4,2,16,8,2,2,1,0.169458
0,8,1,1,128,2,2,1,0.246388
0,1,2,16,2,16,4,1,0.1664
0,8,2,2,4,1,32,1,0.170257
0,16,2,1,16,4,2,1,0.166546
0,4,2,8,4,8,2,1,0.171555
0,1,1,128,16,2,1,1,0.155029
0,1,2,16,2,64,1,1,0.164834
0,32,1,1,32,2,2,1,0.165787
0,16,1,4,4,16,1,1,0.166236
0,4,4,1,4,16,4,1,0.165713
0,2,32,2,2,2,8,1,0.170437
0,32,1,4,1,2,16,1,0.159645
0,2,8,4,1,64,1,1,0.166913
0,2,4,16,2,2,8,1,0.171989
1,2,4,4,2,2,32,1,0.287742
1,16,4,1,1,16,4,1,0.45403
0,1,2,16,2,4,16,1,0.165483
0,4,2,8,2,16,2,1,0.170144
0,8,8,1,1,4,16,1,0.159983
0,8,1,1,4,16,8,1,0.246268
0,1,1,4,2,8,64,1,0.47477
0,8,4,2,1,8,8,1,0.161581
0,2,4,16,1,2,16,1,0.16271
0,4,2,8,1,64,1,1,0.165593
0,2,1,4,128,2,2,1,0.254788
0,2,2,1,128,1,8,1,0.481283
1,2,8,4,2,4,8,1,0.278329
0,8,4,4,16,1,2,1,0.1695
0,8,2,1,2,64,2,1,0.165213
0,2,4,2,64,2,2,1,0.171398
0,1,16,8,16,2,1,1,0.165539
0,1,16,1,16,2,8,1,0.158998
0,2,1,2,128,8,1,1,0.475914
0,2,32,1,2,2,16,1,0.166186
0,4,1,2,2,16,16,1,0.252486
0,1,8,2,16,1,16,1,0.165699
1,64,2,1,2,4,4,1,0.278216
0,1,1,16,2,64,2,1,0.166552
0,4,2,2,4,16,4,1,0.172226
0,16,1,2,1,128,1,1,0.161908
0,4,4,4,4,1,16,1,0.169404
0,16,2,2,8,1,8,1,0.169975
1,2,4,2,2,4,32,1,0.288852
0,1,1,32,2,8,8,1,0.165447
0,1,1,8,2,64,4,1,0.246529
0,16,2,1,2,8,8,1,0.165202
0,1,4,32,4,4,2,1,0.166132
0,4,16,1,32,2,1,1,0.165794
0,4,2,1,16,2,16,1,0.244781
0,2,1,8,4,8,8,1,0.173116
0,4,1,1,1,64,16,1,0.470685
1,8,1,2,16,8,2,1,0.288727
0,16,1,4,32,2,1,1,0.166493
0,1,4,16,4,2,8,1,0.165817
0,1,16,4,1,4,16,1,0.164836
0,1,8,2,32,2,4,1,0.164533
0,1,8,8,4,2,8,1,0.166175
1,2,4,16,2,4,4,1,0.278466
1,32,1,1,1,8,16,1,0.286102
0,4,1,16,4,1,16,1,0.164762
0,2,1,32,4,2,8,1,0.170277
0,2,4,16,32,1,1,1,0.166762
0,1,4,1,16,1,64,1,0.469502
0,2,8,2,2,32,2,1,0.170289
0,64,1,1,64,1,1,1,0.158362
0,1,16,1,16,8,2,1,0.15882
0,1,1,64,1,8,8,1,0.162636
0,4,4,4,1,2,32,1,0.161823
0,4,8,4,1,2,16,1,0.162496
1,1,1,4,16,2,32,1,0.408164
1,4,1,4,4,2,32,1,0.288413
0,32,1,1,2,64,1,1,0.162578
0,4,4,1,8,8,4,1,0.163619
0,2,8,8,1,32,1,1,0.165403
0,2,4,2,4,2,32,1,0.171795
1,1,2,32,8,4,2,1,0.279842
0,4,1,2,64,4,2,1,0.255103
1,1,2,16,64,1,2,1,0.286604
0,1,4,4,16,2,8,1,0.165348
0,1,4,1,512,2,1,1,0.471075
0,8,1,2,16,16,1,1,0.166493
0,16,2,1,2,2,32,1,0.164705
1,4,16,1,8,4,2,1,0.277892
0,8,4,1,32,4,1,1,0.165961
0,8,2,1,1,8,32,1,0.159809
0,16,1,2,1,32,4,1,0.158655
0,1,2,2,16,32,2,1,0.483038
0,4,4,1,256,1,1,1,0.163371
0,2,4,16,4,2,4,1,0.172543
0,2,2,4,1,8,32,1,0.162599
0,2,16,4,1,8,4,1,0.160535
0,1,16,2,1,4,32,1,0.165928
0,1,2,4,2,8,32,1,0.245384
0,32,1,1,2,1,64,1,0.155478
1,4,4,8,4,1,8,1,0.28033
0,1,1,16,32,2,4,1,0.163872
0,4,1,16,1,64,1,1,0.160329
0,2,8,8,16,2,1,1,0.169117
0,4,4,4,8,2,4,1,0.172055
0,1,32,4,4,1,8,1,0.165872
0,4,8,1,32,2,2,1,0.165256
1,2,1,16,16,8,1,1,0.287917
0,2,4,4,4,4,8,1,0.1717
0,32,4,1,8,2,2,1,0.165934
0,16,4,2,4,4,2,1,0.1707
0,1,16,4,4,4,4,1,0.165146
0,1,4,1,8,64,2,1,0.461654
0,1,16,1,128,2,1,1,0.16072
0,1,4,8,1,128,1,1,0.163425
0,2,1,32,16,1,4,1,0.164223
0,2,64,1,32,1,1,1,0.162597
0,32,4,1,4,1,8,1,0.165232
0,1,32,1,16,4,2,1,0.159043
0,4,1,1,1,16,64,1,0.475261
1,8,2,1,16,1,16,1,0.288563
0,8,8,1,32,2,1,1,0.165657
1,16,2,4,2,4,4,1,0.28047
0,1,8,8,2,1,32,1,0.162834
0,2,8,2,4,1,32,1,0.16898
0,2,2,2,1,32,16,1,0.240903
0,1,4,2,16,16,2,1,0.247104
0,8,1,1,16,2,16,1,0.245941
1,4,1,16,1,1,64,1,0.278068
0,2,16,4,4,1,8,1,0.168015
0,1,8,8,4,4,4,1,0.164629
0,4,1,16,8,2,4,1,0.173541
0,4,2,1,128,2,2,1,0.244909
0,1,8,8,32,2,1,1,0.165396
0,128,1,1,1,4,8,1,0.162362
0,2,8,8,16,1,2,1,0.168528
0,8,1,2,64,1,4,1,0.165879
0,2,4,8,1,4,16,1,0.161645
0,32,1,1,1,64,2,1,0.158568
0,4,1,16,8,4,2,1,0.172309
0,1,8,4,64,1,2,1,0.165504
0,2,8,8,32,1,1,1,0.166267
1,32,1,4,1,4,8,1,0.278938
1,2,2,2,1,512,1,1,0.370249
0,1,1,16,1,64,4,1,0.16323
0,1,1,4,2,16,32,1,0.478928
0,8,8,2,4,8,1,1,0.169271
1,1,16,1,2,128,1,1,0.289225
0,16,2,2,32,2,1,1,0.169269
0,1,8,16,1,16,2,1,0.165831
0,2,4,16,1,16,2,1,0.162357
0,4,2,1,2,16,16,1,0.245102
1,1,8,8,32,1,2,1,0.278568
0,1,64,2,1,2,16,1,0.165605
0,2,4,8,2,1,32,1,0.168435
0,2,2,1,2,32,16,1,0.472968
0,2,8,4,8,4,2,1,0.172622
0,2,8,1,8,1,32,1,0.166341
0,32,1,1,16,4,2,1,0.166193
0,16,1,4,16,2,2,1,0.173288
0,2,1,2,4,64,4,1,0.496205
0,8,1,2,2,2,64,1,0.173182
1,1,4,2,16,2,16,1,0.371119
0,8,1,8,2,8,4,1,0.172094
0,2,1,32,4,1,16,1,0.163277
0,32,1,1,4,32,1,1,0.162515
0,8,1,16,16,2,1,1,0.166101
0,2,2,1,32,4,8,1,0.474833
0,2,4,8,16,1,4,1,0.169442
0,1,128,1,2,8,2,1,0.159169
0,2,1,64,4,8,1,1,0.166562
0,2,4,8,1,8,8,1,0.161964
0,1,8,4,32,1,4,1,0.164759
0,2,2,2,32,16,1,1,0.25051
1,2,8,2,64,2,1,1,0.286996
1,8,2,1,32,1,8,1,0.288619
0,16,2,1,32,1,4,1,0.163416
1,4,4,1,64,4,1,1,0.288463
1,2,2,4,2,32,4,1,0.289681
0,1,4,4,256,1,1,1,0.155873
0,8,16,1,2,8,2,1,0.164781
0,1,1,16,16,2,8,1,0.163816
0,1,4,32,2,2,8,1,0.165469
0,2,4,8,32,2,1,1,0.167991
0,8,1,2,1,4,64,1,0.15874
0,1,1,16,4,2,32,1,0.164411
0,4,8,2,1,32,2,1,0.161909
0,8,1,16,2,16,1,1,0.166042
0,8,1,2,1,8,32,1,0.158059
0,1,1,64,2,16,2,1,0.16436
0,32,2,1,2,8,4,1,0.165731
0,8,8,1,2,32,1,1,0.165935
0,4,4,4,16,1,4,1,0.16894
0,4,8,1,4,32,1,1,0.166137
0,1,1,8,8,32,2,1,0.245785
0,64,1,1,2,4,8,1,0.166369
0,2,1,4,8,16,4,1,0.255007
0,1,8,8,8,4,2,1,0.164185
1,2,4,2,32,2,4,1,0.28896
1,8,1,16,2,16,1,1,0.277963
1,16,4,1,32,1,2,1,0.279106
0,1,64,1,1,2,32,1,0.160952
0,32,2,1,8,1,8,1,0.163738
0,1,4,4,1,16,16,1,0.165968
0,1,1,8,16,2,16,1,0.245754
0,1,4,1,64,16,1,1,0.471621
0,1,1,4,1,1024,1,1,0.461596
0,32,1,1,4,8,4,1,0.167453
0,8,4,4,4,1,8,1,0.170171
0,2,2,4,4,1,64,1,0.169863
0,4,4,4,8,1,8,1,0.169101
1,2,8,8,4,2,4,1,0.278753
0,1,1,4,128,1,8,1,0.471953
0,8,1,1,512,1,1,1,0.237305
0,1,8,4,4,1,32,1,0.165504
0,8,1,1,16,16,2,1,0.246013
1,4,2,2,8,2,16,1,0.28837
1,4,1,2,2,4,64,1,0.37022
0,1,2,32,8,2,4,1,0.164424
0,2,16,1,4,8,4,1,0.165249
0,8,8,1,2,4,8,1,0.164547
0,2,2,1,16,2,32,1,0.479817
0,1,16,1,1,8,32,1,0.163172
1,2,4,2,4,2,32,1,0.288753
0,2,8,2,8,16,1,1,0.168309
0,2,2,8,8,4,4,1,0.172825
0,2,16,1,128,1,1,1,0.163326
0,32,1,1,64,1,2,1,0.154705
0,4,8,1,1,64,2,1,0.159238
0,1,2,2,32,1,32,1,0.476226
0,1,1,128,2,1,16,1,0.161527
0,4,1,1,64,2,8,1,0.480984
0,4,16,1,2,4,8,1,0.164796
0,4,1,4,8,16,2,1,0.171164
0,16,1,8,2,8,2,1,0.173531
0,4,2,4,2,64,1,1,0.168483
0,2,4,1,512,1,1,1,0.239852
0,2,4,1,64,4,2,1,0.244182
0,1,16,1,8,32,1,1,0.159431
0,2,1,8,2,4,32,1,0.173573
0,1,8,2,1,64,4,1,0.165808
1,16,1,4,16,2,2,1,0.279096
1,2,8,4,4,8,2,1,0.279275
1,2,16,1,64,2,1,1,0.286824
0,2,32,1,8,2,4,1,0.165065
0,2,32,2,4,8,1,1,0.169672
0,1,16,1,64,1,4,1,0.162664
0,2,32,1,4,1,16,1,0.164636
0,2,4,16,2,8,2,1,0.171628
1,8,2,2,1,2,64,1,0.287543
0,32,2,1,8,4,2,1,0.16477
0,4,8,2,8,1,8,1,0.168252
1,64,1,1,8,8,1,1,0.278836
0,8,8,2,2,2,8,1,0.172884
0,2,4,1,256,1,2,1,0.246654
0,2,2,8,8,16,1,1,0.169802
0,8,2,4,2,4,8,1,0.172109
0,2,1,8,16,8,2,1,0.173754
0,2,2,4,16,2,8,1,0.171931
0,4,8,2,1,64,1,1,0.166714
0,4,8,4,8,2,2,1,0.172823
0,1,4,4,8,32,1,1,0.165725
1,4,4,2,128,1,1,1,0.286073
0,2,32,1,4,16,1,1,0.164578
1,1,2,32,2,16,2,1,0.279744
0,16,2,2,4,16,1,1,0.168414
0,1,8,8,1,64,1,1,0.162339
0,1,16,1,1,256,1,1,0.149905
0,16,1,1,8,1,32,1,0.155124
0,4,4,2,128,1,1,1,0.16649
0,32,2,2,8,1,4,1,0.169861
0,4,2,4,4,2,16,1,0.172438
0,64,2,1,4,1,8,1,0.164741
0,1,2,2,8,64,2,1,0.485449
0,1,1,4,4,64,4,1,0.477573
0,8,4,4,1,4,8,1,0.161689
0,2,8,8,1,8,4,1,0.161653
0,16,2,1,4,8,4,1,0.163809
0,32,1,2,1,8,8,1,0.159095
0,2,1,4,8,2,32,1,0.25543
0,8,1,16,16,1,2,1,0.166058
0,2,1,2,64,16,1,1,0.478475
1,1,16,1,1,256,1,1,0.289607
0,1,8,4,2,32,2,1,0.165307
0,2,8,2,2,4,16,1,0.171951
0,4,4,8,4,2,4,1,0.17226
0,2,4,4,128,1,1,1,0.165422
0,4,2,1,32,16,1,1,0.246513
0,2,1,8,64,4,1,1,0.166669
0,1,4,2,2,8,32,1,0.245955
0,4,2,16,2,1,16,1,0.167868
0,1,4,2,4,32,4,1,0.244255
0,1,16,2,16,8,1,1,0.165655
0,1,64,2,2,1,16,1,0.165309
0,1,2,64,4,1,8,1,0.166016
0,2,16,1,4,32,1,1,0.164504
0,2,2,8,128,1,1,1,0.16654
0,32,1,2,4,2,8,1,0.173054
0,1,2,64,2,2,8,1,0.16555
0,1,128,1,8,1,4,1,0.161919
0,16,1,1,16,4,4,1,0.164123
0,8,1,8,1,2,32,1,0.159167
0,2,32,1,64,1,1,1,0.160836
0,1,4,1,2,32,16,1,0.466088
0,2,64,1,1,2,16,1,0.160523
0,64,2,1,1,8,4,1,0.159638
0,1,8,2,8,16,2,1,0.165267
0,1,16,1,64,4,1,1,0.162894
0,4,1,2,1,64,8,1,0.235685
0,2,2,2,2,64,4,1,0.254943
0,16,1,4,8,8,1,1,0.166156
0,16,1,4,1,1,64,1,0.162332
0,64,1,1,4,8,2,1,0.166267
0,1,1,128,32,1,1,1,0.158906
0,1,1,128,2,4,4,1,0.16611
0,8,1,16,1,8,4,1,0.157053
0,4,4,1,16,16,1,1,0.164038
0,32,4,1,8,4,1,1,0.165084
0,2,2,8,8,2,8,1,0.172619
0,4,4,8,8,1,4,1,0.165826
0,2,2,1,32,8,4,1,0.478119
0,2,2,4,2,16,8,1,0.171149
0,1,4,4,64,1,4,1,0.165159
0,2,8,1,16,1,16,1,0.16568
0,1,8,8,16,2,2,1,0.165848
0,4,1,4,64,4,1,1,0.165702
0,2,1,4,4,32,4,1,0.25627
0,2,2,1,4,256,1,1,0.479322
0,8,2,1,4,4,16,1,0.166011
0,16,4,1,4,4,4,1,0.1637
0,1,1,8,8,4,16,1,0.245138
0,2,2,1,64,2,8,1,0.478025
0,8,1,1,2,128,2,1,0.247283
0,16,1,8,2,1,16,1,0.166158
0,4,2,2,16,1,16,1,0.168844
1,1,2,16,2,1,64,1,0.287576
0,4,2,8,16,2,2,1,0.171137
0,2,32,1,1,4,16,1,0.159601
0,16,2,1,8,4,4,1,0.164823
0,2,1,16,8,16,1,1,0.166581
0,1,1,64,8,4,2,1,0.164156
0,4,1,16,16,1,4,1,0.165839
0,4,2,16,2,16,1,1,0.168976
0,1,32,2,1,4,16,1,0.16503
0,4,1,2,16,1,32,1,0.245951
0,1,4,2,1,256,2,1,0.245853
0,8,8,1,1,1,64,1,0.161832
0,2,4,4,1,8,16,1,0.161838
0,8,8,2,32,1,1,1,0.166063
0,1,16,8,2,2,8,1,0.164676
0,1,32,2,32,2,1,1,0.165713
0,4,1,16,16,4,1,1,0.166322
0,1,1,32,8,1,16,1,0.162113
0,1,2,8,4,8,8,1,0.166559
0,2,1,4,64,8,1,1,0.243651
0,4,4,2,32,1,4,1,0.169363
0,1,4,8,8,8,2,1,0.165258
0,2,4,2,8,2,16,1,0.171951
0,1,2,64,4,4,2,1,0.164674
0,4,2,4,16,4,2,1,0.172394
0,4,1,2,4,128,1,1,0.244675
0,8,1,16,2,4,4,1,0.173422
0,16,1,1,64,2,2,1,0.166617
1,2,8,8,1,16,2,1,0.279009
0,4,4,1,1,16,16,1,0.159266
0,16,1,1,4,64,1,1,0.161287
0,2,2,4,256,1,1,1,0.166681
1,2,8,4,32,2,1,1,0.278963
0,2,1,32,1,1,64,1,0.160376
0,1,8,1,2,128,2,1,0.234673
0,8,2,8,1,8,4,1,0.160351
0,2,16,4,1,2,16,1,0.16143
0,8,1,8,1,1,64,1,0.162305
0,1,16,8,1,1,32,1,0.160972
0,8,1,1,16,4,8,1,0.246978
0,2,2,1,1,64,16,1,0.451776
0,2,2,1,64,8,2,1,0.478269
0,8,2,1,4,64,1,1,0.166393
0,1,4,1,16,4,16,1,0.463233
0,4,16,1,4,1,16,1,0.163853
1,4,32,1,8,2,2,1,0.277847
0,2,2,4,16,8,2,1,0.168992
0,1,1,8,2,8,32,1,0.246112
0,128,1,1,2,16,1,1,0.162344
0,1,64,2,2,4,4,1,0.164107
0,2,4,1,2,64,4,1,0.240103
0,1,1,32,16,8,1,1,0.154831
1,1,2,2,8,16,8,1,0.408247
0,1,1,4,256,1,4,1,0.469386
1,4,4,4,4,4,4,1,0.278805
0,1,2,4,128,2,2,1,0.245053
0,2,4,4,8,4,4,1,0.170396
0,2,2,16,32,1,2,1,0.168911
0,2,8,1,64,2,2,1,0.164451
0,4,2,8,4,1,16,1,0.168428
1,2,8,8,4,1,8,1,0.278501
0,1,4,4,1,8,32,1,0.164142
0,2,8,2,32,2,2,1,0.170943
0,4,2,1,2,64,4,1,0.245567
1,16,2,4,32,1,1,1,0.277748
0,4,1,2,1,16,32,1,0.233666
0,8,4,1,4,32,1,1,0.164643
1,16,1,1,2,64,2,1,0.28917
0,4,4,1,16,2,8,1,0.165586
0,2,1,4,32,4,4,1,0.254996
0,1,16,4,2,1,32,1,0.165171
0,8,2,4,1,32,2,1,0.16103
1,2,4,8,16,1,4,1,0.279101
0,1,16,2,2,1,64,1,0.166122
0,1,2,8,2,128,1,1,0.166073
0,4,4,2,16,8,1,1,0.168022
0,4,2,16,2,2,8,1,0.172526
0,1,1,32,16,4,2,1,0.166295
0,4,1,8,2,2,32,1,0.173632
0,2,2,8,1,128,1,1,0.16675
0,2,2,32,1,32,1,1,0.166234
0,32,1,4,1,4,8,1,0.158098
0,4,1,4,4,4,16,1,0.174025
0,8,2,2,2,64,1,1,0.16958
0,32,4,1,16,1,2,1,0.16565
0,2,8,1,2,4,32,1,0.164703
0,16,1,1,1,256,1,1,0.159679
0,2,4,1,2,32,8,1,0.245349
0,4,1,4,8,4,8,1,0.173526
1,2,4,1,4,2,64,1,0.371697
0,4,16,1,2,2,16,1,0.164362
0,32,1,2,1,2,32,1,0.158956
0,16,2,1,2,64,1,1,0.164958
0,64,1,1,16,1,4,1,0.155901
0,4,1,16,4,16,1,1,0.166255
1,1,4,32,4,8,1,1,0.278551
0,1,8,1,8,32,2,1,0.232699
0,1,1,8,8,2,32,1,0.24533
0,2,8,4,4,8,2,1,0.17189
0,8,2,2,16,4,2,1,0.171764
0,32,1,1,8,2,8,1,0.165987
0,2,8,1,128,2,1,1,0.166257
0,2,16,2,16,4,1,1,0.167294
0,4,1,16,4,8,2,1,0.172104
0,1,4,1,4,8,32,1,0.456391
0,4,16,1,4,8,2,1,0.163835
0,2,4,2,16,4,4,1,0.172228
0,4,1,2,256,2,1,1,0.243983
1,1,8,8,2,8,4,1,0.27952
0,2,32,2,4,1,8,1,0.169848
0,2,32,2,16,1,2,1,0.16972
0,128,1,1,4,1,8,1,0.153283
0,4,4,1,8,16,2,1,0.165821
0,4,4,2,4,2,16,1,0.171909
0,2,2,8,64,2,1,1,0.168916
0,4,2,8,1,8,8,1,0.162359
0,2,2,2,2,32,8,1,0.254825
0,1,32,1,32,2,2,1,0.157412
1,8,2,4,1,16,4,1,0.278539
0,16,1,2,16,4,2,1,0.173481
0,2,2,8,16,1,8,1,0.168868
1,8,1,8,2,1,32,1,0.278871
0,16,8,1,2,16,1,1,0.166165
0,1,4,1,64,4,4,1,0.45614
0,2,16,2,64,1,1,1,0.165973
0,4,2,2,1,4,64,1,0.161218
0,16,2,4,16,2,1,1,0.169242
0,16,1,2,8,16,1,1,0.16582
