Kernel,gx,gy,gz,bx,by,gpuId,ipc
0,8,2,2,8,8,2,1,0.172226
0,4,2,4,16,2,4,1,0.172789
1,1,1,8,1,8,64,1,0.370452
0,1,2,2,2,512,1,1,0.479677
0,2,1,4,16,16,2,1,0.255205
0,1,2,4,4,4,32,1,0.246538
0,8,2,4,8,2,4,1,0.172179
0,128,1,1,1,32,1,1,0.158551
0,4,1,1,1,32,32,1,0.469793
0,32,2,2,1,4,8,1,0.162399
0,1,1,128,2,16,1,1,0.154361
0,128,1,1,1,2,16,1,0.163032
1,1,1,128,2,16,1,1,0.279103
0,2,2,1,2,512,1,1,0.475817
0,1,16,1,128,1,2,1,0.163256
0,1,128,1,1,4,8,1,0.162081
1,16,1,2,16,1,8,1,0.287562
0,2,32,2,2,8,2,1,0.171529
0,1,64,1,32,2,1,1,0.163102
0,4,1,2,4,16,8,1,0.256054
0,1,1,32,4,8,4,1,0.166039
1,4,1,2,128,4,1,1,0.37046
0,2,8,2,1,4,32,1,0.161684
1,8,2,2,4,2,16,1,0.288541
0,8,2,4,4,1,16,1,0.169404
0,1,64,1,1,32,2,1,0.162325
0,2,16,1,1,16,8,1,0.157678
0,32,2,1,16,1,4,1,0.162319
0,1,8,8,16,1,4,1,0.165473
1,4,8,1,2,32,2,1,0.285987
1,8,1,2,8,4,8,1,0.288328
1,4,1,4,1,128,2,1,0.28908
0,32,1,1,1,8,16,1,0.162866
0,2,1,8,1,128,2,1,0.158147
0,32,1,1,32,4,1,1,0.162194
0,1,1,32,1,64,2,1,0.162474
0,4,8,1,128,1,1,1,0.163013
0,4,8,2,2,32,1,1,0.168157
0,1,128,1,4,8,1,1,0.161625
0,4,4,2,4,8,4,1,0.171985
0,2,1,2,2,512,1,1,0.47944
1,1,2,2,8,4,32,1,0.408252
0,4,1,32,2,2,8,1,0.173444
0,2,2,2,4,128,1,1,0.250484
0,2,1,8,1,8,32,1,0.158664
0,1,16,1,1,64,4,1,0.161644
0,1,16,2,2,4,16,1,0.166195
0,2,4,8,2,16,2,1,0.171963
0,8,1,2,8,2,16,1,0.173794
0,2,1,32,8,8,1,1,0.165093
0,16,2,2,2,4,8,1,0.171379
0,2,4,2,1,8,32,1,0.160854
0,2,4,1,16,16,2,1,0.244427
0,1,32,2,64,1,1,1,0.153755
1,2,2,8,16,1,8,1,0.288295
