Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,1,108,2,3,16,8,1,0.149963
0,144,1,3,1,12,16,1,1.419163
1,1,16,18,3,16,6,1,0.145738
1,6,36,6,1,1,64,1,0.152385
0,27,1,6,16,4,8,1,1.482043
1,1,9,32,1,96,3,1,0.146307
1,6,36,1,4,16,6,1,0.149953
0,1,16,18,3,16,6,1,1.472965
1,2,24,27,32,1,2,1,0.152605
1,9,9,16,32,2,1,1,0.153217
0,2,6,24,2,48,3,1,1.490467
0,72,12,1,32,3,1,1,1.357209
1,216,1,1,16,3,8,1,0.149782
1,12,6,6,3,1,64,1,0.147656
1,2,3,24,36,4,4,1,0.153651
1,96,1,3,24,3,4,1,0.146671
0,6,4,4,2,108,4,1,1.405495
0,3,8,4,18,16,3,1,1.394756
1,24,2,9,16,1,12,1,0.148167
0,4,12,2,2,72,6,1,1.405544
1,2,36,3,192,2,1,1,0.15036
1,16,2,27,4,1,24,1,0.145824
1,48,9,2,32,3,1,1,0.146297
1,24,2,27,4,8,2,1,0.153238
1,9,2,6,12,1,64,1,0.147271
1,1,9,12,48,4,4,1,0.145946
0,6,6,3,2,32,12,1,1.31476
1,8,1,12,18,3,16,1,0.153706
1,4,1,72,6,1,48,1,0.146457
1,18,8,1,8,4,18,1,0.153825
1,1,9,32,6,16,3,1,0.145562
1,8,3,4,3,24,12,1,0.153614
1,6,16,9,6,4,4,1,0.14594
1,12,6,2,2,6,48,1,0.152682
1,6,18,4,32,2,3,1,0.148383
1,1,36,4,192,3,1,1,0.154024
1,8,1,18,36,4,4,1,0.153883
1,3,24,3,2,12,16,1,0.149315
1,1,96,1,18,16,3,1,0.153373
1,27,4,4,1,96,2,1,0.148712
1,48,3,2,3,6,16,1,0.147022
1,16,1,54,16,1,6,1,0.147135
1,1,1,96,27,32,1,1,0.152959
1,72,3,1,3,4,32,1,0.150687
1,9,1,32,3,24,4,1,0.147473
1,16,18,1,9,2,16,1,0.146847
1,3,16,3,1,36,16,1,0.153823
1,2,4,162,32,2,1,1,0.152985
1,16,81,1,1,4,16,1,0.930812
1,16,3,6,6,12,4,1,0.145795
1,12,8,1,18,24,2,1,0.153504
1,4,1,27,3,128,2,1,0.146605
1,3,3,48,96,2,1,1,0.148498
1,32,9,1,32,3,3,1,0.147546
0,3,8,9,2,32,6,1,1.458967
1,162,1,2,16,8,2,1,0.146221
1,3,4,9,32,4,6,1,0.146505
1,54,16,1,24,4,1,1,0.145985
1,16,6,1,6,144,1,1,0.152593
1,24,3,12,4,2,12,1,0.148441
1,24,3,4,96,1,3,1,0.145363
0,1,9,32,6,16,3,1,1.468941
0,1,48,2,2,48,9,1,1.369316
1,6,24,3,16,3,4,1,0.147528
0,1,108,2,2,48,4,1,1.436883
