Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,1,2,392,2,16,2,1,0.159104
1,7,2,56,1,2,32,1,0.158199
0,28,7,1,1,256,1,1,1.114455
1,7,32,1,2,16,7,1,0.154272
0,7,2,56,1,2,32,1,0.943173
1,1,7,8,1,28,32,1,0.163454
0,7,1,8,128,7,1,1,1.122626
1,7,8,1,4,7,32,1,0.162621
1,7,1,32,14,16,1,1,0.154248
1,2,28,28,2,1,16,1,0.204576
1,7,16,2,2,2,56,1,0.154338
0,14,1,16,2,8,14,1,1.202386
0,1,16,14,1,16,14,1,1.162049
1,4,1,56,8,7,4,1,0.154384
1,1,4,196,8,2,4,1,0.15947
0,7,1,32,14,16,1,1,1.1664
1,2,1,392,2,32,1,1,0.158555
1,28,2,4,4,28,2,1,0.15411
1,196,1,1,32,4,2,1,0.153611
1,1,4,98,2,2,32,1,0.154342
1,56,2,1,1,112,4,1,0.396382
1,56,1,1,1,448,2,1,0.163263
1,56,2,1,1,448,1,1,0.161545
1,49,4,4,64,1,1,1,0.158841
0,7,7,4,256,1,1,1,1.172833
1,4,1,14,1,14,64,1,0.162777
1,4,1,196,4,2,8,1,0.158939
1,7,7,4,4,2,32,1,0.153215
1,112,1,7,32,2,1,1,0.159213
1,49,2,4,32,2,2,1,0.153914
1,2,14,2,64,1,14,1,0.163045
1,14,4,1,112,1,8,1,0.1632
1,7,224,1,16,1,2,1,0.204727
0,14,4,1,2,224,2,1,1.133672
1,1,28,4,28,8,2,1,0.163704
1,1,8,14,8,8,7,1,0.161042
1,2,8,7,14,32,1,1,0.162488
1,2,4,98,1,8,8,1,0.158842
0,2,2,49,8,4,8,1,1.200409
1,7,8,7,4,4,8,1,0.154195
1,4,14,2,2,8,28,1,0.161198
1,56,7,1,2,64,1,1,0.15383
1,4,7,56,16,2,1,1,0.205224
1,7,7,32,1,1,32,1,0.205096
1,2,1,784,2,4,4,1,0.204761
0,1,14,16,1,112,2,1,1.158803
0,49,1,1,32,1,32,1,1.140904
0,1,49,8,1,32,4,1,1.158116
0,4,28,7,8,1,8,1,0.962948
1,7,7,8,1,128,1,1,0.154289
1,1,56,7,1,16,8,1,0.153712
1,2,1,28,448,1,2,1,0.163041
1,2,2,98,8,16,1,1,0.154128
1,7,32,7,8,2,2,1,0.204058
1,1,2,98,64,1,4,1,0.153587
1,1,392,1,4,16,2,1,0.153671
1,1,2,112,16,2,7,1,0.154115
1,2,56,1,4,56,2,1,0.160852
1,14,4,1,4,28,8,1,0.161337
0,1,7,28,1,16,16,1,1.156933
1,4,7,2,4,16,14,1,0.163241
1,1,2,98,1,256,1,1,0.153817
1,28,4,7,8,1,8,1,0.158603
0,7,7,4,4,2,32,1,1.204447
1,2,49,2,1,256,1,1,0.153451
1,2,1,196,2,1,64,1,0.153385
1,2,14,2,112,2,4,1,0.162715
1,1,32,7,1,112,2,1,0.153707
1,1,28,7,128,1,2,1,0.153539
0,49,4,2,2,4,16,1,1.200409
1,7,7,2,2,4,64,1,0.153278
1,14,7,2,1,64,4,1,0.15307
1,7,7,2,4,16,8,1,0.153654
1,98,2,8,1,2,16,1,0.204714
1,112,1,2,1,28,8,1,0.154618
0,14,7,2,1,64,4,1,1.150658
1,4,7,2,2,448,1,1,0.16282
1,2,98,4,2,32,1,1,0.158316
1,7,14,1,2,64,4,1,0.153624
1,98,2,1,32,1,8,1,0.153221
1,2,28,1,1,14,64,1,0.926411
1,4,1,56,4,2,28,1,0.154392
1,14,4,1,56,4,4,1,0.163
1,196,1,8,1,16,2,1,0.202942
0,1,8,28,8,28,1,1,1.15435
1,8,14,7,2,2,16,1,0.158375
0,7,4,2,16,8,7,1,1.160712
1,2,28,7,2,8,8,1,0.154072
1,14,14,2,2,64,1,1,0.15413
1,2,1,112,8,1,28,1,0.154244
