Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,4,6,24,4,2,8,1,0.154064
1,3,64,6,32,1,1,1,0.208269
1,4,18,8,2,4,8,1,0.15419
1,4,8,3,32,12,1,1,0.154836
1,2,2,12,32,3,8,1,0.145306
1,4,1,16,18,8,4,1,0.146857
0,3,3,16,256,1,1,1,1.011589
1,2,1,32,144,1,4,1,0.150235
1,3,8,4,1,8,48,1,0.156678
1,1,16,4,18,2,16,1,0.150234
1,4,4,6,16,6,4,1,0.156581
1,2,3,16,16,24,1,1,0.156138
1,6,32,3,1,16,4,1,0.155407
1,24,2,2,64,2,3,1,0.155846
1,64,2,3,4,12,2,1,0.145014
1,2,8,9,1,32,8,1,0.156774
0,2,2,12,32,3,8,1,0.972117
1,8,4,2,9,32,2,1,0.146881
1,4,16,1,2,288,1,1,0.146878
1,2,8,4,32,6,3,1,0.151519
1,12,8,4,12,4,2,1,0.144466
1,6,1,16,8,4,12,1,0.155374
1,64,6,1,2,24,2,1,0.144693
1,2,2,18,2,32,8,1,0.156781
1,2,2,32,3,32,3,1,0.157523
1,3,2,12,4,32,4,1,0.156793
1,32,3,2,2,96,1,1,0.153336
1,1,6,6,16,8,8,1,0.155976
1,2,2,24,1,32,12,1,0.155263
0,8,12,2,4,1,48,1,1.013001
1,4,12,2,2,4,48,1,0.156375
1,1,72,4,8,8,2,1,0.15694
1,64,3,6,8,1,4,1,0.203238
1,4,48,6,1,4,8,1,0.208042
0,12,8,4,12,4,2,1,0.975453
1,16,9,1,1,4,64,1,0.683721
1,8,8,3,32,6,1,1,0.153595
1,48,3,4,32,1,2,1,0.154022
1,1,3,64,24,4,2,1,0.155935
1,2,12,24,1,32,2,1,0.154129
1,96,1,1,24,1,16,1,0.155158
1,32,3,6,64,1,1,1,0.154985
1,4,9,16,16,4,1,1,0.154607
1,2,18,4,128,2,1,1,0.158177
1,4,6,2,4,12,16,1,0.14418
1,8,4,6,1,48,4,1,0.15522
1,1,8,8,3,16,12,1,0.15028
1,3,24,1,4,8,16,1,0.156289
1,8,4,12,1,4,24,1,0.145308
1,288,2,1,2,4,8,1,0.154531
1,24,4,3,2,1,64,1,0.159856
1,36,4,4,1,8,8,1,0.154826
1,24,4,4,3,2,16,1,0.145383
1,4,4,3,2,16,24,1,0.145257
1,4,24,12,4,2,4,1,0.204708
1,144,2,1,4,1,32,1,0.160096
1,8,24,2,2,16,3,1,0.144678
1,4,2,18,4,8,8,1,0.157919
1,12,24,1,1,2,64,1,0.28086
1,1,64,2,16,2,9,1,0.156816
1,12,4,12,1,2,32,1,0.154809
0,4,6,2,4,12,16,1,0.98366
1,4,6,2,8,2,48,1,0.144889
1,48,2,4,4,8,3,1,0.144904
1,6,8,8,12,4,2,1,0.144825
1,2,2,48,3,16,4,1,0.155234
1,2,16,3,12,8,4,1,0.156811
1,72,1,1,2,16,16,1,0.156928
1,4,4,4,9,64,1,1,0.150131
1,96,1,1,32,2,6,1,0.157556
0,96,1,4,8,12,1,1,0.959087
1,3,4,4,4,12,16,1,0.145286
1,1,16,12,2,32,3,1,0.155594
1,4,4,9,8,2,16,1,0.15816
1,2,9,4,32,1,16,1,0.157664
1,8,3,3,1,64,8,1,0.156619
1,96,4,1,1,16,6,1,0.625297
1,2,4,16,2,72,2,1,0.15677
