Kernel,gx,gy,gz,bx,by,gpuId,ipc
0,4,2,10,1,10,32,1,0.791102
0,40,4,1,2,2,40,1,0.786489
0,25,1,4,64,4,1,1,0.856239
0,1,10,8,4,2,40,1,0.799394
0,25,1,16,1,2,32,1,0.631134
0,2,4,5,2,320,1,1,0.864262
0,1,40,2,32,5,2,1,0.800691
0,5,32,5,16,2,1,1,0.511998
1,4,1,50,2,2,32,1,0.1558
0,2,2,8,4,100,2,1,0.798747
1,10,1,4,128,1,5,1,0.161655
1,16,5,5,4,16,1,1,0.161091
1,2,2,8,8,50,2,1,0.177572
1,4,20,10,8,4,1,1,0.21411
1,8,4,1,160,5,1,1,0.178175
1,2,1,100,1,2,64,1,0.155793
1,16,1,25,8,2,4,1,0.161459
1,1,1,32,8,100,1,1,0.178089
0,10,1,8,80,4,1,1,0.804847
0,4,1,25,64,2,2,1,0.889534
1,100,2,1,2,64,1,1,0.155948
1,1,5,16,5,2,32,1,0.160868
1,1,1,40,16,4,10,1,0.162096
1,25,4,4,4,4,4,1,0.161324
1,1,5,8,10,2,32,1,0.161437
1,32,5,1,8,20,1,1,0.160955
1,25,1,1,2,8,64,1,0.156617
0,16,10,1,1,8,20,1,0.773158
1,2,200,1,2,16,2,1,0.161793
1,40,1,1,8,4,20,1,0.16154
1,1,5,32,1,40,4,1,0.160838
1,5,2,8,1,5,64,1,0.161091
0,2,8,2,20,20,2,1,0.804735
1,1,4,20,5,2,32,1,0.161144
1,20,2,5,64,2,1,1,0.155614
1,4,20,2,4,1,40,1,0.160697
1,2,8,5,5,4,16,1,0.161017
1,1,5,80,1,1,64,1,0.16086
1,1,40,1,8,8,10,1,0.161573
1,5,8,4,5,32,1,1,0.16001
1,10,1,10,1,32,8,1,0.15618
1,80,5,2,1,1,32,1,0.211834
1,1,1,40,20,2,16,1,0.162122
1,40,1,1,20,2,16,1,0.162107
1,200,1,4,1,32,1,1,0.212366
1,25,2,8,32,1,2,1,0.160745
1,5,20,4,2,4,8,1,0.161609
0,20,2,5,64,2,1,1,0.831471
1,50,2,8,1,8,4,1,0.212539
1,1,100,1,8,16,2,1,0.156093
1,160,1,1,20,2,4,1,0.161371
1,1,8,5,32,10,2,1,0.162077
1,4,10,1,40,16,1,1,0.161608
1,1,16,5,4,8,10,1,0.160976
0,1,20,2,4,80,2,1,0.859466
1,2,8,25,2,8,4,1,0.161652
1,400,1,2,16,1,2,1,0.212375
1,80,2,1,32,5,1,1,0.160877
1,80,10,1,1,2,16,1,0.548877
1,100,2,1,1,8,16,1,1.045115
0,25,8,4,1,2,16,1,0.495752
1,4,1,10,20,2,16,1,0.162318
1,25,8,2,64,1,1,1,0.161848
1,5,4,4,32,10,1,1,0.16106
1,5,2,8,10,4,8,1,0.161034
1,5,8,2,8,40,1,1,0.160837
1,2,4,25,1,16,8,1,0.15598
1,100,2,4,1,4,8,1,0.212652
1,2,4,5,20,16,2,1,0.162246
1,2,2,25,8,16,2,1,0.156794
1,2,2,8,100,4,2,1,0.17781
1,1,2,40,8,1,40,1,0.160882
1,400,1,2,1,1,32,1,0.213669
1,8,5,2,8,4,10,1,0.160768
1,1,16,2,8,4,25,1,0.178005
1,4,2,20,4,8,5,1,0.160178
1,4,1,10,2,5,64,1,0.161494
1,20,1,10,4,16,2,1,0.156035
1,1,1,800,1,8,4,1,0.211636
1,1,5,40,2,64,1,1,0.155501
1,8,1,5,2,10,32,1,0.162047
0,1,40,2,16,10,2,1,0.794863
1,40,5,1,4,16,2,1,0.156053
1,10,5,4,2,16,4,1,0.155835
1,4,5,2,128,1,5,1,0.161775
1,16,25,2,2,4,4,1,0.213106
1,5,8,2,64,5,1,1,0.160875
1,1,1,40,4,20,8,1,0.162329
1,8,10,1,8,40,1,1,0.160753
1,4,4,5,16,5,4,1,0.161927
1,1,1,25,2,64,8,1,0.155696
1,20,8,5,8,4,1,1,0.212439
1,2,1,80,5,16,2,1,0.160227
1,2,25,1,8,1,64,1,0.156344
1,200,2,1,4,8,2,1,0.160785
1,16,1,2,1,16,50,1,0.178094
1,16,2,1,1,200,4,1,0.372586
1,2,16,1,1,20,40,1,0.651976
1,200,2,1,2,4,8,1,0.160877
1,4,1,10,64,1,10,1,0.161947
0,5,1,10,16,8,4,1,0.907105
