Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,8,1,32,256,1,1,1,0.190772
1,1,128,2,2,4,32,1,0.190444
1,16,64,2,4,1,8,1,0.256456
1,256,2,4,1,2,16,1,0.257341
0,4,2,16,8,2,32,1,1.361283
0,8,4,2,32,2,16,1,1.364213
1,32,16,1,1,64,2,1,0.310877
1,2,1,512,4,16,1,1,0.184717
1,32,32,2,1,16,2,1,0.256773
1,128,2,8,32,1,1,1,0.256366
0,2,2,16,8,64,2,1,1.346287
1,32,2,4,4,4,16,1,0.189677
1,32,8,1,4,32,2,1,0.190609
1,128,1,1,32,4,4,1,0.189666
1,512,2,1,4,8,2,1,0.184886
1,512,2,1,16,1,4,1,0.184936
0,2,1,512,4,16,1,1,1.061321
1,16,1,128,16,1,2,1,0.256263
1,128,8,1,8,2,4,1,0.184673
1,16,16,4,16,4,1,1,0.185053
1,1,32,16,4,2,16,1,0.189374
1,2,256,2,1,2,32,1,0.185452
1,2,1,128,16,4,4,1,0.189963
1,4,1,16,64,4,4,1,0.189326
1,4,512,1,16,2,1,1,0.256337
1,2,2,64,8,2,16,1,0.190427
0,128,1,16,1,16,2,1,0.687687
1,32,2,2,4,8,16,1,0.189771
1,128,4,2,1,64,1,1,0.185325
1,8,16,2,32,1,8,1,0.189989
1,32,8,8,1,2,16,1,0.256606
1,1,8,128,8,8,1,1,0.184455
1,2,8,32,2,64,1,1,0.189592
0,64,1,16,4,16,1,1,1.063659
0,64,2,2,4,2,32,1,1.360893
0,1,8,128,8,8,1,1,1.055228
1,1,1024,2,2,16,1,1,0.256684
1,16,32,1,4,4,8,1,0.18948
1,64,8,2,1,8,8,1,0.184838
1,4,256,1,1,2,32,1,0.400733
1,1,32,4,128,2,2,1,0.189979
1,4,16,16,4,16,1,1,0.185438
1,32,8,2,2,1,64,1,0.189159
1,32,4,4,128,1,1,1,0.189516
1,16,2,2,256,1,4,1,0.189303
1,16,2,4,16,8,4,1,0.19035
0,16,1,4,32,16,2,1,1.366283
1,128,2,1,1,16,16,1,0.788063
0,1,32,64,4,1,8,1,0.697932
1,16,32,4,1,32,1,1,0.25662
1,2,32,2,2,8,32,1,0.189924
1,2,1,64,1,256,2,1,0.190215
1,64,4,1,128,1,2,1,0.189989
1,16,2,2,32,2,16,1,0.188977
1,1,256,4,32,1,2,1,0.185077
1,1,1,256,1,64,4,1,0.190129
0,8,64,1,4,8,4,1,1.353517
1,4,1,128,4,2,16,1,0.18919
0,32,1,32,1,2,32,1,1.042239
1,4,1,128,2,1,64,1,0.189684
1,8,2,8,2,32,8,1,0.190038
1,256,1,2,2,1,64,1,0.189567
1,1,256,2,8,16,1,1,0.18955
1,2,1,256,2,1,64,1,0.188846
0,512,2,1,2,8,4,1,1.077322
1,8,16,1,2,16,16,1,0.190006
1,16,16,2,2,8,8,1,0.189913
1,2,1,32,128,4,2,1,0.189179
1,256,2,4,2,16,1,1,0.256624
1,1,32,64,4,4,2,1,0.256574
1,2,1,512,4,4,4,1,0.184949
1,8,2,16,4,2,32,1,0.190182
1,4,4,8,2,256,1,1,0.190562
1,16,1,8,8,32,2,1,0.190262
1,2,32,4,256,1,1,1,0.190039
1,2,32,2,1,16,32,1,0.190489
1,2,64,16,1,8,4,1,0.256723
1,2,4,8,16,2,32,1,0.188805
1,256,2,1,1,2,64,1,0.326865
1,128,1,8,32,2,1,1,0.184831
1,128,2,4,1,64,1,1,0.185288
1,2,4,32,32,8,1,1,0.189836
1,256,2,1,4,1,32,1,0.189562
1,1,256,1,1,128,2,1,0.189427
0,32,2,2,2,256,1,1,1.348131
1,4,32,1,2,128,2,1,0.189371
0,4,1,256,4,2,8,1,1.096836
0,4,1,64,2,2,64,1,1.369013
1,4,4,4,1,64,16,1,0.188925
1,1,256,4,1,1,64,1,0.184795
1,32,4,2,32,8,1,1,0.190019
1,4,16,32,2,2,8,1,0.256575
1,8,4,8,32,4,2,1,0.189888
1,2,8,4,2,64,8,1,0.189547
1,2,256,2,2,1,32,1,0.18441
1,32,2,16,1,32,2,1,0.185174
0,2,2,16,1,1024,1,1,1.31871
1,2,2,32,2,4,64,1,0.189484
1,4,8,2,64,2,8,1,0.189123
0,2,256,2,2,1,32,1,1.081715
1,256,1,1,2,4,32,1,0.189786
1,4,2,32,32,1,8,1,0.189746
1,32,4,4,2,8,8,1,0.189109
1,1,2,512,32,1,2,1,0.185268
1,2,4,16,64,2,4,1,0.189868
1,32,1,4,1,32,16,1,0.189716
1,128,4,1,1,4,32,1,0.605805
1,16,4,32,4,1,8,1,0.256599
1,1,512,1,16,2,4,1,0.189708
1,4,32,8,2,32,1,1,0.184982
1,16,32,2,2,1,32,1,0.184728
1,1,64,1,128,1,8,1,0.189242
1,32,2,1,8,16,8,1,0.188737
1,2,1,512,1,1,64,1,0.185084
1,8,2,4,8,64,2,1,0.189476
1,16,4,8,8,4,4,1,0.189419
1,128,2,8,4,8,1,1,0.256845
0,8,8,8,4,8,4,1,1.356272
1,16,1,128,4,2,4,1,0.256655
1,16,1,128,1,8,4,1,0.256302
1,16,128,1,1,16,2,1,0.538122
1,128,1,2,1,64,4,1,0.189675
1,16,8,4,32,2,2,1,0.189478
1,256,1,2,16,4,2,1,0.189282
1,1,64,1,1,32,32,1,0.189166
1,4,128,2,2,8,4,1,0.185398
1,32,1,4,4,2,64,1,0.189768
1,8,4,16,16,2,4,1,0.189487
