Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
0,1,5,640,16,1,2,0,21.69
0,10,20,16,16,2,1,0,21.69
0,5,4,20,16,2,8,0,21.69
0,50,4,16,8,4,1,0,21.69
0,2,1,160,80,4,1,0,21.69
0,128,1,1,4,40,5,0,21.69
0,4,4,8,4,50,4,0,21.69
0,32,5,1,10,16,4,0,21.69
0,8,5,5,2,16,16,0,21.69
0,10,4,4,80,1,8,0,21.69
0,16,1,10,20,8,4,0,21.69
0,20,40,2,8,4,2,0,21.69
0,4,100,2,2,32,2,0,21.69
0,1,1,160,80,4,2,0,21.69
0,5,4,5,16,1,64,0,21.69
0,1,20,10,4,32,4,0,21.69
0,4,16,50,4,1,8,0,21.69
0,200,4,2,2,16,2,0,21.69
0,640,1,5,8,1,4,0,21.69
0,40,1,5,64,2,4,0,21.69
0,5,32,1,5,128,1,0,21.69
0,10,8,4,2,40,4,0,21.69
0,80,8,1,32,5,1,0,21.69
0,1,1,800,4,16,2,0,21.69
0,8,5,20,16,1,8,0,21.69
0,8,2,40,8,4,5,0,21.69
0,10,2,40,8,1,16,0,21.69
0,2,2,25,256,4,1,0,21.69
0,8,5,5,1,16,32,0,21.69
0,50,2,1,8,64,2,0,21.69
0,2,200,1,4,16,4,0,21.69
0,50,1,2,128,4,2,0,21.69
0,10,10,2,8,1,64,0,21.69
0,4,1,160,5,8,4,0,21.69
0,1,5,64,1,320,1,0,21.69
0,5,1,64,32,2,5,0,21.69
0,5,8,40,2,2,16,0,21.69
0,1,10,80,4,32,1,0,21.69
0,10,4,8,10,16,2,0,21.69
0,4,8,50,8,4,2,0,21.69
0,160,1,10,4,1,16,0,21.69
0,2,40,4,1,10,32,0,21.69
0,25,4,2,2,64,4,0,21.69
0,800,2,2,1,2,16,0,21.69
0,2,25,32,1,2,32,0,21.69
0,4,20,4,16,5,4,0,21.69
0,50,1,32,8,1,8,0,21.69
0,4,5,40,16,4,2,0,21.69
0,4,8,25,4,2,16,0,21.69
0,1,5,160,1,32,4,0,21.69
0,5,40,4,8,2,8,0,21.69
0,2,80,2,64,1,5,0,21.69
0,8,10,4,2,5,32,0,21.69
0,2,160,2,40,2,2,0,21.69
0,5,4,8,2,80,4,0,21.69
0,8,50,8,2,16,1,0,21.69
0,4,16,2,10,4,20,0,21.69
0,40,10,8,1,16,2,0,21.69
0,160,1,4,16,5,2,0,21.69
0,10,4,8,80,1,4,0,21.69
0,16,8,1,8,4,25,0,21.69
0,1,160,2,8,40,1,0,21.69
0,5,40,1,128,2,2,0,21.69
0,25,4,8,2,8,8,0,21.69
0,1,64,10,10,16,1,0,21.69
0,5,128,5,2,16,1,0,21.69
0,8,10,20,1,32,2,0,21.69
0,40,10,4,1,4,16,0,21.69
0,10,5,8,32,4,2,0,21.69
0,2,2,80,8,10,4,0,21.69
0,1,40,4,1,320,2,0,21.69
0,8,20,5,32,4,1,0,21.69
0,10,32,1,1,320,1,0,21.69
0,1,4,40,64,2,5,0,21.69
0,8,2,200,8,2,2,0,21.69
0,4,2,20,20,1,32,0,21.69
0,20,5,4,2,64,2,0,21.69
0,4,2,40,4,80,1,0,21.69
0,2,1,80,320,1,2,0,21.69
0,80,1,2,5,4,32,0,21.69
0,2,100,4,32,1,4,0,21.69
0,32,10,1,2,32,5,0,21.69
0,20,1,10,4,8,16,0,21.69
0,2,8,20,5,2,32,0,21.69
0,5,5,16,8,16,2,0,21.69
0,8,1,25,16,2,16,0,21.69
0,8,4,5,32,5,4,0,21.69
0,8,2,200,1,32,1,0,21.69
0,32,4,1,2,10,40,0,21.69
0,16,20,2,1,8,20,0,21.69
0,1,25,16,4,64,1,0,21.69
0,1,64,2,1,20,40,0,21.69
0,4,100,1,8,32,1,0,21.69
0,100,4,8,16,2,1,0,21.69
0,2,64,1,1,160,5,0,21.52
0,64,1,2,1,20,40,0,21.69
0,3200,1,1,4,8,1,0,21.69
0,2,2,40,4,20,8,0,21.69
0,8,1,25,512,1,1,0,21.69
0,4,20,8,2,10,8,0,21.69
0,2,16,4,2,200,2,0,21.69
0,5,4,80,1,32,2,0,21.69
0,1,100,8,64,1,2,0,21.69
0,1,32,5,8,2,40,0,21.69
0,400,1,2,1,64,2,0,21.69
0,1,4,80,4,16,5,0,21.69
0,16,5,2,2,40,8,0,21.69
0,1,80,4,8,2,20,0,21.69
0,40,1,8,160,1,2,0,21.69
0,2,50,4,8,32,1,0,21.69
0,8,2,20,16,20,1,0,21.69
0,5,8,40,32,1,2,0,21.69
0,2,5,10,8,2,64,0,21.69
0,80,1,5,4,4,16,0,21.69
0,32,1,10,20,4,4,0,21.69
0,20,4,8,80,1,2,0,21.69
0,1,10,32,16,5,4,0,21.69
0,8,10,10,4,8,4,0,21.69
0,8,1,40,1,80,4,0,21.69
0,4,10,80,8,1,4,0,21.69
0,5,10,64,1,1,32,0,21.69
0,4,20,2,2,5,64,0,21.69
0,160,5,1,32,1,4,0,21.69
0,8,4,25,64,2,1,0,21.69
0,25,4,2,2,256,1,0,21.69
0,40,1,4,8,16,5,0,21.69
0,20,5,32,2,16,1,0,21.69
0,4,20,5,8,4,8,0,21.69
0,2,10,8,2,160,2,0,21.69
0,20,1,80,4,1,16,0,21.69
0,1,5,20,16,1,64,0,21.69
0,8,1,25,8,16,4,0,21.69
0,4,4,40,1,10,16,0,21.69
0,2,20,8,1,80,4,0,21.69
0,128,1,1,1,160,5,0,21.69
0,32,5,2,5,1,64,0,21.69
0,2,10,32,4,5,8,0,21.69
0,20,10,16,4,2,4,0,21.69
0,10,16,20,4,2,4,0,21.69
0,4,2,40,8,4,10,0,21.69
0,160,1,1,40,4,4,0,21.69
0,1,5,64,10,32,1,0,21.69
0,5,80,4,8,4,2,0,21.69
0,200,16,1,1,2,16,0,20.44
0,16,20,2,1,4,40,0,21.69
0,8,5,4,640,1,1,0,21.69
0,8,80,1,16,1,10,0,21.69
0,1,8,16,1,25,32,0,21.69
0,4,5,5,4,16,16,0,21.69
0,50,2,8,8,2,8,0,21.69
0,5,10,2,32,1,32,0,21.69
0,4,4,25,1,256,1,0,21.69
0,10,2,16,16,10,2,0,21.69
0,100,1,1,4,8,32,0,21.69
0,10,1,160,2,16,2,0,21.69
0,2,1,160,80,2,2,0,21.69
0,1,16,10,80,4,2,0,21.69
0,25,2,16,2,64,1,0,21.69
0,1,100,8,2,2,32,0,21.69
0,2,2,32,8,10,10,0,21.69
0,16,10,1,4,5,32,0,21.69
0,16,5,8,4,10,4,0,21.69
0,16,4,5,4,8,10,0,21.69
0,1,40,20,4,1,32,0,21.69
0,10,32,1,8,1,40,0,21.69
0,8,2,50,32,2,2,0,21.69
0,2,10,20,1,64,4,0,21.69
0,2,50,2,8,2,32,0,21.69
0,2,4,16,4,5,40,0,21.69
0,2,40,10,1,32,4,0,21.69
0,1,320,1,64,1,5,0,21.69
0,200,1,16,2,1,16,0,21.69
0,2,8,8,80,10,1,0,21.69
0,40,4,2,320,1,1,0,21.69
0,25,2,2,16,2,32,0,21.69
0,200,1,16,16,2,1,0,21.69
0,200,4,4,8,4,1,0,21.69
0,2,50,16,4,1,16,0,21.69
0,2,32,5,16,5,4,0,21.69
0,1,32,50,4,1,16,0,21.69
0,5,8,4,40,8,2,0,21.69
0,1,40,8,1,320,1,0,21.69
0,5,2,16,16,40,1,0,21.69
0,5,4,8,10,4,16,0,21.69
0,1,16,8,5,8,20,0,21.69
0,4,4,20,2,5,32,0,21.69
0,4,5,32,8,20,1,0,21.69
0,25,16,1,2,16,8,0,21.69
0,5,1,20,16,1,64,0,21.69
0,16,5,5,8,4,8,0,21.69
0,16,20,1,1,32,10,0,21.24
0,4,8,5,10,32,2,0,21.69
0,4,5,20,2,8,16,0,21.69
0,200,4,2,2,32,1,0,21.69
0,2,1,1600,1,32,1,0,21.69
0,2,5,32,1,20,16,0,21.69
0,1,40,20,8,2,8,0,21.69
0,160,1,1,10,4,16,0,21.69
0,8,20,1,5,4,32,0,21.69
0,40,10,1,64,4,1,0,21.69
0,8,2,8,5,20,8,0,21.69
0,2,16,4,4,25,8,0,21.69
0,1,8,20,5,64,2,0,21.69
0,1,64,2,160,1,5,0,21.69
0,2,40,4,8,1,40,0,21.69
0,1,20,20,32,8,1,0,21.69
0,16,4,10,8,10,2,0,21.69
0,10,2,16,160,2,1,0,21.69
0,2,8,100,16,1,4,0,21.69
0,5,8,16,4,20,2,0,21.69
0,5,10,4,1,8,64,0,21.69
0,4,8,25,16,8,1,0,21.69
0,20,4,2,4,8,20,0,21.69
0,200,8,1,32,1,2,0,21.69
0,1,4,25,4,4,64,0,21.69
0,8,50,4,4,16,1,0,21.69
0,40,1,4,8,5,16,0,21.69
0,8,8,2,20,5,8,0,21.69
0,8,1,40,10,32,1,0,21.69
0,40,1,8,10,2,16,0,21.69
0,10,1,160,8,2,4,0,21.69
0,5,16,8,8,5,4,0,21.69
0,16,8,25,2,2,8,0,21.69
0,2,16,4,2,8,50,0,21.69
0,1,4,200,4,4,8,0,21.69
0,4,1,400,8,2,4,0,21.69
0,16,10,1,4,160,1,0,21.69
0,16,20,10,4,4,2,0,21.69
0,32,20,1,160,1,1,0,21.69
0,16,1,8,8,5,20,0,21.69
0,1,50,32,16,2,2,0,21.69
0,5,32,4,160,1,1,0,21.69
0,4,1,160,1,8,20,0,21.69
0,4,2,80,2,4,20,0,21.69
0,200,2,4,1,32,2,0,21.69
0,25,16,2,2,4,16,0,21.69
0,2,10,8,10,64,1,0,21.69
0,2,40,10,16,2,4,0,21.69
0,32,2,50,16,2,1,0,21.69
0,4,5,20,8,1,32,0,21.69
0,8,1,100,4,16,2,0,21.69
0,16,4,5,2,10,16,0,21.69
0,2,5,16,2,320,1,0,21.69
0,10,10,1,8,64,2,0,21.69
0,800,2,1,8,4,2,0,21.69
0,20,2,40,16,2,2,0,21.69
0,16,4,5,1,80,4,0,21.69
0,1,1,100,2,16,32,0,21.69
0,20,2,4,32,20,1,0,21.69
0,50,8,2,16,2,4,0,21.69
0,160,1,2,40,4,2,0,21.69
0,1,320,2,5,1,32,0,21.69
0,8,5,10,32,8,1,0,21.69
0,1,20,8,16,4,10,0,21.69
0,1,32,4,16,2,25,0,21.69
0,1,80,2,20,2,16,0,21.69
0,32,1,4,5,20,8,0,21.69
0,5,4,5,2,8,64,0,21.69
0,1,10,16,40,16,1,0,21.69
0,10,2,32,40,2,2,0,21.69
0,5,20,1,2,128,4,0,21.69
0,10,2,5,512,1,2,0,21.69
0,4,5,16,8,40,1,0,21.69
0,32,10,10,2,8,2,0,21.69
0,5,4,8,8,80,1,0,21.69
0,1,5,64,40,8,1,0,21.69
0,4,20,20,1,32,2,0,21.69
0,20,10,2,1,64,4,0,21.69
0,16,10,4,10,16,1,0,21.69
0,25,16,4,8,1,8,0,21.69
0,4,20,8,2,20,4,0,21.69
0,5,320,1,2,16,2,0,21.69
0,80,8,1,5,1,32,0,21.69
0,5,16,40,2,1,16,0,21.69
0,10,4,16,8,10,2,0,21.69
0,80,1,10,4,2,16,0,21.69
0,4,5,8,2,64,5,0,21.69
0,160,1,10,2,1,32,0,21.69
0,128,1,1,8,20,5,0,21.69
0,4,2,40,2,80,2,0,21.69
0,1,5,32,80,2,4,0,21.69
0,8,1,40,8,4,10,0,21.69
0,40,1,4,5,8,16,0,21.69
0,80,2,5,2,32,2,0,21.69
0,20,4,10,8,16,1,0,21.69
0,25,1,16,32,2,4,0,21.69
0,80,4,10,4,4,2,0,21.69
0,5,32,1,2,20,16,0,21.69
0,40,8,1,1,64,5,0,21.24
0,8,50,1,2,16,8,0,21.69
0,8,1,50,16,4,4,0,21.69
0,4,1,80,40,1,8,0,21.69
0,25,8,4,4,16,2,0,21.69
0,8,4,20,16,10,1,0,21.69
0,1,400,1,4,8,8,0,21.69
0,4,10,16,1,160,1,0,21.69
0,1,5,64,10,2,16,0,21.69
0,16,50,2,4,1,16,0,21.69
0,5,20,8,8,1,16,0,21.69
0,8,20,4,5,32,1,0,21.69
0,1,8,16,5,4,40,0,21.69
0,2,50,1,4,128,2,0,21.69
0,1,16,8,50,1,16,0,21.69
0,1,200,2,4,16,4,0,21.69
0,16,50,1,16,2,4,0,21.69
0,5,5,128,4,8,1,0,21.69
0,16,4,10,1,32,5,0,21.69
0,1,16,10,20,1,32,0,21.69
0,16,5,10,1,128,1,0,21.69
0,2,50,16,32,1,2,0,21.69
0,2,5,10,16,64,1,0,21.69
0,4,1,25,32,32,1,0,21.69
0,100,2,2,8,32,1,0,21.69
0,8,8,2,10,16,5,0,21.69
0,160,1,4,1,16,10,0,21.69
0,1,16,25,2,32,4,0,21.69
0,800,1,4,8,1,4,0,21.69
0,4,2,20,10,8,8,0,21.69
0,2,80,1,640,1,1,0,21.69
0,16,4,25,2,8,4,0,21.69
0,25,2,4,1,512,1,0,21.69
0,128,25,1,2,4,4,0,21.69
0,1,40,40,1,64,1,0,21.69
0,10,160,2,16,1,2,0,21.69
0,2,1,64,5,4,40,0,21.69
0,20,1,8,32,20,1,0,21.69
0,1,100,8,8,16,1,0,21.69
