Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  48,  1,  12,  1,  64, 0 , 0.806139 
 0, 16,  4,  3,  1,  32,  6, 0 , 0.78616 
 0, 8,  2,  4,  144,  1,  4, 0 , 0.795934 
 0, 4,  9,  4,  32,  2,  4, 0 , 0.7766 
 0, 1,  16,  8,  6,  3,  16, 0 , 0.778869 
 0, 24,  1,  4,  6,  32,  2, 0 , 0.785276 
 0, 6,  1,  8,  64,  4,  3, 0 , 0.803426 
 0, 16,  3,  1,  3,  256,  1, 0 , 0.797011 
 0, 8,  12,  4,  3,  1,  32, 0 , 0.890925 
 0, 2,  32,  1,  2,  6,  48, 0 , 0.796881 
 0, 12,  4,  2,  48,  2,  4, 0 , 0.785885 
 0, 1,  192,  1,  12,  1,  16, 0 , 0.786274 
 0, 1,  6,  48,  1,  16,  8, 0 , 0.874761 
 0, 4,  16,  2,  6,  4,  12, 0 , 0.778812 
 0, 1,  1,  64,  1,  288,  2, 0 , 0.798506 
 0, 6,  8,  6,  32,  1,  4, 0 , 0.874374 
 0, 12,  6,  2,  32,  8,  1, 0 , 0.776395 
 0, 12,  48,  1,  2,  32,  1, 0 , 0.936206 
 0, 1,  36,  8,  4,  1,  32, 0 , 0.875065 
 0, 12,  2,  2,  1,  128,  6, 0 , 0.804685 
 0, 3,  32,  4,  2,  24,  2, 0 , 0.890184 
 0, 6,  12,  16,  4,  1,  8, 0 , 0.972005 
 0, 1,  9,  32,  2,  1,  64, 0 , 0.875254 
 0, 8,  18,  2,  32,  1,  4, 0 , 0.874354 
 0, 3,  128,  1,  1,  48,  2, 0 , 0.892814 
 0, 2,  16,  6,  192,  1,  1, 0 , 0.785718 
 0, 8,  6,  3,  2,  16,  8, 0 , 0.776563 
 0, 24,  8,  2,  1,  96,  1, 0 , 0.89243 
 0, 12,  1,  24,  4,  4,  8, 0 , 0.874202 
 0, 3,  1,  64,  16,  4,  3, 0 , 0.785451 
 0, 4,  4,  24,  16,  6,  1, 0 , 0.892524 
 0, 4,  4,  4,  96,  6,  1, 0 , 0.797867 
 0, 8,  16,  1,  8,  12,  3, 0 , 0.779817 
 0, 64,  2,  3,  4,  1,  24, 0 , 0.89101 
 0, 96,  1,  4,  1,  24,  4, 0 , 0.893316 
 0, 24,  4,  4,  6,  4,  4, 0 , 0.890366 
 0, 32,  9,  1,  4,  16,  2, 0 , 0.874357 
 0, 2,  6,  4,  8,  2,  48, 0 , 0.802835 
 0, 4,  2,  16,  12,  8,  3, 0 , 0.778346 
 0, 1,  6,  16,  4,  8,  12, 0 , 0.785496 
 0, 64,  1,  1,  2,  32,  9, 0 , 0.792928 
 0, 128,  1,  3,  8,  1,  12, 0 , 0.891659 
 0, 16,  2,  12,  2,  1,  48, 0 , 0.891009 
 0, 24,  2,  4,  64,  3,  1, 0 , 0.785593 
 0, 16,  1,  6,  6,  32,  2, 0 , 0.785455 
 0, 3,  48,  8,  1,  4,  8, 0 , 0.97235 
 0, 16,  1,  4,  4,  9,  16, 0 , 0.795249 
 0, 3,  192,  1,  16,  4,  1, 0 , 0.936145 
 0, 48,  6,  1,  1,  64,  2, 0 , 0.861179 
 0, 2,  6,  4,  32,  8,  3, 0 , 0.80171 
 0, 6,  3,  32,  1,  32,  2, 0 , 0.937367 
 0, 2,  8,  6,  128,  3,  1, 0 , 0.785492 
 0, 1,  16,  3,  12,  16,  4, 0 , 0.803219 
 0, 12,  12,  4,  4,  4,  4, 0 , 0.935509 
 0, 2,  8,  4,  3,  96,  2, 0 , 0.793326 
 0, 12,  16,  2,  4,  6,  4, 0 , 0.890312 
 0, 3,  4,  4,  24,  4,  8, 0 , 0.801364 
 0, 1,  2,  32,  36,  2,  8, 0 , 0.794744 
 0, 18,  2,  32,  4,  8,  1, 0 , 0.972284 
