Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,7,2,4,8,28,4,1,0.058299
0,49,8,2,2,2,16,1,1.069879
1,4,1,14,28,2,16,1,0.058317
1,196,1,2,64,2,1,1,0.061134
1,1,7,8,16,7,8,1,0.05778
1,2,49,16,2,16,1,1,0.058344
0,1,7,8,16,7,8,1,1.056795
1,1,112,14,4,1,8,1,0.05843
1,2,14,2,56,2,8,1,0.05833
1,2,4,49,32,1,4,1,0.057913
1,28,2,2,8,14,4,1,0.057289
1,8,7,1,4,224,1,1,0.058341
1,16,49,1,2,4,8,1,0.059786
0,2,14,7,2,64,2,1,1.131572
1,1,8,49,2,64,1,1,0.059784
1,196,1,8,2,4,4,1,0.058453
1,8,28,7,1,1,32,1,0.05839
0,49,1,2,64,1,8,1,1.011593
0,1,1,224,1,7,32,1,1.02228
1,2,28,2,1,16,28,1,0.058204
1,1,14,8,7,2,32,1,0.057631
0,28,2,2,8,14,4,1,1.078918
1,1,1,98,2,256,1,1,0.062319
1,14,1,16,32,1,7,1,0.057518
0,4,1,98,1,32,4,1,1.082943
0,4,1,56,4,4,14,1,1.046951
1,14,14,8,2,2,8,1,0.058315
1,1,16,7,8,56,1,1,0.058296
1,7,1,16,2,14,16,1,0.058157
1,8,1,7,8,14,8,1,0.058307
1,16,98,1,1,2,16,1,0.128658
1,1,8,14,1,14,32,1,0.058101
1,49,1,1,4,16,16,1,0.063037
1,1,56,7,1,4,32,1,0.056372
1,98,1,1,1,8,64,1,0.06062
1,2,14,4,1,112,4,1,0.05723
1,2,1,112,14,1,16,1,0.057798
1,28,1,7,64,1,4,1,0.061039
0,1,56,7,1,4,32,1,1.024314
1,4,14,4,28,4,2,1,0.058524
1,112,1,14,1,4,8,1,0.058463
1,2,49,1,16,8,4,1,0.061582
1,7,4,2,64,2,7,1,0.057921
1,16,7,1,16,2,14,1,0.05792
1,392,2,2,2,8,2,1,0.058452
1,1,49,1,4,256,1,1,0.061831
1,1,2,98,32,4,2,1,0.062163
1,2,1,98,1,32,8,1,0.059796
1,14,8,2,28,8,1,1,0.057685
1,28,1,28,8,4,2,1,0.057682
1,112,1,2,7,8,4,1,0.059522
1,4,1,14,14,1,64,1,0.057995
0,8,7,1,1,896,1,1,0.979308
1,7,32,1,2,8,14,1,0.05982
1,1,2,49,1,64,8,1,0.059035
1,98,1,1,2,32,8,1,0.061225
1,7,1,32,7,8,4,1,0.05727
1,1,2,28,1,448,2,1,0.058263
1,7,2,16,4,2,28,1,0.057707
1,4,7,8,16,14,1,1,0.058325
0,4,2,28,56,2,2,1,1.101868
1,28,1,14,2,8,8,1,0.060669
1,14,112,1,32,1,1,1,0.05836
1,56,2,1,4,56,2,1,0.057974
1,7,2,16,1,4,56,1,0.060381
1,1,56,7,1,8,16,1,0.05871
1,1,196,2,4,1,32,1,0.061129
1,28,1,14,8,16,1,1,0.061327
0,49,2,8,8,1,8,1,0.993512
1,4,2,28,1,28,8,1,0.058397
1,2,28,1,16,14,4,1,0.058353
1,2,28,1,28,32,1,1,0.057918
1,2,8,14,8,2,14,1,0.05765
1,7,32,1,8,28,1,1,0.058375
1,16,7,14,4,2,4,1,0.058333
1,7,16,2,4,4,14,1,0.058033
1,14,7,4,8,1,16,1,0.059178
1,56,1,14,64,1,1,1,0.058874
1,14,2,7,8,4,8,1,0.061997
1,1,112,1,16,4,7,1,0.058367
0,14,1,8,2,112,2,1,1.141601
0,7,1,7,64,4,4,1,1.104091
1,2,28,1,448,1,2,1,0.057951
1,2,7,16,1,14,16,1,0.057879
1,1,49,2,4,16,8,1,0.057829
1,1,14,4,128,1,7,1,0.057978
1,1,14,16,112,2,1,1,0.05651
0,1,56,2,28,1,16,1,0.989535
1,4,7,4,4,14,8,1,0.058324
1,28,1,14,1,128,1,1,0.058453
1,49,4,2,4,32,1,1,0.059361
1,56,1,1,14,1,64,1,0.057935
1,1,98,1,4,128,1,1,0.061239
0,14,1,7,8,2,32,1,1.086024
1,1,7,8,64,1,14,1,0.058333
0,7,1,8,14,4,16,1,1.152208
1,56,4,7,2,8,2,1,0.058362
1,7,14,1,2,128,2,1,0.059994
1,2,49,4,8,4,4,1,0.059907
1,1,32,7,14,16,1,1,0.057123
1,8,1,7,224,4,1,1,0.057878
1,2,7,8,4,28,4,1,0.058025
1,4,56,1,112,1,2,1,0.057478
1,28,2,2,32,1,14,1,0.056965
1,16,1,7,56,4,2,1,0.058198
1,2,8,14,16,2,7,1,0.058106
1,1,8,98,64,1,1,1,0.057959
1,8,7,4,14,2,8,1,0.059274
1,196,1,8,8,2,2,1,0.058244
