Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
0,4,1,4,8,8,16,0,53.164062
0,2,2,64,8,4,2,0,53.164062
0,128,2,2,1,4,8,0,49.164062
0,32,2,2,4,4,8,0,53.164062
0,8,8,2,1,2,64,0,49.164062
0,2,4,64,2,2,8,0,53.164062
0,64,4,1,4,4,4,0,53.164062
0,4,1,16,1,64,4,0,45.164062
0,4,1,4,512,1,2,0,45.164062
0,8,4,16,2,2,8,0,53.164062
0,8,8,2,8,16,1,0,49.164062
0,2,8,8,1,8,16,0,49.164062
0,8,2,2,512,1,1,0,45.164062
0,1,4,4,512,1,2,0,45.164062
0,4,4,2,64,1,8,0,49.164062
