gx,gy,gz,bx,by,bz,gpuId,smefficiency
16,1,256,64,1,1,0,67.21
16,2,128,64,1,1,0,67.19
16,4,64,64,1,1,0,67.23
16,8,32,64,1,1,0,67.23
16,16,16,64,1,1,0,67.21
16,32,8,64,1,1,0,67.16
16,64,4,64,1,1,0,67.25
16,128,2,64,1,1,0,67.2
16,256,1,64,1,1,0,67.25
32,1,128,64,1,1,0,67.17
32,2,64,64,1,1,0,67.26
32,4,32,64,1,1,0,67.25
32,8,16,64,1,1,0,67.25
32,16,8,64,1,1,0,67.19
32,32,4,64,1,1,0,67.28
32,64,2,64,1,1,0,67.24
32,128,1,64,1,1,0,67.22
64,1,64,64,1,1,0,67.23
64,2,32,64,1,1,0,67.26
64,4,16,64,1,1,0,67.26
64,8,8,64,1,1,0,67.28
64,16,4,64,1,1,0,67.24
64,32,2,64,1,1,0,67.2
64,64,1,64,1,1,0,67.16
128,1,32,64,1,1,0,67.22
128,2,16,64,1,1,0,67.26
128,4,8,64,1,1,0,67.28
128,8,4,64,1,1,0,67.28
128,16,2,64,1,1,0,67.27
128,32,1,64,1,1,0,67.18
256,1,16,64,1,1,0,67.19
256,2,8,64,1,1,0,67.24
256,4,4,64,1,1,0,67.25
256,8,2,64,1,1,0,67.17
256,16,1,64,1,1,0,67.22
512,1,8,64,1,1,0,67.22
512,2,4,64,1,1,0,67.19
512,4,2,64,1,1,0,67.24
512,8,1,64,1,1,0,67.24
1024,1,4,64,1,1,0,67.19
1024,2,2,64,1,1,0,67.27
1024,4,1,64,1,1,0,67.12
2048,1,2,64,1,1,0,67.15
2048,2,1,64,1,1,0,67.21
4096,1,1,64,1,1,0,67.21
1,1,2048,128,1,1,0,35.13
1,2,1024,128,1,1,0,35.12
1,4,512,128,1,1,0,35.1
1,8,256,128,1,1,0,35.11
1,16,128,128,1,1,0,35.11
1,32,64,128,1,1,0,35.1
1,64,32,128,1,1,0,35.1
1,128,16,128,1,1,0,35.1
1,256,8,128,1,1,0,35.1
1,512,4,128,1,1,0,35.13
1,1024,2,128,1,1,0,35.09
1,2048,1,128,1,1,0,35.13
