Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,8,8,1,4,16,1,0,0.070947
1,1,8,4,2,64,1,0,0.07164
1,16,4,1,1,32,2,0,0.071071
0,2,8,8,2,8,2,0,0.071252
0,2,8,1,16,1,16,0,0.124549
1,16,1,2,1,16,8,0,0.07173
1,4,1,32,1,16,2,0,0.070299
0,2,2,8,16,4,2,0,0.071373
1,1,8,8,16,4,1,0,0.07089
1,1,64,1,1,1,64,0,0.071044
1,8,1,4,1,128,1,0,0.071812
1,16,1,1,128,2,1,0,0.123688
0,4,1,32,1,16,2,0,0.071237
1,2,16,1,16,4,2,0,0.071727
1,2,1,8,4,16,4,0,0.123957
1,2,1,4,4,64,2,0,0.246856
1,1,4,1,256,2,2,0,0.496005
1,2,1,2,16,64,1,0,0.496098
1,1,32,1,4,2,16,0,0.071729
1,32,1,2,8,8,1,0,0.070912
1,8,1,2,4,32,2,0,0.124033
1,2,1,4,1,16,32,0,0.247888
1,2,4,8,2,1,32,0,0.07062
1,16,2,1,4,16,2,0,0.071666
1,2,8,8,1,8,4,0,0.070547
1,1,4,8,4,4,8,0,0.071984
1,1,2,8,2,32,4,0,0.123995
1,8,1,16,1,16,2,0,0.070524
1,1,1,64,64,1,1,0,0.070768
1,16,1,4,1,4,16,0,0.070766
1,4,2,1,1,32,16,0,0.247652
1,2,2,8,1,64,2,0,0.071645
1,1,2,4,2,8,32,0,0.246762
1,1,16,1,1,8,32,0,0.123622
1,8,4,1,4,1,32,0,0.071811
1,4,8,1,1,2,64,0,0.070918
1,1,8,16,16,1,2,0,0.07049
1,4,2,4,4,32,1,0,0.071787
1,4,1,1,128,4,2,0,0.495723
1,64,1,2,1,1,32,0,0.070714
1,2,2,2,16,16,2,0,0.247115
1,64,1,2,8,1,4,0,0.070572
1,1,1,128,8,4,1,0,0.070283
0,32,1,1,8,4,4,0,0.071368
0,1,4,4,4,32,2,0,0.124696
1,2,4,8,2,8,4,0,0.070857
1,8,1,8,1,1,64,0,0.070758
1,8,2,4,8,4,2,0,0.070911
1,8,1,8,64,1,1,0,0.070968
0,1,64,1,4,4,4,0,0.071331
