Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,72,1,4,2,1,64,0,0.641632
1,1,1,128,96,3,1,0,0.643014
1,18,8,1,4,1,64,0,0.642055
1,12,16,3,2,32,1,0,0.638136
1,1,8,12,3,4,32,0,0.644189
1,4,1,96,1,24,4,0,0.634321
1,4,9,1,32,8,4,0,0.664434
1,9,8,2,4,8,8,0,0.64142
1,1,1,144,16,8,2,0,0.641381
1,2,48,1,2,24,8,0,0.643833
0,4,1,96,1,24,4,0,0.609959
1,16,3,8,4,2,12,0,0.63391
1,192,2,3,1,32,1,0,0.49614
0,2,4,144,2,8,2,0,0.350327
1,12,3,2,16,4,8,0,0.651276
1,24,8,3,2,1,32,0,0.637739
0,8,6,6,1,128,1,0,0.623794
0,2,8,12,64,1,3,0,0.632685
0,32,12,3,8,2,2,0,0.361103
0,18,4,2,2,32,4,0,0.632488
0,4,2,24,8,4,6,0,0.632684
1,4,4,12,12,1,16,0,0.63493
0,16,4,1,16,36,1,0,0.631443
0,1,288,4,2,1,16,0,0.353164
0,1,192,1,12,8,2,0,0.632726
0,1,36,8,16,4,2,0,0.623653
0,1,2,24,3,32,8,0,0.629367
0,4,9,1,16,64,1,0,0.631914
0,3,16,1,1,64,12,0,0.625373
1,12,1,16,4,16,3,0,0.63509
1,8,4,2,6,8,12,0,0.646643
0,2,24,4,8,3,8,0,0.632491
0,8,4,12,6,4,4,0,0.608479
0,1,64,1,3,16,12,0,0.632296
1,1,576,2,2,8,2,0,0.494709
0,9,4,4,4,4,16,0,0.632777
0,64,2,1,3,32,3,0,0.63354
0,8,3,8,12,2,8,0,0.632504
0,3,8,4,3,8,16,0,0.630527
0,4,2,12,2,24,8,0,0.630371
0,16,2,4,8,18,2,0,0.634167
0,4,8,2,24,8,3,0,0.632198
1,3,1,16,32,4,6,0,0.672721
0,1,4,12,32,8,3,0,0.6301
0,12,2,3,32,2,8,0,0.629999
1,4,1,24,4,16,6,0,0.645186
0,12,4,8,3,16,2,0,0.611543
0,4,9,8,8,4,4,0,0.623396
0,1,1,192,16,4,3,0,0.632269
0,72,16,1,4,4,2,0,0.358796
0,6,1,12,4,128,1,0,0.629853
1,8,2,3,384,1,2,0,0.672657
1,2,8,8,8,3,12,0,0.642802
1,6,32,6,2,4,4,0,0.495457
0,32,4,1,9,4,8,0,0.633779
0,12,2,12,4,2,16,0,0.623547
0,6,3,8,64,4,1,0,0.633361
0,1,16,8,2,3,48,0,0.634292
0,48,4,2,4,12,2,0,0.609506
1,2,1,32,48,1,12,0,0.646451
0,36,2,4,2,4,16,0,0.623237
0,2,12,3,2,32,8,0,0.630473
0,1,64,3,16,1,12,0,0.632306
1,2,4,144,2,8,2,0,0.494728
0,48,1,2,12,4,8,0,0.630994
1,3,4,24,32,1,4,0,0.641237
1,3,16,1,2,8,48,0,0.672231
1,1,12,32,2,8,6,0,0.633962
1,16,18,1,2,1,64,0,0.641424
0,1,1,128,9,4,8,0,0.633822
