Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,32,4,1,2,4,4,0,0.96121
0,4,2,1,16,1,32,0,0.937493
0,32,1,1,4,4,8,0,0.943957
0,1,1,16,16,8,2,0,0.942837
0,1,1,32,8,4,4,0,0.942931
0,2,4,16,2,1,16,0,0.96447
0,2,4,1,64,4,2,0,0.926827
0,4,4,1,64,4,1,0,0.943486
0,8,16,1,1,4,8,0,0.937486
0,4,1,8,2,4,16,0,0.933599
0,4,1,16,16,2,2,0,0.933762
0,1,1,4,2,64,8,0,0.930957
0,2,2,32,16,1,2,0,0.964505
0,4,1,16,16,4,1,0,0.943679
0,2,2,16,16,1,4,0,0.939267
0,32,1,4,4,2,4,0,0.961456
0,2,32,1,16,4,1,0,0.943735
0,1,32,1,2,8,8,0,0.94301
0,64,1,1,2,8,4,0,0.944051
0,2,1,32,1,2,32,0,0.942876
0,2,2,4,16,8,2,0,0.934599
0,2,1,2,16,1,64,0,0.931405
0,32,4,1,2,2,8,0,0.961195
0,1,8,4,16,2,4,0,0.933057
0,1,2,4,1,8,64,0,0.937509
0,4,1,8,2,8,8,0,0.93357
0,4,8,2,2,4,8,0,0.934532
0,1,2,16,4,2,16,0,0.939112
0,1,2,8,8,16,2,0,0.932992
0,2,1,2,512,1,2,0,0.931538
0,2,8,4,4,4,4,0,0.934696
0,8,8,2,2,16,1,0,0.964137
0,16,2,2,4,2,8,0,0.934641
0,16,4,2,8,4,1,0,0.964126
0,1,8,2,8,4,8,0,0.932992
0,2,1,2,16,64,1,0,0.930897
0,1,8,1,2,32,8,0,0.937652
0,2,2,2,4,16,8,0,0.92778
0,4,16,1,8,1,8,0,0.943114
0,1,4,1,8,4,32,0,0.930817
0,1,2,64,4,4,2,0,0.961221
0,16,1,4,16,4,1,0,0.943678
0,2,1,2,32,2,16,0,0.919208
0,4,2,8,1,64,1,0,0.949526
0,1,4,1,16,1,64,0,0.937229
0,1,16,8,8,1,4,0,0.967224
0,4,1,4,2,64,2,0,0.933406
0,2,1,16,4,32,1,0,0.943501
0,2,8,4,2,1,32,0,0.939154
0,2,1,16,2,8,8,0,0.933544
0,1,64,2,1,32,1,0,0.969814
0,16,1,4,1,2,32,0,0.942947
0,16,8,1,2,16,1,0,0.967228
0,4,8,4,2,2,8,0,0.961772
0,4,16,2,8,2,2,0,0.961749
0,8,2,1,16,4,4,0,0.933017
0,1,1,16,4,4,16,0,0.942867
0,4,1,4,2,8,16,0,0.933591
0,1,4,2,1,64,8,0,0.937614
0,1,4,4,1,4,64,0,0.942991
0,1,2,2,2,8,64,0,0.919071
0,2,1,16,32,4,1,0,0.943491
0,2,1,2,32,32,1,0,0.930944
0,1,2,4,1,256,2,0,0.93752
0,4,8,2,16,2,2,0,0.93463
0,4,2,1,16,8,4,0,0.926844
0,8,1,1,16,16,2,0,0.938241
0,1,8,8,16,2,2,0,0.933113
0,2,16,2,32,1,2,0,0.939296
0,4,2,8,2,4,8,0,0.934988
0,2,1,2,64,4,4,0,0.919219
0,1,4,16,4,4,4,0,0.933114
0,4,32,1,4,2,4,0,0.96121
0,4,1,1,8,8,16,0,0.931343
0,16,1,1,8,1,32,0,0.947679
0,2,2,4,1,256,1,0,0.943741
0,1,1,8,1,64,8,0,0.943332
0,1,64,1,8,2,4,0,0.943109
0,1,1,8,8,8,8,0,0.937606
0,32,4,1,8,1,4,0,0.967051
0,1,32,1,1,8,16,0,0.9479
0,1,4,4,16,4,4,0,0.933069
0,4,4,8,1,2,16,0,0.964147
0,2,1,4,2,4,64,0,0.927113
0,8,1,8,1,16,4,0,0.94287
0,2,4,2,1,4,64,0,0.93794
0,2,32,1,2,1,32,0,0.943131
0,4,2,4,4,1,32,0,0.939126
0,2,2,4,64,1,4,0,0.939016
0,2,16,1,4,4,8,0,0.933075
0,2,1,4,8,1,64,0,0.938394
0,4,8,4,2,1,16,0,0.964483
0,8,4,4,2,1,16,0,0.96452
0,2,2,4,8,8,4,0,0.934631
0,1,64,1,1,32,2,0,0.947969
0,1,1,32,2,4,16,0,0.942893
0,2,64,1,1,2,16,0,0.949099
0,8,1,1,32,2,8,0,0.938395
0,8,1,4,2,64,1,0,0.943779
0,2,32,2,2,1,16,0,0.964523
0,1,4,16,32,1,2,0,0.943565
0,4,2,1,4,16,8,0,0.926866
0,4,1,1,1024,1,1,0,0.942986
0,2,2,1,512,2,1,0,0.931008
0,4,1,16,2,2,16,0,0.93374
0,16,2,4,1,2,16,0,0.964087
0,1,8,8,1,64,1,0,0.947831
0,2,8,1,32,8,1,0,0.943508
0,2,1,4,64,2,4,0,0.927008
0,16,1,2,8,8,2,0,0.933573
0,8,2,1,4,64,1,0,0.943556
0,1,16,4,8,2,4,0,0.933571
0,4,1,2,32,8,2,0,0.927166
0,1,4,1,256,2,2,0,0.930777
0,2,2,32,4,1,8,0,0.964527
0,64,2,1,4,1,8,0,0.967013
0,2,2,4,16,2,8,0,0.93438
0,4,2,1,4,128,1,0,0.938106
0,8,1,1,1,512,1,0,0.948894
0,4,4,2,1,8,16,0,0.938039
0,4,16,2,2,2,8,0,0.961828
0,2,1,4,4,32,4,0,0.927137
0,1,4,8,2,1,64,0,0.943542
0,2,4,1,16,4,8,0,0.926801
