Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,4,4,18,6,1,48,0,12.5
1,6,2,18,32,2,6,0,12.5
1,18,12,2,4,16,3,0,12.5
1,81,2,1,256,2,1,0,12.5
1,1,6,16,8,12,9,0,12.5
1,2,2,27,8,16,6,0,12.5
1,9,2,16,2,144,1,0,12.5
1,54,6,8,1,1,32,0,12.5
1,24,3,2,8,9,8,0,12.5
1,6,36,4,1,32,3,0,12.5
1,1,48,18,48,1,2,0,12.5
1,108,8,1,24,1,4,0,12.5
1,3,36,2,3,2,64,0,12.5
1,24,4,1,3,48,6,0,12.5
1,6,36,4,3,1,32,0,12.5
0,18,2,36,16,1,4,0,90.28
1,4,9,8,3,24,4,0,12.5
1,18,36,1,2,1,64,0,12.5
1,3,36,6,2,2,32,0,12.5
1,1,1,81,64,8,2,0,12.5
1,16,2,3,18,2,24,0,12.5
1,4,18,4,12,8,3,0,12.5
0,8,9,4,3,32,3,0,90.28
1,6,9,16,2,1,48,0,12.5
1,12,6,12,1,32,3,0,12.5
0,2,12,4,1,288,3,0,90.28
1,18,2,6,2,12,16,0,12.5
0,1,288,1,18,1,16,0,90.28
1,4,9,9,32,4,2,0,12.5
1,48,1,6,2,4,36,0,12.5
1,108,1,8,24,1,4,0,12.5
1,2,36,3,96,2,2,0,12.5
1,9,36,1,2,64,2,0,12.5
0,12,1,9,2,32,12,0,90.28
1,1,1,144,36,4,4,0,12.5
0,12,9,3,8,2,16,0,90.28
1,8,6,6,1,16,18,0,12.5
1,1,18,24,6,32,1,0,12.5
1,18,2,3,32,2,12,0,12.5
1,4,18,2,4,8,18,0,12.5
1,27,4,1,32,3,8,0,12.5
1,96,9,3,2,1,16,0,12.5
1,6,12,3,12,4,8,0,12.5
0,4,3,18,12,32,1,0,90.28
1,54,4,1,3,32,4,0,12.5
1,1,216,1,96,2,2,0,12.5
1,3,2,144,3,32,1,0,12.5
1,4,27,3,1,16,16,0,12.5
1,1,3,27,512,2,1,0,12.5
1,1,12,54,2,1,64,0,12.5
1,16,1,162,4,4,2,0,12.5
1,324,1,2,2,8,8,0,12.5
1,2,6,9,6,2,64,0,12.5
1,3,6,18,64,1,4,0,12.5
1,4,27,1,16,1,48,0,12.5
1,2,16,9,4,36,2,0,12.5
1,2,27,48,1,16,2,0,12.5
1,16,3,3,48,2,6,0,12.5
1,6,6,6,32,3,4,0,12.5
0,36,24,1,16,2,3,0,90.28
1,12,3,24,8,1,12,0,12.5
1,3,18,4,1,16,24,0,12.5
1,3,2,27,8,64,1,0,12.5
1,4,2,36,48,6,1,0,12.5
1,54,2,6,16,4,2,0,12.5
1,12,108,1,8,1,8,0,12.5
1,72,3,4,32,1,3,0,12.5
0,108,1,12,1,16,4,0,90.28
0,3,1,864,4,2,4,0,90.28
1,36,8,1,9,2,16,0,12.5
1,8,6,18,2,8,6,0,12.5
1,4,18,2,36,16,1,0,12.5
1,9,4,6,32,3,4,0,12.5
1,24,4,1,12,9,8,0,12.5
1,108,1,2,32,1,12,0,12.5
1,108,6,2,16,2,2,0,12.5
0,9,1,18,8,2,32,0,90.28
1,54,2,1,1,16,48,0,12.5
0,2,9,144,1,4,8,0,90.28
1,54,12,2,2,16,2,0,12.5
1,12,9,24,1,1,32,0,12.5
1,24,9,4,8,2,6,0,12.5
1,9,9,2,1,512,1,0,12.5
1,6,9,4,16,4,6,0,12.5
1,9,4,8,12,12,2,0,12.5
1,8,9,4,4,72,1,0,12.5
0,18,8,9,1,1,64,0,90.28
1,4,18,3,384,1,1,0,12.5
1,24,4,3,6,16,3,0,12.5
1,2,24,18,1,8,12,0,12.5
1,54,1,8,24,2,4,0,12.5
1,1,16,54,12,1,8,0,12.5
1,36,12,2,1,4,24,0,12.5
1,8,18,3,12,1,16,0,12.5
1,9,24,2,12,2,8,0,12.5
1,2,8,18,18,8,2,0,12.5
1,6,4,18,24,2,4,0,12.5
0,48,2,1,2,27,16,0,90.28
1,4,72,1,2,144,1,0,12.5
1,1,81,4,8,4,8,0,12.5
1,108,12,1,1,4,16,0,12.5
1,12,3,3,12,16,4,0,12.5
1,8,4,9,3,48,2,0,12.5
1,9,4,3,2,64,6,0,12.5
1,9,16,1,12,12,4,0,12.5
1,4,36,1,6,12,8,0,12.5
1,24,2,18,1,32,3,0,12.5
1,32,9,3,1,8,12,0,12.5
0,54,1,2,3,32,8,0,90.28
1,8,12,1,1,288,3,0,12.5
1,9,1,16,3,192,1,0,12.5
1,9,8,3,1,12,32,0,12.5
1,6,2,24,1,144,2,0,12.5
1,18,3,4,3,8,16,0,12.5
1,9,4,9,16,16,1,0,12.5
1,2,6,8,16,2,27,0,12.5
1,3,6,12,3,16,8,0,12.5
0,3,4,8,12,12,6,0,90.28
1,4,27,1,128,6,1,0,12.5
1,3,8,36,48,2,1,0,12.5
1,6,24,6,1,6,16,0,12.5
1,6,24,2,3,48,2,0,12.5
1,36,1,8,6,6,8,0,12.5
1,4,2,12,12,9,8,0,12.5
1,6,9,8,4,2,24,0,12.5
1,72,1,3,1,192,2,0,12.5
1,18,6,4,6,2,16,0,12.5
1,1,9,16,8,18,4,0,12.5
1,36,4,2,48,3,2,0,12.5
1,8,1,108,16,6,1,0,12.5
1,72,3,1,3,32,4,0,12.5
1,4,12,3,12,2,24,0,12.5
1,6,72,3,1,1,64,0,12.5
1,8,18,6,1,6,16,0,12.5
1,3,3,16,2,24,12,0,12.5
1,18,16,9,1,1,32,0,12.5
1,36,18,4,2,16,1,0,12.5
0,3,2,36,4,12,8,0,90.28
0,18,9,16,4,1,8,0,90.28
1,72,1,6,2,16,6,0,12.5
1,4,6,12,12,1,24,0,12.5
1,3,48,1,12,1,48,0,12.5
1,8,18,2,9,1,32,0,12.5
0,27,48,1,4,16,1,0,90.28
1,1,16,9,3,12,16,0,12.5
1,3,16,6,4,8,9,0,12.5
1,2,6,12,2,12,24,0,12.5
1,16,3,18,4,1,24,0,12.5
1,24,3,9,2,4,16,0,12.5
1,2,108,4,8,6,2,0,12.5
1,8,12,1,12,8,9,0,12.5
1,4,3,9,1,96,8,0,12.5
1,54,8,2,12,4,2,0,12.5
1,8,162,1,4,8,2,0,12.5
1,4,3,9,32,8,3,0,12.5
1,9,18,2,2,4,32,0,12.5
1,6,3,24,12,1,16,0,12.5
1,8,6,2,27,16,2,0,12.5
1,27,32,1,1,24,4,0,12.5
1,2,3,36,96,1,4,0,12.5
